samples,mix,day,strain,s9,slope_difference,p_value
abiotic,1,0,TA100,no,-0.16803544413226715,0.25245642051500894
abiotic,1,7,TA100,no,-0.1401556083855629,0.4249190619671167
abiotic,2,0,TA100,no,-0.2628052733952886,0.1360358750675588
abiotic,2,7,TA100,no,-0.028636265398746284,0.8664970729036731
abiotic,1,0,TA98,no,-8.916872757065144e-18,1
abiotic,1,7,TA98,no,3.407772976964553e-17,0.9999999999999997
abiotic,2,0,TA98,no,0.05024854117138542,0.7003391826204939
abiotic,2,7,TA98,no,-0.02809595850443045,0.8565778858441101
abiotic,1,0,TA98,yes,-0.14631510698076525,0.45127808975005
abiotic,1,7,TA98,yes,-0.011670628917224948,0.9345004937519001
abiotic,2,0,TA98,yes,-0.03317484331100066,0.8274636191655901
abiotic,2,7,TA98,yes,-0.10179381888912922,0.6433285476033062
biotic,1,7,TA100,no,0.31996974281391827,0.12794271873097468
biotic,2,7,TA100,no,0.4232764210071317,0.07217336014502246
biotic,1,7,TA98,no,-3.927550130101671e-17,0.9999999999999998
biotic,2,7,TA98,no,0.04819537497298464,0.7528467341064069
biotic,1,7,TA98,yes,-0.05954181975362,0.7132749212629546
biotic,2,7,TA98,yes,0.060082126647936135,0.6903790980493907
