samples,mix,day,strain,s9,endpoint,intercept,slope,slope_se,p_value,r_squared,n,max_fold_dmso,positive
abiotic,1,0,TA98,no,48 hr,12.378755132915495,-0.010914199265182624,0.08255318844335263,0.8991418657619621,0.002904701253711308,8,1.3846153846153846,FALSE
abiotic,1,0,TA98,no,72 hr total,12.378755132915495,-0.010914199265182624,0.08255318844335263,0.8991418657619621,0.002904701253711308,8,1.0285714285714285,FALSE
abiotic,1,7,TA98,no,48 hr,13.839853036524744,0.023017073697860334,0.059200871898977034,0.7108494689727864,0.024574620038317112,8,1.3846153846153846,FALSE
abiotic,1,7,TA98,no,72 hr total,13.839853036524744,0.023017073697860334,0.059200871898977034,0.7108494689727864,0.024574620038317112,8,1.0285714285714285,FALSE
biotic,1,7,TA98,no,48 hr,16.493084071752754,-0.005078884806570135,0.08648093031296829,0.9550755748707525,5.745068252919231e-4,8,1.6153846153846154,FALSE
biotic,1,7,TA98,no,72 hr total,16.493084071752754,-0.005078884806570135,0.08648093031296829,0.9550755748707525,5.745068252919231e-4,8,1.2,FALSE
abiotic,1,0,TA100,no,48 hr,16.174086881348604,0.07315755349038253,0.0761498244854385,0.3737999746911733,0.1333180719057577,8,1.3157894736842106,FALSE
abiotic,1,0,TA100,no,72 hr total,48.45591095742381,-0.0948778906418848,0.11720218455416337,0.44911819987161206,0.09846665246285431,8,1.0984455958549222,FALSE
abiotic,1,7,TA100,no,48 hr,19.626215690512208,-0.03231035228009512,0.0816142700084963,0.7058794515214315,0.025456641190377962,8,1.2105263157894737,FALSE
abiotic,1,7,TA100,no,72 hr total,52.50983358547654,-0.17246596066565847,0.14876144562235433,0.29036364732192166,0.1830157401744614,8,1.2227979274611398,FALSE
biotic,1,7,TA100,no,48 hr,30.46995893667603,0.08731359412146099,0.09765002440647362,0.40567862344299493,0.11758230675023419,8,2,FALSE
biotic,1,7,TA100,no,72 hr total,53.40566241625243,0.40728333693537927,0.1695653715458413,0.05315527088540371,0.4901966779209466,8,1.761658031088083,FALSE
abiotic,2,0,TA98,no,48 hr,15.011238383401773,-0.05424681218932349,0.08346126268780697,0.5397877213090102,0.06577753555323758,8,1.3846153846153846,FALSE
abiotic,2,0,TA98,no,72 hr total,24.21795980116706,-0.003998271017938334,0.09634110807684314,0.9682429008521173,2.8697580536123036e-4,8,1.7142857142857142,FALSE
abiotic,2,7,TA98,no,48 hr,13.628809163604926,0.03209422952236866,0.10446828794875317,0.7690633484932903,0.015486573790647442,8,1.5384615384615385,FALSE
abiotic,2,7,TA98,no,72 hr total,24.282040198832934,0.003998271017938039,0.1106132306480616,0.9723381970572775,2.1771306499442523e-4,8,1.8285714285714285,FALSE
biotic,2,7,TA98,no,48 hr,16.903177004538577,-0.07110438729198197,0.09054554866396933,0.4621573837496049,0.09320057139068527,8,1.6153846153846154,FALSE
biotic,2,7,TA98,no,72 hr total,30.032634536416676,-0.02290901231899742,0.11906566060667113,0.8537708422939417,0.0061322103682164,8,2,FALSE
abiotic,2,0,TA100,no,48 hr,14.47438945320942,0.11400475470066991,0.09854727737311056,0.2913052986123668,0.1823730344339754,8,1.2105263157894737,FALSE
abiotic,2,0,TA100,no,72 hr total,52.08461205964988,-0.14880051869461863,0.13166881778347767,0.3015723141021909,0.17550176808778553,8,1.2642487046632125,FALSE
abiotic,2,7,TA100,no,48 hr,21.197752323319644,-0.08915063756213538,0.0842326722446108,0.33061718926191447,0.15732465452141514,8,1.4210526315789473,FALSE
abiotic,2,7,TA100,no,72 hr total,55.988545493840505,-0.11778690296088185,0.14389156083549295,0.4443130549883801,0.1004598781121761,8,1.3471502590673574,FALSE
biotic,2,7,TA100,no,48 hr,24.178733520639724,-0.2281175707802034,0.12430512921073676,0.11615751599363897,0.3595044359216192,8,1.6842105263157894,FALSE
biotic,2,7,TA100,no,72 hr total,54.21255673222388,0.1951588502269284,0.17505765496120826,0.30757691045259145,0.17159536684996748,8,1.4922279792746114,FALSE
abiotic,1,0,TA98,yes,48 hr,28.13637346012535,0.053274259779554675,0.12220772129343503,0.6781332607139614,0.030700420889912945,8,1.5,FALSE
abiotic,1,0,TA98,yes,72 hr total,48.288199697428134,-0.09304084720121031,0.1427467228140113,0.538687025587232,0.06612312789124383,8,1.4473684210526316,FALSE
abiotic,1,7,TA98,yes,48 hr,25.70801815431165,0.08245083207261725,0.08744691960111223,0.3821471329358275,0.12904612281314234,8,1.3846153846153846,FALSE
