samples,mix,day,strain,s9,endpoint,dose,dose_value,n,mean_rev,sd_rev,se_rev
abiotic,1,0,TA100,no,48 hr,a,50,2,21.5,4.949747468305833,3.4999999999999996
abiotic,1,0,TA100,no,48 hr,b,25,2,14.5,0.7071067811865476,0.5
abiotic,1,0,TA100,no,48 hr,c,13,2,16.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA100,no,48 hr,d,5,2,19,2.8284271247461903,2
abiotic,1,0,TA100,no,72 hr total,a,50,2,46.5,3.5355339059327378,2.5
abiotic,1,0,TA100,no,72 hr total,b,25,2,40.5,6.363961030678928,4.5
abiotic,1,0,TA100,no,72 hr total,c,13,2,45.5,3.5355339059327378,2.5
abiotic,1,0,TA100,no,72 hr total,d,5,2,52.5,0.7071067811865476,0.5
abiotic,1,0,TA98,no,48 hr,a,50,2,12.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA98,no,48 hr,b,25,2,12.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA98,no,48 hr,c,13,2,7.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA98,no,48 hr,d,5,2,16,2.8284271247461903,2
abiotic,1,0,TA98,no,72 hr total,a,50,2,12.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA98,no,72 hr total,b,25,2,12.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA98,no,72 hr total,c,13,2,7.5,2.1213203435596424,1.4999999999999998
abiotic,1,0,TA98,no,72 hr total,d,5,2,16,2.8284271247461903,2
abiotic,1,0,TA98,yes,48 hr,a,50,2,32,9.899494936611665,6.999999999999999
abiotic,1,0,TA98,yes,48 hr,b,25,2,26.5,0.7071067811865476,0.5
abiotic,1,0,TA98,yes,48 hr,c,13,2,29.5,9.192388155425117,6.499999999999999
abiotic,1,0,TA98,yes,48 hr,d,5,2,29.5,0.7071067811865476,0.5
abiotic,1,0,TA98,yes,72 hr total,a,50,2,45.5,12.020815280171307,8.499999999999998
abiotic,1,0,TA98,yes,72 hr total,b,25,2,41,0,0
abiotic,1,0,TA98,yes,72 hr total,c,13,2,49,8.48528137423857,5.999999999999999
abiotic,1,0,TA98,yes,72 hr total,d,5,2,49,0,0
abiotic,1,7,TA100,no,48 hr,a,50,2,18.5,6.363961030678928,4.5
abiotic,1,7,TA100,no,48 hr,b,25,2,19,0,0
abiotic,1,7,TA100,no,48 hr,c,13,2,16,4.242640687119285,2.9999999999999996
abiotic,1,7,TA100,no,48 hr,d,5,2,22,0,0
abiotic,1,7,TA100,no,72 hr total,a,50,2,43,5.656854249492381,4
abiotic,1,7,TA100,no,72 hr total,b,25,2,52.5,4.949747468305833,3.4999999999999996
abiotic,1,7,TA100,no,72 hr total,c,13,2,44.5,9.192388155425117,6.499999999999999
abiotic,1,7,TA100,no,72 hr total,d,5,2,54,7.0710678118654755,5
abiotic,1,7,TA98,no,48 hr,a,50,2,14,2.8284271247461903,2
abiotic,1,7,TA98,no,48 hr,b,25,2,17.5,0.7071067811865476,0.5
abiotic,1,7,TA98,no,48 hr,c,13,2,12,1.4142135623730951,1
abiotic,1,7,TA98,no,48 hr,d,5,2,14,2.8284271247461903,2
abiotic,1,7,TA98,no,72 hr total,a,50,2,14,2.8284271247461903,2
abiotic,1,7,TA98,no,72 hr total,b,25,2,17.5,0.7071067811865476,0.5
abiotic,1,7,TA98,no,72 hr total,c,13,2,12,1.4142135623730951,1
