exp,samples,strain,s9,n,mean_rev,se
1,dmso,TA98,no,2,13,1
1,nf,TA98,no,2,559,23
2,dmso,TA100,no,2,46.5,3.4999999999999996
2,sa,TA100,no,2,566.5,15.499999999999998
3,dmso,TA100,no,2,50,2
3,dmso,TA98,no,2,22,4
3,nf,TA98,no,2,514,74
3,sa,TA100,no,2,691,46
4,2aa,TA98,yes,3,248,9.539392014169456
4,dmso,TA98,yes,3,38,3.0550504633038935
5,2aa,TA100,yes,3,521.3333333333334,106.36624360095537
5,dmso,TA100,yes,3,318,106.62707598604275
6,dmso,TA98,no,3,25,3.464101615137755
7,2aa,TA98,yes,3,203.33333333333334,15.37675012622773
7,dmso,TA98,yes,3,35,5.000000000000001
8,dmso,TA100,no,4,45.75,4.3851073723076235
8,sa,TA100,no,3,270,147.9864858694874
9,2aa,TA100,yes,3,61,3.6055512754639896
9,dmso,TA100,yes,8,38,2.0354009783964293
