exp,strain,s9,n,se,dmso,nf,sa,2aa
1,TA98,no,2,1,13,NA,NA,NA
1,TA98,no,2,23,NA,559,NA,NA
2,TA100,no,2,3.4999999999999996,46.5,NA,NA,NA
2,TA100,no,2,15.499999999999998,NA,NA,566.5,NA
3,TA100,no,2,2,50,NA,NA,NA
3,TA98,no,2,4,22,NA,NA,NA
3,TA98,no,2,74,NA,514,NA,NA
3,TA100,no,2,46,NA,NA,691,NA
4,TA98,yes,3,9.539392014169456,NA,NA,NA,248
4,TA98,yes,3,3.0550504633038935,38,NA,NA,NA
5,TA100,yes,3,106.36624360095537,NA,NA,NA,521.3333333333334
5,TA100,yes,3,106.62707598604275,318,NA,NA,NA
6,TA98,no,3,3.464101615137755,25,NA,NA,NA
7,TA98,yes,3,15.37675012622773,NA,NA,NA,203.33333333333334
7,TA98,yes,3,5.000000000000001,35,NA,NA,NA
8,TA100,no,4,4.3851073723076235,45.75,NA,NA,NA
8,TA100,no,3,147.9864858694874,NA,NA,270,NA
9,TA100,yes,3,3.6055512754639896,NA,NA,NA,61
9,TA100,yes,8,2.0354009783964293,38,NA,NA,NA
