samples,mix,day,strain,s9,exp,doses_used,slope,slope_p,r2
abiotic,1,0,TA98,no,1,5;13;25,-0.12828947368421043,0.6017075933247734,0.07412280701754388
abiotic,1,7,TA98,no,1,5;13;25,0.19736842105263167,0.19210804301099169,0.38046924540266314
biotic,1,7,TA98,no,1,5;13;25,0.12500000000000006,0.582454799367701,0.08189655172413778
abiotic,1,0,TA100,no,2,5;13;25,-0.5855263157894735,0.038137045887031804,0.6989014867428414
abiotic,1,7,TA100,no,2,5;13;25;50,-0.17246596066565847,0.29036364732192166,0.1830157401744614
biotic,1,7,TA100,no,2,5;13;25;50,0.40728333693537927,0.05315527088540371,0.4901966779209466
abiotic,2,0,TA98,no,3,5;13;25,-0.08881578947368425,0.7612035707024137,0.02578522920203731
abiotic,2,7,TA98,no,3,5;13;25,-0.2631578947368417,0.3999184227113419,0.18129284459803963
biotic,2,7,TA98,no,3,5;13;25,-0.39473684210526305,0.1815815081405687,0.3947368421052629
abiotic,2,0,TA100,no,3,5;13;25;50,-0.14880051869461863,0.3015723141021909,0.17550176808778553
abiotic,2,7,TA100,no,3,5;13;25,0.427631578947369,0.2182281203359385,0.34745065789473645
biotic,2,7,TA100,no,3,5;13;25;50,0.1951588502269284,0.30757691045259145,0.17159536684996748
abiotic,1,0,TA98,yes,4,5;13;25,-0.4210526315789464,0.1406030990720406,0.456735057983943
abiotic,1,7,TA98,yes,4,5;13;25;50,0.07078020315539198,0.5369889453990748,0.06665856659494174
biotic,1,7,TA98,yes,4,5;13;25;50,-0.11638210503566039,0.38429086600257695,0.1279668474970964
abiotic,2,0,TA98,yes,4,5;13;25,-0.43092105263157876,0.13393165420565195,0.4679847286610308
abiotic,2,7,TA98,yes,4,5;13;25,0.7565789473684217,0.09947718430951527,0.5329652615459012
biotic,2,7,TA98,yes,4,5;13;25;50,0.08299113896693312,0.4913373963144023,0.0821355602146967
abiotic,1,0,TA100,yes,5,5;13;25;50,0.1736546358331533,0.3836766565659238,0.12827533890318432
abiotic,1,7,TA100,yes,5,5;13;25,0.7434210526315801,0.051881428288852734,0.6524782830863564
biotic,1,7,TA100,yes,5,5;13;25;50,-0.8537929543980984,7.034021507023223e-4,0.871158795467085
abiotic,2,0,TA100,yes,5,5;13;25,0.9605263157894746,0.03403418697782948,0.7145826349312776
abiotic,2,7,TA100,yes,5,5;13;25,0.973684210526317,0.0583036067642295,0.6332557568048109
biotic,2,7,TA100,yes,5,5;13;25,2.0296052631579005,0.6039822448856602,0.07323409733433264
biotic,1,3,TA98,no,6,5;13;25,0.47368421052631604,0.028756285141701598,0.736415938632005
biotic,1,14,TA98,no,6,5;13;25,0.6578947368421056,0.014941708110470592,0.8072328059412334
abiotic,1,14,TA98,no,6,5;13;25,-0.4374999999999998,0.1768894818827764,0.40129310344827607
biotic,2,3,TA98,no,6,5;13;25;50,0.04236006051437219,0.7083968103563165,0.025007746568725765
biotic,2,14,TA98,no,6,5;13;25,0.2828947368421055,0.23612293054105984,0.3265630519251146
abiotic,2,14,TA98,no,6,5;13;25,-0.6151315789473685,0.1434883141522305,0.451982731878813
biotic,1,3,TA98,yes,7,5;13;25;50,-0.11303220229090145,0.3515913250554525,0.14524776854580182
biotic,1,14,TA98,yes,7,5;13;25;50,0.18586557164469433,0.0926340916524315,0.39961097903609255
abiotic,1,14,TA98,yes,7,5;13;25,0.22697368421052674,0.5421675591553021,0.09967340786333365
biotic,2,3,TA98,yes,7,5;13;25,-0.18421052631578932,0.47702385620890914,0.13310696095076385
biotic,2,14,TA98,yes,7,5;13;25;50,0.07726388588718362,0.38652206512689335,0.1268511559341825
abiotic,2,14,TA98,yes,7,5;13;25,-1.7828947368421058,0.010126234967679372,0.8402860411899312
biotic,1,3,TA100,no,8,5;13;25;50,-0.4243570347957647,0.022274966216331033,0.6091939592918896
biotic,1,14,TA100,no,8,5;13;25;50,-0.2594553706505301,0.2560954590583896,0.20796272573257288
abiotic,1,14,TA100,no,8,5;13;25;50,-0.13194294359196068,0.37103632362398553,0.13475728492328232
biotic,2,3,TA100,no,8,5;13;25,-0.3782894736842099,0.3086089677093714,0.2534787442020928
biotic,2,14,TA100,no,8,5;13;25,-0.13486842105263086,0.7252991023797999,0.03431872932914113
abiotic,2,14,TA100,no,8,5;13;25,0.36513157894736886,0.397644360068895,0.18287469943895293
biotic,1,3,TA100,yes,9,5;13;25;50,0.16392911173546573,0.15583137396566543,0.30494232066548327
biotic,1,14,TA100,yes,9,5;13;25,-0.5625000000000002,0.07727525247128043,0.5829545454545453
abiotic,1,14,TA100,yes,9,5;13;25;50,-0.10071320510049711,0.4036968473041797,0.11851604438593832
biotic,2,3,TA100,yes,9,5;13;25;50,0.10503566025502468,0.3745381681576128,0.13293575751026585
biotic,2,14,TA100,yes,9,5;13;25;50,0.13680570564080397,0.2980680739359906,0.17781932581237928
abiotic,2,14,TA100,yes,9,5;13;25,0.2664473684210532,0.36264418786673036,0.20852402745995416
