samples,mix,day,strain,s9,intercept,slope,slope_se,p_value,r_squared,n,max_fold_dmso,positive
abiotic,1,0,TA98,no,12.378755132915495,-0.010914199265182624,0.08255318844335263,0.8991418657619621,0.002904701253711308,8,0.8689655172413793,FALSE
abiotic,1,7,TA98,no,13.839853036524744,0.023017073697860334,0.059200871898977034,0.7108494689727864,0.024574620038317112,8,0.8689655172413793,FALSE
biotic,1,7,TA98,no,16.493084071752754,-0.005078884806570135,0.08648093031296829,0.9550755748707525,5.745068252919231e-4,8,1.013793103448276,FALSE
abiotic,1,0,TA100,no,48.45591095742381,-0.0948778906418848,0.11720218455416337,0.44911819987161206,0.09846665246285431,8,1.127659574468085,FALSE
abiotic,1,7,TA100,no,52.50983358547654,-0.17246596066565847,0.14876144562235433,0.29036364732192166,0.1830157401744614,8,1.2553191489361701,FALSE
biotic,1,7,TA100,no,53.40566241625243,0.40728333693537927,0.1695653715458413,0.05315527088540371,0.4901966779209466,8,1.8085106382978724,FALSE
abiotic,2,0,TA98,no,24.21795980116706,-0.003998271017938334,0.09634110807684314,0.9682429008521173,2.8697580536123036e-4,8,1.4482758620689655,FALSE
abiotic,2,7,TA98,no,24.282040198832934,0.003998271017938039,0.1106132306480616,0.9723381970572775,2.1771306499442523e-4,8,1.5448275862068965,FALSE
biotic,2,7,TA98,no,30.032634536416676,-0.02290901231899742,0.11906566060667113,0.8537708422939417,0.0061322103682164,8,1.689655172413793,FALSE
abiotic,2,0,TA100,no,52.08461205964988,-0.14880051869461863,0.13166881778347767,0.3015723141021909,0.17550176808778553,8,1.297872340425532,FALSE
abiotic,2,7,TA100,no,55.988545493840505,-0.11778690296088185,0.14389156083549295,0.4443130549883801,0.1004598781121761,8,1.3829787234042554,FALSE
biotic,2,7,TA100,no,54.21255673222388,0.1951588502269284,0.17505765496120826,0.30757691045259145,0.17159536684996748,8,1.5319148936170213,FALSE
abiotic,1,0,TA98,yes,48.288199697428134,-0.09304084720121031,0.1427467228140113,0.538687025587232,0.06612312789124383,8,1.5068493150684932,FALSE
abiotic,1,7,TA98,yes,39.979360276637124,0.07078020315539198,0.10812558426865877,0.5369889453990748,0.06665856659494174,8,1.3424657534246576,FALSE
biotic,1,7,TA98,yes,40.8308839420791,-0.11638210503566039,0.12403045743147627,0.38429086600257695,0.1279668474970964,8,1.2876712328767124,FALSE
abiotic,2,0,TA98,yes,43.396909444564514,-0.06008212664793629,0.1181127513430298,0.6291314425778928,0.0413436416042729,8,1.3972602739726028,FALSE
abiotic,2,7,TA98,yes,44.502485411713856,-0.021612275772638707,0.20315914755261108,0.9187477352480986,0.0018826024192194026,8,1.6986301369863013,FALSE
biotic,2,7,TA98,yes,41.5704560190188,0.08299113896693312,0.11326083528064028,0.4913373963144023,0.0821355602146967,8,1.3972602739726028,FALSE
abiotic,1,0,TA100,yes,32.58752971687919,0.1736546358331533,0.18481143415678866,0.3836766565659238,0.12827533890318432,8,0.46343402225755176,FALSE
abiotic,1,7,TA100,yes,30.25027015344716,0.21504214393775686,0.14062867208591548,0.17709567428550851,0.28042848390310365,8,0.39348171701112883,FALSE
biotic,1,7,TA100,yes,46.475686189755784,-0.8537929543980984,0.13404655798596762,7.034021507023223e-4,0.871158795467085,8,0.35850556438791736,FALSE
abiotic,2,0,TA100,yes,24.365895828830773,0.25307974929760113,0.1834837664284627,0.21700754100054687,0.24074442439276272,8,0.34976152623211454,FALSE
abiotic,2,7,TA100,yes,26.549600172898206,-0.018262373027879843,0.22585929450950137,0.9381850888814873,0.0010884644830582548,8,0.4284578696343403,FALSE
biotic,2,7,TA100,yes,197.28874000432245,-1.1629565593256974,1.8152664753207646,0.5454228820873267,0.06402632772722844,8,2.562003179650239,FALSE
biotic,1,3,TA98,no,16.008752971687915,-0.03263453641668473,0.10703787318708867,0.770750795346641,0.015256393185508888,8,1.206896551724138,FALSE
biotic,1,14,TA98,no,11.034687702615082,0.11141128160795327,0.11796327117056275,0.38139719797702676,0.12942538742287313,8,1.1586206896551723,FALSE
abiotic,1,14,TA98,no,25.051653339096607,0.11605792089907054,0.14058305016810554,0.44064294175450325,0.1020018060929639,8,1.7379310344827585,FALSE
biotic,2,3,TA98,no,21.51512859304085,0.04236006051437219,0.10798023031893367,0.7083968103563165,0.025007746568725765,8,1.3517241379310345,FALSE
biotic,2,14,TA98,no,17.425221525826668,-0.023665441971039633,0.09955571540166157,0.8200149174611784,0.009329850210004782,8,1.206896551724138,FALSE
abiotic,2,14,TA98,no,24.07650745623514,-0.10006483682731812,0.15841203522324776,0.5508921654329588,0.062355342464398715,8,1.689655172413793,FALSE
biotic,1,3,TA98,yes,34.87799870326345,-0.11303220229090145,0.11194171373227306,0.3515913250554525,0.14524776854580182,8,1.095890410958904,FALSE
biotic,1,14,TA98,yes,27.678625459260857,0.18586557164469433,0.0930081469260861,0.0926340916524315,0.39961097903609255,8,1.095890410958904,FALSE
abiotic,1,14,TA98,yes,30.143937756645773,0.07445429003674074,0.1342156837393788,0.599128860545378,0.048786501032158314,8,1.0684931506849316,FALSE
