time_h,type,volume,well,OD600,sample,strain,mean,corrected
0,bead,100,H5,0.33064,bf_21_c,f199,0.2961025,0.0345375
0,bead,100,G4,0.19496,br_11_b,rep2,0.2961025,0
0,bead,100,H4,0.25181,br_11_c,rep2,0.2961025,0
0,bead,100,F6,0.35251,br_21_a,rep2,0.2961025,0.0564075
0,bead,100,F5,0.35231,bf_21_a,f199,0.2961025,0.05620750000000002
0,bead,100,H3,0.28701,bf_11_c,f199,0.2961025,0
0,bead,100,F4,0.34349,br_11_a,rep2,0.2961025,0.04738750000000003
0,bead,100,H6,0.30241,br_21_c,rep2,0.2961025,0.006307500000000021
0,bead,100,G5,0.31262,bf_21_b,f199,0.2961025,0.01651750000000002
0,bead,100,G6,0.35746,br_21_b,rep2,0.2961025,0.06135750000000001
0,bead,100,G3,0.34952,bf_11_b,f199,0.2961025,0.05341750000000001
0,bead,100,F3,0.45901,bf_11_a,f199,0.2961025,0.16290749999999998
0,bead,200,F2,0.46897,br_22_a,rep2,0.47242,0
0,bead,200,F1,0.47621,bf_22_a,f199,0.47242,0.0037900000000000156
0,bead,200,H2,0.42265,br_22_c,rep2,0.47242,0
0,bead,200,H1,0.43256,bf_22_c,f199,0.47242,0
0,bead,200,G2,0.47724,br_22_b,rep2,0.47242,0.004819999999999991
0,bead,200,G1,0.47184,bf_22_b,f199,0.47242,0
0,free,100,C3,0.077831,ff_11_a,f199,0.1209315,0
0,free,100,D6,0.11359,fr_21_b,rep2,0.1209315,0
0,free,100,C4,0.0775,fr_11_a,rep2,0.1209315,0
0,free,100,E4,0.076338,fr_11_c,rep2,0.1209315,0
0,free,100,C6,0.1286,fr_21_a,rep2,0.1209315,0.007668499999999995
0,free,100,D4,0.071337,fr_11_b,rep2,0.1209315,0
0,free,100,E6,0.13532,fr_21_c,rep2,0.1209315,0.014388499999999999
0,free,100,E3,0.082931,ff_11_c,f199,0.1209315,0
0,free,100,C5,0.13349,ff_21_a,f199,0.1209315,0.0125585
0,free,100,D5,0.11665,ff_21_b,f199,0.1209315,0
0,free,100,E5,0.15391,ff_21_c,f199,0.1209315,0.032978499999999994
0,free,100,D3,0.077838,ff_11_b,f199,0.1209315,0
0,free,200,C1,0.13751,ff_22_a,f199,0.14166,0
0,free,200,D2,0.11879,fr_22_b,rep2,0.14166,0
0,free,200,C2,0.13576,fr_22_a,rep2,0.14166,0
0,free,200,E2,0.14311,fr_22_c,rep2,0.14166,0.001449999999999979
0,free,200,D1,0.12206,ff_22_b,f199,0.14166,0
0,free,200,E1,0.12987,ff_22_c,f199,0.14166,0
0.35138888888888886,bead,100,H4,0.2542,br_11_c,rep2,0.3080575,0
0.35138888888888886,bead,100,H6,0.31952,br_21_c,rep2,0.3080575,0.011462500000000042
0.35138888888888886,bead,100,G5,0.34061,bf_21_b,f199,0.3080575,0.03255250000000004
0.35138888888888886,bead,100,G4,0.20723,br_11_b,rep2,0.3080575,0
0.35138888888888886,bead,100,F3,0.30245,bf_11_a,f199,0.3080575,0
0.35138888888888886,bead,100,G3,0.35686,bf_11_b,f199,0.3080575,0.048802500000000026
0.35138888888888886,bead,100,F5,0.37035,bf_21_a,f199,0.3080575,0.06229250000000003
0.35138888888888886,bead,100,H5,0.36166,bf_21_c,f199,0.3080575,0.0536025
0.35138888888888886,bead,100,F4,0.34384,br_11_a,rep2,0.3080575,0.035782499999999995
0.35138888888888886,bead,100,F6,0.37186,br_21_a,rep2,0.3080575,0.06380250000000004
0.35138888888888886,bead,100,H3,0.29893,bf_11_c,f199,0.3080575,0
0.35138888888888886,bead,100,G6,0.39014,br_21_b,rep2,0.3080575,0.0820825
0.35138888888888886,bead,200,G2,0.50683,br_22_b,rep2,0.50169,0.005140000000000033
0.35138888888888886,bead,200,H2,0.4502,br_22_c,rep2,0.50169,0
0.35138888888888886,bead,200,F2,0.46988,br_22_a,rep2,0.50169,0
0.35138888888888886,bead,200,F1,0.50287,bf_22_a,f199,0.50169,0.0011800000000000699
0.35138888888888886,bead,200,G1,0.50595,bf_22_b,f199,0.50169,0.0042600000000000415
0.35138888888888886,bead,200,H1,0.47819,bf_22_c,f199,0.50169,0
0.35138888888888886,free,100,C4,0.084894,fr_11_a,rep2,0.13679,0
0.35138888888888886,free,100,E4,0.085,fr_11_c,rep2,0.13679,0
0.35138888888888886,free,100,D6,0.14031,fr_21_b,rep2,0.13679,0.0035199999999999954
0.35138888888888886,free,100,E6,0.15988,fr_21_c,rep2,0.13679,0.02309
0.35138888888888886,free,100,E3,0.090675,ff_11_c,f199,0.13679,0
0.35138888888888886,free,100,C6,0.15761,fr_21_a,rep2,0.13679,0.020820000000000005
0.35138888888888886,free,100,D5,0.14216,ff_21_b,f199,0.13679,0.005370000000000014
0.35138888888888886,free,100,D4,0.08055,fr_11_b,rep2,0.13679,0
0.35138888888888886,free,100,C3,0.086469,ff_11_a,f199,0.13679,0
0.35138888888888886,free,100,C5,0.16579,ff_21_a,f199,0.13679,0.028999999999999998
0.35138888888888886,free,100,E5,0.17637,ff_21_c,f199,0.13679,0.039580000000000004
0.35138888888888886,free,100,D3,0.08485,ff_11_b,f199,0.13679,0
0.35138888888888886,free,200,E2,0.16796,fr_22_c,rep2,0.165055,0.002904999999999991
0.35138888888888886,free,200,D1,0.14588,ff_22_b,f199,0.165055,0
0.35138888888888886,free,200,E1,0.16023,ff_22_c,f199,0.165055,0
0.35138888888888886,free,200,C1,0.16439,ff_22_a,f199,0.165055,0
0.35138888888888886,free,200,C2,0.16314,fr_22_a,rep2,0.165055,0
0.35138888888888886,free,200,D2,0.14662,fr_22_b,rep2,0.165055,0
0.7027777777777777,bead,100,F6,0.37682,br_21_a,rep2,0.30898749999999997,0.06783250000000002
0.7027777777777777,bead,100,G4,0.20934,br_11_b,rep2,0.30898749999999997,0
0.7027777777777777,bead,100,G6,0.39201,br_21_b,rep2,0.30898749999999997,0.08302250000000005
0.7027777777777777,bead,100,F4,0.34789,br_11_a,rep2,0.30898749999999997,0.038902500000000007
0.7027777777777777,bead,100,H3,0.29454,bf_11_c,f199,0.30898749999999997,0
0.7027777777777777,bead,100,H4,0.26286,br_11_c,rep2,0.30898749999999997,0
0.7027777777777777,bead,100,G5,0.33334,bf_21_b,f199,0.30898749999999997,0.024352500000000055
0.7027777777777777,bead,100,G3,0.35787,bf_11_b,f199,0.30898749999999997,0.04888250000000005
0.7027777777777777,bead,100,H5,0.36893,bf_21_c,f199,0.30898749999999997,0.05994250000000001
0.7027777777777777,bead,100,F3,0.28956,bf_11_a,f199,0.30898749999999997,0
0.7027777777777777,bead,100,H6,0.32509,br_21_c,rep2,0.30898749999999997,0.01610250000000002
0.7027777777777777,bead,100,F5,0.37667,bf_21_a,f199,0.30898749999999997,0.06768250000000003
0.7027777777777777,bead,200,G2,0.50671,br_22_b,rep2,0.499725,0.006985000000000019
0.7027777777777777,bead,200,F2,0.48066,br_22_a,rep2,0.499725,0
0.7027777777777777,bead,200,G1,0.51857,bf_22_b,f199,0.499725,0.018845
0.7027777777777777,bead,200,H2,0.46288,br_22_c,rep2,0.499725,0
0.7027777777777777,bead,200,H1,0.48703,bf_22_c,f199,0.499725,0
0.7027777777777777,bead,200,F1,0.51445,bf_22_a,f199,0.499725,0.014724999999999988
0.7027777777777777,free,100,E4,0.086987,fr_11_c,rep2,0.13986749999999998,0
0.7027777777777777,free,100,C4,0.0881,fr_11_a,rep2,0.13986749999999998,0
0.7027777777777777,free,100,E3,0.092819,ff_11_c,f199,0.13986749999999998,0
0.7027777777777777,free,100,D5,0.14879,ff_21_b,f199,0.13986749999999998,0.008922500000000028
0.7027777777777777,free,100,D4,0.082881,fr_11_b,rep2,0.13986749999999998,0
0.7027777777777777,free,100,C6,0.16338,fr_21_a,rep2,0.13986749999999998,0.02351250000000002
0.7027777777777777,free,100,C5,0.17054,ff_21_a,f199,0.13986749999999998,0.03067250000000002
0.7027777777777777,free,100,D3,0.0871,ff_11_b,f199,0.13986749999999998,0
0.7027777777777777,free,100,D6,0.14641,fr_21_b,rep2,0.13986749999999998,0.006542500000000034
0.7027777777777777,free,100,E6,0.16337,fr_21_c,rep2,0.13986749999999998,0.02350250000000001
0.7027777777777777,free,100,C3,0.089713,ff_11_a,f199,0.13986749999999998,0
0.7027777777777777,free,100,E5,0.18203,ff_21_c,f199,0.13986749999999998,0.04216250000000002
0.7027777777777777,free,200,C1,0.16961,ff_22_a,f199,0.17089500000000002,0
0.7027777777777777,free,200,C2,0.16772,fr_22_a,rep2,0.17089500000000002,0
0.7027777777777777,free,200,E2,0.17201,fr_22_c,rep2,0.17089500000000002,0.0011149999999999771
0.7027777777777777,free,200,D2,0.15224,fr_22_b,rep2,0.17089500000000002,0
0.7027777777777777,free,200,E1,0.16456,ff_22_c,f199,0.17089500000000002,0
0.7027777777777777,free,200,D1,0.15234,ff_22_b,f199,0.17089500000000002,0
1.0541666666666667,bead,100,H4,0.26381,br_11_c,rep2,0.310705,0
1.0541666666666667,bead,100,H5,0.37268,bf_21_c,f199,0.310705,0.061975
1.0541666666666667,bead,100,F6,0.38597,br_21_a,rep2,0.310705,0.07526499999999997
1.0541666666666667,bead,100,F4,0.34304,br_11_a,rep2,0.310705,0.032335
1.0541666666666667,bead,100,G6,0.39572,br_21_b,rep2,0.310705,0.08501500000000001
