Well,Fluor,Sample,Cq,SQ,Target
A01,Cy5,Std-1,25.83,250.00000,presin
A02,Cy5,Std-1,26.05,250.00000,presin
A03,Cy5,Std-1,25.74,250.00000,presin
A04,Cy5,Std-1,26.37,250.00000,presin
A05,Cy5,Std-1,25.48,250.00000,presin
A06,Cy5,Std-1,25.81,250.00000,presin
A07,Cy5,Std-1,25.96,250.00000,presin
A08,Cy5,Std-1,25.94,250.00000,presin
A09,Cy5,Std-1,25.43,250.00000,presin
A10,Cy5,Std-1,25.58,250.00000,presin
A11,Cy5,Std-9,28.72,50.00000,afaec
A12,Cy5,NTC,,,presin
B01,Cy5,Std-2,28.27,100.00000,presin
B02,Cy5,Std-2,28.04,100.00000,presin
B03,Cy5,Std-2,28.25,100.00000,presin
B04,Cy5,Std-2,28.39,100.00000,presin
B05,Cy5,Std-2,28.27,100.00000,presin
B06,Cy5,Std-2,28.41,100.00000,presin
B07,Cy5,Std-2,28.30,100.00000,presin
B08,Cy5,Std-2,28.09,100.00000,presin
B09,Cy5,Std-2,28.36,100.00000,presin
B10,Cy5,Std-2,28.01,100.00000,presin
B11,Cy5,Std-9,28.94,50.00000,afaec
B12,Cy5,NTC,,,presin
C01,Cy5,Std-3,28.99,50.00000,presin
C02,Cy5,Std-3,29.30,50.00000,presin
C03,Cy5,Std-3,29.23,50.00000,presin
C04,Cy5,Std-3,29.14,50.00000,presin
C05,Cy5,Std-3,29.31,50.00000,presin
C06,Cy5,Std-3,29.27,50.00000,presin
C07,Cy5,Std-3,28.83,50.00000,presin
C08,Cy5,Std-3,29.26,50.00000,presin
C09,Cy5,Std-3,29.03,50.00000,presin
C10,Cy5,Std-3,28.93,50.00000,presin
C11,Cy5,Std-9,29.21,50.00000,afaec
C12,Cy5,Pos Ctrl,17.52,,presin
D01,Cy5,Std-4,28.24,250.00000,presin
D02,Cy5,Std-4,28.96,250.00000,presin
D03,Cy5,Std-4,28.46,250.00000,presin
D04,Cy5,Std-4,28.95,250.00000,presin
D05,Cy5,Std-4,29.01,250.00000,presin
D06,Cy5,Std-4,28.38,250.00000,presin
D07,Cy5,Std-4,28.12,250.00000,presin
D08,Cy5,Std-4,28.45,250.00000,presin
D09,Cy5,Std-4,28.28,250.00000,presin
D10,Cy5,Std-4,28.39,250.00000,presin
D11,Cy5,Std-9,28.62,50.00000,presin
D12,Cy5,Pos Ctrl,16.98,,
E01,Cy5,Std-5,27.61,100.00000,presin
E02,Cy5,Std-5,27.81,100.00000,presin
E03,Cy5,Std-5,27.54,100.00000,presin
E04,Cy5,Std-5,27.66,100.00000,presin
E05,Cy5,Std-5,27.44,100.00000,presin
E06,Cy5,Std-5,27.97,100.00000,presin
E07,Cy5,Std-5,27.58,100.00000,presin
E08,Cy5,Std-5,27.48,100.00000,presin
E09,Cy5,Std-5,27.84,100.00000,presin
E10,Cy5,Std-5,27.73,100.00000,presin
E11,Cy5,Std-9,29.44,50.00000,
E12,Cy5,Pos Ctrl,17.49,,
F01,Cy5,Std-6,28.86,50.00000,presin
F02,Cy5,Std-6,29.08,50.00000,presin
F03,Cy5,Std-6,29.01,50.00000,presin
F04,Cy5,Std-6,28.72,50.00000,presin
F05,Cy5,Std-6,28.82,50.00000,presin
F06,Cy5,Std-6,28.58,50.00000,presin
F07,Cy5,Std-6,28.88,50.00000,presin
F08,Cy5,Std-6,28.75,50.00000,presin
F09,Cy5,Std-6,28.87,50.00000,presin
F10,Cy5,Std-6,28.74,50.00000,presin
F11,Cy5,Std-9,29.17,50.00000,afaec
F12,Cy5,NTC,,,
G01,Cy5,Std-7,26.55,250.00000,afaec
G02,Cy5,Std-7,26.80,250.00000,afaec
G03,Cy5,Std-7,27.11,250.00000,afaec
G04,Cy5,Std-7,26.57,250.00000,afaec
G05,Cy5,Std-7,26.47,250.00000,afaec
G06,Cy5,Std-7,26.99,250.00000,afaec
G07,Cy5,Std-7,26.69,250.00000,afaec
G08,Cy5,Std-7,26.64,250.00000,afaec
G09,Cy5,Std-7,26.54,250.00000,afaec
G10,Cy5,Std-7,26.78,250.00000,afaec
G11,Cy5,Std-9,28.78,50.00000,afaec
G12,Cy5,NTC,,,afaec
H01,Cy5,Std-8,27.99,100.00000,afaec
H02,Cy5,Std-8,28.05,100.00000,afaec
H03,Cy5,Std-8,27.82,100.00000,afaec
H04,Cy5,Std-8,27.50,100.00000,afaec
H05,Cy5,Std-8,28.07,100.00000,afaec
H06,Cy5,Std-8,27.89,100.00000,afaec
H07,Cy5,Std-8,27.92,100.00000,afaec
H08,Cy5,Std-8,28.13,100.00000,afaec
H09,Cy5,Std-8,28.06,100.00000,afaec
H10,Cy5,Std-8,28.34,100.00000,afaec
H11,Cy5,Std-9,29.36,50.00000,afaec
H12,Cy5,NTC,,,
A01,FAM,Std-1,,250.00000,npenta
A02,FAM,Std-1,,250.00000,npenta
A03,FAM,Std-1,,250.00000,npenta
A04,FAM,Std-1,,250.00000,npenta
A05,FAM,Std-1,,250.00000,npenta
A06,FAM,Std-1,,250.00000,npenta
A07,FAM,Std-1,,250.00000,npenta
A08,FAM,Std-1,,250.00000,npenta
A09,FAM,Std-1,,250.00000,npenta
A10,FAM,Std-1,,250.00000,npenta
A11,FAM,Std-9,29.25,50.00000,npenta
A12,FAM,NTC,,,
B01,FAM,Std-2,28.15,100.00000,npenta
B02,FAM,Std-2,28.24,100.00000,npenta
B03,FAM,Std-2,27.52,100.00000,npenta
B04,FAM,Std-2,28.12,100.00000,npenta
B05,FAM,Std-2,28.30,100.00000,npenta
B06,FAM,Std-2,27.82,100.00000,npenta
B07,FAM,Std-2,28.11,100.00000,npenta
B08,FAM,Std-2,28.11,100.00000,npenta
B09,FAM,Std-2,28.43,100.00000,npenta
B10,FAM,Std-2,27.47,100.00000,npenta
B11,FAM,Std-9,28.78,50.00000,npenta
B12,FAM,NTC,,,npenta
C01,FAM,Std-3,28.73,50.00000,npenta
C02,FAM,Std-3,28.62,50.00000,npenta
C03,FAM,Std-3,29.09,50.00000,npenta
C04,FAM,Std-3,28.83,50.00000,npenta
C05,FAM,Std-3,29.26,50.00000,npenta
C06,FAM,Std-3,28.92,50.00000,npenta
C07,FAM,Std-3,29.13,50.00000,npenta
C08,FAM,Std-3,28.84,50.00000,npenta
C09,FAM,Std-3,28.34,50.00000,npenta
C10,FAM,Std-3,29.29,50.00000,npenta
C11,FAM,Std-9,29.35,50.00000,npenta
C12,FAM,Pos Ctrl,17.65,,
D01,FAM,Std-4,26.11,250.00000,avenet
D02,FAM,Std-4,26.46,250.00000,avenet
D03,FAM,Std-4,26.71,250.00000,avenet
D04,FAM,Std-4,26.75,250.00000,avenet
D05,FAM,Std-4,26.22,250.00000,avenet
D06,FAM,Std-4,26.50,250.00000,avenet
D07,FAM,Std-4,26.26,250.00000,avenet
D08,FAM,Std-4,26.21,250.00000,avenet
D09,FAM,Std-4,26.21,250.00000,avenet
D10,FAM,Std-4,26.43,250.00000,avenet
D11,FAM,Std-9,29.54,50.00000,npenta
D12,FAM,Pos Ctrl,15.34,12594457.53542,
E01,FAM,Std-5,25.59,100.00000,avenet
E02,FAM,Std-5,25.82,100.00000,avenet
E03,FAM,Std-5,25.48,100.00000,avenet
E04,FAM,Std-5,25.69,100.00000,avenet
E05,FAM,Std-5,25.45,100.00000,avenet
E06,FAM,Std-5,26.00,100.00000,avenet
E07,FAM,Std-5,25.82,100.00000,avenet
E08,FAM,Std-5,25.72,100.00000,avenet
E09,FAM,Std-5,25.84,100.00000,avenet
E10,FAM,Std-5,25.50,100.00000,avenet
E11,FAM,Std-9,29.62,50.00000,npenta
E12,FAM,Pos Ctrl,18.41,639898.49079,
F01,FAM,Std-6,26.72,50.00000,avenet
F02,FAM,Std-6,26.82,50.00000,avenet
F03,FAM,Std-6,26.68,50.00000,avenet
F04,FAM,Std-6,26.69,50.00000,avenet
F05,FAM,Std-6,26.46,50.00000,avenet
F06,FAM,Std-6,26.89,50.00000,avenet
F07,FAM,Std-6,27.07,50.00000,avenet
F08,FAM,Std-6,26.77,50.00000,avenet
F09,FAM,Std-6,26.72,50.00000,avenet
F10,FAM,Std-6,26.76,50.00000,avenet
F11,FAM,Std-9,29.13,50.00000,npenta
F12,FAM,NTC,,,
G01,FAM,Std-7,26.63,250.00000,npenta
G02,FAM,Std-7,27.11,250.00000,npenta
G03,FAM,Std-7,26.76,250.00000,npenta
G04,FAM,Std-7,26.83,250.00000,npenta
G05,FAM,Std-7,26.55,250.00000,npenta
G06,FAM,Std-7,27.04,250.00000,npenta
G07,FAM,Std-7,26.47,250.00000,npenta
G08,FAM,Std-7,27.01,250.00000,npenta
