"Well","Fluor","Sample","Cq","SQ","Target"
"H02","Cy5","Std-08",38.36,50,"afaec"
"H04","Cy5","Std-16",37.9,50,"afaec"
"B01","FAM","Std-02",7.82,5e+07,"npenta"
"B08","FAM","Std-26",10.09,5e+07,"npenta"
"B09","FAM","Std-26",10.21,5e+07,"npenta"
"H01","FAM","Std-08",35.37,50,"npenta"
"H02","FAM","Std-08",37.95,50,"npenta"
"H08","FAM","Std-32",33.95,50,"npenta"
"H09","FAM","Std-32",34.83,50,"npenta"
"A03","Texas Red","Std-01",6.37,5e+08,"sphingo"
"A06","Texas Red","Std-17",7.04,5e+08,"sphingo"
"B03","Texas Red","Std-02",15.68,5e+07,"sphingo"
"C01","Texas Red","Std-03",4.71,5e+06,"sphingo"
"H03","Texas Red","Std-08",38.51,50,"sphingo"
"H06","Texas Red","Std-24",36.08,50,"sphingo"
"H07","Texas Red","Std-24",34.95,50,"sphingo"
"B01","Texas Red","Std-2",12.6,100,"sphingo"
