samples,mix,day,strain,s9,exp,intercept,slope,slope_se,p_value,r_squared,n,max_fold_dmso,positive
biotic,1,3,TA100,no,8,69.24130106,-0.424357035,0.138758188,0.022274966,0.609193959,8,1.508196721,FALSE
abiotic,1,0,TA100,yes,10,24.64480225,0.262589151,0.086548283,0.022978839,0.605400034,8,0.848275862,FALSE
biotic,2,7,TA100,yes,10,57.1410201,0.251999136,0.094927355,0.037792965,0.5401305,8,1.489655172,FALSE
biotic,1,7,TA100,no,2,53.40566242,0.407283337,0.169565372,0.053155271,0.490196678,8,1.827956989,FALSE
abiotic,2,0,TA100,yes,10,61.82040199,-0.46001729,0.19564114,0.056954651,0.479562533,8,1.324137931,FALSE
biotic,1,3,TA98,no,12,25.57629133,0.227901448,0.10068348,0.064234717,0.460607718,8,1.180851064,FALSE
biotic,1,14,TA98,yes,7,27.67862546,0.185865572,0.093008147,0.092634092,0.399610979,8,1.142857143,FALSE
biotic,2,14,TA98,no,12,35.76928896,-0.145990923,0.099188613,0.191476871,0.265277386,8,1.244680851,FALSE
biotic,1,7,TA100,yes,10,36.53285066,0.149124703,0.10754679,0.214885972,0.242679351,8,1.034482759,FALSE
biotic,1,14,TA100,no,8,70.15733737,-0.259455371,0.206712671,0.256095459,0.207962726,8,1.704918033,FALSE
abiotic,1,7,TA100,no,2,52.50983359,-0.172465961,0.148761446,0.290363647,0.18301574,8,1.268817204,FALSE
abiotic,2,0,TA100,no,3,52.08461206,-0.148800519,0.131668818,0.301572314,0.175501768,8,1.22,FALSE
biotic,2,7,TA100,no,3,54.21255673,0.19515885,0.175057655,0.30757691,0.171595367,8,1.44,FALSE
biotic,1,3,TA98,yes,7,34.8779987,-0.113032202,0.111941714,0.351591325,0.145247769,8,1.142857143,FALSE
abiotic,1,14,TA100,no,8,67.19267344,-0.131942944,0.136490804,0.371036324,0.134757285,8,1.573770492,FALSE
abiotic,2,7,TA100,yes,10,58.52809596,-0.13561703,0.140323182,0.371136901,0.134704688,8,1.406896552,FALSE
biotic,1,3,TA100,yes,11,32.76053598,-0.113356386,0.117959773,0.373674984,0.133382893,8,1.336787565,FALSE
biotic,1,7,TA98,yes,4,40.83088394,-0.116382105,0.124030457,0.384290866,0.127966847,8,1.236842105,FALSE
biotic,2,14,TA98,yes,7,32.32861465,0.077263886,0.082755687,0.386522065,0.126851156,8,1.171428571,FALSE
biotic,2,14,TA100,yes,11,26.17981413,0.132051005,0.141812655,0.387701045,0.126264732,8,1.243523316,FALSE
biotic,1,14,TA100,yes,11,40.13799438,-0.156472877,0.176690191,0.409929775,0.115598329,8,1.492227979,FALSE
abiotic,2,7,TA100,no,3,55.98854549,-0.117786903,0.143891561,0.444313055,0.100459878,8,1.3,FALSE
abiotic,1,0,TA100,no,2,48.45591096,-0.094877891,0.117202185,0.4491182,0.098466652,8,1.139784946,FALSE
biotic,2,7,TA98,yes,4,41.57045602,0.082991139,0.113260835,0.491337396,0.08213556,8,1.342105263,FALSE
biotic,2,3,TA100,yes,11,33.61324833,0.145666739,0.219847664,0.532210912,0.068180126,8,1.772020725,FALSE
abiotic,1,7,TA98,yes,4,39.97936028,0.070780203,0.108125584,0.536988945,0.066658567,8,1.289473684,FALSE
abiotic,1,0,TA98,yes,4,48.2881997,-0.093040847,0.142746723,0.538687026,0.066123128,8,1.447368421,FALSE
abiotic,2,14,TA100,no,8,64.02625892,-0.097903609,0.163556052,0.571334605,0.056353666,8,1.573770492,FALSE
abiotic,2,14,TA100,yes,11,36.62070456,0.080829911,0.138139585,0.579782833,0.053982834,8,1.461139896,FALSE
biotic,2,3,TA100,no,8,63.04322455,-0.09325697,0.163870678,0.58994766,0.051212704,8,1.551912568,FALSE
biotic,2,3,TA98,yes,7,29.02896045,0.05251783,0.092636107,0.591325835,0.050843955,8,0.971428571,FALSE
abiotic,1,14,TA98,yes,7,30.14393776,0.07445429,0.134215684,0.599128861,0.048786501,8,1.114285714,FALSE
abiotic,2,0,TA98,yes,4,43.39690944,-0.060082127,0.118112751,0.629131443,0.041343642,8,1.342105263,FALSE
abiotic,1,14,TA100,yes,11,43.38113248,-0.118543333,0.262894465,0.667887675,0.032776821,8,1.92746114,FALSE
abiotic,1,7,TA98,no,1,13.83985304,0.023017074,0.059200872,0.710849469,0.02457462,8,1.384615385,FALSE
abiotic,2,14,TA98,no,12,31.73676248,-0.037065053,0.140418517,0.800641878,0.01147929,8,1.244680851,FALSE
biotic,2,7,TA98,no,3,30.03263454,-0.022909012,0.119065661,0.853770842,0.00613221,8,1.590909091,FALSE
biotic,2,3,TA98,no,12,26.04462935,0.024962179,0.130510084,0.854625192,0.006060182,8,1.244680851,FALSE
abiotic,1,0,TA98,no,1,12.37875513,-0.010914199,0.082553188,0.899141866,0.002904701,8,1.384615385,FALSE
abiotic,2,14,TA98,yes,7,26.23989626,-0.042576183,0.354182584,0.908241323,0.002402609,8,1.057142857,FALSE
abiotic,1,14,TA98,no,12,27.01945105,-0.016965636,0.145832558,0.911182125,0.002250617,8,1.085106383,FALSE
biotic,1,14,TA98,no,12,31.97925222,-0.015236654,0.131309264,0.911409974,0.00223905,8,1.372340426,FALSE
abiotic,2,7,TA98,yes,4,44.50248541,-0.021612276,0.203159148,0.918747735,0.001882602,8,1.631578947,FALSE
biotic,2,14,TA100,no,8,54.90328507,0.01491247,0.141768732,0.919654467,0.001840716,8,1.420765027,FALSE
biotic,1,7,TA98,no,1,16.49308407,-0.005078885,0.08648093,0.955075575,5.75E-04,8,1.615384615,FALSE
abiotic,2,0,TA98,no,3,24.2179598,-0.003998271,0.096341108,0.968242901,2.87E-04,8,1.363636364,FALSE
abiotic,2,7,TA98,no,3,24.2820402,0.003998271,0.110613231,0.972338197,2.18E-04,8,1.454545455,FALSE
abiotic,1,7,TA100,yes,10,24.59109574,0.012210936,0.371187853,0.974823842,1.80E-04,8,0.868965517,FALSE
