exp,samples,strain,s9,n,mean_rev,se
1,dmso,TA98,no,2,13,1
1,nf,TA98,no,2,559,23
2,dmso,TA100,no,2,46.5,3.4999999999999996
2,sa,TA100,no,2,566.5,15.499999999999998
3,dmso,TA100,no,2,50,2
3,dmso,TA98,no,2,22,4
3,nf,TA98,no,2,514,74
3,sa,TA100,no,2,691,46
4,2aa,TA98,yes,3,248,9.539392014169456
4,dmso,TA98,yes,3,38,3.0550504633038935
7,2aa,TA98,yes,3,203.33333333333334,15.37675012622773
7,dmso,TA98,yes,3,35,5.000000000000001
8,dmso,TA100,no,4,45.75,4.3851073723076235
8,sa,TA100,no,3,270,147.9864858694874
10,2aa,TA100,yes,6,75.5,3.888015775002291
10,dmso,TA100,yes,6,48.333333333333336,2.1705094128132942
11,2aa,TA100,yes,5,107,18.912958520548813
11,dmso,TA100,yes,6,32.166666666666664,3.177175545109909
12,dmso,TA98,no,6,31.333333333333332,1.6261747890200624
NA,2aa,TA100,yes,1,146,NA
