exp,strain,s9,n,se,dmso,nf,sa,2aa
1,TA98,no,2,1,13,NA,NA,NA
1,TA98,no,2,23,NA,559,NA,NA
2,TA100,no,2,3.4999999999999996,46.5,NA,NA,NA
2,TA100,no,2,15.499999999999998,NA,NA,566.5,NA
3,TA100,no,2,2,50,NA,NA,NA
3,TA98,no,2,4,22,NA,NA,NA
3,TA98,no,2,74,NA,514,NA,NA
3,TA100,no,2,46,NA,NA,691,NA
4,TA98,yes,3,9.539392014169456,NA,NA,NA,248
4,TA98,yes,3,3.0550504633038935,38,NA,NA,NA
7,TA98,yes,3,15.37675012622773,NA,NA,NA,203.33333333333334
7,TA98,yes,3,5.000000000000001,35,NA,NA,NA
8,TA100,no,4,4.3851073723076235,45.75,NA,NA,NA
8,TA100,no,3,147.9864858694874,NA,NA,270,NA
10,TA100,yes,6,3.888015775002291,NA,NA,NA,75.5
10,TA100,yes,6,2.1705094128132942,48.333333333333336,NA,NA,NA
11,TA100,yes,5,18.912958520548813,NA,NA,NA,107
11,TA100,yes,6,3.177175545109909,32.166666666666664,NA,NA,NA
12,TA98,no,6,1.6261747890200624,31.333333333333332,NA,NA,NA
NA,TA100,yes,1,NA,NA,NA,NA,146
