samples,mix,day,strain,s9,exp,doses_used,slope,slope_p,r2
abiotic,1,0,TA98,no,1,5;13;25,-0.12828947368421043,0.6017075933247734,0.07412280701754388
abiotic,1,7,TA98,no,1,5;13;25,0.19736842105263167,0.19210804301099169,0.38046924540266314
biotic,1,7,TA98,no,1,5;13;25,0.12500000000000006,0.582454799367701,0.08189655172413778
abiotic,1,0,TA100,no,2,5;13;25,-0.5855263157894735,0.038137045887031804,0.6989014867428414
abiotic,1,7,TA100,no,2,5;13;25;50,-0.17246596066565847,0.29036364732192166,0.1830157401744614
biotic,1,7,TA100,no,2,5;13;25;50,0.40728333693537927,0.05315527088540371,0.4901966779209466
abiotic,2,0,TA98,no,3,5;13;25,-0.08881578947368425,0.7612035707024137,0.02578522920203731
abiotic,2,7,TA98,no,3,5;13;25,-0.2631578947368417,0.3999184227113419,0.18129284459803963
biotic,2,7,TA98,no,3,5;13;25,-0.39473684210526305,0.1815815081405687,0.3947368421052629
abiotic,2,0,TA100,no,3,5;13;25;50,-0.14880051869461863,0.3015723141021909,0.17550176808778553
abiotic,2,7,TA100,no,3,5;13;25,0.427631578947369,0.2182281203359385,0.34745065789473645
biotic,2,7,TA100,no,3,5;13;25;50,0.1951588502269284,0.30757691045259145,0.17159536684996748
abiotic,1,0,TA98,yes,4,5;13;25,-0.4210526315789464,0.1406030990720406,0.456735057983943
abiotic,1,7,TA98,yes,4,5;13;25;50,0.07078020315539198,0.5369889453990748,0.06665856659494174
biotic,1,7,TA98,yes,4,5;13;25;50,-0.11638210503566039,0.38429086600257695,0.1279668474970964
abiotic,2,0,TA98,yes,4,5;13;25,-0.43092105263157876,0.13393165420565195,0.4679847286610308
abiotic,2,7,TA98,yes,4,5;13;25,0.7565789473684217,0.09947718430951527,0.5329652615459012
biotic,2,7,TA98,yes,4,5;13;25;50,0.08299113896693312,0.4913373963144023,0.0821355602146967
biotic,1,3,TA98,yes,7,5;13;25;50,-0.11303220229090145,0.3515913250554525,0.14524776854580182
biotic,1,14,TA98,yes,7,5;13;25;50,0.18586557164469433,0.0926340916524315,0.39961097903609255
abiotic,1,14,TA98,yes,7,5;13;25,0.22697368421052674,0.5421675591553021,0.09967340786333365
biotic,2,3,TA98,yes,7,5;13;25,-0.18421052631578932,0.47702385620890914,0.13310696095076385
biotic,2,14,TA98,yes,7,5;13;25;50,0.07726388588718362,0.38652206512689335,0.1268511559341825
abiotic,2,14,TA98,yes,7,5;13;25,-1.7828947368421058,0.010126234967679372,0.8402860411899312
biotic,1,3,TA100,no,8,5;13;25;50,-0.4243570347957647,0.022274966216331033,0.6091939592918896
biotic,1,14,TA100,no,8,5;13;25;50,-0.2594553706505301,0.2560954590583896,0.20796272573257288
abiotic,1,14,TA100,no,8,5;13;25;50,-0.13194294359196068,0.37103632362398553,0.13475728492328232
biotic,2,3,TA100,no,8,5;13;25,-0.3782894736842099,0.3086089677093714,0.2534787442020928
biotic,2,14,TA100,no,8,5;13;25,-0.13486842105263086,0.7252991023797999,0.03431872932914113
abiotic,2,14,TA100,no,8,5;13;25,0.36513157894736886,0.397644360068895,0.18287469943895293
abiotic,1,0,TA100,yes,10,5;13;25;50,0.26258915063756216,0.02297883871721982,0.6054000342023491
abiotic,1,7,TA100,yes,10,5;13;25,-1.536184210526316,0.0842480530459413,0.5663854939826621
biotic,1,7,TA100,yes,10,5;13;25,-0.2927631578947367,0.13612319658938177,0.4642480365725005
abiotic,2,0,TA100,yes,10,5;13;25;50,-0.4600172898206187,0.056954650833445204,0.4795625328189966
abiotic,2,7,TA100,yes,10,5;13;25,-0.4440789473684201,0.2768493928789014,0.2834546472564386
biotic,2,7,TA100,yes,10,5;13;25;50,0.25199913550896863,0.03779296468431191,0.5401305000063567
biotic,1,3,TA100,yes,11,5;13;25,-0.27302631578947345,0.4592782102677982,0.14331183690451407
biotic,1,14,TA100,yes,11,5;13;25,0.6907894736842112,0.03593103988188954,0.7072067737900508
abiotic,1,14,TA100,yes,11,5;13;25;50,-0.11854333261292438,0.667887674938644,0.03277682063676819
biotic,2,3,TA100,yes,11,5;13;25,1.095394736842106,0.03641147518993154,0.7053738406931032
biotic,2,14,TA100,yes,11,5;13;25;50,0.13205100497082348,0.3877010454076745,0.12626473245254022
abiotic,2,14,TA100,yes,11,5;13;25,-0.5065789473684208,0.08115513208956394,0.573626160990712
biotic,1,3,TA98,no,12,5;13;25,0.48684210526315846,0.12594773119250427,0.4819574018658688
biotic,1,14,TA98,no,12,5;13;25,-0.3289473684210523,0.3829271627319507,0.19335627827835572
abiotic,1,14,TA98,no,12,5;13;25,0.3651315789473688,0.259564424669178,0.3010555637003374
biotic,2,3,TA98,no,12,5;13;25,0.16447368421052677,0.6825508033917149,0.04620047309284449
biotic,2,14,TA98,no,12,5;13;25;50,-0.14599092284417578,0.19147687067864305,0.2652773863651388
abiotic,2,14,TA98,no,12,5;13;25,0.11842105263157932,0.7596208458556191,0.026134301270417493
