well,OD600,time_h,sample,type
A1,0.4772,0,bb_f_22,bead
A1,0.49504,0.35138888888888886,bb_f_22,bead
A1,0.50217,0.7027777777777777,bb_f_22,bead
A1,0.49678,1.0541666666666667,bb_f_22,bead
A1,0.49329,1.4055555555555554,bb_f_22,bead
A1,0.49203,1.7569444444444444,bb_f_22,bead
A1,0.48964,2.1083333333333334,bb_f_22,bead
A1,0.49082,2.4597222222222226,bb_f_22,bead
A1,0.49134,2.811111111111111,bb_f_22,bead
A1,0.48734,3.1625,bb_f_22,bead
A1,0.48778,3.513888888888889,bb_f_22,bead
A1,0.49166,3.8652777777777776,bb_f_22,bead
A1,0.49436,4.216944444444445,bb_f_22,bead
A1,0.48324,4.568333333333333,bb_f_22,bead
A1,0.47351,4.919722222222222,bb_f_22,bead
A1,0.45491,5.271111111111111,bb_f_22,bead
A1,0.44679,5.6225000000000005,bb_f_22,bead
A1,0.44596,5.973888888888889,bb_f_22,bead
A1,0.42608,6.325277777777777,bb_f_22,bead
A1,0.41355,6.676666666666667,bb_f_22,bead
A1,0.4098,7.0280555555555555,bb_f_22,bead
A1,0.39963,7.379444444444444,bb_f_22,bead
A1,0.40002,7.730833333333334,bb_f_22,bead
A1,0.39818,8.082222222222223,bb_f_22,bead
A1,0.40274,8.43361111111111,bb_f_22,bead
A1,0.41028,8.785,bb_f_22,bead
A1,0.41537,9.136388888888888,bb_f_22,bead
A1,0.41831,9.487777777777778,bb_f_22,bead
A1,0.43115,9.839166666666667,bb_f_22,bead
A1,0.44876,10.190555555555555,bb_f_22,bead
A1,0.45949,10.541944444444445,bb_f_22,bead
A1,0.47276,10.893333333333334,bb_f_22,bead
A1,0.48171,11.24472222222222,bb_f_22,bead
A1,0.48323,11.59611111111111,bb_f_22,bead
A1,0.49662,11.9475,bb_f_22,bead
A1,0.50601,12.298888888888888,bb_f_22,bead
A1,0.52411,12.650555555555554,bb_f_22,bead
A1,0.53132,13.001944444444444,bb_f_22,bead
A1,0.53945,13.353333333333333,bb_f_22,bead
A1,0.55346,13.704722222222221,bb_f_22,bead
A1,0.56598,14.056111111111111,bb_f_22,bead
A1,0.56635,14.4075,bb_f_22,bead
A1,0.56446,14.758888888888889,bb_f_22,bead
A1,0.56321,15.110277777777778,bb_f_22,bead
A1,0.56727,15.461666666666668,bb_f_22,bead
A1,0.56874,15.813055555555556,bb_f_22,bead
A1,0.57644,16.164444444444445,bb_f_22,bead
A1,0.59672,16.515833333333333,bb_f_22,bead
A1,0.61069,16.86722222222222,bb_f_22,bead
A1,0.62634,17.21861111111111,bb_f_22,bead
A1,0.63001,17.57,bb_f_22,bead
A1,0.63505,17.921388888888888,bb_f_22,bead
A1,0.64008,18.272777777777776,bb_f_22,bead
A1,0.63841,18.624166666666667,bb_f_22,bead
A1,0.6435,18.975555555555555,bb_f_22,bead
A1,0.62618,19.326944444444443,bb_f_22,bead
A1,0.67916,19.678333333333335,bb_f_22,bead
A1,0.69602,20.029722222222222,bb_f_22,bead
A1,0.70546,20.38138888888889,bb_f_22,bead
A1,0.69861,20.732777777777777,bb_f_22,bead
A1,0.68617,21.084166666666665,bb_f_22,bead
A1,0.7222,21.435555555555556,bb_f_22,bead
A1,0.70866,21.786944444444444,bb_f_22,bead
