exp,day,reactor,sample_type.x,avg_cfu,well,OD600,sample,meas,value,sample_type.y,tech_rep,strain,encapsulation_treat,alginate,coating,bio_rep,cell_loading
b,56,1,supernatant,17000000,A1,0.55753,ms1a,mVenus,11773,mixsup,a,G7,encapsulated,two,no,A,high
b,56,1,supernatant,17000000,A1,0.55753,ms1a,mVenus,11773,mixsup,b,G7,encapsulated,two,no,A,high
b,56,1,supernatant,17000000,A1,0.55753,ms1a,mScarlet_g7,5646.2,mixsup,a,G7,encapsulated,two,no,A,high
b,56,1,supernatant,17000000,A1,0.55753,ms1a,mScarlet_g7,5646.2,mixsup,b,G7,encapsulated,two,no,A,high
b,56,2,supernatant,25375000,B1,0.62139,ms2a,mVenus,9830.8,mixsup,a,G7,encapsulated,two,no,B,high
b,56,2,supernatant,25375000,B1,0.62139,ms2a,mVenus,9830.8,mixsup,b,G7,encapsulated,two,no,B,high
b,56,2,supernatant,25375000,B1,0.62139,ms2a,mScarlet_g7,5699.9,mixsup,a,G7,encapsulated,two,no,B,high
b,56,2,supernatant,25375000,B1,0.62139,ms2a,mScarlet_g7,5699.9,mixsup,b,G7,encapsulated,two,no,B,high
b,56,3,supernatant,13750000,C1,0.56407,ms3a,mVenus,9377.4,mixsup,a,G7,encapsulated,two,no,C,high
b,56,3,supernatant,13750000,C1,0.56407,ms3a,mVenus,9377.4,mixsup,b,G7,encapsulated,two,no,C,high
b,56,3,supernatant,13750000,C1,0.56407,ms3a,mScarlet_g7,4838.8,mixsup,a,G7,encapsulated,two,no,C,high
b,56,3,supernatant,13750000,C1,0.56407,ms3a,mScarlet_g7,4838.8,mixsup,b,G7,encapsulated,two,no,C,high
b,56,4,supernatant,21250000,D1,0.40738,ms4a,mVenus,11003,mixsup,a,G7,encapsulated,one,no,A,high
b,56,4,supernatant,21250000,D1,0.40738,ms4a,mVenus,11003,mixsup,b,G7,encapsulated,one,no,A,high
b,56,4,supernatant,21250000,D1,0.40738,ms4a,mScarlet_g7,4567.8,mixsup,a,G7,encapsulated,one,no,A,high
b,56,4,supernatant,21250000,D1,0.40738,ms4a,mScarlet_g7,4567.8,mixsup,b,G7,encapsulated,one,no,A,high
b,56,5,supernatant,22125000,E1,0.59728,ms5a,mVenus,12886,mixsup,a,G7,encapsulated,one,no,B,high
b,56,5,supernatant,22125000,E1,0.59728,ms5a,mVenus,12886,mixsup,b,G7,encapsulated,one,no,B,high
b,56,5,supernatant,22125000,E1,0.59728,ms5a,mScarlet_g7,4455.3,mixsup,a,G7,encapsulated,one,no,B,high
b,56,5,supernatant,22125000,E1,0.59728,ms5a,mScarlet_g7,4455.3,mixsup,b,G7,encapsulated,one,no,B,high
