"","sample.run","sample.no","naphthalene","phenanthrene","fluoranthene","d102methylnaphthalene","d10 Phenanthrene","d10Pyrene","consortia","sample","day","treatment"
"1","2.D",2,325.46,427.13,314.53,71.87,124.5,124.2,"r","f-b",0,"f"
"2","3-a.D",3,120.96,20.55,72.38,325.2,73.1,93.9,"r","f-c",0,"f"
"3","4.D",4,374.32,513.09,346.81,88.64,164.36,170.3,"r","c-a",0,"c"
"4","5.D",5,214.35,368.61,274.3,88.66,160.08,157.48,"r","c-b",0,"c"
"5","6.D",6,220.86,325.11,249.3,84.69,161.41,160.53,"r","c-c",0,"c"
"6","7.D",7,39.9,382.85,365.3,92.86,165.25,154.26,"r","c-a-c",0,"cc"
"7","8.D",8,67.35,420,399.6,54.75,129.66,128.86,"r","c-b-c",0,"cc"
"8","9.D",9,59.85,393.05,332.45,82.08,147.6,150.08,"r","c-c-c",0,"cc"
"9","10.D",10,389.05,608.43,422.21,110.17,144.08,144.54,"a","f-a",0,"f"
"10","11.D",11,242.26,501.15,356.94,85.62,171.02,162.94,"a","f-b",0,"f"
"11","12.D",12,296.3,501.36,328.45,86.44,133.43,124.88,"a","f-c",0,"f"
"12","13.D",13,309.66,323.83,230.85,80.43,122.65,115.49,"a","c-a",0,"c"
"13","14.D",14,220.77,291.25,227.64,75.81,146.01,135.33,"a","c-b",0,"c"
"14","15.D",15,321.45,362.11,247.09,88.78,180.97,162.08,"a","c-c",0,"c"
"15","16.D",16,197.15,435.65,356.3,86.33,155.65,132.7,"a","c-a-c",0,"cc"
"16","17.D",17,175.4,359.55,305.45,85.41,172.3,161.9,"a","c-b-c",0,"cc"
"17","18.D",18,187.45,504.4,363,106.63,181.44,160.96,"a","c-c-c",0,"cc"
"18","19.D",19,327.48,505.88,352.18,92.5,192.68,162.66,"k","f-a",0,"f"
"19","20.D",20,348.49,518.31,335.3,99.41,187.25,161.57,"k","f-b",0,"f"
"20","21.D",21,326.42,463.11,286.01,95.81,180.95,162.58,"k","f-c",0,"f"
"21","22.D",22,275.66,349.17,223.11,100.04,183.24,151.44,"k","c-a",0,"c"
"22","23.D",23,248.94,359.68,235.97,90.79,171.78,134.05,"k","c-b",0,"c"
"23","24.D",24,255.02,340.78,194.82,93.95,184.89,139.05,"k","c-c",0,"c"
"24","25.D",25,159.05,90.05,366.9,77.35,162.89,144.24,"k","c-a-c",0,"cc"
"25","26.D",26,122.4,86.9,409.6,57.19,142.79,135.26,"k","c-b-c",0,"cc"
"26","28.D",28,251.78,309.8,373.28,73.35,154.29,145.42,"m","f-a",0,"f"
"27","30.D",30,340.42,451.89,342.54,97.94,207.24,148.48,"m","f-c",0,"f"
"28","31.D",31,208.71,309.56,243.12,81.64,168.27,163.37,"m","c-a",0,"c"
"29","32.D",32,187.44,332.36,248.98,87.51,170.83,154.87,"m","c-b",0,"c"
"30","33.D",33,171.44,322.2,261.54,85.63,159.95,162.48,"m","c-c",0,"c"
"31","34.D",34,1.5,NA,115.1,49.31,118.15,106.67,"m","c-a-c",0,"cc"
"32","35.D",35,5.9,NA,278.25,64.26,141.78,129.6,"m","c-b-c",0,"cc"
"33","36.D",36,0.65,NA,368.55,71.52,162.97,147.65,"m","c-c-c",0,"cc"
"34","37.D",37,37.97,238.58,200.88,57.18,110.58,101.52,"a","f-a",7,"f"
"35","38.D",38,171.42,305.77,150.69,65.98,142.45,143.28,"a","f-b",7,"f"
"36","39.D",39,304.84,408.79,177,78.16,152.89,154.53,"a","f-c",7,"f"
"37","40.D",40,169.42,142,49.35,73.03,148,137,"a","c-a",7,"c"
"38","41.D",41,38.75,152.9,62.71,61.79,151.77,154.21,"a","c-b",7,"c"
"39","42.D",42,95.12,99.61,50.26,64.86,143.18,144.5,"a","c-c",7,"c"
"40","43.D",43,127.9,620.5,931.55,66.85,142.07,141.28,"a","c-a-c",7,"cc"
"41","44.D",44,45.7,734.25,1045.85,72.86,146.9,143.62,"a","c-b-c",7,"cc"
"42","45.D",45,92.05,543,847.7,72.82,150.38,137.74,"a","c-c-c",7,"cc"
"43","46.D",46,NA,NA,147.11,68.27,157.99,142.04,"r","f-a",7,"f"
"44","47.D",47,0.1,64.88,221,70.23,154.02,146.01,"r","f-b",7,"f"
"45","48.D",48,NA,NA,144.22,73.76,163.68,156.36,"r","f-c",7,"f"
"46","49.D",49,49.28,227.1,148.58,72.13,140.41,136.86,"r","c-a",7,"c"
"47","50.D",50,49.94,141.71,105.72,68,173.48,155.97,"r","c-b",7,"c"
"48","51.D",51,94.17,203.68,107.21,71.39,151.8,140.54,"r","c-c",7,"c"
"49","52.D",52,2.15,532.2,856.1,78.27,164.82,139.26,"r","c-a-c",7,"cc"
"50","53.D",53,6.85,408.2,759.3,78.44,163.78,143.1,"r","c-b-c",7,"cc"
"51","54.D",54,19.1,672.15,965.45,74.09,154.47,134.04,"r","c-c-c",7,"cc"
"52","55.D",55,1.03,NA,41.85,77.25,165.79,146.01,"m","f-b",7,"f"
"53","56.D",56,NA,NA,20.96,80.64,164.44,152.93,"m","f-a",7,"f"
"54","58.D",58,7.83,13.85,96.53,66.71,145.5,137.53,"m","c-a",7,"c"
"55","59.D",59,58.28,123.35,94.23,61.08,150.68,128.7,"m","c-b",7,"c"
"56","60.D",60,12.19,23.61,103.76,74.54,170.98,148.04,"m","c-c",7,"c"
"57","61.D",61,NA,NA,740.2,71.91,154.68,134.27,"m","c-a-c",7,"cc"
"58","62.D",62,NA,NA,1048.5,83.74,166.22,148.58,"m","c-b-c",7,"cc"
"59","63.D",63,NA,NA,804.55,90.19,177.25,157.25,"m","c-c-c",7,"cc"
