"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0.0870948206255371,0.236012439147993,0,0,0,0,0,0,0.920750534602904,0.810464305755376,0.912238020586049,1,1,1,0.104222392420357,0.0114127190593411,0.0306618118608339,0,0.156635377849343,0,0.999968756608963,0.0433241523778803,0.361166330559214,0,1,1,0.000103736920291996,0.00449074198535918,0.00449148835187823,0,0.0347484253631121,0,0,0.0112928466891466,0.870664182770572,0,0,0,0.00341877629312377,0.0964779980135007,0.00886277944458883,0.0157700823240271,0.0592189937787457,0.0446517602464391,1,0.999384376705232,0,0,0.00544258823911533,0,0,0,0,0.0142185428582942,0.0723053505003648,0.0133848556261568,0.774008032226673,0.998015963854988,0.53750170146802,0,0.0241919607049383,0,0,0.0897408741545534,0,0.0484764178458213,0.0193383950971799,0.165604679849328,0,0.150710998428816,0,0,0.0177182616216436,0.00711638591578393,1,0.194277826002922,0,0.0428364507681559,0.00623522190801465,0.130417286429973,0,0.149821499598164,0,0,0.96294775110019,0,0,0,0,0.962621393885935,0.987558977384344,0.988658480305957,0.92447864143707,0,0
2,0.251686725594619,0.14786728100317,0.28955042629839,0.161868809610031,0.180331576034103,0.191879977531077,0.389977222013961,0.353665203641304,0.367669881687264,0.977650612390051,0.960200898916404,0.973799658760941,0.969023587706515,0.840050371231137,0.890875525604312,0.107696707803229,0.0239123342665984,0.019589627501839,0.0205572891810666,0.138191725128935,0.0566578723914329,0.999443514939374,0.013870737189737,0.771138056780429,0.0193935189011174,0.83781926423803,0.83737833002084,0.0137326836093089,0.00620153345985607,0.0065093813115124,0.0365793309004532,0.0364521520109266,0.0222530188500066,0.289349934746306,0.00547633565776354,0.960942192810177,0.0382758862235476,0.0128152850094838,0.0304290786948434,0.0103135829571492,0,0.018725304145907,0.00601176470932538,0.136803772374845,0.0418940064181395,0.950239000798484,0.992895905147149,0.613465570662833,0.0436507005779297,0.0141349399963754,0.0141804614022539,0.165016451395887,0.0374002025251309,0.164873088103532,0.0112328828690121,0.0580946048006648,0.012823151249707,0.884610122817737,0.998934146085715,0.829594077666426,0.0463651713843799,0,0.0139564967471553,0.057533111132543,0.00853461153904043,0.127871476816573,0.0391764638818209,0.0160288892309851,0.12919304368896,0.00125387178102477,0.135521965503966,0.125235382345328,0.0644035447159548,0.0213300755615646,0.00303467340977482,0,0.127316710651687,0.0679343172591487,0.0288070304021151,0.00589600474020014,0.100676269985783,0.00250055566648321,0.101916603906225,0.114069291293962,0.550310226205164,0.987578899104941,0.0470847433270445,0.436378369936414,0.365554522726129,0.33586088497455,0.987183514696345,1,0.995296255692424,0.98010516446339,0.157440173292831,0.397020228134507
3,0.385517582249972,0.167685368246851,0.296387224442582,0.283862756288706,0.265828125548274,0.304622111560903,0.626340678084017,0.599367169888786,0.609961163442918,1,1,1,0.920035469256262,0.709888882410245,0.792692844354427,0.113157101865523,0.0391070368324893,0.0179321290929177,0.0446726846138664,0.120105802888748,0.115091971805277,0.999707393844483,0,1,0.0329736789708088,0.712545044416499,0.771977510935737,0.0268510048184194,0.00836837596271612,0.00917144490241074,0.0733073164807562,0.0420588576073689,0.0455300134299732,0.582633982939136,0.00145378487031048,1,0.0675010798261017,0.0248539904697381,0.0458807648543103,0.0171525613816039,0.0661330829166115,0.0310798494040009,0,0.226541168395986,0.0422854647154768,0.948377500138379,0.989637286827562,0.730244044512644,0.0710929698344091,0.023960824254588,0.0263136660251865,0.283162749167333,0.208276619169567,0.281049979154693,0.0104699389485488,0.0650743326329081,0.0119316565569094,0.963216963497121,0.999795795725892,1,0.0778477963714213,0.00614210744879806,0.0256605327292448,0.114365660666271,0.121014156963184,0.256966066532116,0.0302062094909624,0.0134590397663144,0.093554803014354,0.00420584976715244,0.153664824289851,0.218034349161571,0.0980428780394352,0.0256254582899514,0.00831648300750168,0.244421762155785,0.0713504242061773,0.136474422627013,0.0183145525235282,0.00640663183584545,0.11036057816656,0.00697935625355454,0.0838643204296557,0.15662874849149,0.779656440452274,0.999938298079018,0.0772474874215229,0.700349270637457,0.536856069419401,0.605179052052108,1,0.992590756121256,0.99955713518265,1,0.245475015889993,0.552747927014214
4,0.442946399727578,0.194616359542011,0.304568139353465,0.355948028375674,0.285869980823963,0.345997372540528,0.751728020061838,0.737426189976146,0.741963517974796,0.993400323187276,0.98293588116264,0.99603262015003,0.847688504975601,0.604726396846326,0.701329910645089,0.119425366881222,0.0550459368293154,0.0248532343299556,0.0711745803654572,0.102440400170781,0.170614103872777,1,0.00157889936792485,0.849191193818358,0.0400268467935267,0.621077980632021,0.662541259072769,0.037853356981305,0.0103117860284344,0.0117577505629365,0.109239209027875,0.0519528280851113,0.0678109349891336,0.816115372832603,0,0.983034029990069,0.0811663232981469,0.0321366134022422,0.0443038047947687,0.0239474186514204,0.136570578216025,0.0451586511382538,0.00016199774535855,0.245161158586746,0.0460489721679219,0.980113736809331,0.989968710180617,0.84535848102413,0.0838688942774879,0.0301786992315081,0.0335224406980338,0.328966858717916,0.327737721059603,0.284435942874399,0.0101038955282423,0.0806266269696614,0.0107220899355398,0.961875522807791,1,0.887639359162297,0.097266091813117,0.0263198895051987,0.032881300683161,0.165639553519166,0.226706916796114,0.321574531815614,0.0221737685175851,0.0110771019160276,0.0655176290458142,0.00903636566683494,0.19007090237376,0.264508738260464,0.109852373195935,0.0308914769329407,0.0182240270304829,0.394101168520536,0.127011813850251,0.203223872171843,0.0160117614321672,0.00650202754160476,0.0833549389088237,0.0129816682835458,0.097207889390163,0.19429691031806,0.872922783650498,1,0.084887115639248,0.850012852207838,0.7561086114051,0.784320207832617,0.999810325671462,0.993060899942345,1,0.997745558420127,0.282746872581704,0.619520400418033
5,0.49168905102568,0.264724754112208,0.366124459608962,0.39049837430858,0.296382571087344,0.366985019256034,0.823860243594469,0.817451806921196,0.8280368962428,0.979843500479208,0.965844466322488,0.975121195707652,0.76839270990004,0.518852406445544,0.617320603303518,0.124073392002452,0.06971807220891,0.0372048516218575,0.0976614793542968,0.0852402684022838,0.218612403696697,0.99935746516985,0.013344638320259,0.820238802059084,0.0407111720008236,0.54169031730991,0.566960422009168,0.0454659190881655,0.0115369821569503,0.0133616506509574,0.143383036840226,0.0634171815921088,0.0884893171610452,0.929496963215754,0.00595992516317049,0.966597516146818,0.0812487716557459,0.0329577621142045,0.0274668807679329,0.0305275345251209,0.116443315936041,0.0618358873388552,0.00595782056461234,0.182522753796517,0.0523329263918425,0.940397662270586,0.992785520938524,0.831372746411616,0.088547001095059,0.0319694277002103,0.0355238719345025,0.324230545956621,0.268151968210649,0.249976491581914,0.00841468577840132,0.0804251286580897,0.0093751093475708,0.885057166494697,0.998867657735761,0.866175270869951,0.106565220577903,0.0322937433411418,0.0348786291712852,0.205706966835117,0.252992813403805,0.389813770592505,0.0154300099416385,0.00774309259269919,0.0466707681571105,0.0139191211395882,0.200433439618714,0.251911235120562,0.113749917027645,0.0342743433899616,0.022961235279519,0.474250643162391,0.228313311684433,0.262830198241561,0.018711736030189,0.00511753966459078,0.065726489618449,0.0196280432475324,0.117296421425666,0.17563131873004,0.903452521213366,0.987558335617561,0.082353753286967,0.893806793939694,0.811080662258848,0.86802150567426,0.987246732076677,0.999843308559527,0.995148686303202,0.980856360953808,0.284858583230558,0.689278305920979
6,0.569289903176017,0.416500239527806,0.485678056514435,0.406676328307246,0.318911290202816,0.3973459941341,0.902796830905338,0.88365246201883,0.908326010690943,0.967451775234632,0.950442064100338,0.960931214957462,0.704143806418134,0.455621996073707,0.546516859021388,0.125122209032656,0.0812869781905566,0.0510316274670802,0.120359167205337,0.0687824559326685,0.256778172069024,0.996696424314047,0.0322927693686214,0.81087860618671,0.0353411438733214,0.453784209013536,0.451346358159698,0.0492069897943215,0.0119740467726459,0.0136904830867395,0.174645820759965,0.0748000370230982,0.107367587940171,0.917289835838089,0.0213393185323246,0.946835119259831,0.0773049362835995,0.0316978837563553,0.0205706723298916,0.0367863619848032,0.132890991416366,0.0840406880379852,0.0184029281575713,0.104830909694316,0.0616484653056654,0.883206503990963,0.996840725957385,0.877228424431442,0.0880692385738911,0.0306809523976688,0.0342544134568033,0.303559218454818,0.32343417941388,0.232475791769858,0.00653248084407713,0.0647869889713538,0.00826101145291288,0.83056367261948,0.99584184749532,0.836371385231735,0.110930193772192,0.0394576317097676,0.0348594644729145,0.23273584573582,0.164425532445734,0.39430680157327,0.0110755308334154,0.00524007079835379,0.0352727794652192,0.0181110624907733,0.182794819458733,0.22451639956553,0.125214524841971,0.0352767476789195,0.0217111760203596,0.563572946444856,0.212863440429347,0.31278126543458,0.0251733731977109,0.00358580382787596,0.0680050014971836,0.025950647817317,0.132263483759447,0.179367947281863,0.933404262062639,0.967208529894836,0.080395895590988,0.901538058621205,0.79076598580597,0.879660877077545,0.968163016048277,0.974875771578929,0.985715508116571,0.961453346805584,0.273457975592795,0.694008186080784
7,0.670538198263064,0.598364216936263,0.621308592358778,0.405930997394344,0.319859374191464,0.398718569084786,0.96017317871157,0.919190107720956,0.949932863320358,0.949003227687623,0.925264975047014,0.935873806562293,0.671252479796822,0.431302068120319,0.492378038809727,0.122057109183734,0.0889773774755115,0.0632294491830708,0.135918876622447,0.0534794199231836,0.283751555584032,0.991119107105733,0.0583039981168192,0.766274669298917,0.0274362733006121,0.355991764502796,0.317286369878024,0.0496334754488205,0.0116841376895582,0.0128897854941996,0.201870258437785,0.0841123610298009,0.124691199139343,0.828978986127059,0.0453727403851487,0.913708539168776,0.073425921665438,0.0309831266618883,0.0259643070272393,0.0418534367760922,0.162853816337477,0.111370006086193,0.0379654703192575,0.0590047367605964,0.0728313638674156,0.855222984243153,1,0.89231676915025,0.0875937012374254,0.0280903917664252,0.0324263004292078,0.325752410867043,0.232195300120569,0.238199685501854,0.00624785025691886,0.0494233037321432,0.00754769176530603,0.853099187490405,0.990486749809777,0.79764671467551,0.113429309666726,0.0369698952987799,0.0327567787915306,0.247776484490393,0.0913635329136257,0.336906412824354,0.00970718903982172,0.00470096993835527,0.0296719021686547,0.0211180096744065,0.161899026266437,0.206821445221731,0.13193445359833,0.0348953184010156,0.0213796786514588,0.481495961354888,0.127990183293212,0.352354787975349,0.0316905586368203,0.00280823867706927,0.0441249069094366,0.0312787847660727,0.132649317694738,0.18937366872434,0.94378129190822,0.944429797056221,0.0813088374877013,0.903364874895382,0.751721532049251,0.857379677210954,0.946098347985352,0.940268016048644,0.972697281515056,0.940843633980545,0.261496363783621,0.707159508312045
8,0.779571541680398,0.750493208346408,0.745345131491246,0.394902593878075,0.317891977143312,0.395822856834799,0.968194413765918,0.94370725129912,0.976033394443473,0.927478743076031,0.910216202944345,0.907900505488738,0.675641739802044,0.457349454991707,0.465007909456771,0.114612528832418,0.0929628575876811,0.0720022172425633,0.143163885317652,0.039487565178397,0.298996394296117,0.981817917318621,0.0880593242780041,0.719469079092215,0.0267589330317103,0.295337466011947,0.248588831722098,0.0479467238594124,0.0111673910833264,0.0112016471679034,0.223969376374569,0.0902849041579494,0.141156517133948,0.753602176893723,0.0755444112646312,0.894016081822061,0.0736673955550012,0.0323514850311036,0.0363893031532378,0.0446723621572144,0.209718237515744,0.138713343706364,0.0625240012793059,0.0631960237089531,0.0831512410530308,0.838170168701625,0.999978123810559,1,0.0895909180213039,0.0255826202401644,0.0328584682161635,0.391945206790581,0.376322716170794,0.252699096595511,0.00805501218671774,0.0518579308311773,0.00720099995592472,0.949680363251858,0.982507905930055,0.797108296125654,0.116889569747838,0.0399318698317749,0.0314423475244599,0.251334556552857,0.213344515634869,0.426524131307548,0.0106343195788802,0.00590471507566151,0.0274509109845425,0.0228850924876805,0.161071145868221,0.20801438444326,0.129104957335336,0.0349801996989296,0.026161353659453,0.611201245879381,0.235147152928039,0.38087964229653,0.032626589238479,0.00306853893503215,0.0327808242858824,0.0355267017398306,0.119958740117701,0.172438176419951,0.977794078591496,0.923574758126053,0.0855155930390255,0.939495891085019,0.875824762286107,0.865650546805971,0.9243111396263,0.923008398799833,0.955972127349175,0.920419337531947,0.261343242359507,0.72015751056331
9,0.865295935307427,0.853255879389673,0.845148924811888,0.371655772074867,0.299529978180402,0.387727882931726,0.97111850313728,0.95194727902482,0.994771357535877,0.905845439681154,0.886205381830521,0.879853259079366,0.71408396570382,0.525109565538702,0.473210739965137,0.103317474980636,0.0935534732576233,0.0743578407660691,0.142397568270546,0.0270306396775496,0.302695035347985,0.968176847666657,0.116892087744722,0.722035417184215,0.0320713249881106,0.239460501884835,0.151240682246848,0.0439137740066973,0.010053728279883,0.00871666914743424,0.239965799991015,0.0902195621998517,0.15410638610772,0.691997329136767,0.108460780466418,0.856758802657166,0.0694470478369895,0.0325614116782474,0.0458388485335031,0.0439975511525517,0.213127780182105,0.154744832462548,0.0880395376553181,0.0766269975624996,0.0881293591262456,0.815879085552689,0.993065553414719,0.957049035018458,0.08644585733499,0.0212892379210799,0.0327299081040886,0.436611231631417,0.469783843304027,0.259538048679286,0.00992249873837283,0.0549680146711067,0.00618774563573816,1,0.971195928898376,0.760191405328576,0.118268722780082,0.0478191722919909,0.0284732074247236,0.242362105158815,0.0904208645876779,0.457662758792561,0.0101482474955189,0.00648777089356211,0.0263661096963378,0.0236545829698316,0.162168892027062,0.213344544287488,0.127690492956962,0.0347506290489069,0.0257838510236419,0.520448634404961,0.216737055462632,0.396752242017306,0.0258224775030243,0.00273679353064798,0.036587316608888,0.0384731209260877,0.0973419422037521,0.182256950297578,0.975670629190732,0.900588855464523,0.0835729823619924,0.979645323090395,0.901036459095196,0.88628179405525,0.899881652376188,0.889358886431314,0.935090067668823,0.891059891690007,0.262997577240161,0.70488045833484
10,0.918433549697243,0.909897213970037,0.908258093058991,0.344600356476051,0.273096247941923,0.373271267110003,0.976606974544014,0.93869994237286,0.995363810950889,0.88067989123024,0.848079392904434,0.850124341889491,0.776075547017394,0.62018225981607,0.511706091579656,0.0891272244641098,0.0899725690037627,0.0691752259974649,0.134726501781991,0.0164435852040265,0.296529850070106,0.94987122451622,0.142207501143499,0.688838163837484,0.043104723975975,0.170773144514289,0.0605782612129724,0.0372880236302806,0.00795898714896073,0.00586530889944438,0.250019926682151,0.0802916596613252,0.15946513186124,0.630619101806425,0.141848942238029,0.83132426381978,0.0593149348686297,0.0301959638320829,0.0543515766931496,0.0399384459202823,0.200277182618436,0.152093401540235,0.111627296301592,0.0621695711525315,0.0852689085868361,0.782543456356919,0.976553697740054,0.894643849620054,0.0818663518477035,0.0167772677051306,0.0316691371388993,0.435477302367444,0.38587122770619,0.28074977092196,0.00932952372102522,0.0431394492290595,0.00413798455953256,0.963094376502574,0.955966598482604,0.692275601597863,0.117429219051806,0.0352073882562393,0.0235311613058746,0.222996880662449,0.0268281214052027,0.381377515401053,0.0072276674335262,0.00490052886269682,0.0235722997440654,0.0229151026893,0.157614791838762,0.210335461629966,0.124270170413433,0.0328066878461686,0.0182022017080799,0.573997445511362,0.137712445453868,0.399438249300732,0.0177195115489282,0.00156574867776068,0.0110368082140728,0.040402080170973,0.0734441520403862,0.171534425431663,0.990453654801217,0.872739873852955,0.0804874331024446,1,0.907016821631883,0.89469580653469,0.872045903501234,0.863718570855007,0.910730248209056,0.864382917357632,0.261659739023183,0.707396474375153
