"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,1,0,0,0.018261980295313,0,0.98376635046651,0,0,0,0.929691293964285,0,1,1,1,0.0175330923843811,0.0113831118382483,0.0185829273090284,0,0.833521781807309,0,0.00918448037945633,0,0,1,1,1,0.001587601633721,0.0256679792452926,0.0155021247155219,0.102342349609725,0.0290459157803963,0,0.056193169041391,0,0,0.947750933219817,0.0125084591961598,0.853728858631582,0.341108323420087,1,0,0,0.952740095055817,0,0,0,0,0.0337654195390756,0.0324470016591917,0.0258673972277684,0.998184459505686,1,0,0.0692990704501916,0.096952433046177,0.0473767614945225,0.312730242415948,0,0,0,0.0638486438166628,0.0338438372016113,0.518156731562978,0.083221163801573,1,0.0281214424428585,0.01637042599669,0.0231050964232931,0.0027882230380046,0,0,0.0286803928047174,0.0785836282640701,0.0199118733111882,0,0.998816509065566,0,0.0262329378045496,0.159020922255876,0.0499323324490996,0.162148303685819,0,0.0459878558766248,0.810984159090149,0.993672233868678,1,0,0,0,0,0,0,0,0,0
2,0.119048171769734,0.979990210095535,0.0514562706284475,0.0317333536996985,0.032722520580727,0.0274927529109866,0.993877663774395,0.336476505827983,0.227228368233347,0.252936858471449,0.955621378475021,0.129179514636801,0.835049134632486,0.770480112147142,0.773946356071522,0.0141767872759202,0.0114784610129224,0.0205248275400423,0.099122566098114,0.851994397979936,0.0916958308237935,0.00650081920856963,0.0602387401401785,0.440087477075728,0.86737991566494,0.878351986783194,0.850934952752336,0.00269631584974752,0.0185449580861313,0.0170599384534478,0.0511466246275624,0.0158235211266246,0.0179924953455015,0.0513513113975598,0.0316044142044998,0.167942022708105,0.868186724073989,0.00756662704036187,0.768662564628308,0.127916813339846,0.947383269805093,0.101258718125518,0.0287970314039758,0.884948055929708,0.0891614058761783,0.0216401311989493,0.0172687403639285,0.107654411390314,0.0259485965423341,0.0189410646687616,0.0193907978381677,0.998994894921078,0.770636852888479,0.0943672772872165,0.0596315191900502,0.0748107012883732,0.04517303022798,0.311640462767237,0.0301674984544918,0.0674795049466006,0.00668341178075071,0.0511220157012876,0.0295505771894807,0.499161801700835,0.0271906621081097,0.905220949536193,0.0299045342263162,0.0213358022118274,0.019362337108914,0.0144749100203997,0.0957410200880829,0.107266503222973,0.0323495582664934,0.0681720464220447,0.0179125882228464,0.100145306346183,0.998973366302686,0.0991653707230166,0.0255352242345372,0.123672311209512,0.0452476406340247,0.0535367132972028,0.0255422978050225,0,0.819260716903981,0.997279454272055,0.995014425227851,0.0968495577603217,0.121363890168625,0.102347963137909,0.0916424989442896,0.103440883080765,0.0290082459698641,0.0403934022369695,0.0444681438669949,0.119977994654216
3,0.19423646114981,0.961563570379205,0.0600329327828527,0.0593588771660185,0.0471310482902703,0.0523341422447468,1,0.617234462547419,0.434353669769659,0.43443058710641,0.976695876035024,0.251653635380047,0.676792738649465,0.567033956725391,0.555466782859041,0.0119544500635076,0.0117885082341312,0.0243636202474021,0.210754049987957,0.870654361552442,0.184410896659249,0.00464385468650597,0.11999245570765,0.55989132827148,0.734235962591636,0.758733590003827,0.709332211374575,0.00381898048562655,0.0137365347066695,0.0191950731763777,0.0148173526369875,0.00946579288682004,0.0369906129046507,0.0472963979900846,0.0640489932075024,0.319710483145774,0.786257404958854,0.00537244060807574,0.690460742098141,0.373409282152382,0.927800963266186,0.202905977306635,0.0951550253637257,0.981384013742755,0.180331376292006,0.043105942941558,0.0518423909821758,0.211203802782772,0.0213294749631552,0.0284579542833047,0.0153711717362605,0.999743579107082,0.852823574624599,0.210123344922013,0.0547202236507408,0.0646769840676028,0.0458383026673777,0.312640011293204,0.0702874276259964,0.130991596571235,0.0136965627079908,0.0441359406051098,0.0281296019769259,0.518624565020862,0,0.875752379852663,0.0324796113870839,0.0258885586791248,0.0170896423784946,0.0271516653170623,0.191916013986915,0.201784013437565,0.0376531293465979,0.0629146829144005,0.0188055257870799,0.201141307433466,0.999615613565377,0.220309809317569,0.0252075075078121,0.143655030102091,0.0440838353296273,0.0274109273850478,0.0520575755617089,0.0541040281870314,0.821191727799272,0.999790841158236,0.992730695560547,0.193149756931505,0.24128540882114,0.203205187951226,0.18322778248835,0.206661222434301,0.287625825510255,0.0827380194832936,0.0905479111634667,0.233700016552948
4,0.246671883722652,0.949940232675476,0.108581303246066,0.079595925428375,0.0593228007698648,0.0731372932565658,0.999977162098696,0.688296452867205,0.607121654548271,0.551709984553797,0.991055871795646,0.36216193576626,0.53924930352038,0.394791479477929,0.356730747351849,0.0111981752863537,0.0121071811549287,0.0295392509630139,0.335837424366905,0.889423371646237,0.276487821312598,0.00403321456455203,0.179418600932632,0.604329215840197,0.598239802849859,0.641614990089158,0.575238433886821,0.00488319499391303,0.0127820659940775,0.0219285489657635,0,0.0137754769823383,0.0558441804998301,0.0448709437289955,0.0973339480565213,0.446243203920787,0.70026927798537,0.00529531412581083,0.611406299085854,0,0.935797234692017,0.302879947075506,0.19365833254424,0.916432747546007,0.271189527657864,0.063626048300224,0.106372181678712,0.301550163340051,0.0195551952199783,0.0207071617305395,0.0140839847326139,1,0.911199954378861,0.335650029972103,0.0556555388634619,0.0715101734576507,0.0490049057812812,0.315209508926398,0.126504504480085,0.185338396930635,0.0199221939068662,0.0472398981032971,0.0280584960721702,0.599772905408945,0.0462404819519823,0.913463887778467,0.0354455063720815,0.029486542110508,0.0177194418538169,0.0405868182718388,0.280443275486728,0.275982701989269,0.0445757293330579,0.0645037346463807,0.0225496939147159,0.30118245790533,1,0.367245736454786,0.0262237192039391,0.107298095641786,0.0452839789298961,0.0862070045615009,0.0791535599278099,0.251547053399458,0.88282126443082,1,0.992743110495298,0.288349963665222,0.357252494975183,0.300633830288275,0.271281089380982,0.307978656917282,0.303283377863473,0.127118231248516,0.1371614595987,0.332748297868566
5,0.325483698973605,0.946516872446494,0.229254412719978,0.0921571571079915,0.0678595542718734,0.0888720950678427,0.993885273317098,0.759952178979384,0.745665128738697,0.631137340968017,0.999054148387308,0.459625633453645,0.434282027043414,0.259756829695438,0.194453656534405,0.0115976872509257,0.0127651064164204,0.0343041064729764,0.471094958547634,0.908002524562808,0.36575055220769,0.00443313906614954,0.237276377849903,0.683905277215812,0.461628456183492,0.526820623516702,0.4504137937426,0.00554315835624157,0.0143862009547221,0.0251206701089634,0.0094664083831326,0.0266436304573294,0.0744393115415263,0.044553433479638,0.130487470136982,0.548660636975716,0.615467185651616,0.00592409709058607,0.541169112164049,0.131003451400507,0.944903765764769,0.398091666070798,0.322983893021534,0.90606430471066,0.357775939522863,0.0824718125640072,0.174073221130926,0.376620552716976,0.0217787344424165,0.0167482471525828,0.0162178242257032,0.998909705278274,0.867880613777265,0.456604505844654,0.0634379847288455,0.0863037394166354,0.0543500980226126,0.31834642872913,0.196476815591157,0.227128557180349,0.0269703509229919,0.0535801275471191,0.0289056688910725,0.732445523176188,0.189468094723256,0.945885104960204,0.038094778137197,0.0323149033176499,0.0208338247239473,0.0536066637298821,0.347928623643965,0.3307566815969,0.0525067112773269,0.0716109413132092,0.0271896117983087,0.397550745847553,0.998845970748199,0.532708030783282,0.0293294022859426,0.0643809462945512,0.0481756151240976,0.209624424204934,0.105741504622803,0.494811755043258,0.79937478188048,0.99721009715167,0.995010294848331,0.381206828146698,0.466703689939854,0.392041560829277,0.351761399130914,0.407724429871589,0.182484875956203,0.173371297202366,0.180821027632228,0.410582272735535
6,0.424211936596745,0.953525259626537,0.368040275883987,0.0976144575099391,0.0724795202043197,0.0985661174406001,0.982488141664938,0.987864995978754,0.858241370814347,0.699579398035846,1,0.54436355743952,0.365636331609775,0.181854755067293,0.091534640510146,0.0125001173501422,0.0141260461368252,0.038716095178117,0.609137137076775,0.926044498294181,0.448857386865966,0.00536825948634233,0.289852716047423,0.678377841909616,0.332987003735528,0.419713975355837,0.331967626153507,0.00576781569214692,0.0173485402234639,0.0285949350922768,0.0500825430806923,0.0452242665399944,0.092150749462049,0.0459991118170859,0.160685315110074,0.628268133054573,0.532307161386619,0.00794200043436189,0.487502153777636,1,0.933170290957083,0.483665258663683,0.46801019568427,0.893038781633963,0.434663561250311,0.0978509656046341,0.24888115966703,0.435537916692804,0.0271538631687547,0.0325020862791201,0.0194387776068158,0.995450895867007,0.953265683392127,0.570516833972382,0.0721003754418856,0.096344286708583,0.0602396200946304,0.319602660189113,0.270873512703701,0.254722147702579,0.0313137746298375,0.060294190800986,0.0313555375162453,0.887293123563754,0.391366762838955,0.966677980077466,0.0390085714913746,0.0344854944518446,0.0250648084908226,0.0641900032434195,0.387711031655056,0.365408668630333,0.0604555071290173,0.0805543519826113,0.0318279517913499,0.484032909286657,0.994887249782212,0.703516126834944,0.0332666796057211,0.122725539263443,0.0535314651304715,0.331419911409687,0.129606208101579,0.564716084631424,0.948991997647098,0.990990535445947,0.997164474594776,0.46845306723125,0.565258217973838,0.475264396756746,0.418148777837744,0.499442108303467,0.564044470728079,0.217900671517625,0.216186444810914,0.464116425651164
7,0.592802535367921,0.967346543311578,0.526848666013567,0.0968926282157557,0.0732362370510053,0.102250267458575,0.966130278475962,0.962264732054026,0.943575196874881,0.712091781499037,0.992806243225145,0.613198709458091,0.343475181121627,0.178235501845799,0.07724705214787,0.0137247381290301,0.0156643194773695,0.0418991466674073,0.740059358610526,0.94308737358065,0.523162218756886,0.00642611237725997,0.332594631533638,0.840853600403562,0.217104285953558,0.326754886439339,0.221855594848074,0.00560456987483183,0.0208783499445193,0.0316150233740392,0.114695534588215,0.066913271179077,0.106599548618685,0.0479746156679186,0.184547364168914,0.679619858503544,0.440373206560383,0.00918322705687151,0.421774889812266,0.840970834299656,0.899788315699901,0.555166221507434,0.558074678816578,1,0.495361402001324,0.107681807589425,0.325619314327359,0.469813884300365,0.0290321812111534,0.0200055554024536,0.0207443022979901,0.988318724805916,0.939171866511,0.657352073418249,0.0740533051047008,0.095327574000052,0.0628949966197956,0.315820355569583,0.32871928198161,0.26749445241243,0.028369496268431,0.05924720541462,0.0317076415906227,0.989927103675784,0.529654084564867,0.950061309396231,0.0364015502410645,0.0342575301935803,0.028381735608355,0.0704458021568104,0.395240447368044,0.38084038043594,0.064238587029208,0.0847931951846462,0.0330136996223161,0.554003495292612,0.986646034580063,0.846822948741752,0.0341553546877092,0.122052698606499,0.0568669639046237,0.376675834507965,0.147242897666504,0.474136944900069,1,0.98083596949855,0.993085428003976,0.545604388965715,0.647311896240761,0.545782258758078,0.46384583778058,0.565432257935507,0.530165645608018,0.253169124723322,0.237138722067906,0.49054653405487
8,0.673199045976094,0.972442688601094,0.647543355062955,0.0897984533632829,0.0692214533211071,0.0995951462897951,0.945106486935399,0.921372937183006,0.985018960030955,0.689848130431675,0.97711463126593,0.66647777881014,0.366360565115742,0.226289273627661,0.143297738936699,0.0138553636803863,0.0161323532678538,0.0423655102793607,0.84668848636663,0.958446950999556,0.584048515071034,0.00712769095813691,0.362270642864003,0.840257849440716,0.117186174814654,0.244892893363869,0.120187426017204,0.00524471195874738,0.0222824344946142,0.0327622069419139,0.172576389767216,0.0836437906706748,0.114668433273469,0.0490338331267466,0.200697963990462,0.70373105748126,0.338876657008562,0.00776092137204633,0.33118479439431,0.728457232790486,0.858565087411187,0.611830999911502,0.58083668300221,0.855303639814204,0.538230879639818,0.11140469574473,0.39125221308913,0.477167274268026,0.0252092594036642,0.0203644720426905,0.0183392103912428,0.976840732678768,0.811829382328267,0.669615876772057,0.0669262517261573,0.0851681347495547,0.05951864225392,0.30588732629139,0.353553269043579,0.26935256658682,0.021588690217692,0.0502402103754715,0.0294833275611304,1,0.537592058486983,0.904419594143733,0.0308042005575754,0.0304911421894505,0.0289741646751398,0.0722021065426363,0.38330044060402,0.380578542872069,0.0629908595254747,0.082239319859622,0.0314903520600508,0.604357012500051,0.973624991559861,0.945339235301673,0.0311975798284894,0.120691981482909,0.0563128082164504,0.377035874345264,0.155655897352512,0.406442277104233,0.834122104297396,0.96653177712521,0.978800248397382,0.61025969346998,0.710893347342142,0.601264731024587,0.487091166793546,0.597572768390741,0.362432320379158,0.273316191481439,0.243232798171658,0.499363264394392
9,0.745059303938612,0.961930408951737,0.742254089574743,0.0790384093409434,0.0608439883246068,0.091167587411482,0.920705257085611,1,0.98854541656305,0.666153529762479,0.95390153045792,0.705382007755166,0.431979702254307,0.310992127875674,0.254260250301935,0.0122423610980131,0.0148119418656481,0.0391294508424398,0.921461799182808,0.971766850983067,0.628639930067348,0.00706992462482156,0.3782265297052,0.709591298558555,0.0410255509621189,0.17904948516886,0.0401419168327684,0.00467699766103681,0.0209065225527061,0.0311094788227409,0.207704722735235,0.0922748921833468,0.116108457966701,0.0476219850719345,0.208927302763664,0.706543497321391,0.238425353728483,0.00349273343782187,0.241347365971818,0.750523832613505,0.836502141169853,0.654734879645915,0.564678139144576,0.758016734811606,0.564656978964595,0.109821117794632,0.42718173885479,0.46304999095486,0.018204532399103,0.0224014985381276,0.0139133198151192,0.961034943285528,0.781619507547731,0.621605330187346,0.0532007699141055,0.0700369962664943,0.050306888496301,0.289529535527235,0.350287879328808,0.264747419723654,0.0184185422229768,0.0399679110819745,0.0264783959303221,0.94417663733322,0.483984306131468,0.86310282999962,0.0239132042375435,0.0237160820868207,0.0260588442062784,0.0694479249785509,0.365772971757405,0.372926854127166,0.0593617163716353,0.0769491144166532,0.0286654480326378,0.636828689098575,0.956064479842715,0.994664012734187,0.0252082752350298,0.120240350301079,0.0522360849946981,0.345772686071195,0.15493399156023,0.439227314366888,0.864030438800407,0.948507425530336,0.951880419387478,0.659796145417008,0.757955942022551,0.64206595029632,0.491520984892534,0.595404245084709,0.271168234497094,0.277168311063143,0.237570920013302,0.503767993454024
10,0.83264556459241,0.941911544125035,0.846516258455055,0.0669895837234877,0.0497672554075552,0.0787013400531014,0.893348462216417,0.867256663969298,0.964033572247799,0.641143237040519,0.925338135529893,0.728638436224912,0.52025772509619,0.41694873938696,0.389716947485436,0.00873369731781134,0.011574087478434,0.0322056882999921,0.966821001456342,0.982928085841388,0.654498950039093,0.00607027317209482,0.380667400691456,0.640123067822543,0,0.141146941481724,0,0.0037707488249086,0.0169928355750607,0.0266666424225812,0.221383631307639,0.0934860438533405,0.110119234982826,0.0435520541367941,0.208922506375175,0.694065549857768,0.147087580158412,0,0.161786813839158,0.675131386634509,0.81490663699893,0.686048291103086,0.536176675442745,0.9244191411958,0.578267914575323,0.104277443339901,0.429105726292518,0.437463953697638,0.0110204680015612,0.00992708778374178,0.00966075282647742,0.94109734133843,0.759976945464359,0.576434213010328,0.0368379713429277,0.055867726931547,0.0375569841188191,0.266162155173116,0.330699328604501,0.254226657179866,0.0163006449511338,0.0333443776627154,0.022541419463513,0.853512257359209,0.438015078904385,0.83943213472535,0.0164717469496629,0.0159785482000253,0.0192880193756862,0.0621651101163588,0.349688431640402,0.35809188417907,0.0522730670822704,0.0710767556415145,0.0237202643035576,0.653931052642138,0.934056722216854,1,0.0175067119112831,0.0752236941358826,0.0447083974132379,0.298153414602306,0.147124646326018,0.427477947372061,0.830492893365088,0.927403474538953,0.911342130602115,0.694491626584047,0.789659686269494,0.667828547930385,0.483196761428357,0.564423751653739,0.297914606767633,0.265165202609262,0.224420880898193,0.505069128786707
