"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,28.7487835636843,28.7487835636843
"A2",NA,36.2130399998218,36.2130399998218
"A3",NA,36.2507801343719,36.2507801343719
"A4",NA,16.7806486398051,16.7806486398051
"A5",NA,16.4381262021676,16.4381262021676
"A6",NA,16.6258044857264,16.6258044857264
"A7",NA,18.3475552775871,18.3475552775871
"A8",NA,18.2342271496006,18.2342271496006
"A9",NA,18.2134963467952,18.2134963467952
"A10",NA,35.4287228967457,35.4287228967457
"A11",NA,36.4650942554452,36.4650942554452
"A12",NA,1.17718469906099,1.17718469906099
"B1",NA,36.5270171211861,36.5270171211861
"B2",NA,36.4472970865176,36.4472970865176
"B3",NA,36.3157114741317,36.3157114741317
"B4",NA,16.5899168105443,16.5899168105443
"B5",NA,16.5995264794849,16.5995264794849
"B6",NA,16.5656413414151,16.5656413414151
"B7",NA,18.1615080300989,18.1615080300989
"B8",NA,17.9119138725796,17.9119138725796
"B9",NA,17.7654783381145,17.7654783381145
"B10",NA,19.0412749906229,19.0412749906229
"B11",NA,1.92021055803173,1.92021055803173
"B12",NA,19.1581441708494,19.1581441708494
"C1",NA,36.4071675172213,36.4071675172213
"C2",NA,11.1768024484651,11.1768024484651
"C3",NA,36.3834956770253,36.3834956770253
"C4",NA,16.264338035356,16.264338035356
"C5",NA,16.5471199140875,16.5471199140875
"C6",NA,16.8825492550376,16.8825492550376
"C7",NA,16.7432307012653,16.7432307012653
"C8",NA,16.4983443965267,16.4983443965267
"C9",NA,16.7141686784341,16.7141686784341
"C10",NA,16.801840147084,16.801840147084
"C11",NA,19.1794409391779,19.1794409391779
"C12",NA,36.1277314032462,36.1277314032462
"D1",NA,14.3441809576666,14.3441809576666
"D2",NA,14.3686853243135,14.3686853243135
"D3",NA,14.2932444323044,14.2932444323044
"D4",NA,18.3954837188501,18.3954837188501
"D5",NA,18.6667318433734,18.6667318433734
"D6",NA,18.4822635988175,18.4822635988175
"D7",NA,17.6520880671574,17.6520880671574
"D8",NA,17.840457939916,17.840457939916
"D9",NA,16.9498558111685,16.9498558111685
"D10",NA,37.1646065198289,37.1646065198289
"D11",NA,19.253498399125,19.253498399125
"D12",NA,3.0066388212018,3.0066388212018
"E1",NA,17.4758108411061,17.4758108411061
"E2",NA,17.2979861749069,17.2979861749069
"E3",NA,17.3889408123892,17.3889408123892
"E4",NA,17.5658360172541,17.5658360172541
"E5",NA,18.1428471244585,18.1428471244585
"E6",NA,18.4066047400726,18.4066047400726
"E7",NA,15.6601399659972,15.6601399659972
"E8",NA,15.4077282142505,15.4077282142505
"E9",NA,15.9297434328147,15.9297434328147
"E10",NA,17.216495354626,17.216495354626
"E11",NA,20.5245810180469,20.5245810180469
"E12",NA,16.2514447970461,16.2514447970461
"F1",NA,20.4922897151284,20.4922897151284
"F2",NA,20.9291462467179,20.9291462467179
"F3",NA,20.9218944406794,20.9218944406794
"F4",NA,13.7687547398995,13.7687547398995
"F5",NA,18.2548996045768,18.2548996045768
"F6",NA,18.6583048389563,18.6583048389563
"F7",NA,15.1858306694399,15.1858306694399
"F8",NA,15.4904852574653,15.4904852574653
"F9",NA,15.644867497478,15.644867497478
"F10",NA,16.7641622719092,16.7641622719092
"F11",NA,12.9925869721301,12.9925869721301
"F12",NA,15.0367987455321,15.0367987455321
"G1",NA,24.5639667626746,24.5639667626746
"G2",NA,24.2623915956861,24.2623915956861
"G3",NA,24.4938538092679,24.4938538092679
"G4",NA,16.7990314359767,16.7990314359767
"G5",NA,16.8120541822392,16.8120541822392
"G6",NA,16.8035283543197,16.8035283543197
"G7",NA,15.6161084016723,15.6161084016723
"G8",NA,15.5030650343213,15.5030650343213
"G9",NA,15.5261046483985,15.5261046483985
"G10",NA,1.91854685894221,1.91854685894221
"G11",NA,6.66843610479839,6.66843610479839
"G12",NA,1.65925685148952,1.65925685148952
"H1",NA,37.0548183216989,37.0548183216989
"H2",NA,37.6395239826152,37.6395239826152
"H3",NA,17.3463275002765,17.3463275002765
"H4",NA,17.1744372038667,17.1744372038667
"H5",NA,17.2409349624104,17.2409349624104
"H6",NA,17.7836144075105,17.7836144075105
"H7",NA,35.3977527682971,35.3977527682971
"H8",NA,35.9959407316837,35.9959407316837
"H9",NA,12.1614696047385,12.1614696047385
"H10",NA,18.4232302673135,18.4232302673135
"H11",NA,20.5740229283031,20.5740229283031
"H12",NA,1.44838849097611,1.44838849097611
