"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,1,0,0,0.0182604935889387,0,0.983766350466516,0,0,0,0.929691293964285,0,1,1,1,0.0175330923843811,0.0113883182324307,0.0185829313589369,0,0.833521781807309,0,0.00918448037958305,0,0,1,1,1,0.00158760163372101,0.0256679792452926,0.0155021247155193,0.102342349609725,0.0290459157803963,0,0.056193169041391,0,0,0.947806547232551,0.0125084591961598,0.853728858631582,0.341108323420087,1,0,0,0.952740095055817,0,0,0,0,0.0337654195390812,0.0324470016591917,0.0258673972277684,0.998184459505686,1,0,0.0693064205704269,0.0969524330461703,0.0473767614945225,0.312730242415948,0,0,0,0.0638486438166555,0.0338438372016113,0.51815673156269,0.083221163801573,1,0.0281261551724156,0.01637042599669,0.0231193616171866,0.0027944029463798,0,0,0.0286803928047174,0.0785836282640628,0.0199118733111882,0,0.998816509065566,0,0.0262329378045496,0.159020376679674,0.0499323324490996,0.162148303685772,0,0.0459876364968707,0.810984159090149,0.993672233868637,1,0,0,0,0,0,0,0,0,0
2,0.119048171769734,0.979990210095536,0.0514561656238637,0.0317334483874656,0.0327210995360754,0.0274927529109829,0.993877663774398,0.336476520922621,0.22722836823335,0.252936858471449,0.955621378475021,0.129179514636793,0.835049134632484,0.770480112147142,0.773946356071527,0.0141767872759202,0.0114832768007258,0.020524831304747,0.0991225660981304,0.851994397979936,0.0916953930752946,0.00650081920865418,0.0602380808748052,0.440093727318756,0.86737991566494,0.878351986783194,0.850934952662627,0.00269631584974754,0.0185449580861313,0.0170599384534452,0.0511466246275624,0.0158235211266246,0.0179924953455013,0.0513513113975598,0.0316044142044998,0.167942022708105,0.868237680218083,0.00756662704036187,0.768662564628308,0.127916813339846,0.947383269805093,0.101258718125518,0.0287970314039945,0.884948055929708,0.0891362033044963,0.0216401311989493,0.0172687454295185,0.107654411390304,0.0259485965423395,0.0189410646687616,0.0193907978381677,0.998994894921078,0.770636852888479,0.0943672772872165,0.059638247924066,0.0748107012883696,0.04517303022798,0.311640462767237,0.0301674984544918,0.0674795049466006,0.0066834117807498,0.0511220157012816,0.0295505771894807,0.499161801700571,0.0271906621081097,0.905220949536183,0.0299088953809654,0.0213358022118274,0.0193753580887688,0.0144808086320178,0.0957549053010931,0.107266503222969,0.0323495582664934,0.0681720464220388,0.0179125882228464,0.100143298095883,0.998973366302686,0.0991653707230166,0.0255352242345372,0.123671822806066,0.0452476406340247,0.053536713297145,0.025542298929729,0,0.819260716903981,0.997279454272031,0.995014425227851,0.0968495577603278,0.121363890168623,0.102347963137909,0.0916454102462099,0.103440892277787,0.0290082439582941,0.0403934022369695,0.044468615148016,0.119977804530684
3,0.19423646114981,0.961563570379205,0.0600329018695164,0.0593590026971131,0.0471296930410623,0.0523341422447458,1,0.617234488759652,0.434353669769666,0.43443058710641,0.976695876035024,0.251653635380032,0.676792738649453,0.567033956725391,0.555466782859057,0.0119544500635076,0.0117929356014,0.0243636237417222,0.210754049987937,0.870654361552442,0.184410014407778,0.00464385468663174,0.119991146419177,0.559898990701755,0.734235962591636,0.758733590003827,0.709332211212791,0.00381898048562657,0.0137365347066695,0.0191950731763751,0.0148173526369875,0.00946579288682004,0.0369906129046504,0.0472963979900846,0.0640489932075024,0.319710483145774,0.786303608755288,0.00537244060807574,0.690460742098141,0.373409282152382,0.927800963266186,0.202905977306635,0.0951550253637219,0.981384013742755,0.180280174223409,0.043105942941558,0.0518423906431416,0.211203802782782,0.0213294749631595,0.0284579542833047,0.0153711717362605,0.999743579107082,0.852823574624599,0.210123344922013,0.0547263924057188,0.0646769840675964,0.0458383026673777,0.312640011293204,0.0702874276259964,0.130991596571235,0.0136965627079901,0.0441359406051039,0.0281296019769259,0.518624565020604,0,0.875752379852647,0.0324836288650029,0.0258885586791248,0.0171014639967904,0.0271572913922114,0.191943870373275,0.201784013437573,0.0376531293465979,0.0629146829143947,0.0188055257870799,0.201137268002512,0.999615613565377,0.220309809317569,0.0252075075078121,0.143654556887289,0.0440838353296273,0.0274109273850098,0.0520575667268408,0.0541039498924948,0.821191727799272,0.999790841158228,0.992730695560547,0.193149756931517,0.241285408821134,0.203205187951226,0.183233602568424,0.206661240801801,0.28762564994262,0.0827380194832936,0.0905488940677428,0.233699648913968
4,0.246671883722652,0.949940232675477,0.108581179473607,0.0795959669701369,0.0593215170154126,0.0731372932565644,0.999977162098696,0.688296475229474,0.60712165454828,0.551709984553797,0.991055871795646,0.362161935766238,0.539249303520366,0.394791479477929,0.356730747351875,0.0111981752863537,0.0121112201894813,0.0295392541973841,0.33583742436696,0.889423371646237,0.276486498787125,0.00403321456467768,0.17941664786292,0.604337152014484,0.598239802849859,0.641614990089158,0.575238433670716,0.00488319499391305,0.0127820659940775,0.0219285489657609,0,0.0137754769823383,0.0558441804998296,0.0448709437289955,0.0973339480565213,0.446243203920787,0.700310567296991,0.00529531412581083,0.611406299085854,0,0.935797234692017,0.302879947075506,0.193658332544232,0.916432747546007,0.271112449810786,0.063626048300224,0.106372163860698,0.301550163340066,0.0195551952199826,0.0207071617305395,0.0140839847326139,1,0.911199954378861,0.335650029972103,0.0556612231239698,0.0715101734576472,0.0490049057812812,0.315209508926398,0.126504504480085,0.185338396930635,0.0199221939068645,0.0472398981032911,0.0280584960721702,0.599772905408746,0.0462404819519823,0.913463887778465,0.0354491840707596,0.029486542110508,0.0177301526672527,0.0405921785209385,0.280483588204755,0.27598270198928,0.0445757293330579,0.0645037346463749,0.0225496939147159,0.30117641303158,1,0.367245736454786,0.0262237192039391,0.107297680364832,0.0452839789298961,0.0862070045614587,0.0791535345178904,0.251546470518716,0.88282126443082,1,0.992743110495298,0.28834996366524,0.357252494975175,0.300633830288275,0.271289662444953,0.30797868422623,0.303283210258765,0.127118231248516,0.137162967487833,0.332747782287089
5,0.325483698973605,0.946516872446495,0.229253894844029,0.092156995361873,0.0678583514091466,0.088872095067841,0.993885273317096,0.75995219753408,0.745665128738693,0.631137340968017,0.999054148387308,0.459625633453617,0.434282027043397,0.259756829695438,0.194453656534439,0.0115976872509257,0.0127687605721842,0.0343041094441889,0.471094958547712,0.908002524562808,0.365748808057992,0.00443313906623367,0.237273810884479,0.68391401791503,0.461628456183492,0.526820623516702,0.450413793494082,0.0055431583562416,0.0143862009547221,0.0251206701089608,0.0094664083831326,0.0266436304573294,0.0744393115415256,0.044553433479638,0.130487470136982,0.548660636975716,0.615503607856941,0.00592409709058607,0.541169112164049,0.131003451400507,0.944903765764769,0.398091666070798,0.322983893021521,0.90606430471066,0.357674680767842,0.0824718125640072,0.17407317786471,0.376620552716994,0.0217787344424198,0.0167482471525828,0.0162178242257032,0.998909705278274,0.867880613777265,0.456604505844654,0.0634432728969797,0.0863037394166317,0.0543500980226126,0.31834642872913,0.196476815591157,0.227128557180349,0.0269703509229904,0.0535801275471142,0.0289056688910725,0.732445523176034,0.189468094723256,0.945885104960213,0.0380981128990647,0.0323149033176499,0.0208435005385276,0.0536117544782165,0.347977224769657,0.330756681596905,0.0525067112773269,0.0716109413132033,0.0271896117983087,0.397542794532376,0.998845970748199,0.532708030783282,0.0293294022859426,0.0643805939331861,0.0481756151240976,0.209624424204883,0.105741468425459,0.494810531302215,0.79937478188048,0.997210097151677,0.995010294848331,0.381206828146722,0.466703689939844,0.392041560829277,0.351772391136526,0.407724465932822,0.182484818262729,0.173371297202366,0.180822986562086,0.410581651966156
6,0.424211936596745,0.953525259626537,0.368039288252761,0.0976139820656992,0.072478408303347,0.0985661174405982,0.982488141664936,0.987865021879098,0.858241370814361,0.699579398035846,1,0.544363557439502,0.365636331609759,0.181854755067293,0.0915346405101857,0.0125001173501422,0.0141293225711965,0.038716097883416,0.609137137076876,0.926044498294181,0.448855261887498,0.00536825948642665,0.289849635825005,0.678386101599874,0.332987003735528,0.419713975355837,0.331967625887653,0.00576781569214696,0.0173485402234639,0.0285949350922742,0.0500825430806923,0.0452242665399944,0.092150749462057,0.0459991118170859,0.160685315110074,0.628268133054573,0.532338782081317,0.00794200043436189,0.487502153777636,1,0.933170290957083,0.483665258663683,0.468010195684271,0.893038781633963,0.434541969713807,0.0978509656046341,0.248881086652621,0.435537916692809,0.0271538631687581,0.0325020862791201,0.0194387776068158,0.995450895867007,0.953265683392127,0.570516833972382,0.0721052788784635,0.0963442867085792,0.0602396200946304,0.319602660189113,0.270873512703701,0.254722147702579,0.031313774629835,0.0602941908009811,0.0313555375162453,0.887293123563654,0.391366762838955,0.966677980077486,0.0390115460091339,0.0344854944518446,0.0250734833746582,0.0641948029324193,0.387762433866664,0.36540866863034,0.0604555071290173,0.0805543519826067,0.0318279517913499,0.484023318008889,0.994887249782212,0.703516126834944,0.0332666796057211,0.122725172982629,0.0535314651304715,0.331419911409627,0.129606192140311,0.564714735605564,0.948991997647098,0.990990535445967,0.997164474594776,0.468453067231279,0.565258217973848,0.475264396756746,0.418161567150754,0.499442152150712,0.564044147626786,0.217900671517625,0.216188647162047,0.464115748666919
7,0.592802535367921,0.967346543311579,0.526847124998704,0.0968917430365418,0.0732352260441627,0.102250267458577,0.96613027847596,0.962264747204921,0.943575196874896,0.712091781499037,0.992806243225145,0.613198709458054,0.343475181121605,0.178235501845799,0.0772470521479041,0.0137247381290301,0.015667219995783,0.0418991490971981,0.740059358610593,0.94308737358065,0.523159771280981,0.00642611237730291,0.332591225450854,0.840863916863089,0.217104285953558,0.326754886439339,0.22185559458458,0.00560456987483186,0.0208783499445193,0.0316150233740366,0.114695534588215,0.066913271179077,0.106599548618684,0.0479746156679186,0.184547364168914,0.679619858503544,0.440399675252353,0.00918322705687151,0.421774889812266,0.840970834299656,0.899788315699901,0.555166221507434,0.558074678816556,1,0.495225901198317,0.107681807589425,0.325619210396919,0.469813884300371,0.0290321812111558,0.0200055554024536,0.0207443022979901,0.988318724805916,0.939171866511,0.657352073418249,0.0740577371850418,0.0953275740000482,0.0628949966197956,0.315820355569583,0.32871928198161,0.26749445241243,0.0283694962684273,0.059247205414615,0.0317076415906227,0.989927103675781,0.529654084564867,0.950061309396248,0.0364041294028908,0.0342575301935803,0.0283893816730743,0.0704502724957288,0.395288262082053,0.380840380435947,0.064238587029208,0.0847931951846415,0.0330136996223161,0.553992709119016,0.986646034580063,0.846822948741752,0.0341553546877092,0.122052363187284,0.0568669639046237,0.376675834507902,0.147242972891567,0.47413594786892,1,0.980835969498573,0.993085428003976,0.54560438896575,0.647311896240746,0.545782258758078,0.463859511758245,0.565432306472277,0.530165367479002,0.253169124723322,0.237140807050158,0.490545855480339
8,0.673199045976094,0.972442688601095,0.64754141985447,0.0897970594092625,0.0692205554758769,0.0995951462897932,0.945106486935395,0.921372940492982,0.98501896003097,0.689848130431675,0.97711463126593,0.666477778810114,0.366360565115726,0.226289273627661,0.14329773893673,0.0138553636803863,0.0161348669741949,0.042365512412427,0.846688486366715,0.958446950999556,0.584045834022947,0.00712769095818,0.362267159893891,0.840267759387018,0.117186174814654,0.244892893363869,0.120187425776031,0.00524471195874741,0.0222824344946142,0.0327622069419139,0.172576389767216,0.0836437906706748,0.114668433273468,0.0490338331267466,0.200697963990462,0.70373105748126,0.338897591700943,0.00776092137204633,0.33118479439431,0.728457232790486,0.858565087411187,0.611830999911502,0.580836683002187,0.855303639814204,0.538088543214986,0.11140469574473,0.391252084961805,0.477167274268049,0.0252092594036666,0.0203644720426905,0.0183392103912428,0.976840732678768,0.811829382328267,0.669615876772057,0.0669300952202045,0.085168134749551,0.05951864225392,0.30588732629139,0.353553269043579,0.26935256658682,0.0215886902176882,0.0502402103754666,0.0294833275611304,1,0.537592058486983,0.904419594143748,0.0308063545420027,0.0304911421894505,0.0289806987948018,0.0722062077192406,0.383340811371068,0.380578542872077,0.0629908595254747,0.0822393198596174,0.0314903520600508,0.604345560205424,0.973624991559861,0.945339235301673,0.0311975798284894,0.120691677447237,0.0563128082164504,0.377035874345201,0.155656168841231,0.406441564009099,0.834122104297396,0.966531777125235,0.978800248397382,0.610259693469987,0.710893347342125,0.601264731024587,0.487104735097865,0.597572817542988,0.362432187227067,0.273316191481439,0.243234393854036,0.499362619726973
9,0.745059303938612,0.961930408951739,0.742251868700162,0.0790364496366942,0.0608432148574065,0.0911675874114835,0.920705257085606,1,0.988545416563065,0.666153529762479,0.95390153045792,0.705382007755123,0.431979702254294,0.310992127875674,0.254260250301961,0.0122423610980131,0.0148140505517442,0.0391294526498646,0.921461799182906,0.971766850983067,0.628637123434093,0.00706992462490623,0.378223231287052,0.709598837202494,0.0410255509621189,0.17904948516886,0.0401419166650224,0.00467699766103684,0.0209065225527061,0.0311094788227384,0.207704722735235,0.0922748921833468,0.1161084579667,0.0476219850719345,0.208927302763664,0.706543497321391,0.238440796175716,0.00349273343782187,0.241347365971818,0.750523832613505,0.836502141169853,0.654734879645915,0.564678139144573,0.758016734811606,0.564514331051162,0.109821117794632,0.427181604502477,0.463049990954882,0.0182045323991043,0.0224014985381276,0.0139133198151192,0.961034943285528,0.781619507547731,0.621605330187346,0.0532039396307091,0.0700369962664908,0.050306888496301,0.289529535527235,0.350287879328808,0.264747419723654,0.0184185422229719,0.0399679110819708,0.0264783959303221,0.944176637333232,0.483984306131468,0.863102829999634,0.0239149201435032,0.0237160820868207,0.0260641593575192,0.0694516170833769,0.365804791828463,0.372926854127173,0.0593617163716353,0.07694911441665,0.0286654480326378,0.636817052684912,0.956064479842715,0.994664012734187,0.0252082752350298,0.120240076959153,0.0522360849946981,0.345772686071152,0.154934563378528,0.439226586380115,0.864030438800407,0.94850742553037,0.951880419387478,0.659796145417018,0.757955942022533,0.64206595029632,0.4915336175779,0.595404290723037,0.271168189190628,0.277168311063143,0.237571732120382,0.503767391585515
10,0.83264556459241,0.941911544125037,0.846513712020776,0.0669870382385958,0.0497666132581784,0.0787013400531031,0.893348462216414,0.867256645572259,0.964033572247814,0.641143237040519,0.925338135529893,0.728638436224883,0.520257725096185,0.41694873938696,0.389716947485454,0.00873369731781134,0.0115757716227905,0.0322056897529761,0.966821001456502,0.982928085841388,0.654496141961157,0.00607027317213768,0.380664544356211,0.640129159597551,0,0.141146941481724,0,0.00377074882490862,0.0169928355750607,0.0266666424225786,0.221383631307639,0.0934860438533405,0.110119234982825,0.0435520541367941,0.208922506375175,0.694065549857768,0.147097894418563,0,0.161786813839158,0.675131386634509,0.81490663699893,0.686048291103086,0.536176675442744,0.9244191411958,0.578130039763136,0.104277443339901,0.429105606290084,0.437463953697643,0.0110204680015624,0.00992708778374178,0.00966075282647742,0.94109734133843,0.759976945464359,0.576434213010328,0.0368404332321504,0.0558677269315465,0.0375569841188191,0.266162155173116,0.330699328604501,0.254226657179866,0.0163006449511288,0.0333443776627117,0.022541419463513,0.85351225735919,0.438015078904385,0.839432134725366,0.0164730192876021,0.0159785482000253,0.0192919979249451,0.0621683530793605,0.349711986826803,0.358091884179077,0.0522730670822704,0.0710767556415112,0.0237202643035576,0.653919646386677,0.934056722216854,1,0.0175067119112831,0.0752234853026019,0.0447083974132379,0.298153414602249,0.147125599214826,0.427477336939425,0.830492893365088,0.927403474538993,0.911342130602115,0.694491626584059,0.789659686269476,0.667828547930385,0.483207895918471,0.564423790310395,0.297914561139476,0.265165202609262,0.224420721986091,0.505068575971993
