"sample","Cq_raw","Cq_CPP","Cq_inder"
"A1",NA,36.9695744937934,36.9695744937934
"A2",NA,36.6886394709127,36.6886394709127
"A3",NA,36.6023665338948,36.6023665338948
"A4",NA,17.9612670488621,17.9612670488621
"A5",NA,17.5582524508898,17.5582524508898
"A6",NA,17.5927383718538,17.5927383718538
"A7",NA,18.8771761004309,18.8771761004309
"A8",NA,19.263839911774,19.263839911774
"A9",NA,6.57350025314711,6.57350025314711
"A10",NA,14.2410064916151,14.2410064916151
"A11",NA,6.2848890617699,6.2848890617699
"A12",NA,9.47812279308527,9.47812279308527
"B1",NA,36.561459597406,36.561459597406
"B2",NA,36.451741641988,36.451741641988
"B3",NA,36.6160313178138,36.6160313178138
"B4",NA,17.5895086393085,17.5895086393085
"B5",NA,17.754894715329,17.754894715329
"B6",NA,17.5993519067537,17.5993519067537
"B7",NA,18.4759028446628,18.4759028446628
"B8",NA,18.6381908351002,18.6381908351002
"B9",NA,18.5391784529099,18.5391784529099
"B10",NA,17.9021927550214,17.9021927550214
"B11",NA,18.190810126311,18.190810126311
"B12",NA,6.82386397864315,6.82386397864315
"C1",NA,12.3952816367117,12.3952816367117
"C2",NA,36.0266452529381,36.0266452529381
"C3",NA,36.1039315928105,36.1039315928105
"C4",NA,17.4283209489156,17.4283209489156
"C5",NA,17.7050324021675,17.7050324021675
"C6",NA,17.7431274660846,17.7431274660846
"C7",NA,17.6311145830018,17.6311145830018
"C8",NA,17.3233419506905,17.3233419506905
"C9",NA,17.7030983396628,17.7030983396628
"C10",NA,18.2611816448453,18.2611816448453
"C11",NA,18.1746731127505,18.1746731127505
"C12",NA,12.3798106081999,12.3798106081999
"D1",NA,15.5667853802699,15.5667853802699
"D2",NA,14.0580194414454,14.0580194414454
"D3",NA,15.3817612974115,15.3817612974115
"D4",NA,18.9553352423832,18.9553352423832
"D5",NA,19.1308087901749,19.1308087901749
"D6",NA,19.1148825799645,19.1148825799645
"D7",NA,18.7854468833422,18.7854468833422
"D8",NA,18.8573945245619,18.8573945245619
"D9",NA,18.6473012834662,18.6473012834662
"D10",NA,18.245670813983,18.245670813983
"D11",NA,18.3625110582689,18.3625110582689
"D12",NA,18.2283060768495,18.2283060768495
"E1",NA,18.6347068448882,18.6347068448882
"E2",NA,18.6124999323529,18.6124999323529
"E3",NA,18.5908519440588,18.5908519440588
"E4",NA,19.1250969984159,19.1250969984159
"E5",NA,19.4417667406803,19.4417667406803
"E6",NA,19.6211953723808,19.6211953723808
"E7",NA,17.1557305329063,17.1557305329063
"E8",NA,17.2902566855455,17.2902566855455
"E9",NA,17.2057753862053,17.2057753862053
"E10",NA,17.7281000486299,17.7281000486299
"E11",NA,17.8980390350326,17.8980390350326
"E12",NA,18.1829854911625,18.1829854911625
"F1",NA,21.6206071973366,21.6206071973366
"F2",NA,21.7865531665195,21.7865531665195
"F3",NA,21.7953704640326,21.7953704640326
"F4",NA,18.0151271999581,18.0151271999581
"F5",NA,19.1208175498713,19.1208175498713
"F6",NA,19.0013906721474,19.0013906721474
"F7",NA,16.9419645442388,16.9419645442388
"F8",NA,16.952525788332,16.952525788332
"F9",NA,17.1018213950414,17.1018213950414
"F10",NA,18.1244616507884,18.1244616507884
"F11",NA,18.0907528848691,18.0907528848691
"F12",NA,18.1587853161871,18.1587853161871
"G1",NA,24.84897530272,24.84897530272
"G2",NA,24.9177429546081,24.9177429546081
"G3",NA,25.1847822271661,25.1847822271661
"G4",NA,17.7633542362134,17.7633542362134
"G5",NA,17.6286183347252,17.6286183347252
"G6",NA,18.0413632012147,18.0413632012147
"G7",NA,17.0095523074847,17.0095523074847
"G8",NA,17.0093318181396,17.0093318181396
"G9",NA,16.8326500066555,16.8326500066555
"G10",NA,18.6174231477141,18.6174231477141
"G11",NA,18.2817662909567,18.2817662909567
"G12",NA,18.6582733983407,18.6582733983407
"H1",NA,15.5874363705657,15.5874363705657
"H2",NA,19.5373340747229,19.5373340747229
"H3",NA,32.9893891596634,32.9893891596634
"H4",NA,18.2690981785634,18.2690981785634
"H5",NA,18.3322023096148,18.3322023096148
"H6",NA,18.0564882746152,18.0564882746152
"H7",NA,17.5640718819144,17.5640718819144
"H8",NA,17.8230632337403,17.8230632337403
"H9",NA,18.0095485833869,18.0095485833869
"H10",NA,18.193144714037,18.193144714037
"H11",NA,18.707320172991,18.707320172991
"H12",NA,9.24397732016834,9.24397732016834
