"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0.30463435214018,0.573925561800602,0,0,0,0,0,0,0.949118960275527,0.929035141591484,0,0,1,1,1,0.0215287311967229,0.0550786589294123,0.00391571590813426,0.214879750892507,0.102736525767193,0,0.0314169341220725,0,0,0.961353744032924,1,1,0.0300626237641583,0.0639471004829915,0.0194115857343111,0.157897339114691,0.184984190227868,0,0,0,0,0,0,0,0.00125737752264267,1,0.401693743504033,0,0.00096892742210093,0,0,0,0,0,0.00859993228498748,0.0121793948240259,0.296353337061732,0.393973429982024,1,0.0399909077114778,0.0232368327303015,0.0350402675572534,0.00117706995045463,0,0,0,0.0220995514798513,0,1,0,0.141468841790958,0.0513032008150437,0.0320404919400325,0.0173734996324566,0,0.0901319788016821,0,0,0,0,0,0,0,0.0245768590527894,0.00811442561929684,5.38594129270739e-05,0,0,0.755953289501054,0,0.883264294361986,0.879248070917123,0,0.952715966972772,0.938125334494333,0,0.956997864662743,0,0,0,0
2,0.504154426302038,0.647663509952037,0.0936100875860761,0.115998268934676,0.200004519177529,0.199862510462116,0.459911434175681,0.55228017732647,0.992285120353864,0.992752512166738,0.490457475150473,0.562183225778667,0.957877021055688,0.872090285791626,0.886258796662608,0.0196669085462472,0.00345175213665124,0,0,0.136903406187548,0.253545049748592,0.0245157088150677,0.253227239159754,0.420263461125687,1,0.882836150127033,0.881258367819467,0.0237936198966272,0.0392781138397345,0.0247917601440107,0.0770364562213758,0.162459094400422,0.0433530008157745,0.0767736091005752,0.0925781383296866,0.644641018903402,0.0172687105083537,0.00228197519215548,0.00521798206522615,0.000987392860842052,0.956584816675378,0.345915863783443,0.0656453812740434,0.000313799626988535,0.265308722758236,0.0995908028990959,0.149275887611657,0.622072130844081,0.0136762360084867,0.012192962380072,0.00788440125315591,0.251322372139774,0.130512927509972,0.977831433948248,0.0338000193756936,0.0289410879604624,0.023294785058057,0.00188617139092162,0.215339990998783,0.548565999926318,0.0296832237230094,0.0178744243476245,0.00460872544800209,0.896930007570216,0.0104890603167798,0.142062158691156,0.0574698003308479,0.0385241922991529,0.0107406837407298,0.140079364090344,0.36494889510383,0.446865162495359,0.0346877310083797,0.00593956025991785,0.00710312706170491,0.149313595492642,0.28333995694197,0.113090404353578,0.0350362841735512,0.0254411572809817,0.0133145882548221,0.227368678559204,0.100236025695031,0.975372491798282,0.499883720358182,0.970114458480339,0.958360584560506,0.332733586865787,0.983346114376007,0.976729949675118,0.401276179759702,0.984787260164423,0.422488192467122,0.301352269892749,0.494686961758413,0.479616543278311
3,0.595274318434508,0.650457204479917,0.129423277271651,0.188036701458302,0.244424900051162,0.304447833306274,0.691597381134407,0.704714163922645,0.990698113374655,1,0.661687054137889,0.779143286682647,0.883334245530729,0.761233894707531,0.77770113406842,0.0187467108756679,0.0306803039326391,0.0899815532266928,0.167773660686396,0.202461708414472,0.521786204079321,0.0181144483719019,0.484078516250162,0.638830788470068,0.880477022438151,0.76740641193334,0.780957588791511,0.0167416621792413,0.0282535816146479,0.0301674749778175,0.0423168032044905,0.140526546207119,0.080812811344473,0.143299052517027,0.185520759840825,0.848864994708742,0.0300392682268339,0.00497205253677058,0.0109532951100451,0.00091162229653593,0.953929816214452,0.291809870528872,0.13878867477582,0,0.465820388334797,0.19461805616374,0.293959298895515,0.793995307090982,0.0237826944706286,0.0139706503482844,0.00672699432114845,0.212352023534953,0.0242668399071197,0.969122189778958,0.0287969572694734,0.0349885248698799,0.0183661602464227,0.00229981258385302,0.407841884668225,0.677107421657581,0.0482235617408058,0.0169863533581774,0.00603245962408523,0.855004105221755,0.0221819448766684,0.142856296474646,0.0627959301592051,0.044190392285389,0.00709239899939563,0.264304900558681,0.462794320261543,0.597065250314588,0.0612957663745308,0.0153823200716387,0.0149926428833326,0.300985863903403,0.532499021835185,0.225869797381789,0.0460402581526293,0.0433571709906658,0.0258530445974579,0.428359456349136,0.200797361286998,1,0.691408538220458,1,1,0.615686526082547,1,1,0.677694246085946,1,0.708780177281709,0.447963197857518,0.756561364845213,0.664863211535142
4,0.589956371049929,0.652464918863522,0.116620618813547,0.217899619724156,0.271570644561658,0.347741027516869,0.760352052874953,0.842992489077707,1,0.995570647912284,0.767418854678194,0.882942810953103,0.787110132127093,0.663922556484858,0.67819659308738,0.0181264138750809,0.0361757201710493,0.110610793141456,0.432089758611777,0.272421355998426,0.750391423128155,0.0124455424892336,0.671236773117799,0.730119948987558,0.740915596035025,0.650999261266941,0.688980234743628,0.0149833123647872,0.0270824956155957,0.0343916012446554,0.0444982466438133,0.119420448932865,0.108064354719292,0.191835925582335,0.276459026513085,0.920880003871565,0.0375008284556643,0.00888062365168645,0.0143688334009914,0.000960228371771332,0.957723904367559,0.240197805540302,0.210367375828124,2.70326588208349e-05,0.575924978362352,0.27485135319199,0.42000875347171,0.865636308017192,0.0294593055462444,0.0146853812918711,0.00729402951157644,0.182886955089502,0.0729366587844771,0.974252835101871,0.0247085255685857,0.0408170185043846,0.021033983952186,0.00231027238171112,0.544495188629474,0.76836618822004,0.0564615264149514,0.0178132640887448,0.00377447447085416,0.858910670035122,0.0352508789136237,0.143152818439242,0.0657171923620624,0.0470892373395697,0.00743796918095542,0.36294187350134,0.211198474040744,0.682338630840385,0.0761293862846337,0.0232401248691362,0.0217098450643728,0.440074673499315,0.713238348385962,0.331159738448004,0.0551165124221124,0.0576438017423634,0.0351452058341859,0.56928881575168,0.296167842334852,0.958074822409369,0.751242667720064,0.98773477253049,0.98489986990864,0.798081107184601,0.999088196310504,0.996505250406441,0.811908732153384,0.999063703688358,0.850438949782358,0.51967669621635,0.864471679985691,0.782637948205313
5,0.649429549186808,0.708473582825324,0.248974921164729,0.232089588404819,0.284795162452774,0.368678553287902,0.89767832799931,0.931831785930981,0.989316508016906,0.994200824064846,0.874030607210355,0.946966422313338,0.691541733596188,0.569664763390342,0.593703497547005,0.016846285626221,0.0221986707820414,0.088405481947664,0.48685973441651,0.311236429795629,0.883174977745424,0.00756235009971822,0.803560924752094,0.780016173194334,0.602990345112299,0.533522362421107,0.597997847745795,0.0206348151809522,0.0318512787407196,0.0375329683159023,0.0579538993050908,0.0993036737330595,0.124417689800565,0.220452970518076,0.361777518274146,0.944123488900906,0.0407731586124926,0.0109542185195884,0.0149268214455771,0.000972742325995625,0.955364493008504,0.191773095991368,0.265311497888657,0.000304952556911318,0.607750871390638,0.330072364514456,0.520451009778588,1,0.0317663524929832,0.0153191978874971,0.00848370084306726,0.160410311729648,0.194427069595998,0.97615078521259,0.0211874131816638,0.0445422408876775,0.0264007630744354,0.00188274253248339,0.613903917739548,0.809480287663014,0.0601347102601813,0.0201102644138644,0.00062935390014247,0.895628266567855,0.0489419541803685,0.141967346968183,0.0652862433194497,0.0458064470582626,0.00960919988572389,0.434238810171619,0.025918452830482,0.74319471591465,0.0822993251917618,0.0276114669569439,0.0274058349111711,0.550565235089523,0.824717275662317,0.421811895203181,0.0604748148286248,0.0664461835457197,0.0400975887721027,0.64889265976335,0.37724653558516,0.98885605357021,0.764705891355293,0.973889985784351,0.963367797769145,0.912755412323386,0.983650016235218,0.977894054443727,0.880578964296723,0.985099316244573,0.921618170533434,0.604184852101226,0.929287857115891,0.782986180886398
6,0.733050554535268,0.784362113435731,0.390412231987195,0.230749015277068,0.288506813765276,0.382657209168672,0.939226778698773,0.969030051688341,0.963984144543668,0.968139899867296,0.920608796417985,0.930753259193116,0.61094486862084,0.488986333671946,0.526216064044057,0.0143775071777222,0.016596182457553,0.0962293601772787,0.434510187931766,0.297105741220465,0.9127985977422,0.00359206014990574,0.876247826656076,0.83622063795085,0.462815519948711,0.41022403725581,0.502756292496708,0.0282448774062796,0.0270135137201048,0.0384493073706686,0.0707922533526697,0.0800855848815996,0.127235515220964,0.225045777524373,0.437718632183106,1,0.0395240068241784,0.0100589582538289,0.0142513769067204,0.00084209662818506,0.934657776702142,0.147399151706114,0.293136451941315,0.000871027689097163,0.568187197758674,0.360791122489052,0.593991216153627,0.942008303791396,0.0310405693883996,0.01550401714839,0.00858512324446674,0.152167255790276,0.186786248916672,0.949500553908642,0.0176978243698415,0.0446998647462179,0.026985876612239,0.00113794461115428,0.625283234535437,0.741839803645854,0.0616104169658452,0.0227728428524096,0.0013290722196572,0.944569145506268,0.0619247924435823,0.138298801233598,0.0605081595169127,0.0412421328418286,0.0111538061520154,0.480762210156496,0,0.732920199240721,0.0831429354330524,0.030163609413576,0.0306617817819838,0.624983533957552,0.889536808239759,0.493205178057027,0.0613372035606396,0.0687122783148708,0.0403502715249321,0.679076898569968,0.436343077432072,0.942292092682429,0.854956607776798,0.949572112236004,0.942577357343767,0.981883395924926,0.961610417790824,0.958460652497594,0.91662880394941,0.960861194755177,0.952191439904595,0.836797060645773,0.965831426822429,0.818767797570514
7,0.811796853349303,0.857828565545413,0.563102315033659,0.225985695056881,0.284026480018388,0.382531765941561,0.971397231303416,0.9583792747208,0.937212316667387,0.941898977004641,0.908571529473117,0.965082849692582,0.560190867680223,0.438657065992138,0.484884938044842,0.0110971891309267,0.0231346717453249,0.0568556817915939,0.33199614441629,0.221399733971236,0.861056008653359,0.000882352740956734,0.899826869974917,0.834779480909525,0.329126311038375,0.283436516822768,0.403778967502835,0.0290681546896168,0.0157030427742705,0.0362127471701142,0.0763693506048729,0.0618386671078725,0.115672203429667,0.206919359798014,0.502315219535656,0.99008477294202,0.0372649175824654,0.006358966481395,0.0141456269003224,0.000577181486179691,0.902765824553474,0.108300964056275,0.294965411783361,0.00200667239907844,0.493560167298146,0.370235034102597,0.640661746829717,0.922075029488617,0.0288446928326802,0.0150847283589754,0.00847518574111223,0.162339473236415,0.123542847032472,0.893850806531611,0.0144339180812712,0.0413246604431364,0.0222430169286713,0.000405437844026823,0.594022644151439,0.712346516669699,0.061510374574327,0.0255753535846891,0.00301560577647072,0.966672857421642,0.072846973776702,0.131579028402905,0.0519787086277079,0.0338056360040589,0.0114066497875532,0.507536812893867,0.021507383585079,0.744243523894558,0.0830790509435309,0.0307948688642409,0.0300170134564506,0.668635663104301,0.927812887392555,0.544472819734387,0.0577359276753831,0.0635949767990914,0.0373656755653839,0.690273273037231,0.473027991248309,0.936040397739994,0.864436907375725,0.922547992740733,0.918807442343573,1,0.937801952229929,0.940271316287554,0.930422281296807,0.932947323384652,0.972593556700949,0.911567859580657,0.996068880270733,0.825399328878999
8,0.876047037410921,0.897958359081889,0.710914256859546,0.220293648406625,0.265362454368243,0.354590162334937,0.965645948436387,0.940053042515255,0.906683692706814,0.908472715906046,0.944803801141706,0.950989215869854,0.55735075897846,0.432496803894096,0.478694515392445,0.00770792509110737,0.0103037853536718,0.0451266589510876,0.301535205734044,0.116956116114234,0.778884072178012,0,0.898828702104256,0.83904890495446,0.189887514139009,0.164257613044769,0.314148045411715,0.0226279055689722,0.00563991067874102,0.0305769113541729,0.0709600563767665,0.044995593565417,0.0940032380966061,0.175130623341616,0.555483129668575,0.963139953981677,0.0355071418428262,0.00280861089123752,0.0143341875361082,0.000317484714704696,0.869885251018613,0.0748241699088348,0.274817543579403,0.00403027905264534,0.408680007176451,0.359171907275434,0.663189419247056,0.920532943155785,0.0273463344794429,0.0126849467729241,0.00794653746896446,0.172694501738277,0.0949150026035941,0.811926448897606,0.0112296706106541,0.0352710212644882,0.0155047363041201,0,0.538575529633839,0.767331650019636,0.0597939088210898,0.0247303457345891,0.00381160190381896,0.957417078697938,0.0803673192523937,0.121899741210902,0.0410637507401504,0.0244278017793589,0.0101254056940531,0.518238664480249,0.0271175284248766,0.708711809586775,0.0818117662595422,0.028651496256949,0.0252830343632853,0.689019683404024,0.9494391043658,0.578344162980392,0.0499799014501542,0.0519262522543066,0.0309301986988466,0.686414347606178,0.493119701096411,0.86300786619679,0.88039883744291,0.890369846713892,0.884703354227796,0.9781395533017,0.91051919399576,0.917122748363226,0.940244729766519,0.904131323943365,0.974638137746279,0.897669423550511,1,0.836635607495776
9,0.912621743570247,0.942987611978581,0.787535782221363,0.214255084711523,0.253083685355965,0.332515407815256,0.968451657509751,0.974425356219212,0.877337792904792,0.874613415605159,0.943402092703306,0.970902838434108,0.592262421021026,0.464746472620535,0.50673894078606,0.0045551304968169,0.00196140291331971,0.0780154910788052,0.284573170780001,0.0281176729760892,0.711873609335705,0.00132336559193741,0.904799817851168,0.805691393767822,0.0552591350780042,0.0644152440354569,0.242386749413998,0.0137088053999732,0.00195616378611144,0.0225203829258322,0.0592768129361548,0.0301729398417602,0.0681469681011008,0.140864168280656,0.596973898491689,0.950539707587898,0.0339328570157427,0.00514169118359788,0.0147376871496045,0.000113589040012754,0.844847706394928,0.0471696005469598,0.239675911139416,0.00719802614251368,0.34433471824598,0.332080135318585,0.666285301488588,0.885751830958792,0.0271572551973404,0.00857508855662059,0.00634855848424685,0.164690562346367,0.0772388453874573,0.711161896936652,0.00809069261585695,0.0274796443699875,0.00972661424253764,0.000150183834406941,0.471037218877032,0.761922029186884,0.060263385239028,0.0210606635585639,0.00545294456209822,0.927343154254891,0.0841628961511844,0.109839803692136,0.029527691769776,0.0156032617756862,0.00776878135167091,0.516071784514606,0.0295428248195811,0.714952052499748,0.0829202147235068,0.0279359578040746,0.0233175169158695,0.694696253581089,0.968398180419873,0.598486979986416,0.0395400116100333,0.0391514830407075,0.0229579403555028,0.680049842401659,0.504054364864026,0.85291913552399,0.868690782359354,0.855865012277096,0.850905851460881,0.964469941970412,0.883874522939583,0.892997806405698,0.967202529327011,0.878414041988917,0.986579732768366,0.878804785294159,0.971988868058691,0.823655250010743
10,0.944940250074933,0.977174783538821,0.870341043871195,0.203288106963505,0.250306591862898,0.317839922508506,0.943710897505194,0.972789935897367,0.852810632614862,0.84471803547747,0.933322294339293,0.957420629619698,0.677379172437065,0.526285590071306,0.56031712522127,0.00216011778136346,0.00820207064259465,0.0696389139601339,0.351639413037312,0,0.68497755457907,0.00528794793595704,0.921316267160965,0.78148652300153,0,0.00693399534651071,0.194675034421156,0.00949659454992374,0.00285600241001641,0.0144806372482214,0.0420314182621816,0.0179136404119041,0.0442149924101974,0.11069707607198,0.627896878983668,0.919544500983014,0.0333840854761122,0.00735656811772921,0.0156216643660096,0,0.822317934637644,0.0258203392257362,0.196168754809494,0.011787548392287,0.2895922883262,0.298393537763496,0.656483095025459,0.881079424821419,0.0269785818956739,0.00507343104946828,0.00424553115855528,0.132054178981569,0.070075166615716,0.600508861453353,0.00485236494967327,0.0186105484401539,0.00567109182326627,0.00107186934609529,0.401573612507197,0.688922234797244,0.059534737728004,0.0155073598442285,0.00514480889758634,0.893076900471652,0.0842700284925864,0.096376673728637,0.0181757623888256,0.00795909651087698,0.00475469102264357,0.503669434045823,0.0289102079380274,0.734053460224704,0.0840484286898632,0.0276918937302612,0.0245846501245548,0.691310285510516,0.983405742717591,0.605917549237597,0.0275703013112304,0.0278667132061776,0.0150315289650744,0.670167513845589,0.507993291114826,0.825270518963993,0.927050532577122,0.829565171520376,0.823466325078864,0.960004452933288,0.858604888628018,0.865077736422778,0.990998847635577,0.852168398813656,0.994684781300316,0.884569636647777,0.942982094543459,0.814981627739242
