"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0.102005229447775,0.105123736828126,0.0210415485247276,0,0.0167078809887833,0,0,0,0,0,0,0,0.0677262912435524,0.0357063981187025,0.0795954903370235,0,0,0,0,0,0,0,0,0,0.0419848741703061,0.032959955057677,0.0720263877536706,0.0146522078644677,0.0209696700237463,0.0093732557099481,0,0,0,0,0,0,0,0.0187548237906763,0.0217241383409741,0,0,0,0,0,0,0,0,0,0.016194080951012,0,0.022454840630013,0.0100120337251783,0,0,0,0,0,0,0,0,0,0.0944415418916511,0.0269818395642744,0,0,0,0,0,0,0,0,0.314772451022042,0.13703375602468,0.0452471256659837,0.0876783340258061,0.0525703965324472,0,0,0.0395773199738355,0,0,0,0.951187809527511,0,0.0931368642546324,0.05944336038056,0.0413906357975824,0,0.0438796922895102,0,0.132850055221644,0,0
2,0.0164577593837939,0.0230257133666333,0.0192492885576033,0.114304985588532,0.124073277965195,0.0442709227024633,0.0538889784999285,0.0486030332491555,0.0592617276461935,0.29711702936486,0.428583081800297,0.241324330076426,0.0311613575686595,0.00958077287004318,0.0128933416295519,0.0673939556546902,0.0358808642890629,0.0804923187648903,0.111003428874408,0.275859324568493,0.161642609875327,0.095973637761862,0.108377034947399,0.392768818681622,0.0189257457627332,0.0138065567159889,0.0183334842587732,0.0471780296981698,0.0380292966394947,0.0743608959069946,0.0626764937657818,0.0678199400985545,0.0584522391452923,0.365972188434555,0.310838750519811,0.307384485997129,0.0289199989662539,0.0254363131538542,0.0229956217703151,0.0120789652521975,0.0351268249009407,0.0305365785736597,0.268463833771954,0.165750878086705,0.289130391773399,0.275569099116494,0.409502012002491,0.540462312462269,0.0417030176717685,0.0485240225019906,0.0593209565257427,0.0302717374588094,0.0298874780413472,0.0585248969691788,0.0484135548147923,0.0331461453469175,0.0800240489421732,0.198305054244185,0.315647979960473,0.30828373887995,0.0496506680134994,0.0220045860984955,0.0306208126416209,0.00698948072564814,0.103937835283063,0.041568339051385,0.0789481837322337,0.111158489225282,0.0594067703859698,0.163037167489961,0.196224790102788,0.385331704943085,0.460396592783255,0.242171063516026,0.44434280860421,0.192911452806646,0.142206172179281,0.1031560328127,0.0912990441146544,0.0412197362807064,0.114970955922891,0.251560688395151,0.215212940105298,0.301967473396123,0.396409998019437,0.980864847147089,0.22326374138861,0.112285711304537,0.0859870957597632,0.0639941721029415,0.203869949383182,0.19066986052473,0.21423498333736,0.25698203821409,0.344959474138647,0.317975527202818
3,0.0300632112515332,0.0358228160117848,0.0314644392524794,0.123037757374214,0.137086483353157,0.0634127089288916,0.100201760544451,0.0731214492806203,0.108878974363624,0.498173161587232,0.602068523622417,0.429035174116191,0.0412171828352924,0.0161089957178346,0.022175578262799,0.0661960279099092,0.0358261479134255,0.0799402867982436,0.214821339498234,0.502104152794658,0.320433816450525,0.165582895610374,0.193359376790758,0.599118844893672,0.035013062369747,0.0251353725912287,0.0323901247388174,0.0511839594319489,0.0413205380884036,0.0760735261809836,0.101605216629737,0.109918898309797,0.0992359721712041,0.650245857083962,0.600473430435718,0.546981029082152,0.0488066661043259,0.039846864209961,0.042848866835919,0.0219847120304202,0.0454486647449831,0.0389862935286488,0.49629375560254,0.320194558976784,0.5570970460429,0.424583143511838,0.73223863652355,0.861686838057171,0.0764682799131918,0.0784423359132963,0.116489137075561,0.0935336482787668,0.055239704896525,0.0869107169539512,0.0829179423857783,0.0631345496086561,0.152313478943117,0.384816196731858,0.57616881139629,0.555008461950995,0.0942072397169213,0.060076496760726,0.0563981244857357,0.0127868807429011,0.110242815761123,0.0515577283435031,0.149129678356265,0.201382943756891,0.117027233464551,0.316093373944262,0.382481066160346,0.668278381167034,0.719897616244642,0.443061955832004,0.574196506201258,0.232088173943619,0.221760976417994,0.115479019649306,0.124646886193663,0.0777259081174924,0.226530113374804,0.427068514626523,0.383692728261017,0.56280818840919,0.676240954083967,1,0.427190006545259,0.125896519716981,0.102206369511039,0.078235110753195,0.366092773348556,0.308928695281856,0.398770200430011,0.358683345056683,0.61300461556968,0.606902543937854
4,0.0377299857771583,0.0403628293030067,0.0364248742744402,0.125448861338413,0.140081421335717,0.074418708800329,0.130490553439732,0.0886406125477305,0.142785554138095,0.595452384649719,0.636856918791371,0.556892982632063,0.0371412042228641,0.0188536803655008,0.0272124504398291,0.0624871331430761,0.0343262756405003,0.0771559793314834,0.304111570761978,0.60923451617997,0.459618687411224,0.200584488733284,0.246925536327608,0.662496467467612,0.0437054346176512,0.0282634505181439,0.0417384292856421,0.052113448528894,0.0420370598402228,0.0738584693638296,0.128102145775931,0.143561631748958,0.12527591373238,0.83240198893706,0.805298365438742,0.707814924459176,0.0482471645300299,0.0452343510676817,0.0580406368538658,0.0264188087133588,0.0602904443447446,0.0456381330888427,0.643397436062294,0.449584805731821,0.753253538564676,0.487374734480882,0.930673222852489,0.959377572026492,0.102367944150104,0.101692217822191,0.163517962405736,0.131408331317845,0.0744134638855229,0.101053424182883,0.110212459778315,0.0890304538439174,0.205590419560154,0.53924542301373,0.741050152827933,0.725862749880223,0.130094440295063,0.091378023391329,0.0797129013535393,0.0168838260963516,0.111165405146214,0.0556885401929553,0.194982437857809,0.264517466190313,0.165460472622727,0.445465597750768,0.549069916072334,0.824036075045503,0.842219343539387,0.575777033733236,0.6997265101926,0.24806287851251,0.266127597453805,0.122156677409635,0.150169358420599,0.104750684841624,0.327860394190952,0.534377919186085,0.491214537672196,0.738736911200723,0.821727695242958,0.997298953173684,0.60003153679787,0.13502309451198,0.104560862562077,0.0829910943236178,0.464020550235021,0.378583365643777,0.46267966681864,0.418621454074782,0.776533840276176,0.822505208083602
5,0.0400137498879002,0.0394230781103168,0.0382469731877056,0.120295165921249,0.134771212176918,0.0736945784471247,0.140574787098762,0.0963977382872951,0.156885501555783,0.620459950632774,0.654870517332712,0.627308263224256,0.0394418031457979,0.0205838646733924,0.0284008787758592,0.0560922260320029,0.0310157430903785,0.0713654880498211,0.375434096272693,0.640925423936731,0.560904104992927,0.205013253384694,0.276269430662505,0.602567951935802,0.0461014722461808,0.0264047219463771,0.0442938998425124,0.0490199189003966,0.0394065476876497,0.0665041760190068,0.140316110915355,0.162546314665019,0.136693595435144,0.891195256792249,0.909028261413814,0.772944495602086,0.0532839988365621,0.046419627754641,0.067416503043801,0.0261708131483859,0.0639942449540191,0.0492352638306976,0.723510115628267,0.54423751615717,0.858179775838043,0.795167886235085,1,0.982430515635429,0.116508403578395,0.119257347854867,0.189767752002325,0.137218808481214,0.0872066233552916,0.102486376095572,0.127944443675932,0.110432092121552,0.237626694335586,0.650866042340629,0.807324377228925,0.811766467831667,0.155739911658501,0.0980947125311958,0.104414626226195,0.0188332888604401,0.107479766082089,0.0550346165141329,0.206285107743185,0.292412675554643,0.199789995779884,0.540701474822348,0.679442766964996,0.887883929249727,0.915703887148888,0.677394875901492,0.812557454553283,0.243488186139531,0.271756088639265,0.122551757253109,0.167930263803943,0.120617916768464,0.405058387521768,0.554816946272254,0.543834887608512,0.821484872826414,0.866134367206887,0.981764648317186,0.739615178094555,0.139902943311488,0.0956046676160447,0.0799796960426891,0.508299962884646,0.405626387238156,0.428659311068926,0.435154009706088,0.835476724421296,0.946500682327141
6,0.0398351964496501,0.0373954498825356,0.0385818701200657,0.108470748981685,0.12231806474272,0.0649882277338638,0.134087063726195,0.0958415365881987,0.157384347619602,0.607788903942154,0.708634112663601,0.649826388841011,0.0398805069756468,0.0199581907118654,0.0280154618617007,0.0489369818397638,0.0261258852543615,0.0623586561964418,0.428018464721319,0.638607392534147,0.6159257995533,0.189160269514946,0.289944254904699,0.55499326757509,0.0454678224628174,0.0275346601667497,0.0432329795900137,0.0434049712121358,0.0340216909785082,0.0559705416372332,0.139991821803726,0.165597154780551,0.134110606828433,0.897076867597426,0.964218693310178,0.766643251540231,0.069841681533031,0.0474772238290175,0.0711527157339936,0.0229567122157415,0.0531288105908295,0.0491722758288813,0.773275700036725,0.602983947725072,0.90970632856069,1,0.967606575113549,0.95628081793826,0.120800216771542,0.125889926722028,0.201531585262477,0.150162267720949,0.0933953682495759,0.0956891765112108,0.135282801809339,0.126450413512178,0.252189268647454,0.724191689711698,0.79799720119756,0.816709217734654,0.175410302175636,0.101043547996938,0.12973547818544,0.0186602323868637,0.100576263640371,0.050168547213101,0.193322160298805,0.29070418061448,0.217616572645232,0.596237945304702,0.768576179254493,0.893949871262093,0.926681293067331,0.791611612129086,0.904730697929577,0.22055180345503,0.244532204285535,0.115891214018454,0.179375280290154,0.126638835970789,0.452523825208615,0.516536566026603,0.541638516150852,0.832444890268654,0.875298390377623,0.96627512541511,0.847488860718284,0.136711139136014,0.0848399323634907,0.0709297417267689,0.528568090236689,0.39486446945657,0.397642536856195,0.421573394878905,0.793714135066429,1
7,0.0393263477984488,0.0369864014388875,0.0357016077659002,0.0903050914831683,0.10410276149333,0.0538530929154857,0.118783026093435,0.0861419489406356,0.150690665379435,0.572958004632282,0.621249299751755,0.642023846555808,0.0342865820888828,0.0180096969566338,0.0274334280342943,0.0414118468968958,0.0198056830805255,0.0507936583707877,0.461363460611916,0.616011679334849,0.629708310830692,0.160675962513842,0.289574215969543,0.581946442664604,0.0453825645689074,0.0324410261886931,0.0418546595474907,0.0367784780583714,0.0273478029088359,0.0447259800468023,0.131861841915664,0.154478038732913,0.116114766325873,0.892960172378507,0.999374916563615,0.719684026258079,0.074109876937428,0.0555128478744358,0.0717305121050616,0.0182641814482778,0.0527300375033581,0.0457252754302944,0.814286475630377,0.633812050220954,0.92518854544809,0.821176413166953,0.886823405014907,0.902064661879702,0.121569224185507,0.103596732840066,0.21193132896156,0.151120841901762,0.0919985175683092,0.0863698721213929,0.133157224223692,0.135790809539586,0.25494876624045,0.763925446117253,0.733926956042962,0.775676664375533,0.188044552415884,0.103377419397531,0.149991507398627,0.0170328223668369,0.0902027580273256,0.0429244410941322,0.17264949632593,0.275620310634053,0.217840343953951,0.605889843159096,0.813952231768144,0.869180762109517,0.896179995749385,0.914042707019141,0.966850948127501,0.183284182139504,0.20269054540921,0.101848399889982,0.181093182772987,0.122688843831183,0.47376281798257,0.446933462764151,0.498482807504532,0.805326953306623,0.904110850623266,0.938775545069452,0.920817161661452,0.122787781126491,0.077188235580508,0.0601696657316732,0.538416085015489,0.366805171477804,0.39665387129139,0.382537463272799,0.6710618902417,0.996396289806487
8,0.038952989964538,0.0376388014843489,0.029691367201976,0.0687363657045005,0.0818457926899038,0.0436169956160434,0.0994630603828708,0.0710598656356624,0.139078710605646,0.563976134578357,0.640547542354862,0.632254992940868,0.0333429444188666,0.0176082084701912,0.0261682357070272,0.0327069913683572,0.0130087091603076,0.0379180037250445,0.480217599353932,0.60407553508251,0.613061091971542,0.127402868050403,0.274061350779678,0.662925824264906,0.0454850892227145,0.0350479440200018,0.0415594123772062,0.0291120712228953,0.0201055148643508,0.033246024307482,0.116984855093754,0.13455779280974,0.0879862916781711,0.914549803734929,1,0.672085592844085,0.0652640387282052,0.0687041817118065,0.0738272558573516,0.0141957849838349,0.0527700843569923,0.0399473888773406,0.809194175228621,0.645148955849349,0.920523819271367,0.748108729047524,0.817151355130358,0.83062535852514,0.123211289341803,0.120923227168173,0.218024837447717,0.100232343754023,0.0830104131895905,0.0788026211563218,0.123386247796586,0.136383516023072,0.247683861741866,0.770099768684803,0.657292759629674,0.734058415216395,0.190477297354545,0.112429305936208,0.163655747141987,0.0143147596465469,0.0758516900981452,0.0340250012261023,0.152798347835537,0.261243530088584,0.202750857616704,0.575541057490855,0.821672723073712,0.840234245118783,0.927295976451598,0.990385358068144,0.995986023064824,0.142760539608662,0.156457489410672,0.0810473166905211,0.171605734485645,0.109308449343425,0.473969381855743,0.369999876587874,0.426809769410839,0.758203220283047,0.918321582516941,0.900235789355846,0.964783744025208,0.10086314886744,0.0697642111378078,0.0475482617631308,0.545146197537602,0.323259508806114,0.367441511612137,0.323769551583439,0.515317705196323,0.943932298763059
9,0.038541267989666,0.038456685960212,0.0219652900722705,0.0474066555355096,0.0574683224243108,0.0355277744111727,0.0776348944414533,0.0536560218000041,0.12642341222019,0.549374009650375,0.589513680021863,0.624884347411554,0.0383943392365873,0.0174929532505046,0.0241194906172678,0.0222147410020196,0.00671684110363904,0.025480693969614,0.484290424148553,0.604399864758618,0.583174896420737,0.0973773476924951,0.250710902668229,0.592046523014236,0.0440034343257656,0.0324565135284546,0.0417362775928526,0.020266072218221,0.0131533292336959,0.0223372278750263,0.0942541273886018,0.109235992979009,0.0556907434168512,0.950098221791928,0.940104762445979,0.639648712928067,0.0571394773222458,0.072542112881341,0.0766043370132855,0.0111270513249019,0.0483728064212733,0.0321120150565364,0.752271838310628,0.646049426779681,0.914839685230184,0.778946782664055,0.752993244078437,0.707561498054526,0.124686070444132,0.1231538659263,0.217127608781143,0.0611957363393746,0.0681859745708571,0.0701133635101128,0.106367023517569,0.128093241819066,0.232060594746016,0.73834775450132,0.591589263002683,0.709561376755408,0.187986034977207,0.12335363962383,0.172317757647153,0.0105127225796611,0.0582801508486499,0.0242706488220908,0.132966674345979,0.255030106691795,0.177966102425017,0.514186941338216,0.800585988145628,0.815230460104328,0.94478186988002,1,1,0.102027313141628,0.114507053314695,0.0570430958782312,0.152209611910728,0.0896860925739299,0.456988161092638,0.290176632754474,0.337359781337822,0.701059319134197,0.951642035024166,0.872045966453758,0.988035929181086,0.074334673308794,0.0560369501026756,0.0326078844212827,0.554178499851966,0.266709808698199,0.325944612057643,0.256009555435486,0.374827787017664,0.858385716867112
10,0.0365866322731145,0.0394349623744817,0.0149171964563393,0.0286570588702095,0.0349576603814484,0.0257238369412609,0.0583658473831706,0.0360272164546647,0.11051162128067,0.537487847505032,0.589562955690435,0.627310436509016,0.0286971447688639,0.0162293120901697,0.0227428236659558,0.0118251990421908,0.00208660455606243,0.0140121291743307,0.474251481101873,0.610980326086463,0.553704744910406,0.0792281011528842,0.223181692924643,0.479466935502852,0.0415823804911837,0.0297821519267529,0.0426273540480403,0.0115679174515337,0.00719131276227197,0.0125251623517623,0.0658934294416589,0.0798280393753528,0.0262186451312961,0.975610609758457,0.856428149435854,0.606698558480933,0.0577820027797964,0.0702428774480836,0.0766921797628255,0.00831590304134484,0.0329007050480726,0.0225308589982609,0.709863166879096,0.641168386144602,0.913125358924811,0.552169450140578,0.69900161073608,0.55990950998147,0.125372281954131,0.133189544788667,0.217888169111729,0.048399528679043,0.0520246415344077,0.0565803432236636,0.0833031024777965,0.113263778912327,0.211706234351229,0.680435948522534,0.524081677755162,0.686521207378229,0.184392615830269,0.122139895372238,0.175247858507985,0.00646029179811409,0.0391850008100837,0.0142912905823414,0.114954880687884,0.255391610778955,0.15106952681155,0.434116616100133,0.752516105622836,0.774200208356607,0.935544268279648,0.950674200418583,0.989987166219731,0.0612275196888673,0.0746499687572694,0.0346935813551439,0.124246677131503,0.0675134902409906,0.428757832863001,0.20841764010069,0.241752654044436,0.662976739077794,0.995635697920489,0.864949148138447,1,0.0487402232871027,0.0370580378368044,0.0190422221367362,0.557518467594421,0.219387216539396,0.3019866718073,0.185937193982995,0.283618471750806,0.767217420308868
