"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0,0.00132008492016314,0.00613961490679977,0.57856396494143,0.522955534569136,0.136606001797058,0,0,0,0,0.00536324553397644,0.00368666328781408,0.0271996972590183,0.00447955019447206,0.0187035912395677,0.00176114560971607,0,0.840653850724437,0.0019757506443565,0.276451034953534,0,0,0.00961565995512655,0,0.0205885417998407,0,0,0.839006874745653,0.6772877905091,0.830148010186143,0,0.997536386911919,0.996817717665161,0,0.00533536929432276,0,0.0149666230122813,0.00344285498732654,0,0.991611709026576,0.0994372898335506,0.822556041467888,0.0259163582198211,0,0.250884161305845,0,0,0.0210215765208861,0.0289178716666269,0.847365761075829,0.0166341487450283,0.0505851202218202,0.0221165657861028,0,0,6.89413207468734e-05,0.00914412065572973,0,0.0545791638113003,0,1,0.957001224982424,0.0038532725443488,0,0.0247245560986015,0.491084966078458,0,0.0137937917028156,0,0,0.120345709902584,0.984374297610223,0.547354295835468,0.578848275590224,0.478679962718321,0.270254156756051,0.38442385683342,0,0.133735517654132,0.00432618866119647,0,0,0,0,0.780566945269004,0,0.920216658613716,0,0.0162490875125767,0,0.0653198410605262,0,0.976810669435019
2,0.0119753756616672,0.0168048148414326,0.00695959702967756,0.00339115394446232,0.0162554320562938,0.0147039533825256,0.581271824437735,0.537210267265145,0.144500079835408,0.0857060475378432,0.0959263773780152,0.282076913683483,0.00579444493849555,0.004755714797615,0.00110425491855058,0.0163226745728874,0.00214811920620054,0.0128298693514676,0.000599691669667854,0.0153303955009265,0.768526121579709,0.0198369836177937,0.24583291792352,0.139306120439245,0.0115236760358477,0.00133915803662473,0.0061696419282397,0.0122333681463849,0.00601831288380673,0.00451071040993748,0.759614305194334,0.635313556801145,0.751743565039311,0.12984112181105,0.999888011013536,0.998553568962165,0.0115164224915462,0.00614511233364629,0.00662331878086886,0.0176472845501068,0.0121450346395608,0.0157135423467629,0.894728668705388,0.104574849508024,0.777939012092968,0.0215100117737238,0.00354314409196587,0.274930085779554,0.0176246957997135,0.00254397815132075,0,0.0206741593597777,0.793632219551489,0.0177448058896439,0.0466759524325535,0.0367790639900118,0.0721375583804363,0.0119770883904165,0.000357174318533796,0.0102233647860414,0.0281163534153894,0.0516149488540375,0.0215748065278679,0.923784818261546,0.87758365254197,0.0120270832078545,0.0323021743062185,0.0322484836952703,0.486593778467434,0.080447647909254,0.00891465670167638,0.074865365442969,0.0553554181637494,0.161844457459527,0.987077800156778,0.500541196609656,0.52189469086552,0.433652874585676,0.234547752307874,0.343267970268776,0.00479753709040261,0.115397506541644,0.00438149324043515,0.247243514650111,0.0522501905124154,0.0981142035028802,0.0718937974775547,0.732772831147689,0.00793026258629556,0.851754093989306,0.0717240458492396,0.0285793961149055,0.166720400732917,0.0622120412498771,0.655515480556173,0.989856634261279
3,0.018782647017736,0.0229605211903216,0.0115931265653219,0.00726062347206927,0.0241863306210135,0.0165926059288672,0.569866838547984,0.544327326899825,0.148919427956697,0.168946089973262,0.189052876115511,0.488862738155668,0.00882811055409578,0.00456202881538787,0,0.00662843934973585,0.000698956412676145,0.00781145309319891,0.000395475573578747,0.0266092567331937,0.69272190931747,0.0359266094102846,0.215127786547044,0.261123226940148,0.0188164034480865,0,0.00962684178719572,0.00509476466564861,0.00982776171476608,0.00614055530324782,0.678822219587831,0.593735014252204,0.67050700968728,0.251433836977277,0.995829882829423,0.999827153294971,0.0173703701199983,0.00427501424160982,0.015756162019959,0.0210567622326472,0.0196341717414262,0.0259135881744048,0.797823035451444,0.115617895596556,0.715137542601277,0.0173169654757984,0.00546767390602863,0.560319220793116,0.0267055940162547,0.011193631747304,0.0042863969819516,0.0170514198585516,0.738459555302235,0.0179608848408883,0.0423593783851824,0.0515451827077981,0.141012087272832,0.0238396083457112,0.00049550409863362,0.010945271868181,0.0618920597876683,0.0483313221254729,0.0452192110841953,0.84512050193936,0.803704616284215,0.0190215514943912,0.066983340220362,0.039632753888608,0.482592894891328,0.190518920855991,0.00467816423804612,0.142388010056689,0.088732169534412,0.203730762860551,0.989771420018544,0.450712901247594,0.464469757052908,0.388186394640376,0.199531777946928,0.302008429401382,0.00920977568430585,0.0973410782497413,0.00446610481156899,0.489087279691639,0.0956425467878916,0.193174677310366,0.141757507013111,0.681071922435157,0.0141864610030157,0.778064853069805,0.140909481791137,0.0391496991455538,0.0906392927153542,0.058298834219221,0.772652772422649,0.99879880805941
4,0.0212126249962795,0.0202270101093176,0.0157906892244722,0.0113241287659797,0.0224402339073164,0.0154526919981463,0.538028435845981,0.530418804492354,0.145854738305662,0.24558291830314,0.273656173125822,0.601160693040849,0.0115285762323741,0.00483250625922221,0.00120579949435402,0.000806907340226949,0,0.00439829862318283,0.000353472940996865,0.0298189374295478,0.61715107840608,0.0480004398462926,0.184421138561628,0.355818822170119,0.021742734768519,0.00737087405666497,0.0116836448606792,0.00155407160908336,0.0118631600746611,0.00651801505739857,0.59706451032882,0.554349945946855,0.590460027355736,0.35710537728375,0.995492160468949,1,0.0171237208296896,0.00354330268070178,0.018492604071419,0.025167430337031,0.0245162557997855,0.0280136413200748,0.69901100875372,0.120851443345478,0.637990317811303,0.0133947614611395,0.00534451688245552,0.609792002696171,0.0299189642557067,0.0267736834398067,0.0294847684760817,0.017970583946714,0.674034535720783,0.01750238423627,0.0373738459330884,0.0658260757246144,0.203822859483979,0.0351083382656182,0.000490593026276881,0.0109777046666566,0.0535504570888398,0.0489788616184809,0.0708008209205048,0.755479667085871,0.731634522290308,0.0219711404989063,0.101647634593841,0.0460795352732779,0.482369636765303,0.328287040581174,0.00154185919457202,0.198091261801685,0.10146089148436,0.245566858267923,0.992200555402009,0.397638532082813,0.405418950175233,0.342425844867672,0.166196671771505,0.260622900175598,0.0127895406009333,0.0801372988516776,0.00442002507533637,0.663934922382429,0.126743366885499,0.267165666024754,0.208217196352526,0.629011281820519,0.0186579076734346,0.693096760419864,0.202581838165873,0.0465824827776661,0.0451473773432196,0.053187727590377,0.637147572288381,1
5,0.0207588825417053,0.0170418683247137,0.0170216670232176,0.0138955800666263,0.0141132661594318,0.0148960953347476,0.485933740217817,0.473273973863191,0.132794451916973,0.31301605618405,0.344012180385444,0.627318396200373,0.0134803257316601,0.00711039729449056,0.00315741429328116,0,0.000435859826151436,0.000717721037659473,0.000839585447323856,0.0267927123248529,0.540765120870012,0.0564739251722392,0.154302963030127,0.419598380395832,0.02036980807652,0.0083009256052506,0.0126651986147022,0.000151932201997497,0.014198767291531,0.00982059122444655,0.515828693466282,0.504330032651253,0.517714773033734,0.444004895615269,1,0.998495952443101,0.0156501877196534,0.0117011920424641,0.0156326137137477,0.0290229011674255,0.0272628392434974,0.0257121846733064,0.597766768063583,0.106063558993401,0.556025943500356,0.00965920725418595,0.00358348005450291,0.740812542186791,0.0304941974645486,0.0350302031512654,0.0421831707786575,0.0221264741484775,0.597918094723754,0.0180670629000393,0.0315877545522708,0.0783148260483228,0.256704621584949,0.0451129021758321,0.000358811963678551,0.010213104965237,0.0572961957298154,0.0546579723469205,0.0990497667016674,0.656685527434003,0.659457764341486,0.022524278883374,0.137614598092443,0.0504818058591237,0.487563221360088,0.479166432953576,0,0.23790844480974,0.104577411894514,0.284149056451377,0.994038945788517,0.344535953229004,0.344816277003174,0.297238272513331,0.135246364920875,0.219256418416986,0.0152257871716908,0.0642422009821588,0.0040949720426977,0.734600621530359,0.144788407180124,0.305906173135043,0.270624008768136,0.57588520060746,0.0209242306002952,0.598621459853934,0.253502967633929,0.0502656659192367,0.0223281052540454,0.0469844673235912,0.698148679921882,0.989456454244468
6,0.0207486881579498,0.0183274438807759,0.0155576601127389,0.0133767812080097,0.0123756359985041,0.0155970216402499,0.417207632911883,0.385546040397832,0.112608642464287,0.370508400408541,0.396148230778508,0.603092034215781,0.0136875740073101,0.00873098602263854,0.00406197978248191,0.00291841082780094,0.00167364105992547,0,0.00109403823386996,0.0211632649839568,0.463719284164355,0.0625363263649515,0.125422496577306,0.449413458016937,0.0179507336212418,0.00602228449394047,0.012689439335702,0.000127841285626543,0.0139479015138576,0.00882766951486068,0.433917742651055,0.43848411703465,0.451654973159302,0.514368183318999,0.999666641831296,0.994764211133964,0.0152196944479218,0.0126465061453336,0.0146064699790693,0.0303010418400729,0.0289442222507316,0.0249069515252092,0.495998579586699,0.0771179348098738,0.467676989958366,0.00614336289272323,0.00243311501945753,0.866214321570957,0.031023638727718,0.0399523205926568,0.0311850010764942,0.0258573432759496,0.511754512213536,0.0198690489434448,0.0252792693944261,0.0877889793760918,0.295716782752034,0.0533907116750298,0.000153405803434698,0.00856598220661238,0.0733395324637268,0.0541653411901966,0.128767008826129,0.556964256990236,0.583807440507309,0.0236107042991924,0.156894807564273,0.0510901202832372,0.492931074695938,0.574917596463397,0.000119096391756434,0.260054117396416,0.104964211242807,0.313718802165198,0.995162369485407,0.296084651912467,0.284285086448935,0.25280507521268,0.106984781676886,0.17834159177243,0.0164256243070234,0.0496641741699801,0.0034353932584746,0.741976259639282,0.152971456121291,0.317014351560443,0.327997882259226,0.516389865785303,0.0197935444211827,0.5053265947455,0.293172891083483,0.0505756237372509,0.138284883370111,0.0402532608770444,0.908275468479614,0.96825894466431
7,0.0217703067897405,0.0188081245342733,0.0147412658886622,0.0109087842171327,0.016409213418469,0.0170217927682191,0.34320206163605,0.299971119200141,0.0897743366169105,0.419914658763754,0.428854035691968,0.568360610001812,0.0119734623014715,0.00845135665860829,0.00255701982351296,0.00435104656101239,0.00190566378151826,0.00458278098687597,0.00103405618524028,0.0180318802366135,0.391495705118404,0.0667170532053789,0.0979668589837914,0.452033293259077,0.0170160305051621,0.00769374686999095,0.0104524283433755,0.00374678171124799,0.0112924569862202,0.00354690733854781,0.352958699410711,0.355265379928821,0.373958792637036,0.571029319629407,0.992678518260818,0.988349605286772,0.0160863347217231,0.0155990242563156,0.0173360266318419,0.027917530018766,0.0270183826660824,0.0253951794494213,0.396511280453646,0.0537950223094372,0.379189221046539,0.00308640472579882,0.00439086573889782,0.653493119364968,0.0322609060115531,0.0460848458695631,0.018052047129325,0.0251502812178355,0.420043206479117,0.0170787076042732,0.0189224538466,0.0919135298598586,0.322349921841398,0.0595278955593854,0,0.00618738066474819,0.043227742756881,0.0476172857921394,0.156451175089909,0.458080560604225,0.496728914259787,0.024014640450616,0.1545920889924,0.0475191038001971,0.491403673531404,0.593744161057314,0.00155289768157161,0.267427990660551,0.0993318388897778,0.329901931002743,0.995674781406503,0.253500801354956,0.224767312245543,0.207703083851817,0.0814316078350903,0.138731071961716,0.0162434722246474,0.036614916191192,0.00254516972979122,0.717484389141962,0.157040122799524,0.312182295258142,0.378805950937787,0.442265826115384,0.0165834418887495,0.415970254280213,0.32247363411625,0.0473980628407507,0.162337785404743,0.0337217812944038,0.529673253070506,0.939646810130937
8,0.0211958020842232,0.0175069251287638,0.0147373827960722,0.00714242847915978,0.0215147460157148,0.0156592970217671,0.271507348386221,0.228766255123364,0.0665167946626914,0.462001632903442,0.44629256414956,0.534593473504851,0.00909007714754061,0.00767199597883902,0.000522324192114172,0.00313645244598435,0.00119569670322328,0.00934736079881324,0.000651311466155516,0.0207812447617176,0.31879866726305,0.0693365337205176,0.0723310281144046,0.431805620523687,0.0175103034164569,0.0092570652887953,0.00882238621406206,0.00726016311250689,0.008859516690252,0.00180566561571447,0.272382202218229,0.262933631067119,0.280854740909779,0.612249762120917,0.972801907698749,0.978998178421278,0.0168125171873194,0.0190385068699329,0.0169729200648611,0.0217616461863194,0.0197461520297689,0.0254231647689385,0.299343635326494,0.0536109410726834,0.294425233141432,0.000923027656836431,0.0120694297630927,0.523569506257165,0.0305939355194573,0.0492208828399434,0.0168700686007531,0.0210755111641667,0.331656945841079,0.00933145448116715,0.013109335360829,0.0894812217996902,0.338503534543495,0.0632099216767203,0.000120252338871661,0.00353499216592799,0.0736066172926646,0.0464608806451184,0.179676969258523,0.3637177290894,0.400279276718448,0.0187939739313803,0.150413364882298,0.040821719058955,0.476104184025869,0.531539484930735,0.00439501963117793,0.262909376347161,0.0937036210149451,0.332301113515696,0.996001113379193,0.210100191070249,0.167067381290222,0.161632130157222,0.058849592723185,0.101607783566808,0.0146596970901886,0.0252951305471386,0.00160201174079196,0.699339020396168,0.156904400024127,0.30098439780658,0.422173992948803,0.353024758903631,0.0133902859896595,0.325338525536584,0.342801951134081,0.0407156823180378,0.0837097614478501,0.0276205152658962,0.738877764048641,0.906943457989085
9,0.0183363737282648,0.0190508210773332,0.0148352259250719,0.00381942073186105,0.020681745383944,0.0110031314513912,0.202217837938243,0.172433450238523,0.0440009465159102,0.495900490204454,0.447801017315276,0.51450794048196,0.00521589528876528,0.0071531210181711,3.59166534514143e-05,0.00321846124480743,0.000778963857071182,0.0115104480373275,0,0.0259592709619786,0.240127744691315,0.0696755553767875,0.04921454282989,0.392802004055697,0.0180625821602371,0.00499335702058936,0.00952880148193198,0.00756918807901631,0.00729584294355483,0.0085170931339398,0.191491049489943,0.174509726856323,0.180656847045927,0.63169913235628,0.926915473399381,0.966633535385604,0.0156909156035601,0.0168097977977233,0.0177014282360794,0.0127435114369343,0.00913664981856627,0.0277308856995999,0.204784479129757,0.0527281752969169,0.219697791906054,0,0.0273509493253847,0.730269897259581,0.0302391670844209,0.048874809625555,0.024036865527516,0.0130764434073782,0.246619568210984,0.00258987508691589,0.00813174724504516,0.0803052141147939,0.343157992822655,0.06463530425317,0.000906968496255187,0.00124369020212481,0.0892020182518688,0.0516492295273168,0.197523377737557,0.27286457486953,0.298930865373744,0.0095582710720582,0.151292320775724,0.0327677236189339,0.446300603276274,0.390433227641232,0.00919118056119367,0.245839565267089,0.0904666583567578,0.323326851201943,0.996496465746476,0.163449225074177,0.11365788978408,0.115115998693726,0.0394185553034994,0.0687317546459607,0.0118434086368039,0.0157230966885152,0.000719231680996663,0.699709379140766,0.154347409249289,0.289004354907256,0.457576711385031,0.25686425657193,0.0110245781395504,0.234060838627536,0.354653732927558,0.0314284550821566,0.104531781992529,0.0219966733014358,0.696786148252723,0.872575125540022
10,0.0172689677179995,0.0227621451510801,0.0148873275517524,0.00256482446349134,0.00999317185067937,0.00408160897832912,0.133542012490226,0.131375562801385,0.0247580717118843,0.52052860648091,0.43112568269257,0.50851334623894,0.00267125403765269,0.0039104957515408,0.000530440113353976,0.00361461959361347,0.00289500232829766,0.0096694625428894,0.00127726616396152,0.0313080463531268,0.162972538152235,0.0663093408651869,0.0294606635368214,0.345554930677026,0.0180179517900102,0.00258615200066419,0.00937672935406182,0.00329395041555395,0.0103908260048617,0.0196961805535137,0.114945992699693,0.10293018314372,0.0944875311594132,0.629555030181306,0.873441219768096,0.951319497576652,0.0165708825553038,0.0153914278083469,0.0190210731496018,0.00446517944157752,0.00112131862558053,0.0320043722317676,0.120417077318717,0.0299203227056226,0.160324084893146,0.000736283533767038,0.0507742841580913,0.65158623594807,0.0393713737107973,0.0493300887216665,0.029236484552682,0.00463679186469555,0.164891113041906,0,0.00405336972378629,0.0657994568116232,0.336905503283248,0.0641672534438615,0.00270862408171866,0,0.0688295127865206,0.0567779759190714,0.211477344591874,0.18759195699237,0.197077357135087,0.00221636383590996,0.154336811316161,0.023719003183818,0.408369496302021,0.236507470319939,0.0169629776809616,0.218507413588193,0.092657730113034,0.307335771230577,0.997429788526385,0.11141353300811,0.0687284654971231,0.071719791894974,0.0234594280619891,0.0414609601863753,0.00842489822325816,0.00797688922587853,3.24926770960848e-05,0.69542331572859,0.149015240172341,0.275935677772143,0.485376841461774,0.162341785891289,0.010310854564601,0.148624494696836,0.356787334012375,0.0211930506193526,0.191844636918277,0.0167865995747855,0.45822201541293,0.838041092678645
