"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0.102005229447768,0.10512373682813,0.0210583325621036,0,0.0167078834336961,0,0,0,0,0,0,0,0.0677262912435524,0.0357063981187027,0.0795954903370235,0,0,0,0,0,0,0,0,0,0.0419848741703061,0.032959955057677,0.0720263877536682,0.0146521850660141,0.0209696700237606,0.0093732557099481,0,0,0,0,0,0,0,0.0188052314226445,0.0216687419912911,0,0,0,0,0,0,0,0,0,0.016194080951012,0,0.022454840630013,0.0100142060265304,0,0,0,0,0,0,0,0,0,0.0944415418916511,0.0269818395642744,0,0,0,0,0,0,0,0,0.314772451022042,0.137033192570915,0.0452471256659837,0.0876721625294238,0.0525706153227265,0,0,0.0395773199738355,0,0,0,0.951187809527514,0,0.0931219422152376,0.05944336038056,0.0413906357975824,0,0.0438796922894109,0,0.132850055221644,0,0
2,0.0164578319814342,0.0230257133666333,0.0192492885576033,0.114304985588527,0.124073277965199,0.0442872088766748,0.0538898628337657,0.0486030356629981,0.0592574747581835,0.29711702936486,0.428583174183953,0.241324330076426,0.0311613575686595,0.00958077287004334,0.0128933416295519,0.0673939556546902,0.035880864289063,0.0804923187648903,0.111003428874408,0.275859324568493,0.161642609875315,0.095973637761862,0.108377034947396,0.392769790286341,0.0189257457627324,0.013806556715988,0.0183334842587732,0.0471780296981698,0.0380292966394947,0.0743608959069941,0.0626764704217044,0.0678199400985628,0.0584522391452923,0.365972188434555,0.310838750519811,0.307384485997129,0.028919998966254,0.025436313153853,0.0229956217703151,0.0120789652521975,0.035175086082951,0.0304843303470796,0.268456485750061,0.165750878086705,0.28914064330451,0.275569099116494,0.409502012002491,0.540462312462269,0.0417030176717685,0.0485240225019906,0.0593209565257427,0.0302717374588094,0.029887457693129,0.0585248969691788,0.0484157210243779,0.0331461453469175,0.0800240489421711,0.19830505424418,0.315647979960473,0.30828373887994,0.0496506680134994,0.0220045860984956,0.0306208126416208,0.00698948072564814,0.103937835283063,0.041568339051385,0.0789488840163298,0.111160762732359,0.0594067574128897,0.163037170034115,0.196224790102835,0.385331704943085,0.460396962096836,0.242171063516026,0.44434280860421,0.192910867912345,0.142206172179281,0.103150111358946,0.0912992624508582,0.0412171855765463,0.114970955922891,0.251560688395151,0.215212940105311,0.301967473396123,0.396410004895355,0.980864847147093,0.223263581950274,0.112271275130649,0.0859870957597632,0.0639941721029415,0.203869949383189,0.190669860524616,0.214234983337362,0.25698203821409,0.344959474138647,0.317973119903574
3,0.0300633789955226,0.0358228160117848,0.0314644392524794,0.123037757374207,0.13708648335316,0.0634283498537015,0.100203292030801,0.0731214516284882,0.108871688576924,0.498173161587232,0.602068649590983,0.429035174116191,0.0412171828352924,0.016108995717834,0.022175578262799,0.0661960279099092,0.0358261479134257,0.0799402867982436,0.214821339498234,0.502104152794658,0.320433816450501,0.165582895610374,0.193359376790752,0.599120292875667,0.0350130623697466,0.0251353725912279,0.0323901247388174,0.0511839594319489,0.0413205380884036,0.0760735261809812,0.101605193191723,0.109918898309807,0.0992359721712041,0.650245857083962,0.600473430435718,0.546981029082152,0.0488066661043261,0.0398468642099611,0.0428488668359189,0.0219847120304202,0.0454941915802342,0.0389372319391195,0.496280300091294,0.320194558976784,0.557116721337327,0.424583143511838,0.73223863652355,0.861686838057171,0.0764682799131918,0.0784423359132963,0.116489137075561,0.0935336482787668,0.0552396859321722,0.0869107169539512,0.0829200876517301,0.0631345496086561,0.152313478943113,0.384816196731848,0.57616881139629,0.555008461950976,0.0942072397169213,0.0600764967607262,0.0563981244857355,0.0127868807429011,0.110242815761123,0.0515577283435031,0.149130963758442,0.201386934233539,0.117027208204695,0.316093378847807,0.38248106616038,0.668278381167034,0.719898168407644,0.443061955832004,0.574196506201258,0.232087585367567,0.221760976417994,0.115473384826152,0.12464710215393,0.0777216134020865,0.226530113374804,0.427068514626523,0.38369272826104,0.56280818840919,0.676240965404845,1,0.427189715159091,0.12588270873366,0.102206369511039,0.078235110753195,0.366092773348568,0.308928695281731,0.398770200430016,0.358683345056683,0.61300461556968,0.606898322076361
4,0.0377302956152772,0.0403628293030067,0.0364248742744402,0.125448861338406,0.140081421335719,0.0744334111235326,0.130492230429646,0.0886406147870416,0.142777222790953,0.595452384649719,0.636857046375848,0.556892982632063,0.0371412042228641,0.0188536803655003,0.0272124504398291,0.0624871331430761,0.0343262756405004,0.0771559793314834,0.304111570761978,0.60923451617997,0.459618687411207,0.200584488733284,0.246925536327601,0.662498012016114,0.0437054346176508,0.0282634505181431,0.0417384292856421,0.052113448528894,0.0420370598402228,0.0738584693638272,0.128102122861334,0.143561631748975,0.12527591373238,0.83240198893706,0.805298365438742,0.707814924459176,0.0482471645300288,0.0452343510676818,0.0580406368538657,0.0264188087133588,0.0603336760377478,0.0455924490336731,0.643380337592425,0.449584805731821,0.753279828943882,0.487374734480882,0.930673222852489,0.959377572026492,0.102367944150104,0.101692217822191,0.163517962405736,0.131408331317845,0.0744134759111305,0.101053424182883,0.110214556623983,0.0890304538439174,0.205590419560158,0.539245423013742,0.741050152827933,0.725862749880198,0.130094440295063,0.0913780233913292,0.0797129013535391,0.0168838260963516,0.111165405146214,0.0556885401929553,0.194983988776961,0.26452245344267,0.165460438605904,0.445465604575093,0.549069916072383,0.824036075045503,0.842219951226792,0.575777033733236,0.6997265101926,0.24806231092633,0.266127597453805,0.122151394690933,0.150169569209949,0.104746268788092,0.327860394190952,0.534377919186085,0.491214537672225,0.738736911200723,0.821727708207424,0.997298953173681,0.600031157654559,0.135010021532836,0.104560862562077,0.0829910943236178,0.464020550235035,0.378583365643693,0.462679666818645,0.418621454074782,0.776533840276176,0.822500667848638
5,0.0400142443751433,0.0394230781103168,0.0382469731877056,0.120295165921244,0.134771212176922,0.0737079192151914,0.140575977065863,0.0963977403813219,0.156878630110138,0.620459950632774,0.654870642666592,0.627308263224256,0.0394418031457979,0.020583864673391,0.0284008787758592,0.0560922260320029,0.0310157430903786,0.0713654880498211,0.375434096272693,0.640925423936731,0.560904104992884,0.205013253384694,0.276269430662496,0.602569265484135,0.0461014722461794,0.0264047219463772,0.0442938998425124,0.0490199189003966,0.0394065476876497,0.0665041760190064,0.140316089233459,0.162546314665037,0.136693595435144,0.891195256792249,0.909028261413814,0.772944495602086,0.053283998836561,0.0464196277546412,0.067416503043801,0.0261708131483859,0.0640340992225107,0.0491932816570005,0.723491419400701,0.54423751615717,0.85820911305404,0.795167886235085,1,0.982430515635429,0.116508403578395,0.119257347854867,0.189767752002325,0.137218808481214,0.0872066969455186,0.102486376095572,0.127946455658763,0.110432092121552,0.23762669433558,0.650866042340612,0.807324377228925,0.81176646783164,0.155739911658501,0.0980947125311961,0.104414626226195,0.0188332888604401,0.107479766082089,0.0550346165141329,0.206286470302606,0.292417722735141,0.199789958424864,0.540701482935347,0.679442766965057,0.887883929249727,0.915704505031771,0.677394875901492,0.812557454553283,0.243487661394202,0.271756088639265,0.122546899503447,0.16793046665022,0.120615288911016,0.405058387521768,0.554816946272254,0.543834887608545,0.821484872826414,0.866134379707187,0.981764648317181,0.739614758474134,0.139890715174952,0.0956046676160447,0.0799796960426891,0.508299962884662,0.40562638723807,0.428659311068931,0.435154009706088,0.835476724421296,0.946497692970065
6,0.039835895051689,0.0373954498825356,0.0385818701200657,0.10847074898168,0.122318064742724,0.0649999191317211,0.13408724786678,0.0958415384976048,0.157380656561862,0.607788903942154,0.708634243987084,0.649826388841011,0.0398805069756468,0.019958190711864,0.0280154618617007,0.0489369818397638,0.0261258852543616,0.0623586561964418,0.428018464721319,0.638607392534147,0.615925799553271,0.189160269514946,0.289944254904705,0.554994382941601,0.0454678224628161,0.0275346601667489,0.0432329795900137,0.0434049712121358,0.0340216909785082,0.0559705416372328,0.139991801977165,0.165597154780561,0.134110606828433,0.897076867597426,0.964218693310178,0.766643251540231,0.06984168153303,0.0474772238290163,0.0711527157339936,0.0229567122157415,0.0531638717359057,0.0491343841658247,0.773256332532692,0.602983947725072,0.909736624015638,1,0.967606575113514,0.95628081793826,0.120800216771542,0.125889926722028,0.201531585262477,0.150162267720949,0.0933955350515714,0.0956891765112108,0.135284689319481,0.126450413512178,0.252189268647447,0.724191689711679,0.79799720119756,0.816709217734627,0.175410302175636,0.101043547996939,0.129735478185439,0.0186602323868637,0.100576263640371,0.050168547213101,0.193323015726551,0.29070850069988,0.217616538292589,0.59623795397126,0.768576179254562,0.893949871262093,0.926681863128771,0.791611612129086,0.904730697929577,0.220551341075257,0.244532204285535,0.115886863068106,0.179375472937514,0.126639681435619,0.452523825208615,0.516536566026603,0.541638516150884,0.832444890268654,0.875298401678852,0.966275125415109,0.847488445700245,0.136699958907404,0.0848399323634907,0.0709297417267689,0.528568090236705,0.394864469456484,0.397642536856189,0.421573394878905,0.793714135066429,1
7,0.0393272531264073,0.0369864014388875,0.0357016077659002,0.0903050914831637,0.104102761493334,0.0538630473684185,0.118781928402905,0.0861419506221571,0.150691064536451,0.572958004632282,0.621249404530828,0.642023846555808,0.0342865820888828,0.0180096969566315,0.0274334280342943,0.0414118468968958,0.0198056830805256,0.0507936583707877,0.461363460611916,0.616011679334849,0.629708310830643,0.160675962513842,0.289574215969535,0.581947557834926,0.045382564568905,0.0324410261886923,0.0418546595474907,0.0367784780583714,0.0273478029088359,0.0447259800468001,0.131861824332071,0.154478038732923,0.116114766325873,0.892960172378507,0.999374916563615,0.719684026258079,0.0741098769374283,0.055512847874436,0.0717305121050615,0.0182641814482778,0.0527613225750512,0.0456918335902434,0.8142667041297,0.633812050220954,0.925218389356062,0.821176413166953,0.886823405014907,0.902064661879702,0.121569224185507,0.103596732840066,0.21193132896156,0.151120841901762,0.091998813930848,0.0863698721213929,0.133158951194336,0.135790809539586,0.254948766240452,0.763925446117233,0.733926956042962,0.775676664375524,0.188044552415884,0.103377419397532,0.14999150739863,0.0170328223668369,0.0902027580273256,0.0429244410941322,0.172649743341188,0.275623548036051,0.217840319366833,0.60588985152962,0.813952231768216,0.869180762109517,0.896180479490282,0.914042707019141,0.966850948127501,0.183283797364254,0.20269054540921,0.101844641357642,0.181093361747221,0.122694869068622,0.47376281798257,0.446933462764151,0.498482807504562,0.805326953306623,0.904110861135139,0.938775545069449,0.92081680035618,0.122777918788464,0.077188235580508,0.0601696657316732,0.538416085015506,0.366805171477722,0.396653871291383,0.382537463272799,0.6710618902417,0.996400444355027
8,0.0389541009473042,0.0376388014843489,0.029691367201976,0.068736365704498,0.0818457926899059,0.0436252455406631,0.0994605551380961,0.0710598670638281,0.13908382211976,0.563976134578357,0.640547645179443,0.632254992940868,0.0333429444188666,0.017608208470188,0.0261682357070272,0.0327069913683572,0.0130087091603062,0.0379180037250445,0.480217599353932,0.60407553508251,0.613061091971514,0.127402868050403,0.27406135077967,0.66292708276138,0.0454850892227121,0.035047944020001,0.0415594123772062,0.0291120712228953,0.0201055148643508,0.0332460243074817,0.116984840088175,0.13455779280975,0.0879862916781711,0.914549803734929,1,0.672085592844085,0.0652640387282055,0.0687041817118066,0.0738272558573515,0.0141957849838349,0.0527976359956271,0.0399186443523619,0.809175407234591,0.645148955849349,0.920552423634035,0.748108729047524,0.817151355130322,0.83062535852514,0.123211289341803,0.120923227168173,0.218024837447717,0.100232343754023,0.0830108754885739,0.0788026211563218,0.123387785091303,0.136383516023072,0.24768386174186,0.770099768684782,0.657292759629674,0.734058415216387,0.190477297354545,0.112429305936205,0.163655747141989,0.0143147596465469,0.0758516900981452,0.0340250012261023,0.152797997230388,0.261245703605362,0.202750848678596,0.575541064824596,0.821672723073786,0.840234245118783,0.927296431062966,0.990385358068144,0.995986023064824,0.14276023590019,0.156457489410672,0.0810442289577862,0.171605895784565,0.109321268299559,0.473969381855743,0.369999876587874,0.426809769410865,0.758203220283047,0.918321591934995,0.900235789355842,0.964783478173918,0.100854805714734,0.0697642111378078,0.0475482617631308,0.545146197537619,0.323259508806036,0.36744151161213,0.323769551583439,0.515317705196323,0.94394160485773
9,0.0385425849305247,0.038456685960212,0.0219652900722705,0.0474066555355053,0.0574683224243129,0.0355343972174352,0.0776309031204108,0.0536560229638336,0.126433368070309,0.549374009650375,0.589513764680744,0.624884347411554,0.0383943392365873,0.0174929532505014,0.0241194906172678,0.0222147410020196,0.00671684110363907,0.025480693969614,0.484290424148553,0.604399864758618,0.583174896420711,0.0973773476924951,0.250710902668236,0.592047521419419,0.0440034343257622,0.0324565135284528,0.0417362775928526,0.020266072218221,0.0131533292336959,0.0223372278750261,0.0942541153510548,0.109235992979018,0.0556907434168512,0.950098221791928,0.940104762445979,0.639648712928067,0.057139477322246,0.0725421128813411,0.0766043370132854,0.0111270513249019,0.0483961934500674,0.0320881863093672,0.752255656167634,0.646049426779681,0.914867010175905,0.778946782664055,0.752993244078401,0.707561498054526,0.124686070444132,0.1231538659263,0.217127608781143,0.0611957363393746,0.0681866307729339,0.0701133635101128,0.106368343513479,0.128093241819066,0.232060594746018,0.7383477545013,0.591589263002683,0.709561376755384,0.187986034977207,0.123353639623831,0.172317757647152,0.0105127225796611,0.0582801508486499,0.0242706488220908,0.132965726376245,0.255031433348612,0.177966112860925,0.514186947061047,0.80058598814567,0.815230460104328,0.944782282710864,1,1,0.102027090722784,0.114507053314695,0.0570407160947088,0.152209751995288,0.0897067735160741,0.456988161092638,0.290176632754474,0.337359781337842,0.701059319134197,0.951642043746866,0.872045966453753,0.98803578823174,0.0743279651641433,0.0560369501026756,0.0326078844212827,0.554178499851983,0.266709808698126,0.325944612057635,0.256009555435486,0.374827787017664,0.858400849560589
10,0.0365881673694577,0.0394349623744817,0.0149171964563393,0.0286570588702053,0.0349576603814503,0.0257287708016055,0.0583604501019465,0.0360272173530908,0.110526833400434,0.537487847505032,0.58956303395803,0.627310436509016,0.0286971447688639,0.0162293120901665,0.0227428236659558,0.0118251990421908,0.00208660455606099,0.0140121291743307,0.474251481101873,0.610980326086463,0.553704744910382,0.0792281011528842,0.223181692924636,0.479467563038615,0.0415823804911801,0.0297821519267511,0.0426273540480403,0.0115679174515337,0.00719131276227197,0.0125251623517622,0.0658934206517179,0.0798280393753545,0.0262186451312961,0.975610609758457,0.856428149435854,0.606698558480933,0.0577820027797967,0.0702428774480824,0.0766921797628254,0.00831590304134484,0.0329188513216164,0.0225121313949907,0.709849127492422,0.641168386144602,0.913151559722913,0.552169450140578,0.699001610736044,0.55990950998147,0.125372281954131,0.133189544788667,0.217888169111729,0.048399528679043,0.0520254980457264,0.0565803432236636,0.0833041821387057,0.113263778912327,0.211706234351232,0.680435948522516,0.524081677755162,0.686521207378206,0.184392615830269,0.122139895372238,0.175247858507984,0.00646029179811409,0.0391850008100837,0.0142912905823414,0.114953359260923,0.255392265372211,0.151069557432865,0.434116619865485,0.752516105622903,0.774200208356607,0.935544614526191,0.950674200418583,0.989987166219731,0.0612273786304526,0.0746499687572694,0.0346918903297482,0.124246792941904,0.0675424696254799,0.428757832863001,0.20841764010069,0.241752654044451,0.662976739077794,0.995635706170411,0.864949148138445,1,0.0487351266524434,0.0370580378368044,0.0190422221367362,0.557518467594439,0.219387216539328,0.301986671807292,0.185937193982995,0.283618471750806,0.767238494312626
