"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0.740529213313151,0,0.0975589869824524,0.28444495037648,0.324080701169337,0.244552318577509,0,0,0,0,0.00366592318197369,0.00051468633536226,0.00449754066919511,0.0163755630309542,0.000380394379174804,0.562819460628303,0.643960464175103,0.0902254473856055,0.0152711091842564,0,0,0,0,0.000636787350117355,0.00696657363884619,0.138842996332793,0.00262145758003981,0.00560594372764651,0,0.00367254206084976,0,0.00985240557249986,0.701467724356139,0,0,0,0.0781287427265549,0.0172925077328092,0.0189077550459651,1,1,0.455587068036805,0.740869556136721,0.789817493615754,0.687953113925395,0,0,0,0.00570598728432185,0,0,0.0184456310432176,0.0185955379813244,0.0372149582385417,0.131177755814973,0.564961589482495,0.564101226469063,0,0.00167802847682241,0,0.00173348742144671,0,0,0.0964907501444567,0.0194253016150569,0.0224632780006417,0.625071428299077,0.137667163470426,0.499537698014303,0,0.0311376237792935,0.00525814403055146,1,0.00367285280230733,6.25459111934361e-05,0.0444606565483118,0.0278768956627838,0.0688257644721851,0.134421046934021,0.0871855868710835,0.110719209145985,0,0.0129134185635033,0.287617759275429,0,0.448599609630455,0.646290611293399,0,0.00489401876615347,0.00579544756634357,0.0586274521180967,0.101503974700164,0.0171931032983455
2,0.0124357850061634,0.0107067927432655,0.00524117303688451,0.718507650853821,0.0170975362719958,0.11933991140773,0.38273530410778,0.3743347204902,0.316371382479582,0.0325208074299892,0.0738599649543972,0.0711760481148413,0.00652966493611261,0.00529152935154192,0.00135723120804468,0.00218421221046346,0.00919623828429007,0.00254842816615888,0.505161991999971,0.558826753972553,0.0695993443537065,0.0176819864144661,0.0043219203405525,0.0636066470673225,0.0101755123606319,0.00217861383982532,0.00109427102087371,0.00324548193875668,0.123873226778842,0.00244720029367023,0.0033608963336223,0.00740737039862082,0.00702533632371971,0.00267375512250614,0,0.682031965979804,0.0126479455677145,0.00100293916436735,0.00531102847382644,0.069848150467542,0.0235037372578638,0.0380774759391321,0.897024331488776,0.915723214081948,0.447316600121747,0.670328770273576,0.702726253570987,0.659266056802717,0.031819862570234,0.00925471254375384,0.0095095425925711,0,0.00641545928643827,0.0100665800139994,0.0230435772021531,0.0187728124416336,0.0473957792465892,0.112923787945301,0.516710033593156,0.54345603781909,0.0237867939367386,0,5.34670001627398e-05,0.00398607179764723,0.0103258152293252,0.00553556438641774,0.082476148604168,0.018965728194833,0.0270206910696518,0.56500854259223,0.125495423541758,0.488748135961746,0.0399133541618068,0.0168258186078278,0.00115279031075416,0.908351974327846,0.00199852439991176,0,0.0379629697783301,0.0264466060497454,0.0567123943359462,0.118862641290954,0.0760838389731984,0.111074621100174,0.0665325187771264,0.0333413673140267,0.311364759806116,0.0102970734271727,0.452581914442901,0.609831085746849,0.0248687958681325,0.00948126405437717,0.0248353302107303,0.0630925987703753,0.110502146497802,0.0441393565070748
3,0.0202314373307863,0.0150284141970367,0.00837230680827366,0.681322313407409,0.0307263855454547,0.127841844877002,0.44461843430688,0.40499625202794,0.366955492913396,0.0529159636677552,0.113045763901092,0.119071773871178,0.0109005411973687,0.00503236919023665,0.00348371450083124,0.00010545372141771,0.0125592471121377,0.00256532536139544,0.452384917486964,0.471652717129431,0.0575201268009586,0.0204560017772539,0.00924543017264969,0.0992080097472127,0.0163312814958745,0.00346720532192359,0.00227379439049458,0.00317641749918637,0.109251617643676,0.00169387905492813,0.00116807768205212,0.0117557809687768,0.00897961672208537,0.00330686725901169,0.00845519157157977,0.632575437807842,0.0218678283119655,0.00234644193517869,0.00926735866587946,0.0650581328194612,0.0303699206437293,0.0539469681237875,0.797534790189578,0.826241674986601,0.439399413117169,0.600521487940816,0.628622453919022,0.617428107798773,0.0503807059988942,0.0198988444476423,0.0165697092667592,0.00186740788997473,0.0137684133499893,0.0169357038274727,0.0246325141340688,0.0198365685180977,0.0578228918785003,0.0989653070092296,0.465651544285824,0.508955371565065,0.0412322530945079,0.00185298713500504,0.0143687418233333,0.00566403573666553,0.0182812645136986,0.0106894192826589,0.0709984228687827,0.0184760927479686,0.0294551072638063,0.508630422664114,0.114308100250763,0.462825264309296,0.0671336878687783,0.00462343579392774,0.00556150413616041,0.820551571811646,0.000745282306882168,0.00256006570224608,0.032583221798492,0.0237089057225453,0.0571502411738668,0.104399108756967,0.067301640111889,0.106121423882799,0.107744974469851,0.0403789736028043,0.32475242205134,0.0181503536380178,0.440304223650526,0.562835800313555,0.0411003582578881,0.0112186175649054,0.035214726971962,0.0540928957725308,0.10769209439981,0.052137651588206
4,0.0237451564024304,0.0150971884760667,0.0102183691094634,0.62445178689635,0.039050469703673,0.12547899832714,0.447262715810793,0.39560189841283,0.384091579385207,0.06301440362168,0.120953550179819,0.139556872784856,0.0136952075125098,0.00440962781523607,0.00469208740560335,0.00104603242929514,0.00529098595315744,0.00139190936805686,0.403489929067341,0.390095867905805,0.0512182987544563,0.0214144101303015,0.0127949899063511,0.112381549088718,0.0187119115384398,0.00465110438277859,0.00321817426324776,0.00536148319125816,0.0959785356754876,0.000692804780759616,0,0.0138805314172788,0.00678611668369789,0.00436706485558075,0.00763926415125215,0.565040373328997,0.0271630065407102,0.00381706390130356,0.0128170514959909,0.0631150263703642,0.0363974524773287,0.0612036460768432,0.69930569866896,0.733417339236071,0.422929993295114,0.530602983127092,0.557985530181931,0.54659222833298,0.0472673735712457,0.0331230299856956,0.0214495308429902,0.0146265166040677,0.0194391285606874,0.0198146429752945,0.0223804341584435,0.0206138035006585,0.0648940252099681,0.0883500465272786,0.414943383334583,0.456760123566815,0.056383486337947,0.00802304795292833,0.0396617887336513,0.00541389530108466,0.0239931024108333,0.0145316503713201,0.0619929226689632,0.0171678457089857,0.0283028021819209,0.458422398827073,0.102639159358655,0.424196371750221,0.0849223277741255,0,0.00833705543220383,0.733778612714185,0,0.00682458819144918,0.028086493272337,0.0192096397538811,0.0689711794668552,0.0912722865879449,0.0593015377204166,0.0981997851963136,0.122186139824185,0.0428869306621985,0.323524806781211,0.0248119058982041,0.407237326632205,0.505304088244022,0.0482297089759014,0.010929089227528,0.0367317609730103,0.0474918146481208,0.0946940148097695,0.0477308345408968
5,0.0252648712498756,0.0151107507343454,0.0113667591491079,0.55849029667131,0.0416196478707089,0.114344820211788,0.406951705802043,0.353202092261196,0.367109888712831,0.0657554531905405,0.121919334467722,0.146653885042103,0.0149316297782775,0.0043272317854899,0.00364031979175859,0.00146890781136203,0.0068576440180595,0.00119358502856616,0.354905768442617,0.320507093725937,0.0489024084422933,0.0201280141430504,0.0124339828269309,0.112385716475766,0.0176838084637441,0.00449991318633194,0.00263963914299981,0.00666825132329476,0.0833587652468246,0,0.00183409509958076,0.0151787353392411,0.0030673778037031,0.00305617389024289,0.0058346046584581,0.497433327545467,0.0288762337286884,0.00496953052954161,0.0121663269127262,0.0624357635957962,0.039533397027199,0.062691566444926,0.600749916511263,0.63626395711334,0.392540416477828,0.461326568222669,0.481007997594778,0.467758412382416,0.0425905668918063,0.0449859403794512,0.0233818321149475,0.0253608276424464,0.0209303558900692,0.0206103550445702,0.01801598782683,0.0201704818852094,0.0651012133486445,0.0768936169980492,0.36632427042579,0.396981395061639,0.0661527918483679,0.0130353491775862,0.0486667548026584,0.00482460930001931,0.0269930767237557,0.0159020163056683,0.0540358937522357,0.0155557162344379,0.0243787664837773,0.402319214060361,0.0898074084859948,0.376568691680295,0.0940000518513484,0.0042112523354429,0.00797255282321023,0.633258352730204,0.000222427597584063,0.0094658085569391,0.0245222925466296,0.0131322337817479,0.0768577213142352,0.0769120155574064,0.0511068315755704,0.0867145827073624,0.128763009376337,0.0431529782889188,0.311773835433274,0.0308755576350086,0.351758613486765,0.438796267571447,0.0489654847903216,0.0114367988278938,0.0396327147058391,0.0398213370903287,0.0777756340911883,0.0422911356634589
6,0.0247915795762357,0.0157410758663826,0.0115338841896745,0.494023246915646,0.0405146374607037,0.0977809615406915,0.351715893747351,0.30512960297323,0.325343775895694,0.063230343211935,0.123122858409935,0.150809415974496,0.0141879154856317,0.004699851011329,0.00179056474616779,0.00224319309643968,0.00950141823040638,0.000948366035989007,0.305488507047417,0.262789810893882,0.045059059908707,0.0161688992154551,0.0090371550354401,0.102585512523244,0.0172929407003933,0.00371251946707716,0.00186393310640453,0.00660505426189056,0.0709147281427481,7.71102608474417e-05,0.00400890430309683,0.0157466372180992,0,3.76862245107991e-05,0.00381202054706283,0.428594999009742,0.0296637035816086,0.00514243181848815,0.0116155091031075,0.0606865338868055,0.0388157639764802,0.060796247009903,0.507947642311483,0.534088825026249,0.340792495113049,0.385506264236885,0.39787238229077,0.391123703082262,0.0425462209850539,0.0501268499446378,0.0206639961011947,0.0277240469731915,0.0187533369623262,0.0198914166645048,0.0132306833229719,0.0194315124099371,0.0579883377964526,0.0662934835080952,0.31615394061967,0.337264800611534,0.0714632581776228,0.0165074434972562,0.0507716354643999,0.0052115573329654,0.026162967621184,0.0152365924737604,0.0459763871548977,0.0134970029422223,0.0151064500285795,0.34314244250244,0.0760493584198677,0.323205737647947,0.0923831411680871,0.0165666330009237,0.00620563221836519,0.51982276161081,0.000619550199367745,0.00928450296130402,0.0217103655878631,0.00848572835622038,0.0691302936395729,0.0610600507821175,0.0409726126962768,0.0709860778101176,0.134946434383575,0.0377525308972132,0.299109803791278,0.032029178666598,0.283959072249514,0.366170003168017,0.0444268946955803,0.0117084694302337,0.0400516157018045,0.0334760896886752,0.0609359668016385,0.0397812254182445
7,0.0230582907969086,0.0151274470450606,0.0101856468994453,0.415680137437828,0.039602254248781,0.0829056726685951,0.296086220765672,0.254045784357684,0.27164752749292,0.0571803715170156,0.12344271258233,0.144834795706379,0.0132084610336194,0.00559215059855374,0,0,0.00400652279117989,0.00181015304882012,0.25634714198938,0.214292720779057,0.0358887068682439,0.0107203426585928,0.00657150809328548,0.095369132154165,0.0168740280537208,0.00417227639595901,0.00119000670432798,0.00584580599700754,0.0571305808260482,0.000200585553938301,0.00350124700530898,0.0135661993210529,0.00205760522939615,0.00127425065079046,0.00158926669333778,0.35466896310518,0.0284177843518523,0.00553663877414364,0.0151096859701865,0.0547126706173366,0.0354553242561631,0.0554503537515031,0.420347881818479,0.433312373812863,0.272388449729757,0.303378254604959,0.316839997513595,0.317081001952652,0.0432262330782498,0.0520082746139007,0.0169414827425328,0.0151815317783214,0.0145009726774664,0.0194877313109978,0.00971035695045695,0.019536015822146,0.0459209244017301,0.0546887766920844,0.266718765383268,0.281537774592913,0.0728590780263939,0.0162038839679936,0.0450388084264877,0.00538380743519207,0.0216968442429527,0.0133175757502304,0.036872863180132,0.0113958816182205,0.00494885008429161,0.285731368542746,0.0608825454634036,0.267295777748602,0.0855634671005356,0.0305852789897749,0.00393536178878686,0.409422160059008,0.0003088005059352,0.00483332400573637,0.0190164492223876,0.00531062724747383,0.0374921469050384,0.0467548505123758,0.0312866473121365,0.0535214039646885,0.14082568267707,0.0331649425414826,0.287102611786124,0.0258487792313981,0.21419273563243,0.285157408041402,0.0384631598890467,0.0108368047384804,0.0324381034014413,0.0189380848685421,0.0509099699825245,0.0358819890206207
8,0.0224260756824601,0.0146258787269815,0.00797043421285914,0.330735246649879,0.0400969350906199,0.0626888166877844,0.240440627070044,0.198120116387055,0.214987716303631,0.0490857383552063,0.128491594954931,0.120896950123754,0.012753312561428,0.00534801678645839,0.00203859042078788,0.000558823327831254,0.00797009252644145,0.00338186319515414,0.209118145184618,0.17055918330475,0.0252722493631763,0.00594856663905461,0.00765948021067198,0.0938283522079882,0.0171776310810302,0.00502743397129593,0.000567075148348399,0.00416751511763511,0.0436245763029218,0.00149493796621316,0.0020101951339853,0.0102152012297403,0.00632553963039306,0.00357457774550626,0.00577943206079825,0.282012392526095,0.0269448260555223,0.00614680928745434,0.0178654325081141,0.044368040344368,0.0308267892339728,0.0455743121174187,0.330722769155886,0.337815314397375,0.196059533341878,0.22948070962773,0.248053844251178,0.246143161968905,0.0407645186991102,0.0531782059816921,0.0180481327937687,0.00101334674537668,0.0121677735874872,0.0196989709076893,0.00743101958556727,0.017805558219604,0.0335994497166881,0.0417461016711609,0.216620715379933,0.227028576413625,0.0708802265180909,0.0144843036813356,0.0397899171736601,0.00565548995138281,0.0169015756869953,0.0103635549341525,0.0269921231456251,0.00920772894084624,0,0.230082007020133,0.0467495831533689,0.216247587768306,0.0861066921981153,0.0395988620025306,0.00321509046413538,0.304028824271301,0.000971353467320732,0.00218614241426174,0.0157212038484204,0.00409739885597227,0.0132034456346331,0.0357629433722135,0.023875549447034,0.0378850699363616,0.14325011602425,0.0337302768290002,0.276863328039733,0.0175325901161633,0.149984494420596,0.201627631464971,0.0344854163694467,0.00917675843185866,0.0211089112814668,0.0154586803639544,0.0410049008972554,0.0269550305599005
9,0.0223524253205939,0.0152987487359602,0.0056385373016155,0.247477223431116,0.0401350399600466,0.0378642992335963,0.184658452211784,0.145500363588606,0.160661633576871,0.0426954408336139,0.125794897880444,0.0931496891367288,0.0126256658165191,0.00453777538434888,0.00461452673450899,0.00220761289503915,0.0126439347588228,0.00195205512962784,0.160468764347593,0.127144664357837,0.0165684560380085,0.00204319375753636,0.00903247470385087,0.0850353008767794,0.0179662810950537,0.00587164655024787,0.000770214877808472,0.00212309481858853,0.0298014551481696,0.00343884693954984,0.00102367366307197,0.00900738844307782,0.0123725630072957,0.00389264806822021,0.00546050037773863,0.211334379309596,0.0267071634934375,0.00261743854295693,0.0200047009929333,0.0300446269024183,0.0237177191220904,0.0330557206320244,0.244167600313184,0.248384802831463,0.125369865762651,0.166187056361282,0.177334272923633,0.176874338558151,0.0449681064629463,0.0542456736094717,0.0237354481902259,8.01314061416778e-05,0.0131498562097595,0.0176176667661406,0.00462753673671145,0.0138987366389387,0.0220635085847886,0.0298000740497075,0.166667960567119,0.170964030364692,0.0659375419371817,0.0156091039900242,0.0358334588949193,0.00383125090476627,0.0137374403908913,0.00710049999811918,0.0170066912203598,0.00714976093141349,0.000166472742292773,0.174142757219375,0.0337693434423692,0.164573168607964,0.0927248923443247,0.0406077138869426,0.00404396043669772,0.20362211350417,0.00347395307305027,0.00135538362126053,0.0109394836739606,0.00466423273350201,0.00633991642555144,0.0246655491267923,0.016247843111381,0.0261541712545143,0.141682794762743,0.0347226322434293,0.261722352701767,0.0101264327248687,0.090261114561767,0.126545844818524,0.0323739628251907,0.00709622484308986,0.0123452582425234,0.0073945415200917,0.0267898053063357,0.0175883362439965
10,0.022784588810588,0.0157849812547204,0.00361384531686668,0.16441639982735,0.0404643320802728,0.0160326433471396,0.125033515610999,0.0943712102293537,0.113467620091203,0.0381761004665612,0.114434218890023,0.0861900662934268,0.0127981249714585,0.00323742278372615,0.00559800806294905,0.00622791395093423,0,0,0.112074163801011,0.0824395241223075,0.00912128671458399,0,0.00802865936322755,0.089818001415799,0.0174661014650562,0.00606193410637033,0,0,0.0155686478453686,0.0053979351796293,0.00327289882425842,0.0149964971842297,0.0185423854436028,0.00189796589651552,0.00597260343023435,0.135928420959077,0.0269675731689406,0.00014128767955198,0.0090592788094867,0.0152931166754158,0.0141710086641177,0.0194848079465311,0.163631607779942,0.159292852409193,0.062338774661162,0.10570549359785,0.106191939733681,0.106224035921508,0.0469210392515983,0.0530435060437644,0.0239487967731351,0.00566300774856363,0.0191245067996934,0.0132099331691957,0.00160077532572157,0.00831460987417202,0.0124031307805213,0.0175328614699473,0.115692148457286,0.113699445348901,0.0624569652523565,0.0191955989653944,0.0418574586170079,0.000313322714609159,0.0147124717085762,0.00492099015437558,0.00795987767537731,0.00447978819730108,0.00177966583110437,0.120674988375331,0.0211115093576131,0.114347622730251,0.0944632988163848,0.0388807727432945,0.00423902138510032,0.100599480474117,0.00825095007929777,0.00309278633978242,0.00577321833069091,0.00544529259385215,0.00514057338710923,0.0140551119869751,0.00864399679286259,0.0185440352610667,0.143728581323066,0.0405055067214477,0.247849675040973,0.00529009720173204,0.0397847562028777,0.0636272540541669,0.0298357377130518,0.00484058284404094,0.00603406779534272,0.00187648831611698,0.0127779735010241,0.0100182491577716
