"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0.00423633298940492,0,0,0.109764296227614,0.0553811380329736,0,0,0,0,0,0,0.924006168616403,0,0.015108711726722,0.0070678525743427,0.00451473985871851,0.15229012115052,0.138151483011814,0.249791792518609,0,0.523571441083457,0.0678966127269606,0.202010142769891,0,0,0.00308621960370497,0,0.133208970468525,0.0958142533786718,0.0997169149480586,0.72044894076163,0.057275061850087,1,0,1,0,0,0.0308380673037622,0,0,0.0545336913072156,0,0.411374630272343,0.5656894302223,0,0.303155677414477,0.972214511718385,0,0,0,0.000738780948353037,0.505616960128403,0,0,0.288158112862432,0.623062603547222,0,0.627872470111172,0.7962561236406,0,0,0.0805605283250135,0.00460224007821779,1,0,0,0.528030882279896,1,0.637639698014763,0.459371138730845,0,0,0,1,1,0.0507286411491821,0,0,0.207120983556336,1,0.491365511676737,0.431376489651217,1,0,0,0.979800097582392,0,0,0,0.330180717604876,0,0,0,0,0,0
2,0.060845006013924,0.0471509455025072,0.0300725082680374,0.207048722265508,0.188862795649685,0.15098500430679,0.411564295199686,0.51318019865601,0.369153732975659,0.428567827948019,0.506627148398584,0.985391977795216,0.0247396452263913,0.0104315955124291,0.00570649281238843,0.00224538597911114,0.1345242722869,0.104144558798747,0.221439999348776,0.115848597722975,0,0.0721071740544661,0.17660031332274,0.41379995823578,0.0263401144191435,0,0.00892014428971285,0.084296475801867,0.0780738522162422,0.0740335267935071,0.418990741463182,0.0737218177931577,0.924233888412926,0.0636199583193731,0.567555333580419,0.592107892149916,0.0288068427988269,0.00814782574442085,0.00692654677387938,0.0325872457510357,0,0.178940820498896,0,0,0.173043852218467,0.264128600388909,0.977774552475491,0.482129906726997,0.078481527337935,0.00979307943966773,0,0,0.0183864254309982,0.180211776012707,0.198716515269606,0.153264350813908,0.0662482230372763,0.103398809313395,0.188089096842608,0.705117918185665,0.0503676937135774,0.0444127433904878,0,0.136114638280836,0.0217006888105327,0.14061514249739,0.18499544046804,0.720082170886966,0,0,0.000438489776967306,0.482928170167672,0.374718920966121,0.832588744271075,0.16370487240974,0,0.135362053555108,0.0767978589288718,0.092274838655189,0.75232945709067,0.575443975631767,0.368744359566178,0.309308411363761,0.3957742197313,0.41397895988511,0.987250873500916,0.475669389821982,0.477396155751732,0.679578823702484,0.867976921839617,0.449616336169612,0.555906259913506,0.476632393882023,0.383273882723623,0.729835596624407,0.459720019189873
3,0.083300628617268,0.048208515548077,0.037285680478025,0.231479958729422,0.249478863656403,0.241233495303154,0.711107026208767,0.736756564784663,0.656586045014882,0.726149018824195,0.711033905640716,0.999309860713151,0.0414447857680162,0.00925135019038574,0.0056604385300249,0.00143192012486981,0.11862797317764,0.0957688086684694,0.193619415305651,0.189837764572161,0.382694145044898,0.0766140151067443,0.1517577096318,0.650881248063614,0.0439208831821953,0.00164111225858121,0.0146912637155994,0.0850918822172308,0.0966915696993934,0.0807604312036547,0.281237085446057,0.0887644314243166,0.850000219895206,0.147332470869227,0.543969633710332,0.739042919082418,0.0496606508918474,0.00342975334534033,0.0217636488552798,0.0684614174139281,0.425272815490666,0.362333411922727,0.333956203559904,0.111417651703337,0.343962202545942,0.227436014783972,0.983408463508859,0.727045011003684,0.12221964056362,0.0347671446743218,0.00775281189691345,0.25182738138777,0.044949324920733,0.336720674830335,0.406000584277618,0,0.127071236388163,0,0.325249242124288,0.905827883293814,0.0915056745730068,0.0402919970168916,0.0112844546954833,0,0.444587367160412,0.295482079052029,0.301720469524997,0.79062652876476,0.275817137550235,0.0320253618564078,0.0526214123958788,0.795340827925321,0.55766207534961,0.766479971201062,0.320139809097792,0.765641389655927,0.269009540711804,0.153754617400517,0.0334422625259826,0.526730308909887,0.629387952662269,0.309008566359945,0.139898341356998,0.646494644918757,0.65797362603671,0.993062192609335,0.713544909764361,0.638239554597609,0.867194678378899,0.929464681498,0.741063420224004,0.891987332340007,0.795583413252275,0.634695627654471,0.986834909869801,0.693779752720674
4,0.0883282195374751,0.0496840839777688,0.0413523251333639,0.25291878407185,0.27068264619516,0.273007733091919,0.874720228131155,0.864375431653699,0.851398192562259,0.892736069240297,0.812357475917335,1,0.0477678958997489,0.00930441238612773,0.0055756399945185,0.00186910670928516,0.103886270535617,0.100798788207229,0.16630647505214,0.165923563704589,0.51406039833907,0.0773268302532442,0.12764425439613,0.750478105290935,0.0521537793069502,0.00449655611166989,0.0113336108452042,0.087643143274883,0.096198005010411,0.077238788333751,0.277268501130127,0.095884649092045,0.733447121802294,0.231939529759654,0.681167864618047,0.799031794343524,0.0642188090187668,0.00593646402614075,0.0375202238849685,0.106866945009402,0.800539727994709,0.531062050172895,0.343091962574006,0.556311975777465,0.499127779060715,0.193477952354923,0.988863228367966,0.813950841562097,0.141511465198023,0.0744970347859262,0.0306279080021181,0.581578208411378,0.0739419153366298,0.45235703278779,0.510599676860235,0.0587358207388956,0.168620828618887,0.136065960691959,0.934567864956393,1,0.119413430295218,0.0555833153397758,0.026636613167478,0.244807816251673,0.560302618312444,0.414155901615954,0.404386851251844,0.857413847251338,0.78457598542909,0.33317895090298,0.168313704129468,0.806276156107671,0.637823490875791,0.777810342569751,0.3977945110549,1,0.369117548371185,0.227769889586247,0.0282983326693673,0.331312037617315,0.715826615912965,0.253089228742292,0.435658946452519,0.76691595270217,0.781305202039227,0.997086514914843,0.828429149594731,0.730816809127429,0.928507553908092,0.967304428398556,0.896988302469874,1,0.956137491974235,0.76010459302115,0.966952427453847,0.795819185574564
5,0.0831717538065146,0.0416635933314676,0.0454153720138023,0.250653388417026,0.23185796825384,0.255096645842376,0.949846756050154,0.850495603246862,0.917404019806057,0.942084472620834,0.813104137530081,0.985161950701893,0.0482638212428452,0.0100261604156757,0.00558367072578693,0.00264333003469131,0.0894322823523926,0.106510824358076,0.139414805955434,0.106062164773386,0.554846306233732,0.0718697388953429,0.104511354626802,0.748553110472663,0.0541848581969981,0.00611601047297502,0.00768707757707693,0.0928488745233668,0.0649956420647693,0.0549304168339558,0.290637278664335,0.0845930366884857,0.557067487489305,0.261962012988548,0.662071554477601,0.818347317187216,0.0747742338364875,0.00545399243631517,0.0452630240242267,0.145241007218669,0.68804981651127,0.661246021861948,0.262921993908055,0.515876345248783,0.624734360836141,0.161944684814469,0.993706266204213,0.796092891816272,0.143191542287517,0.112658504403249,0.0238872201366544,0.46036501361567,0.092000124757272,0.492821695360772,0.245006748300555,0.183638867585921,0.183731667275577,0.216419745229159,0.782268393154235,0.892444032119827,0.139135940147302,0.0698852247710082,0.0395925938156819,0.599499619738704,0.657055784851143,0.472796609882708,0.369958977918311,0.816147655840254,0.478791485328783,0.450855071200274,0.327225644053452,0.852400046759603,0.670521887184933,0.828815477821438,0.342379988778395,0.730534639938665,0.410818681322759,0.29480807905493,0.0694452324171543,0.176591582456686,1,0.200508217506262,0.401428024661567,0.815621212574378,0.855098827176833,0.999361509542802,0.889473631450873,0.887913620286666,0.944162767024557,0.98622649942319,0.95332459352389,0.937075969139494,1,0.798022875244136,0.950575387614241,0.851000659065376
6,0.0764425257372615,0.043585798304509,0.044667030295128,0.207465550806037,0.21528982824645,0.223606798650279,0.964376116270322,0.825736618754717,0.912492952351163,0.921335858109079,0.86764497972229,0.972696707727762,0.0488100237588658,0.0111596515208891,0.00577858740026526,0.00302366995766508,0.0746446195207986,0.0925435450874304,0.113059658511982,0.062763488945391,0.546322405239959,0.060840700166446,0.0827871547994929,0.720761478449827,0.0544570819785015,0.00675732960892785,0.00942768652377566,0.0764788932133838,0.0596111469755362,0.0581380571473801,0.307897711163903,0.0594465690621165,0.345741134824577,0.268473177727735,0.645868951042126,0.857015107736861,0.0835889452853391,0.0100481052074717,0.0472966075892311,0.181347826991165,0.733420888452414,0.737295996020842,0.30977008009718,0.544912235386346,0.718596953076605,0.13229572942565,0.997450656945233,0.734783458672905,0.144402405807876,0.124553905216424,0.0268769058563411,0.6719205859879,0.0894329863211135,0.478286608319848,0.14511152023421,0.304805737266555,0.182062804026686,0.137815013439399,0.535365674169533,0.965410781284593,0.15975247357467,0.0847016578770271,0.0470339726456042,0.698235099442801,0.614249054411451,0.484445255838837,0.181822723395157,0.875250466563128,0.639053103639508,0.410596997678968,0.508457902127123,0.938330079749789,0.654066260904264,0.894528395806361,0.480825983439832,0.648947011435403,0.399878005113307,0.35088999821527,0.136315594941226,0.0674583639156916,0.923115521721054,0.151835568296741,0.237221595729667,0.816913499065991,0.890309017967098,1,0.917036764365214,1,0.93421755254097,0.95941073673174,0.951992599623002,0.811471960777669,0.99250722879556,0.758266093297276,0.965652494083475,0.893813683703148
7,0.062978069659572,0.0439973808754536,0.0392721326779505,0.164173858970404,0.191212533168921,0.189562903923205,0.945845952561386,0.767977530527528,0.903572569690058,0.894874785647973,0.882897199657584,0.93769012291956,0.0488711092468301,0.0123285615161216,0.00563678710564235,0.00285417736736684,0.0593662325949157,0.0698890774896922,0.0877313080260376,0.0394249449043168,0.488580838428438,0.0462376105875785,0.0628280024133458,0.689864864752372,0.0536671203487764,0.00443021210340953,0.00747897697048191,0.0675795458756721,0.0455401712036344,0.0478941179096857,0.266111166780154,0.0299910295803101,0.164483583152044,0.272292831115584,0.570293568122421,0.798195515592223,0.0863126208147517,0.0125613815532223,0.0473279214406056,0.212539077746372,0.793524447523876,0.769352965060928,0.246885792118783,0.615476483263008,0.781755253012771,0.104126708348535,0.999661164021155,0.680225948150494,0.148049780694604,0.132205138837408,0.0316821842129379,0.606536577596305,0.064218695699529,0.448294796742159,0.165735826835663,0.419789413107627,0.171365611035632,0.291532665550304,0.59575355585492,0.874928270031781,0.171160136207556,0.103436504047082,0.0511916193435842,0.69822087651289,0.645882891051404,0.468615932741102,0.128266620740971,0.781865245236408,0.588428676183195,0.356794110341477,0.647231040257955,0.808178563594795,0.638769795843349,0.913044661019052,0.43656871475933,0.165156819772711,0.367853981865304,0.392913612862961,0.166675160699852,0.00767196643714029,0.251517277262931,0.108141641128361,0.246533527853763,0.803316369491147,0.873995325737854,0.999087489196407,0.937345100356377,0.682768842649928,0.903732258180134,0.876631380816069,0.954213899954308,0.678685796882785,0.953638663230256,0.685531971361588,0.939743184937261,0.919048918618688
8,0.0499947850697629,0.0463482688426657,0.0363450723856651,0.13933932177784,0.143942683671784,0.165794647559161,0.926174846773423,0.774628882814344,0.918830278907349,0.900480208369641,0.871725205801662,0.915187007832083,0.048747218833562,0.0106096395585571,0.00449443124401292,0.00227116812786994,0.0439027474626799,0.0541657019806971,0.0642497392161958,0.0325069577190642,0.653256996809915,0.030622868209569,0.0449785959024905,0.657634741372409,0.0542689592444398,0.0047342510406767,0.0070599948369418,0.0721616500942032,0.0362223085094185,0.0383940744857754,0.210491039994496,0.00928970343687146,0.053383810167693,0.28019083439732,0.435213711877905,0.810467746219362,0.0867701136257276,0.0190094040583887,0.050187934080605,0.237135266962915,0.777389945355566,0.775919180769302,0.398832413917753,0.566160373312026,0.818324557004423,0.0775187612879296,1,0.673330514170733,0.153796420388117,0.141454065439571,0.0301719323846783,0.562467516393403,0.035430893725726,0.440891135067726,0.212216648307119,0.402528088242823,0.156612693374593,0.685556302750747,0.558976261663964,0.898433630167102,0.168863804061219,0.119695446183299,0.0610538884881412,0.812016895237447,0.714105382068222,0.466672810704556,0.308599818656,0.750867465686011,0.258093063377927,0.467471685369459,0.708612119247058,0.800896950000032,0.691242102815336,0.897701193608334,0.377877758722327,0.627609044045825,0.339260414888899,0.421998403222976,0.147291484643011,0,0.185216162879849,0.0708833710344417,0.171591632260845,0.79610934457359,0.879367592255082,0.996898771403611,0.967876128681777,0.632651745062846,0.890961351598414,1,0.960204133547793,0.624932098188641,0.92959893400823,0.637318697321137,1,0.927759923556186
9,0.0294700116305232,0.0510576520582489,0.0324291838010934,0.124532683805483,0.103291330065719,0.142010194169128,0.910468938132025,0.779189681111158,0.918375469406993,0.9233122129224,0.902803614426795,0.886408298441655,0.0474456431137036,0.006389642141811,0.00285416660561677,0.00104810090866256,0.0285575320109253,0.0409623263784485,0.0432868276285455,0.0343911084879231,0.810699295784606,0.0160629300970455,0.0295975172242355,0.634572828531721,0.0538289722206206,0.00619052934417965,0.00856508368869466,0.0544734169859809,0.041614053066782,0.0393593834147475,0.162834494309008,0,0.0122097870660278,0.272097508017437,0.286803094336704,0.801121946680992,0.0846459556276875,0.0169200503309836,0.0509926550603437,0.253490807487593,1,0.771489248258393,0.288681894148184,0.668508816727986,0.834399140798158,0.0527290915605716,0.998083077085357,0.667059079574713,0.148337846710106,0.145402415626476,0.0306418503303493,0.553521260561553,0.0151310080513429,0.434591182036388,0.235454921823214,0.286004480032949,0.137109229614342,0.496560874163427,0.659248982182125,0.865857372696616,0.161812580584803,0.131536514440811,0.068338970560039,0.852252565936345,0.724092193547383,0.488329808945616,0.194506324767223,0.779629818801237,0.699758036662199,0.35149009281549,0.680275692440793,0.823691821894589,0.636344944996138,0.827991250103126,0.40200689275877,0.743408021894243,0.315110236168482,0.438693230450878,0.0977074915667192,0.0391651336537223,0.157540964718158,0.0400859869082538,0.315887298402185,0.776059438443286,0.89110237167609,0.993252737913863,0.980215850650577,0.567553195619913,0.929206677568596,0.860734347325206,0.960019845926235,0.617033264103016,0.91524887489521,0.610273246507332,0.969096655784132,0.906534371104174
10,0.0208370544098484,0.0513696706739053,0.0272519565688849,0.0714884006284587,0.0693385714084209,0.105114568862056,0.887795914647857,0.709392838151502,0.893943704465309,0.982617863759274,0.882444531071099,0.850245894755383,0.0456638357087622,0.00238947506541169,0.00164758161766754,0,0.0150821092183817,0.0293270526305099,0.0255651776116745,0.0342243018323312,0.528470534029617,0.00510231853390246,0.0171412021931915,0.61480786794525,0.0521918692452814,0.0061098287137587,0.00560411160225293,0.0302042289928982,0.0252385083713713,0.0217005838107749,0.0893422202904155,0.00309402906467139,0,0.22825053032808,0.139683012120321,0.764541340702362,0.0814967289427578,0.00833480814332309,0.0487607361965283,0.261462686326352,0.806434037126079,0.765904792855732,0.218927302791994,0.407922344946863,0.836939578403449,0.0309447265115558,0.993681271356207,0.642614980495443,0.139436616248484,0.142953583610636,0.0275469125866403,0.412629498849759,0.00686782557781366,0.419135768330881,0,0.128109549133203,0.115786654154678,0.335607043710151,0.400061859514843,0.783782003416169,0.15331816415985,0.136019687651013,0.0692136984674072,0.845014376112289,0.656718528922288,0.505648070926256,0.063711672883407,0.610820882035462,0.290263795826479,0.272467035947503,0.619187395756815,0.751732670763187,0.631995095560894,0.745453849607708,0.25955197932269,0.329909453801221,0.304223872225691,0.444779099656577,0.0453362032854388,0.12647682745285,0.105429681466561,0.0174377925625432,0.117171274338754,0.755865748558171,0.887084169131285,0.987272432797791,0.972429987426422,0.589384979757162,0.837916777819157,0.761667807047186,0.969588617737,0.619158271336242,0.90111102175514,0.599899127058746,0.896936720440032,0.882232819084896
