"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552469279999198,0.0774636591277963,0.0269408693130719,0.062795065647872,0.0165163524145843,0.000532063620328281,0.0050847287113868,0.00730768524780883,0.000971323359739298,0,0,0.0105268354116867,0,0.0497992063483183,0.0616526904431226,0.0322116574875725,0.0147169861793982,0,0.0158049161504844,0.420130016996953,0.0885972882985315,0,0,0.00201737351620179,0.000216315365057821,0.00359554028989236,0.0135971368412755,0.0108804053929858,0,0.012409031889497,0.00466477345647165,0.241681137379692,0,0,0,0,0,0,0.0120544335399345,0.0134502664106331,0,0.0357590620470452,0,0.0766278087831196,0,0.0745231578877226,0,0.00602725513296159,0.0107272358635562,0.034995200658274,0.00660361517272867,0,0.00655932689275303,0.0210912412999085,0,0.00830371334768537,0,0,0.0102378361919044,0.00236549656133767,0.100107878210319,0,0.0294987629002721,0.0138585858519835,0,0.0412601402470858,0.0198939519267849,0.0256291507635039,0.00625395441679108,0,0.974766528126593,0.944369656309266,0,0,0,0,0,0,0.00579813721236553,0,0,0
2,0.007650017329997,0.00676439144187423,0.00675415161502583,0.143985052579367,0.176440003397817,0.144706949616508,0.0284610950875043,0.0455127131996881,0.0354489675000918,0.00770777501148672,0.0160075731692249,0.0144272358686534,0.00635399565572136,0.00471670199622522,0.00442066103528756,0.0698185679713769,0.0233707883292747,0.117088268045572,0.0124141049536942,0.000540261065252889,0.0058084852365157,0.0114924778198943,0.00299846670115162,0.0226712560557978,0.0111025781035499,0.0068140233130535,0.00212831455362264,0.0732004427121099,0.239281696529626,0.0282193908345885,0.0081916409961745,0.00230169561710348,0.0130439610204228,0.428320602031851,0.0800773032220002,0.0437004859376497,0.00627159311316759,0.0018003277206876,0.00591931723498793,0.00435154844363662,0.0094120761583699,0.01110395981176,0.0058059948040013,0.0057031354459747,0.00292228221335514,0.209391720414929,0.00775103216001854,0.0332323407142578,0.00749491198737966,0.00631796568194307,0.00404659619336738,0.00526889162936411,0.0124336821343377,0.00766517997624828,0.00626199470769606,0.0347433700398274,0.0152179613335641,0.0689549668779233,0.0264490570764217,0.192449575298364,0.0229081942648338,0.00536752229040026,0.00840981458976049,0,0.00829942557915749,0.0043583951997923,0.0099141463307841,0.0206912954478991,0.00189978448125768,0.00910986688582115,0.00654731879196537,0.0136182827085251,0.0437628179885656,0.0183295282572485,0.216579318216679,0.0125505462214372,0.0273756267298752,0.00793517816303757,0.0233363243781453,0.0325193286800216,0.0170542435035681,0.0172254310914555,0.00593155960157106,0.0203570558295026,0.989647230601037,0.979028960260485,0.625162950342126,0.0156724462494179,0.00826230177580166,0.0125109994609192,0.00556135650140716,0.0064314817147317,0.00831585100006766,0.00754482608383818,0.0158529965508868,0.0289252542970385
3,0.0105192189509395,0.00978980416763624,0.0111240456505576,0.283778598746773,0.33534996734161,0.261826042605645,0.0506218102615757,0.0792096253746936,0.063125247113782,0.0204429375233311,0.0291643601162327,0.0274274771119743,0.00953457736901766,0.00825481055289531,0.00783056186409405,0.0621249761097476,0.019651052085887,0.159171777821683,0.0080995319646058,0.00040145150242,0.00571054927555912,0.00613598480243884,0.00389532986026051,0.0407812765074915,0.0201937553571888,0.00327971643755706,0.00701694084150468,0.0982599998556967,0.189978022283295,0.0242836750961916,0.00527047317634261,0.00392802320393778,0.0117295001449469,0.435284409985619,0.0713963447457899,0.0848399385911437,0.0100297335782924,0.00217380392759457,0.0103115989694692,0.00551848094544024,0.00471209272573426,0.00887247268639261,0.00734884602003021,0.00172762694376944,0.00103357856126946,0.177298488981431,0.0145884166303081,0.0641850182357309,0.0097315162450442,0.0090133576982042,0.0094437472600165,0.00989713232155417,0.0102900596700889,0.00681072923747381,0.0177145142460627,0.0327606284221795,0.0253517982827388,0.0610434698392072,0.0527002225197896,0.307682251485243,0.0352217086345775,0.00275064833739831,0.00773085061942878,0.00651273364402835,0.00472907069194731,0.00793783454117746,0.0118343722299067,0.0206834786327202,0.00587615100247352,0.00735824128126149,0.00986065720680854,0.0184891948776507,0.0682669712765602,0.023759063899839,0.182575845056692,0.0164135167695981,0.0203551835664305,0.00460471480790061,0.0443260332384273,0.020858918565346,0.0141368103780073,0.0117058094341261,0.00327455311925155,0.0343483283743636,1,0.999444924971245,0.42220195236815,0.0201798255250411,0.0252645223276447,0.0232394734046662,0.017981373575213,0.0107637965757709,0.012121995939377,0.00999343038003408,0.0253629830924829,0.0481324336690103
4,0.00969720071996738,0.00984555541155657,0.0127255422924363,0.416583701346861,0.467434584108476,0.337130869075744,0.0637347513376597,0.0929266296829915,0.0783414839764594,0.0202308621326789,0.0372003948690106,0.0368811272075279,0.0113586201175197,0.00816926626787627,0.00695261844540504,0.0543263430487124,0.0151736882735915,0.149684597530885,0.00602757671155791,0.000603652524581201,0.00463327446982854,0,0.00482423375206617,0.0368621679160374,0.0235628135895864,0.00188455366142654,0.0118517273403608,0.117178331744261,0.108093340047648,0.0203599799975465,0.0053203580933043,0.00487759827111393,0.00920247996280111,0.440825869622209,0.0624173689030383,0.121721661620018,0.0117035541882605,0.00160855205983496,0.0105121007361618,0.00549898574890641,0.000867691189453054,0.00579295555925573,0.00690806266684775,0.00231639413765954,0,0.146042984430195,0.0192231519891057,0.091480989482712,0.00725961095362544,0.00906620242198784,0.0119678152069412,0.0114033934756673,0.00742807732555056,0.00771855867407536,0.0238249517914386,0.0293634790310449,0.0282947275532727,0.052841144670916,0.078155723751838,0.417411294293177,0.0415281908254761,0.00721037731267803,0.00891833972229183,0.0262636922820468,0,0.0100333243000459,0.012804357569082,0.0197809046220796,0.011897858031518,0.00301109430915714,0.00599856131864618,0.0160800442080924,0.0770774437682881,0.0221227012068293,0.180515930990982,0.0126602372297723,0.0141678566709246,0.00321820753204855,0.0593726934621699,0.00735359673985838,0.0129417691404808,0.0083500969066068,0,0.0386492472673878,0.999585902898666,1,0.229075482323495,0.0185178895337703,0.0386409246597998,0.0267833382969486,0.0163019975701832,0.012126920190032,0.0148592444395422,0.00835600409663414,0.0278088227576662,0.0561453221605081
5,0.00852202900708539,0.00801809433711933,0.0115887344081097,0.540137578173382,0.563862898609258,0.369131218403165,0.0717561094450391,0.0933395732579126,0.0832919859348055,0.0309021872541595,0.0403718092738505,0.0413586138278287,0.0118089957265231,0.00445507127675736,0,0.0463843176117941,0.0103348036650484,0.0854627787457215,0.00709578750005106,0.00112283734283558,0.00388552273544422,0.00245877659722848,0.00324485304268979,0.0432551017036028,0.021275952312593,0,0.0146168872383403,0.108035637182166,0.13254345438151,0.0164463221933966,0.00639535771990343,0.00431296916605854,0.00680593099614187,0.443563326335293,0.0531868729683725,0.153696017268325,0.0128627656145877,0.00175356936064219,0.00716912426696438,0.00404543615543674,0,0.00471583920093779,0.00757125409333972,0.00513853267245471,0.000699269679125846,0.116427153630483,0.0214330037335305,0.114563130430482,0.00594664238229836,0.00724071026914628,0.0106889332528025,0.0111834695066576,0.00683857096994632,0.00823310910685417,0.0314972736933415,0.0256380741175481,0.0267877419190994,0.0445289180703076,0.102055132531991,0.51967953617015,0.0462714136489441,0.0176584670349948,0.0100903731573859,0.0255729146224312,0.000235033129457361,0.0101027566409672,0.01210016014876,0.0187738854173504,0.0171074669400508,0.00131036005762928,0.00257622385576664,0.0131569100235101,0.0767838466546946,0.0250909708858312,0.109735388789764,0.00668752676643879,0.01163771727714,0.00495746865964463,0.0699718966965662,0.000539632658918025,0.013620950193455,0.00570265340751067,0.00139999125780145,0.0387295652339387,0.989785252735276,0.978844122796545,0.332119604559219,0.0192681818991983,0.0395496194548753,0.022771768545298,0.0102830480858689,0.0117065047151022,0.0135675427437836,0.0072227379115279,0.026816335462245,0.0585272691190996
6,0.00926215670923177,0.00633989170092105,0.010993317238977,0.651455285737784,0.619015064736608,0.367273576798303,0.0744569069660349,0.0902692780448997,0.0797990778221483,0.0282769273033207,0.0404069857667566,0.0417538537809217,0.0104674959067651,0.00161816713208444,0.00162907478908377,0.0383963063475057,0.00602664255073986,0.0487146800491412,0.008203735676584,0.00103452260416229,0.0040901984584366,0.00683350008856099,0.000178419945686709,0.0383315298111312,0.0206493474359716,0.000722851282840953,0.0161823457316966,0.0815812080436363,0.0363426932164981,0.012554818870791,0.0079526960467878,0.004554524917754,0.00555192587579373,0.443032350202587,0.0437551222565322,0.18021545887677,0.0123624853141069,0.0036050136900591,0.00362570358724361,0.002921676555117,0.000681021562065034,0.004332284114787,0.00733112002702591,0.00547636591294593,0.00247416510194444,0.0892614682200377,0.0210390712092833,0.133367951460254,0.00565810601963731,0.00903596544746892,0.0135532283186419,0.0112374742103296,0.00908941509288584,0.00767953393811525,0.0404783662777965,0.0242195954425136,0.0235290392119271,0.0362222372157426,0.124259187315827,0.613712127223755,0.0491864722541345,0.0231784571068222,0.0149188611548715,0.0143307312316244,0.00457522210953498,0.00756016375439183,0.0123155951377899,0.0200871028732593,0.0198729370029433,5.18569000718245e-05,0.0042123789504809,0.0136562648371708,0.0785669496853365,0.0417883183121963,0.0629019356980684,0.00343424712262732,0.00853193005006967,0.00591138469737515,0.0796620735501898,0.00238813109220629,0.0150971263174078,0.00425311909040752,0.00620653867849587,0.0397660874924258,0.974169187835908,0.939277025969697,0.621513477628803,0.0217641733349503,0.0169166469940768,0.0195968004962277,0.0178660079134237,0.0106386754568628,0.012731183937605,0.00854369394325991,0.026644834192994,0.0589422951284832
7,0.00869185449473907,0.00606427919384642,0.0111333256816779,0.747412478819368,0.642351252004934,0.345069660207338,0.0733749585303588,0.0871656394389294,0.0694875288774831,0.0151591801935451,0.0386755742731031,0.0388444812389656,0.0087987010685008,0.00294744452453741,0.00578927667496233,0.0303897429503422,0.00274269243925781,0.010822347216615,0.0099012132265112,0.000652069784870405,0.00190376684247836,0.00585181969438502,0,0.0267248403872677,0.0211017794321081,0.00219806857285929,0.0157905111544228,0.066514098755428,0.071654079478648,0.0088022996010119,0.00941080865729649,0.00419462944972703,0.0104633568312119,0.44071277210129,0.0342875186038764,0.200335967170961,0.011456252971824,0.0046051182974106,0.00352968353554708,0.0011159621074928,0.00346375908256056,0.00523798662639613,0.00728676101813779,0.00456059066058887,0.00133332036389933,0.0651632518125566,0.0187967532670709,0.14792334056087,0.00607852655000548,0.0104216672095929,0.0161734279839043,0.011264363060519,0.0113269061673043,0.0106306286816936,0.042811973076726,0.0249262768613529,0.0206566276468029,0.0280718661313532,0.144676102424719,0.698667234175432,0.0520071698228462,0.0179486995046804,0.0214732545032386,0.0230354163934687,0.00414161142818804,0.00507292299032471,0.012570032433617,0.0222741996460106,0.019663125250813,0,0.00790089612212642,0.0128324001419136,0.069254220006285,0.0631223764561351,0.130427174285686,0.00263088998250889,0.00311604932853549,0.00619596380898118,0.0888324022950527,0.00693938829282114,0.0171835605100457,0.00619830799642782,0.0101111697058336,0.039991526526681,0.953903335902487,0.894155995393861,0.71245784034189,0.0262427582569909,0.0346535282723731,0.0213849141706258,0.0160542138186949,0.00884487232073126,0.0142790839710518,0.00947284498959225,0.0283830452492619,0.0598252015681578
8,0.00867863474780087,0.00773852793886896,0.0113324201749133,0.826323454776281,0.639664176366995,0.301904797744135,0.0703254037293103,0.0859742674320523,0.0597839101038737,0.0200293988009504,0.0371975798337035,0.0356856345655171,0.00943201791275961,0.00575092615691712,0.00284333601441264,0.0224760753838151,0.000727307570833355,0,0.0111188999954312,0.000561010013545212,0,0.00182576616256987,0.00316733474042221,0.0403578915563391,0.0226900963622041,0.00394912368293954,0.014857053799629,0.0702072912954043,0.138314901422985,0.00538369696306252,0.00798314218204858,0.00426372375752214,0.015113470459386,0.436264823639457,0.0250802971677718,0.21293114066858,0.0100872313943622,0.00602203438232066,0.00770805260204973,0.00133258014388618,0.00692569887826716,0.00515677236398526,0.0068393013967536,0.00213210307648877,0.000544299912386568,0.0444422265023605,0.0158051696923297,0.158120076536604,0.00874434284390414,0.0130553867485789,0.0122671352657792,0.0101078669445026,0.013504939258162,0.0152201603671623,0.0323718616618978,0.025985680134934,0.0193674099882623,0.0202024646009865,0.162941353836404,0.774010607976183,0.0505309691006069,0.0101796851017001,0.0204231325183411,0.0175809006131835,0.00226772703983763,0.00482334227592105,0.00930153991826887,0.0224879075790874,0.0191454379129528,0.00118438778650886,0.00850023670817552,0.0120266686428532,0.0308643898322211,0.0765322311730214,0.233278151722479,0.00208692547975719,0.000263628774364959,0.0059398201975247,0.095795576224544,0.0122347133458189,0.017708703976026,0.0125816308247528,0.0114170177494209,0.0339808997226079,0.92793652473847,0.85849121359828,0.831204529314472,0.0286848008432072,0.0241853731510774,0.0272735511770058,0.0146025064818632,0.00854685211727386,0.0176966711485061,0.0106904676929962,0.029491101425107,0.0594283176721798
9,0.00930769031354449,0.0100930362419576,0.012090795939086,0.888021708665043,0.623167971324404,0.248118939579765,0.0650373520015607,0.0848221969761487,0.0559416098374507,0.0112698888192757,0.0380023961435208,0.0318578963902556,0.00904759359497322,0.00688502147535507,0.0168876585728555,0.0149932384319504,0,0.0226232590064532,0.0103832729314477,0,0.00168993115994838,0.00306349370048935,0.00260145861551846,0.0462724456995635,0.0221074048486285,0.00665380693018899,0.014751076888308,0.0688762656260432,0.147406306840915,0.00250977793787346,0.00393097433616903,0.00417830927824471,0.010498093129266,0.427413437189712,0.0165741725323456,0.217999620615835,0.00755992002520216,0.00706259118977685,0.0123414684695904,0.0014363993629937,0.00825283201338419,0.0029546792273033,0.00660908347305452,0,0.000702607296418361,0.0273273158558134,0.0126948957954354,0.164228169532971,0.0118214533333932,0.0152532863922498,0.0067024571222579,0.00964339879289738,0.0129267647658639,0.0169588063900947,0.0167989831914915,0.0270473835125102,0.020054023034377,0.0130559581527746,0.178588344958922,0.838768066615378,0.0428744730218683,0.00743373348083558,0.0158879097189746,0.00430041032947147,0.00411872413171092,0.00641894953720196,0.00453794348233069,0.0210236663255258,0.0189027245561627,0.00266246377217537,0.00898040364039378,0.0120442181435867,0,0.0784033117821781,0.285333307154679,0.00442157208774224,0.00113003830178741,0.0046919120607164,0.098236414640948,0.0164873071933955,0.0154191031710428,0.019318527101861,0.0134445993630957,0.0243869389595515,0.894775573934575,0.834986607623957,0.670563939600458,0.0259387836262759,0.0373944772997561,0.0292776630232785,0.0196559961905091,0.00965150689604181,0.0163908885135291,0.0104641457364376,0.0275947240065908,0.0577596511859465
10,0.0115489809809972,0.0152285494661499,0.0124793134084706,0.933459926368666,0.598400902159309,0.201909116477655,0.0591218379992239,0.0830337353175442,0.0588473552668833,0.00608535081615107,0.0390954194592627,0.0310872483004048,0.00508007193743661,0.0071335309223923,0.00413039235417064,0.00847506491214056,0.000464443553907696,0.0391158045839332,0.00686197712110677,0.000883039297206839,0.00442339388522107,0.0040384620292247,0.00122639862438885,0.0289866735978633,0.0185691419959443,0.00734648089877414,0.0148281134184041,0.0537299861753668,0.0955955340553285,0.00061284852275743,0.00114008256745348,0.00447241214455506,0.00439248018176621,0.412688453620809,0.00936531043186028,0.21717700718145,0.00649640372373589,0.00258307587999196,0.0173878632141579,0.00105567218766668,0.00743115986015971,0,0.00761197321677868,0.00041058640940155,0.00194672199674323,0.0141654960213995,0.0103245415196439,0.166607849736686,0.0124945484272106,0.0155664168672101,0.00557230880436048,0.00999775561810214,0.010736399006578,0.0149732547327058,0.0102263494279676,0.027367060445188,0.0214577385148669,0.00712632768523347,0.190570693423693,0.89198775007834,0.0367114778958906,0.00971524483182147,0.0197755996531246,0.00937147626594031,0.00542609133379336,0.00746257459531803,0.000354827719645018,0.0156340279326965,0.0183805505316173,0.00424609045373164,0.00718959112957346,0.0133654189778326,0.0113599863095899,0.0743523829579625,0.321726180814838,0.00840952046898723,0.00432883350482647,0.00602952092920834,0.0979997467553056,0.0145334733614095,0.0125815370199874,0.0226559687475114,0.0174017498398428,0.0164416966855156,0.855622710649313,0.81438737721791,0.432017725164527,0.0176396738333803,0.0185783336862085,0.0264250913574649,0.0157456239568477,0.010586500179413,0.0100299604770164,0.0103571072978825,0.0262183195748187,0.0563471426999208
