"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0.848460714712488,0,0,0,0,0,0,0,0,0,0,0,0.0090854522650761,0,0,0,0,0.0216582350808498,0,0.0150736017628488,0,0,0,0.00176175028502993,0,0,0,0,0.0322017805589791,0.0297118554494199,0.010787109381168,0,0,0,0,0,0,0.0339341850907651,0.0152867053089286,0.0326733695828347,0.0252748282561085,0,0.00111852300081781,0,0,0,0,0,0,0,0.0356581216556458,0,0,0,0,0,0,0,0,0,0,0.0570659689496818,0,0,0,0,0,0,0.0634171283918959,0,0.977746230866945,0,0.2252940768373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460200359105795,0,0,0,0,0
2,0.0109000956361657,0.00803971357972543,0.811137968471821,0.25938260291688,0.176565657376601,0.108589986954633,0.152665589448104,0.190683495673489,0.137979402734666,0.0193810561019771,0.0315932529832076,0.0733174598558677,0.0080299650207805,0.00377198149086894,0.00772494887529313,0.038363742169395,0.0230031816981856,0.0253646902136301,0.0339249441233855,0.0256285017113296,0.00793245419970919,0.0260308737749553,0.00367493775995108,0.0333500298262024,0.0173574298664427,0.00765577727188902,0.00933798292512746,0.0399277059698195,0.0323375368827176,0.0316997015663926,0.0263894468973211,0.034764438444555,0.01857328479233,0.0472097487305024,0.0474853086261374,0.178495625721615,0.0254115545282343,0.00700584198345578,0.0147766590049222,0.0421438102759098,0.0191973719418593,0.0303031768427621,0.0230007739929831,0.00390291982154828,0.00219822216979416,0.0868972547250516,0.310812955201197,0.439795339972657,0.0170584367963725,0.0066351362513928,0.0335372030233896,0.0156892553351896,0.0518349566133532,0.0179006052373753,0.0317981856606457,0.0559311082549652,0.0318638473446664,0.442921486510827,0.145766590128904,0.2920655477706,0.0390985713875416,0.0177995890358427,0.0217288257695773,0.0641823627548978,0.0310715545554921,0.0161165182999334,0.0451472799588396,0.0155414730413633,0.018713947301305,0.0165119296074593,0.073181476566481,0.0238008127813669,0.991017904402055,0.0985997863253259,0.333153332550764,0.0134635813817417,0.0186161545746727,0.00670404520309606,0.0575005305528783,0.0704841071806592,0.0809135163335555,0.0355312900933885,0.044079967965463,0.257151618080051,0.320825237396339,0.345549214615833,0.309493135374384,0.0276280625707272,0.0354951729847227,0.0150070626230405,0.0543289132180995,0.0181067949295886,0.0140989978071183,0.0376414743107227,0.105209118289213,0.255039763385103
3,0.0180532458411229,0.0142666564493108,0.742439514581135,0.447390198197058,0.326798929634481,0.206230062565263,0.267645193729308,0.299047636855847,0.245900668071525,0.036801110802652,0.0475795553689556,0.0939254901521686,0.0147543483092022,0.00534947713431265,0.00785105674870089,0.0698213306654213,0.0454609310281194,0.0507410885910061,0.0451110162446397,0.0285917094046624,0.014903510824251,0.0343715030571543,0.0079770134582526,0.055056098670036,0.0283029909155245,0.0103808797285027,0.016641805905636,0.0685611225231203,0.0615799744664742,0.0572327127336811,0.021409893003988,0.0383273818046858,0.0241649226929415,0.0934315699619285,0.093502564933382,0.330464655344271,0.0405754848448842,0.0125785110793849,0.0256105389168069,0.0493739126558832,0.0211926064346197,0.0275972853279782,0.0224583701256533,0.00873016401126287,0.00410898860038793,0.169597365438101,0.569280271291186,0.716428395950275,0.030447939177938,0.0126612296525743,0.0394149195109375,0.0305074041076507,0.065078854416447,0.0334320324370728,0.0605513684480863,0.102805881347805,0.0627200080073538,0.766580759372524,0.279417499924032,0.525749978950963,0.0597377537513364,0.029973625876134,0.0306666124738387,0.0730320545060186,0.053744780297858,0.0264462359190989,0.071998308793852,0.030687930015588,0.0366554656060878,0.0312313946172157,0.0815036648520992,0.0435964036973533,0.998638828494635,0.192727421767336,0.438215646856435,0.0337023135030431,0.0333219453621286,0.0149298476580211,0.113066318231273,0.131694304191068,0.151360542367387,0.0694117342153967,0.0869532105620166,0.408833037747378,0.570487001869391,0.624982959400084,0.573528093970222,0.0462209736078358,0.0442913435490736,0.0253897657512416,0.0603165782629579,0.0338982467234898,0.0248346603481978,0.0701704767616225,0.168158799797017,0.308263744865838
4,0.0216947995224324,0.018323599648114,0.654714230566869,0.541777199809432,0.427131171164369,0.286953447482296,0.34031282004255,0.327546245299298,0.313816339349292,0.0507848955804572,0.0522026907510873,0.0939636438631458,0.0190875957240302,0.00383638565139621,0.00775976299105654,0.104391331313067,0.0663587850083893,0.0758015632547547,0.0223670801392725,0.031362540452921,0.0183351492573774,0.0376789315325562,0.0126152630665496,0.0632872065392916,0.032482544652262,0.010721369036451,0.0203984044752805,0.0833601999308665,0.0859099996351668,0.0774201898936633,0.0179232506547067,0.0415167928366563,0.0278340914801816,0.138241053293867,0.13699288991043,0.448615170711268,0.0447262082065516,0.0163772106126533,0.0320494422705753,0.0545098439376407,0.0206382670128454,0.0268762049833673,0.025111266851902,0.0134261301938473,0.00606352945361176,0.246256432721758,0.753460023021223,0.869962603286388,0.039122197085771,0.0192455826986499,0.0281826840928412,0.0414085267635392,0.0738727364097903,0.0457522198135392,0.0849906866958361,0.133533158212602,0.0916602696069636,0.913549021544613,0.393209128478686,0.693772952924807,0.0639174572018672,0.0415703548348297,0.0482737295361686,0.08038680752824,0.064063571710634,0.0303865676026972,0.0780615434367725,0.0443021050374811,0.0518605087000785,0.0425406310894368,0.0879224130044116,0.0577954816952176,1,0.279620931883185,0.538899258893553,0.0295517096930514,0.0381917671247047,0.0201588615479897,0.164206613501449,0.179153841862871,0.203417633896518,0.100288454960755,0.126848330150233,0.438946337022501,0.729107147588532,0.808248855456111,0.752699998152012,0.0538006444201811,0.0648945247508735,0.0320701032444212,0.0626393427639359,0.0449237875608842,0.0315952320353092,0.096558386389811,0.202839002618667,0.341166344432062
5,0.0213156168940111,0.0193976866878475,0.567469335257761,0.535763029583974,0.472845818022537,0.350798284994409,0.377900775159351,0.324366762745813,0.345013306754296,0.0605029109953309,0.0578140523128987,0.102760154381426,0.0203232579089861,0.00209340145471206,0.00781473616086095,0.139905557448773,0.0849054767693631,0.0993767205658568,0.0123791694224662,0.0337883922557068,0.0194396092109146,0.0404940204389502,0.0157046854355376,0.065387537606149,0.0317300976755372,0.0102851194134609,0.0209307070238194,0.0892117214173531,0.104416867404424,0.0920054322973208,0.0156095640295738,0.0445399167993688,0.0300402766728275,0.180424557707782,0.177209478932247,0.531521630182995,0.0421055253825968,0.0182192019370656,0.032064782635821,0.0564548409790075,0.0181400544648416,0.0285863154841347,0.028121753744321,0.0148203792243856,0.00685877672024546,0.316704080038738,0.869985487180232,0.696802528514044,0.0436681684038963,0.0236353895736152,0.0357155690417895,0.0484755622075463,0.0766820600860533,0.0540711127967771,0.103773238904831,0.145986578077233,0.116259978718856,0.878021557911809,0.484894022204907,0.798433626770227,0.0613424743446995,0.0501831952692032,0.0612456657162974,0.0837353287569869,0.0651869879085815,0.0299106763316355,0.0804223886463457,0.0556549588457329,0.0629113997792618,0.0493025725114112,0.091514923611428,0.06639063125195,0.990564561536318,0.357837803640049,0.63321149842699,0.0175595198183857,0.0397158841302244,0.0223806202948287,0.209569282121362,0.208260010100408,0.231323562819192,0.127173500549045,0.162307511516874,0.428781005237984,0.821911940708495,0.911934319979243,0.855899971563762,0.0551952746734083,0.0651157148105779,0.0366133679437089,0.0641453888365754,0.0511422510110719,0.0359891675034352,0.115703415559126,0.208224495208222,0.337829666198675
6,0.0191747888762017,0.018317293970751,0.493760701510423,0.499661153561577,0.480722639818583,0.402132201760648,0.395114254828363,0.327708622869327,0.358526054690958,0.0650649995778319,0.0622634893515466,0.110072190424264,0.0186709711710634,0.00209862954228172,0.00844415863547406,0.150564036443403,0.100369497983796,0.120499282007165,0.0335779461912894,0.034865408988207,0.0174535652467123,0.0445932451746592,0.0167129463111707,0.0689136554584636,0.0318359474422782,0.00945425539068587,0.0194573023865294,0.0891930569862943,0.117180710527587,0.1018228638906,0.0145525418064535,0.0450486153298133,0.0309254672378033,0.218073920908095,0.21320269032104,0.583264205753566,0.0454962793785934,0.0191633969054659,0.0291385774367993,0.0550839164348305,0.0173922662795285,0.0304810002463246,0.029449960477685,0.012787147494875,0.00648258712417292,0.381802911745443,0.939080608001112,0.734190365372791,0.0463408820581811,0.0261978568969261,0.0503322494977412,0.051309139369583,0.0756102877769486,0.0581474970856341,0.117093508993145,0.149244356751793,0.132663666962704,0.784423413447239,0.560352699015435,0.845685957417351,0.0620384508286538,0.0542109194712967,0.072787521316105,0.0824822371404016,0.0626454333295547,0.0296063294901851,0.0845236898150559,0.0635908001005754,0.0699304055072402,0.0512577817712636,0.0910238669846123,0.0716951412821445,0.969030829647572,0.42614089847473,0.719538087178071,0.0247869232366667,0.0407390054451429,0.024293617417795,0.248849522484334,0.221232330299487,0.240228670077567,0.150085460418709,0.192247857395204,0.428043497317627,0.866281857582444,0.951007133490042,0.909767101666685,0.0571036876238653,0.067814426484492,0.038602173948256,0.0651533003753836,0.0530054956876052,0.0383307512783181,0.12856282281475,0.2056592361202,0.366999052911572
7,0.0180526893309486,0.0169396197739426,0.414482532990166,0.49689211922993,0.481623595393993,0.441748955039094,0.411779759349347,0.328531524219633,0.367896958875776,0.0652933899346526,0.0630683850971684,0.111270220253126,0.0168628503527696,0.00394307555734375,0.00816058346670281,0.14350543203389,0.112024246300619,0.139125119010054,0.0584427800303268,0.0331894343763076,0.012703312291295,0.0432772471060311,0.0167391384416836,0.0702152261499362,0.0331998973818485,0.00924734256888008,0.01770815107715,0.0865133321759002,0.125666865554134,0.109007064686182,0.0149283208247274,0.0420685637360025,0.0292894950380619,0.249844869031026,0.243702793929097,0.606416431699863,0.053033344613255,0.0181628636636385,0.0274447084974176,0.0523442650230844,0.0189931524109595,0.0305059772070903,0.0281751146020096,0.0097933406116176,0.00566169625527162,0.442657538638986,0.975957462858164,0.842964731056264,0.0458129758337516,0.0277230135974575,0.0631465375893461,0.0493908512451354,0.0709433195709706,0.0584967604658502,0.125309970566714,0.146148209129185,0.138292681040806,0.719565630264492,0.624879974162044,0.841153922396386,0.0706215227747795,0.0565561018812793,0.0768505419984586,0.0779887540943109,0.0581419093495729,0.030231892300301,0.0860779781249983,0.0671789805136409,0.0740492815843848,0.0496246651472671,0.0872891090151297,0.074431041637866,0.936352805602617,0.482918733118039,0.796222111847119,0.0333797689810548,0.0406741125064315,0.0261912055417486,0.281009810280687,0.229118579009014,0.235295455164116,0.168717943992004,0.216261797900526,0.456197013308587,0.887727800191803,0.953100380321349,0.933305849295698,0.0611933084510088,0.0783935982294849,0.0394966724829816,0.0638586311955813,0.051440361371773,0.038607738718575,0.13438251823201,0.207425172707485,0.365496751966222
8,0.0179099751892735,0.0169776879437358,0.328274313777532,0.531254142863049,0.467134256030157,0.471769994267414,0.425904690239383,0.345116253065153,0.372770807091807,0.0635177666535474,0.0611707376056637,0.105971441022177,0.016837534812467,0.00486722013535743,0.00720051960621105,0.144301599388688,0.119763069218241,0.155657481033086,0.0385221392375592,0.0287382897709711,0.00774870854101634,0.0358357119987246,0.0159518141263178,0.0700380990349321,0.0333286666490185,0.00998621895471841,0.0182454483198026,0.0794685218711763,0.131839748026761,0.113316370739871,0.0165751004708312,0.0382694334833127,0.0241603230720161,0.275252202624074,0.267580781664188,0.610247304293823,0.0555923500799689,0.0163868629079915,0.0290558988022819,0.0491581668583254,0.0201276250529027,0.0290506599452966,0.0237813779526689,0.00825658793255345,0.00418676027577106,0.498660056644725,0.977909902442477,0.711846130405963,0.0449953133451749,0.0282793374179253,0.0541017777215236,0.0435604291671878,0.0641355764344945,0.0569901790156902,0.129072063886812,0.141520059561013,0.135031673180646,0.724070444812287,0.68076539723627,0.80872300736107,0.0795430227752258,0.0584734161059737,0.0755998654296506,0.0720837339623692,0.0573343243969582,0.031795932111129,0.0867089090577957,0.0672217852649742,0.0761769128246219,0.0467396275027499,0.0816914345996316,0.0754464150618665,0.896048800597093,0.528677589364264,0.861206832827948,0.0303071915390963,0.041634010906774,0.0260618534577563,0.304046221561005,0.234070986548667,0.223056789465521,0.182867761056127,0.234865136791276,0.46299417493529,0.896509666938448,0.941013593043674,0.938077642563507,0.0629948654821723,0.070993675128192,0.0403166123180157,0.0596737062989356,0.0486221259523589,0.0389693248191646,0.135530027923882,0.205278066444047,0.379821042505935
9,0.0191850593085065,0.0171227082417109,0.245773214247756,0.560236877579462,0.444687984045911,0.490515580297271,0.429822097992137,0.360005250752362,0.37636420187194,0.0613345581986338,0.0583046717133858,0.108680696442041,0.0176962707402515,0.00399710049178229,0.00348953931015334,0.190085711505241,0.123912838301234,0.169024862151496,0.0191366942350871,0.0235204384253997,0.0080513378982438,0.0340290758499949,0.0158561373933535,0.0701875731299745,0.030380855299567,0.0110357209690397,0.0192510031286533,0.0651160420149269,0.137852437144962,0.113820848114393,0.0176656446896086,0.0344341595462618,0.0173034601967931,0.293782065981945,0.284585187998305,0.610566481539922,0.0537004007311615,0.0174210790350565,0.0322019679141641,0.0453607240558341,0.020692478231041,0.0274675443963475,0.0190510252903255,0.00831986658033242,0.0024361306668358,0.547604589849075,0.961604456527891,0.850271604812828,0.0459739890030948,0.0271838948584546,0.044765477278453,0.0379199093497053,0.0558912366463296,0.0553992676605597,0.130791432076385,0.139347292634457,0.129883913641265,0.73666794290723,0.722550062342504,0.773848993143519,0.0858804283310852,0.0601076498022999,0.0739090840048631,0.0672473291915146,0.0591470593368293,0.0346959603708368,0.0826585227039233,0.0656142034086438,0.0769738039747579,0.0430525489608557,0.0734491613113615,0.075816704296473,0.852627851064965,0.566312803596768,0.91369018654559,0.0307240884924301,0.0458898707469717,0.0253918546063785,0.317891136329633,0.238460919719993,0.213530085473465,0.192524301158858,0.248729300735244,0.436407368980314,0.891774697621624,0.924680405393402,0.916343213726126,0.0583206483888758,0.0615662744940056,0.0419759266622289,0.0540667898320686,0.04609526331152,0.0382799544586178,0.135709175359359,0.193039748953432,0.32348835931406
10,0.0225651808583255,0.0176212049596516,0.16395296301901,0.55495704495785,0.431136198082322,0.500561153165708,0.417213149270138,0.36068256069609,0.380281776189233,0.0601430118194151,0.0522853213937007,0.103720231679134,0.0188446503076769,0.00458842483122066,0.000478433993298414,0.235760951921961,0.125172963298271,0.177600172965613,0.034828286164097,0.0188878986239381,0.0136925028881298,0.0364057612098505,0.0164645224912861,0.0717153546909382,0.0261762011403047,0.0114533162198564,0.020601035022529,0.0665156688276147,0.142922039332822,0.112375326950442,0.0184144311609413,0.0283222447786436,0.0119264378011598,0.304942570053682,0.29560734916806,0.613662197488911,0.0505998996110837,0.0191562349087597,0.0335719224749409,0.0419103063088343,0.0202551543921579,0.0263099588794502,0.0141239013537827,0.00944172008336523,0.00144052955552718,0.587364279783057,0.941769140104383,0.896925817498113,0.0469697359282139,0.0268403156734024,0.0487108150172956,0.0361672771179538,0.0467965864501453,0.0529202081169349,0.131988583073411,0.138189898696238,0.125725725079607,0.761306692564091,0.747250681844251,0.766208031945764,0.0808203432618339,0.0600321638568338,0.0610256235096227,0.0617615591222469,0.0619176811435355,0.0364823901756071,0.090284219173958,0.063630169374525,0.0771126119471894,0.039156802458914,0.0635523913641986,0.0760851997963347,0.810365971894403,0.597198643685927,0.953328571703084,0.0303341385959042,0.0491019483850748,0.0270164696796591,0.32318319681846,0.244790842793079,0.216235660265857,0.198278488112702,0.258645876384115,0.404235692908265,0.910130443974449,0.922933244481788,0.893963244710625,0.0519926836567381,0.0648706269537487,0.0424870090683086,0.048244463059582,0.0444842592667795,0.0363841619336934,0.132980536449613,0.18438094620646,0.334549778480951
