"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0.518396964993216,0,0,0,0,0,0,0,0,0,0,0,0.00647562322967447,0.00240753578477517,0.14837098911595,0.00953882951652377,0.0458148260514757,0.00435943842136776,0.00271876005257077,0.0025280601181624,0,0,0,0,0.00975720636303001,0.00634090728037058,0,0.0252330151262259,0,0.00908890257201549,0.000572467827166183,0.00776639035762869,0.0117755140103639,0.00400119778116681,0,0,0.00929283792575164,0,0.0182412502795899,0.0108848841275985,0.0130051001050875,0.00363637050173845,0.00297803141485156,0.00597996207930828,0.0265476670579668,0,0,0,0,0,0,0,0,0,0.017737462423396,0,0,0.0254025483397306,0,0,0.00502072676300621,0.00988200662199485,0.00772076359868007,0,0,0,0,0.0030619476943759,0.0037981536389286,0.000198316940601828,0,0,0.0461965539360483,0.00802958018261212,0,0,0,0,0,0,0.00147373821631617,0.00409790940854084,0,0,0,0.8905612024993,0,0,0,0,0,0,0,0,0
2,0.00943128740999095,0.478962351129122,0.0117823596268195,0.107892410633646,0.132548765333018,0.127544222719363,0.0187779520119276,0.019671335576659,0.0331219579444654,0.0178348336577244,0.014432207632173,0.027911146701196,0.00261546323764835,0.0029796866695372,0.00136361448213772,0.113390452594563,0.00770867365632799,0.0605941958774109,0.00152283471332097,0.00229004328433556,0.000896790919115086,0.000187372315142982,0.00201869607516849,0.0181820476949447,0.00651997996111077,0.00336240047700505,0.00406075632510334,0.0028888133174978,0.0233128231839744,0.00568103705743724,0.00504831274418001,0,0.0065070396436297,0.00656848549559522,0.00289405197393068,0.0303468622519041,0.0102331911952113,0,0.00109186957506108,0.00825701887580936,0.00792062459431614,0.00507170820577402,0.00115733066383888,0.000534425132132789,0.00337529613681146,0.0212722788476411,0.0265101298211983,0.0348220570720179,0.0113453577220312,0.00239181915766587,0.00382027896427384,0.00187588748391131,0.00193122853336282,0.00780896352547807,0.0272990185285429,0.0145378601404073,0.0103633082491048,0.00389738844180508,0.0196620580455032,0.0360912387693701,0.0132027649833119,0.00359946877969936,0.00473912335573052,0.00335961523598597,0.000581008565078558,0.00324866778097533,0.00931713315818837,0.0072005364856363,0.00830315434634461,0.00639723752279926,0.0014739418009191,0.0138004967102779,0.0167172640256124,0.0307680942102145,0.00954783535863644,0.000568271633172907,0.00308316029352256,0.00189350246558473,0.00286276298336196,0.0216443886902164,0.0044392709708112,0.00225910063815928,0.00184063504383337,0.025413274903345,0.0565612794658356,0.0195022475749585,0.957729183267275,0.0106075583036897,0.0125823395439266,0.00912918488442316,0.00570207137009983,0.00777035205529904,0.00493934465594888,0.0126871958813179,0.0158869238164694,0.0313650528196409
3,0.0147975429778723,0.437347894877486,0.0192524872104928,0.191507161508116,0.236840654969659,0.225781226737325,0.0348422091616341,0.036123886779265,0.0484555750645133,0.0281640054442532,0.0245395021775302,0.0449829664883208,0.00459529123203997,0.00388920242260533,0.000315528690816563,0.0847625812094518,0.00620359997537109,0.0781217989237223,0.00225172808925155,0.00137543527352228,0.000528727236230639,0.000566769230352948,0.00330586722167796,0.0290802885277182,0.0111509028688035,0.000630838541822806,0.00303608806843215,0.00563656090348707,0.0221728375314598,0.0112675801262569,0.00309652929826268,0.000841301834524127,0.00685540185059422,0.00407715625876257,0.00151733138177307,0.0482339473112706,0.0164433261793849,0.00554248430363967,0.00142564335041041,0.00520859503993558,0.00475746439575301,0.0061852838386605,0.000366941294326579,0,0.00324915221622647,0.0142927444881486,0.0328882516439813,0.0475016395326209,0.0190689729668952,0.00316407164346574,0.00738154792474032,0.00542374290151901,0.00831415205473528,0.0134615870795785,0.0455237296212164,0.0141437437615917,0.018359323707564,0.00756943743018817,0.0171403799255249,0.0591436360161275,0.020759117375947,0.00114819383500742,0.00226861612295687,0.000694196798016939,0.00136298868403563,0.00434192438574802,0.0185373777119692,0.0133361652387295,0.0160911794690024,0.00812782815983564,0.00352157770893549,0.0209949020682085,0.0317434418390607,0.0199806580818458,0.00641456465882212,0.00108984891324476,0.00611473310851388,0.00453906600612292,0.00779618952057986,0.0428373373903832,0.00992187802274219,0.00289235101388136,0.00221570418885226,0.0371473339713337,0.091086661249413,0.0332291671312562,1,0.0119636253806922,0.0210948442588842,0.0172980105988652,0.0101071490237084,0.0126782750316907,0.0100245828667341,0.0200879843341415,0.0255668772370142,0.0559805075758225
4,0.0158097385756239,0.391756668401454,0.0195548940504808,0.246435030206546,0.282927688297192,0.286308629043399,0.0472591757453297,0.0452171793491145,0.0536268383863666,0.0324303875685331,0.030136827177406,0.0518094564051796,0.00514239874231979,0.00198292244513256,0.000615004815055179,0.0667749176129124,0.00524883585516464,0.0972816686843312,0.003055852132136,0,0.00122213727573123,0.000354967692422355,0.00522475729239468,0.0333621854901248,0.0131664227241924,0.00206917429793757,0.00404803351175937,0.00816110309711482,0.0208863874138841,0.0160036196215933,0.00274251676679802,0.00201102630330382,0,0.00321804402985719,0.00010842007834032,0.0557982983443056,0.0192735706228432,0.00880509861922089,0.00240378836518476,0.0058587047742554,0.0026445700168833,0.0073070530796316,0.00079609812889854,0.00107245503400097,0.00451194723956839,0.00920319449586448,0.0281110499700487,0.0564771855126148,0.022267912234391,0.00261725668101511,0.00886364572614402,0.00813546571919668,0.0106172635624908,0.0164001193175257,0.0505126981981797,0.0160075292368409,0.0246708057709426,0.00805430476596147,0.0175214650721245,0.0714308726798232,0.0235234591251725,7.15643949511766e-06,0.00184959174360045,0,0.00246814849529805,0.00484836382401229,0.0288054363310683,0.0162169579410195,0.0206855709174704,0.00748570691706648,0.00521764356411182,0.0215595196227739,0.0442265390764659,0.0257979797191075,0.0129121483864635,0.00200121208068463,0.00813799344527239,0.00384466247998799,0.0144921491947294,0.0613719178199525,0.0159644910470201,0.00413353433755756,0.00452708789627719,0.0410891793788819,0.104461490381169,0.0395501854925097,0.99855910220247,0.013086286474909,0.024050276452786,0.0213193104278702,0.0129360787497318,0.0162203082418283,0.0140087134389955,0.021774773029094,0.0293149621655371,0.0668671409678024
5,0.0157868024282522,0.343015214619467,0.0196390964889771,0.275706448995447,0.293514683172369,0.324227465175154,0.0560315383339348,0.047672069514303,0.0554340536881256,0.0327889571179923,0.0334843244856944,0.0534077031440561,0.0051120519483951,0.00300040613603296,0.000927836757737724,0.0618174369820994,0.00490430920743025,0.117111946781821,0.00208471037038202,0.000133021982215498,0.00175361819857157,0.000747747092460638,0.00854045547550031,0.0339237759164139,0.0156620285903047,0.0054357678182356,0.00612820034180371,0.0101939851447943,0.0184927284713843,0.0196932407115512,0.000699879521757668,0.00268053431047146,0.00369505636652511,0.00450302370756854,0,0.0579432836342488,0.0195704697075533,0.00490831768900764,0.00418893640260465,0.00223078801575504,0.00111359511807441,0.00596688809079743,0.00113928140190135,0.000665339857253478,0.00466524278224355,0.00621039008945902,0.0227249102074691,0.061812724094105,0.0230554722447066,0.00150378927742696,0.0102486919254216,0.00732094683844404,0.0088660734063989,0.0160266637840063,0.0490011442788544,0.0154093597315947,0.027866740525885,0.00717069875166523,0.0200029020403305,0.0755642367896165,0.0222158066289709,0,0,0.0010894989447472,0.00386768307004209,0.00523533639389936,0.0379057020385331,0.0161891708323096,0.0206695225464748,0.00502375172898645,0.00509293933484566,0.0209314642498749,0.0545539984124532,0.0288558414274278,0.0199705648681186,0.00363627515312138,0.00822689553907359,0.0020449441446509,0.0213904222197157,0.0736198572444378,0.020732454909236,0.00519278790781706,0.00738073904124237,0.0407685880317629,0.107125256614614,0.0403323417722662,0.958209461588997,0.017228676160271,0.0238380564897537,0.0204860836458815,0.0127001404587795,0.0190506540996531,0.0162875831127905,0.0240665850122798,0.0309302235363422,0.0697545145118932
6,0.0150020972166799,0.294052346191516,0.0176238535225202,0.289629829395085,0.286953033104994,0.352869259793842,0.061381523216684,0.0469913367886247,0.0582791760211864,0.0310154626571329,0.0348730884809488,0.0557891251359576,0.00522002876476232,0.00317657832158639,0.00051538297610832,0.0636794060593969,0.00540080246078861,0.136089372797288,0,0.00197563990004211,0.00226059724183724,0.000734084149855228,0.00951403269084012,0.0347092032508636,0.0166927979883458,0.00460581144635913,0.00540726055239369,0.0116046633345755,0.0155874454924856,0.0224332372142832,0,0.00324898967261495,0.0100293364046588,0.00373298049873027,0.000606131663556912,0.0596427351074104,0.0181705692018881,0.00695003312256556,0.00496260046680698,0,0.000814426205197586,0.00732138373529269,0.000621236292725113,4.6736019910707e-07,0.00409710021238318,0.00454300442021376,0.024333319508915,0.0627780416132009,0.0252106274841046,0.00196334879382366,0.0101463059076681,0.00504101273380547,0.00868419395091163,0.0161075569761083,0.0457224384281184,0.0112753561318685,0.0266102457052115,0.00512401924855645,0.0228808781997201,0.0745862254754178,0.0216600681897176,0.00175264844431818,0.000783509013554873,0.00259883598684871,0.00441727293644095,0.00497443728758742,0.043089345209259,0.014553171577424,0.0154823057390213,0.00294900146001806,0.00364714925866392,0.0208613825339901,0.0636317695065336,0.0206569595381265,0.0210957475299671,0.00420898002183683,0.00706186225824029,0.00184741198166933,0.0263547692389727,0.0799701876688938,0.0247924949222725,0.00648782921461913,0.00923845496254985,0.0378726432328421,0.10771252193669,0.0390951873636185,0.899330936018493,0.0154922943737052,0.0220831764293674,0.0201098573857351,0.0112895430581854,0.019999508505638,0.0175333210637594,0.028986705788984,0.0298442217847288,0.067598366924217
7,0.0149238185611775,0.245596561068578,0.0178594670498019,0.291511225098592,0.283999313844518,0.382910572685047,0.0634656882158555,0.0463677731187515,0.0567592989796041,0.0297281940351557,0.0348324020161265,0.0578388201540382,0.00506791041886891,0.00415383100783887,0,0.0668821108265686,0.00636081588133018,0.148292702935811,0.00126927291250634,0.00318254391508896,0.00120135479846368,0.00102758203109831,0.007922896093431,0.0353537172347557,0.0158494795532491,0.0007948695580769,0.00416320627458701,0.0123282362188112,0.0130708080449182,0.0239772168705288,0.00118945227299263,0.00244904307953021,0.00798021750976641,0.00216141688802655,0.00188827636533757,0.0594492898519605,0.0173616225515332,0.00969400088423884,0.0048077078600229,0.00319655213330887,0.00117263730719225,0.00852192281969404,0,0.000383344716241027,0.00341204698449173,0.00307873583827293,0.0255830880525897,0.0625218487206397,0.0277053490612181,0.00146690141351111,0.0113324380818892,0.00292327121870905,0.00944089464010696,0.0162882370032373,0.0417993056201566,0.00683614747389058,0.0236130420288204,0.00489541213625348,0.0231382502487847,0.0752505746793502,0.0235959601419067,0.0039283633101256,0.00219364820673695,0.003216974118749,0.0038670748583965,0.00495502736303167,0.042638623605984,0.0145940478049784,0.00958682257743968,0.000607237487879538,0.00298760868849077,0.0194665940080467,0.0711682763436474,0.0173820220377289,0.0160841977380795,0.00266561386439309,0.00646345087255114,0.00201336985534122,0.0282257153058488,0.0824632075422216,0.028905252769771,0.00642355024865115,0.00736686979388936,0.0360110102439414,0.113783023591122,0.0408131660605864,0.852958044091181,0.010528591674439,0.0208799558133353,0.0190139458345539,0.0105107290663642,0.0200960161934799,0.0175813596604757,0.0288454691441434,0.0270130859118661,0.06154321510314
8,0.0153063577143314,0.196753484899352,0.0185437219628872,0.28415053364709,0.286222196010295,0.421869070410847,0.0636436922633229,0.0450322826021759,0.0547522166839752,0.030332794542137,0.0339005594597489,0.0573649540282297,0.00427859082147583,0.00435460497458763,0.000591430512392656,0.069124717282036,0.00719496637845002,0.148078106708961,0.00361745122237233,0.00264323110198793,0,0.000898912804527952,0.00736147602369062,0.0360545295240616,0.0160559915385953,0.00451583294569608,0.00462704846566937,0.0120164002890617,0.0127915182175237,0.024379464849186,0.00367242736035178,0.0013636146571759,0.00672655871678871,0.00239377218607251,0.00226822401990416,0.0601973285861668,0.0168547196014634,0.00667453566041553,0.00466683818456396,0.00738693491048504,0.0020087502499747,0.00752157805841889,0.00085966165536648,0.000547976283096626,0.00362944828125362,0.00104426696539911,0.0221646744566624,0.0606546192417338,0.0278047473246133,0.000949581688470306,0.013193856988097,0.00314594801991537,0.0112629588945912,0.0167872687716527,0.0375750507666306,0.00312330534287891,0.023951598540756,0.0065820035386486,0.0220424686104404,0.0799172038053535,0.0269594644402243,0.0061353634214793,0.00426422647283842,0.00300077659022121,0.00311268826596166,0.00622707232343375,0.0380945797195203,0.0148254277491163,0.010360167204319,0,0.00295425784634414,0.0190673537951219,0.0762490500899789,0.0169629829217233,0.0105987790537148,0.00172182184101585,0.00726826867462859,0.00329603238506005,0.0280224930448537,0.0823108726623771,0.029892123691616,0.00490658977151206,0.00459828936599029,0.035303375798129,0.123422894130188,0.0426337040266076,0.816650316075584,0.0184085075657685,0.0212568458576714,0.0176125535229903,0.0113518968563975,0.0211085491292054,0.0168369260338681,0.0265162705482173,0.0248861014102178,0.0574841406281683
9,0.0154154983995933,0.148040407534975,0.020635764114289,0.273022245405738,0.295252594215985,0.442464356437892,0.0628175111376397,0.0435945325303826,0.0543510200328601,0.0308697344312709,0.0322609611644549,0.0564253052615351,0.0034442988592073,0,0.00151248382787218,0.0702781756363039,0.00770038684510242,0.127972994606785,0.00215016817583809,0.00132675473366554,0.00112888245664317,0.000414096536587244,0.00820659599385118,0.0378710096226786,0.0165455578143233,0.00668308955653597,0.00733933494430206,0.0107210681972264,0.0150764420260491,0.0241631034229582,0.00444209895886285,0.00064708511388377,0.00553376281187972,0.00433908720377475,0.00140122113231396,0.060611790814274,0.0167379979285565,0.0102489359901528,0.00442893645366387,0.00854353056861961,0.00177128568003122,0.00951207706220589,0.00117197358286258,0.000515848448852836,0.00363282138616076,0.000340255042429582,0.0179971431840189,0.0633791818808176,0.0255309733316376,0.00130914849822003,0.0127219178327263,0.00449485959842275,0.0102653655748261,0.0165859306028147,0.0406821682607796,0,0.0254000898188494,0.00723725137598516,0.0201091830763025,0.0850965197410378,0.0287127185395436,0.0064554425144429,0.005616551916342,0.00174201126859304,0.00267238717233042,0.0068842481764278,0.0326905673777794,0.0149140725522444,0.0158042113761553,0.000539988746205172,0.00256256573079674,0.0200679165501463,0.0799804211596359,0.00526010965613859,0.0132202949058047,0.00213266116358995,0.00747485271888835,0.00529202802689843,0.0268521428548555,0.0792599114298766,0.0268339257429339,0.00453784184008777,0.00267416571447884,0.0374848393398004,0.12772186478514,0.0427489303462458,0.779885201714211,0.0125887943894424,0.023106446749743,0.0180811361262913,0.0115648256759,0.0199345750846748,0.0163544193411046,0.023632599213878,0.0251952843717636,0.0587872782128172
10,0.01530993152171,0.100004639528915,0.0243513687918671,0.262887343732805,0.30151153045522,0.444287794145491,0.0614651501834337,0.0437492962628291,0.0576588788125528,0.031783777958399,0.0325256067507284,0.0539862185015402,0.00284223943942064,0.00153127466280934,0.00227285618305863,0.0739550994233491,0.00788978550329411,0.0966136032350929,0.00189570539581092,0.00031205557825888,0.00279027642489613,0.000425033857641804,0.00702257987427516,0.0363591853864221,0.0166186422091391,0.00342960122548202,0.00453741480477059,0.0086712229840615,0.0211240935132523,0.0233818132621955,0.00333912511454427,0.000646434537536157,0.00391964559281783,0.00521193709524562,0.00242053366441652,0.0614159305633127,0.0170429306720956,0.00915939462542474,0.00433982876185885,0.0030926029384758,0.000784482490418305,0.00895782132199188,0.00116679655402364,0.00249053221754761,0.00156635453351129,0.00146368546700466,0.017478260241874,0.0625088446668013,0.0262344666803836,0.00128909943056893,0.00997166849370214,0.00580416931511368,0.00823750692212173,0.0151176876213035,0.0477337786669166,0.000926788698554734,0.0232316586496772,0.00786010217077127,0.0192316918520884,0.0860393769814037,0.0298198613116191,0.00372439941033205,0.004227944657814,0.00148307282120169,0.00224275720131816,0.00595810498330424,0.0282306589890124,0.0169681577008715,0.0187747601956613,0.00235174489795745,0.00356187508773516,0.0216539427813752,0.0825366829848477,0,0.0180769778201794,0.00295026345791592,0.00749599913180809,0.00437554129668943,0.0244528444565456,0.0755934309905252,0.0220911119318113,0.00323986484062852,0.00233544216004884,0.0405238986446255,0.128193956175047,0.0388890081916511,0.751320965850448,0.013249236829323,0.025222108194595,0.0194298897580765,0.0124263002912488,0.0186481200272583,0.0158165502982916,0.0266552096789167,0.0277013395033019,0.0599832527574986
