"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0.999587457309892,1,0.885693452134147,0,0.963149440733203,0,0.952135890420126,0,0,0,0.0402153057360158,0,0.0151858119882882,0.642637780578992,0.0734145713346786,1,0.0169915516495576,0.0059487715039016,0.994328400899877,0,0,0.00599857957606957,0,0.00447671906897117,0.0152339132913759,1,0.188185424172573,0.000254204433957722,0.0890941966527045,0.415770205881311,0,0.0190394667187514,0,0,0.00452232218871231,0,0.0844788326789212,0.000390201989099358,0.0172739310296937,0,0.0626328747691535,0,0.0515954766788412,0,0.992860542278301,0,0.0170890985271706,0.00599428296998374,0,0,0.048758071492367,0,0.00120351341324386,0.00443428159716792,0.37943404509818,0.181738383405525,0.993731699419165,0,0,0.00327158188468461,0.00324492627818617,0.0166158917947083,0.989592628571703,0.00765310873854337,0.0178785467850547,0,0,0.000360555445769663,0,0.994083102248052,0.196333476208153,0,0.955642373291563,0.11890312701352,0.0481888331658348,0.00300815826739847,0.0132558715755452,0.00908783813152913,0.00911311481987242,0,0.00275178446130052,0.981296000406648,0.970868772701974,0.750808528162887,0.00176959644579163,0.270994655973149,0.00664847320811796,1,0,0.00705874590730418,0,0,0
2,0.0112013250257325,0.00762854449606135,0.0110017617118614,1,0.934252413370112,0.931718226581141,0.267027614328014,0.983727927178985,0.257233947808356,0.982078917499637,0.140612424038937,0.182386278065579,0.0132746263312048,0.0127423803384234,0.00279892083688115,0.0105576827053878,0.622570590927345,0.167122647553437,0.876683436391447,0.0135054423188019,0.00793607812514215,0.99678675069399,0.0163197986130818,0.0440062177842799,0.00877236471878734,0.010338550462912,0.0040245999990705,0.0110046309081425,0.9207231825868,0.165061872661381,0.000456451489363258,0.0761675969918077,0.346017298713425,0.015387243693484,0.0105208677562269,0.0204535921607339,0.00273721198619638,0.00661803626919409,0.00330198418565628,0.075054358053648,0.0014888097208962,0.0120507442077746,0.110618522496671,0.0579570378390395,0.00121154494016407,0.0583821317443577,0.143745450368597,0.996826734013496,0.00910792056233402,0.00384501721328568,0.00704876650449358,0.136715314778226,0.1484208926123,0.0650337595290442,0.00188373886391272,0.00336654936888621,0.00277480257950583,0.379113542089034,0.189721368200352,0.997252941551766,0.0133454494068559,0.00495465217640096,0.00422546983517803,0.00150765020067426,0.0631587568644421,0.989319295991995,0.00802176861872676,0.0167747883532578,0.00547709325951292,0.00119001370118463,0.000458230349856274,0.0116189469313421,0.997471041024374,0.157038115564302,0.0293548188995652,0.97492758748025,0.124848110411444,0.0659792245674298,0.00123058470499632,0.00674703590013927,0.00551456392588851,0.00837047058770485,0.000762500199768632,0.00548078605710912,0.991931979906692,0.987881918058148,0.671770595722903,0.00135198675126078,0.538184471025232,0.00813382953992308,0.965394693558154,0.00151707707488937,0.0211478976689502,0.00798360280960906,0.00162023113099665,0.0114164517293653
3,0.014807768134967,0.00854952138851706,0.0191384707839893,0.994923261614546,0.867854074838924,0.971736564287543,0.495797501213193,0.998209328675588,0.483433228745207,1,0.266456176278237,0.343205851082849,0.0176668535651717,0.00950786809746693,0.00344232594319885,0.00643123612769509,0.599429193867289,0.266355774194566,0.77441524388605,0.0100890320290801,0.00975423433772585,0.998925088373407,0.0318398114356388,0.082307175711561,0.0109870286724649,0.0173548274290448,0.00471510677153602,0.00695245408945616,0.842458306845498,0.142136061993418,0.000507608609773274,0.0636330487874347,0.276690236900821,0.0310990373423017,0.0031831567542558,0.0365140713647063,0.00641402285217985,0.00852800373519723,0.0130793221619537,0.0651835369292446,0.00256479494111493,0.00719372364457233,0.215344937889043,0.0529183429868463,0.00227082668066508,0.0624219072640452,0.272514628069878,0.999660638423935,0.0112618510898355,0.0301243078580859,0.00818317048590403,0.257662381114153,0.268974256594686,0.0808455232063742,0.00604736515133287,0.00699827395032757,0.00128589358142667,0.379289063538263,0.192819973900558,0.999692568609325,0.0263212285012747,0.0115539408606438,0.00920696407014371,0.000408142640207786,0.407133759352256,0.989180280327207,0.00514240846654134,0.0128515533130809,0.00812787622569327,0.00316765744968306,0.000530504169288642,0.021010919476051,0.999707399170662,0.121425642239038,0.0578093317605307,0.996595372681045,0.131571519674173,0.081454207424997,0.000893104564475459,0.00360731659435148,0.0028813717329706,0.00555669534468075,0.00313402094560316,0.00856955924454812,0.999205049892367,0.998932582000993,0.907147033773125,0.000914543383805782,0.502718114048424,0.00910964137957821,0.899631629663099,0.00665999445657048,0.0194183368506381,0.0146981989726766,0.002677659681343,0.0185498396309625
4,0.0150998243814854,0.00736662499894166,0.0186149294297061,0.960714914996475,0.802234750881831,0.993296043026063,0.655537712294967,1,0.659759851926383,0.999318706980477,0.358962012771401,0.477087857887033,0.0155206583406294,0.00774921103525724,0.00364108843511538,0.00321913909948999,0.581665616394196,0.352555888507573,0.702477284153066,0.00690590066241673,0.0110104352889093,1,0.0460539009189961,0.111274001079472,0.0106966587972037,0.0209374292072168,0.00645112540305526,0.00338265871196396,0.765773083377637,0.119559123906661,0.000327367119693351,0.0514571346539504,0.20890446875051,0.045094790127151,0,0.0445699469730971,0.0110449854557199,0.00624199083261088,0.0193449121930847,0.0545423377103615,0.00335425838356983,0.00317903160162596,0.304587992735596,0.0468622019775089,0.00307213988192852,0.064276363066487,0.351555109927755,1,0.0127585660311129,0.0360972168724909,0.0125304267968123,0.355709317330207,0.348620750016216,0.0948689557124547,0.00959697436324775,0.012131466939329,0.00168296182850959,0.380395250244966,0.189682898898769,1,0.0337333747387264,0.020130471251092,0.0105718034230159,0,0.497134352052476,0.989142019067126,0.000523746788221091,0.0109382634099565,0.00903607169466359,0.00422733326903017,0.000907184696370971,0.0261824554572629,1,0.0928559875028734,0.0833673054849107,1,0.136254069806368,0.0922749848581201,0.000649674195088027,0.00230215700113343,0.000620917384657292,0.00183402182460146,0.00461677313777314,0.0113728453207209,1,1,0.923677408575335,0.000470344733183148,0.53003103176845,0.00915043110863504,0.808064105398328,0.0156712992137808,0.0134307805598117,0.0180541464739715,0.00238705444031346,0.0209590559891186
5,0.0147356820281181,0.00629900457894274,0.0139404875231438,0.881067202498672,0.739612418961612,0.988628949724434,0.732807298118297,0.983131303915089,0.770912092252341,0.982306001938942,0.396899704665373,0.577980488803592,0.0122700931893203,0.0116357677888969,0.00393671768822202,0.0010428142242714,0.573154953340279,0.397871979691543,0.654767820172569,0.00417441078037353,0.0113922740102978,0.996430106692698,0.058690577236867,0.130485828448549,0.00845613564506095,0.0223606579084707,0.00772638594330712,0.000911866502728982,0.690678277317338,0.0976053065847244,5.76831697886693e-05,0.0394493941406122,0.1457752055082,0.0476248813638546,0.00191567067958108,0.0452399048177741,0.0150089893100289,0.00421425169140764,0.0172360051085238,0.0435025112116566,0.00357090520142885,0.000576121308016189,0.370940670533889,0.0391074354504427,0.00347726890739827,0.0636912983594241,0.371693870310037,0.99671360948047,0.0134270336995041,0.0220426675970153,0.0158510648522266,0.420561452440443,0.382378934301602,0.104163934349029,0.00822747912957146,0.0152339796543861,0.00270417559787223,0.382585075102356,0.180870883247607,0.997150469699514,0.0341561073392838,0.0207984746134307,0.0101385187410479,0.000328211680508531,0.260459349137894,0.989331366081849,0,0.0135500007941015,0.00857105001475935,0.00445284174731866,0.000931238517113427,0.0275242508872864,0.997375382429501,0.0747578672975223,0.105352407310274,0.973793471856805,0.134928657873321,0.0958489988760258,0.000399226772870088,0.00129945008004811,0,0.000801918492782244,0.00319068009223303,0.0126191518485709,0.99166972341931,0.987526241872561,0.666261390820497,8.32831118974391e-05,0.460338109979855,0.0081202329635708,0.702388377742157,0.0192064097131128,0.00514698474950052,0.0183045437511038,0.00128497879173719,0.022680351008547
6,0.0160013690036252,0.00846918649840836,0.0130242099586987,0.764003242928832,0.681581671815897,0.958200999898905,0.748908492860473,0.952260599694747,0.823927847105688,0.95552095910937,0.394245318876825,0.638798795033154,0.0118567878701886,0.0113304879391526,0.00403667183773511,0,0.547915039225653,0.394473846535648,0.623853556847895,0.00203835610777819,0.0106972525621232,0.983832110671246,0.069338705278656,0.138953361033371,0.00545001286971514,0.0242508793953951,0.00834591547681347,0,0.618506701732313,0.076845804405234,0,0.0276704119323254,0.0917085426308259,0.0447132225913202,0.00539184444662003,0.0420193364164091,0.018063247119731,0.00386865600026597,0.0165096576179822,0.0325899133892326,0.00310657858564221,0,0.414427767358401,0.0301701672055259,0.00336717244231383,0.0595947343262576,0.375794208148222,0.989023642021477,0.0147171913285602,0.0116935749089092,0.0146645755461473,0.450685082500349,0.384897175760298,0.105122105795061,0.00369475900628484,0.0142425907813574,0.00221231841996709,0.385744518497794,0.170989205069229,0.990783634634534,0.0326487186635762,0.017060858032942,0.011998951158208,0.000652233612978552,0.395840704889955,0.989943192080943,0.00377287470971758,0.0176990932543736,0.00725271225978818,0.00422219959283662,0.000691690730193238,0.0258697324477087,0.99075406570527,0.0716111292014114,0.125743774277385,0.928143923648063,0.125887940370734,0.0919325954787533,0,0,0.00204347831975727,0.00175974727886781,0.00200773826154736,0.012011941268792,0.974569918117319,0.962832152099017,0.847332726338832,0,0.278200929798148,0.00609633820166771,0.589455606427102,0.0141920038146812,0,0.0170928786007181,0.000743593197363465,0.0229261597437105
7,0.0151461877325597,0.00995112607067089,0.0134603699737892,0.609062498259872,0.629109835077864,0.904082461738772,0.725520697366289,0.91681291061869,0.825864486129874,0.924768868387563,0.385339985565117,0.660613857966173,0.0112295979763117,0.0163845920071714,0.00348842397242297,0.00140454698573344,0.485211183725734,0.346375407333235,0.609048018492289,0.000607058441860456,0.00919920112775323,0.961033058321989,0.0764586640284514,0.137247822320655,0.00598000863669435,0.0236920019147249,0.00826343701255808,0.00113120531775759,0.551046899970535,0.0578559983711745,0.000268773382464619,0.016579273590914,0.050608175971762,0.0417079718166336,0.0058913975280044,0.0399161616182471,0.0180963959806239,0.0152808390790709,0.0184065028857125,0.0221465615870713,0.00214298118373514,0.00184192620293391,0.435238930871547,0.0208382332391573,0.00277992972236083,0.0504659287481622,0.391557906967988,0.976766732924692,0.0110343842889068,0.0176500725408044,0.0103496914863812,0.44907590053075,0.372781356709916,0.0982017046816985,0.00174380790654169,0.0116768421121406,0.00244928761644555,0.389318489699126,0.16110611715783,0.980681253246745,0.0336593493630934,0.0165654360268469,0.0174450359766382,0.000609855333197815,0.62684362358898,0.991025647981944,0.00572674593472086,0.0194119941535251,0.00670371403182849,0.00222418397628078,0,0.023837900222317,0.97856359887288,0.0806408451640314,0.144179899299376,0.886789096659858,0.108969105676084,0.0838211196779669,0.0019497410702426,0.00128727298931678,0.00256423944672324,0.00118399772182379,0.00264747216319177,0.0103977179369317,0.950651299857893,0.930789288391901,1,0.000539869339442881,0.381610691671329,0.00356444710471238,0.478637663283297,0.00879204451946709,0.0046575546036004,0.0162203063362362,0.0012396533364723,0.0210009135330622
8,0.0130810085077336,0.00867446102172263,0.0139199446427593,0.444316209709192,0.58408244254285,0.832632216329958,0.67299252642635,0.883409680903442,0.781520757138497,0.891727150920595,0.382080365373594,0.636045622816386,0.0126421894760644,0.0115479861600998,0.00342530895571347,0.0061392590626511,0.371683274131856,0.25677157838368,0.608350933066905,0,0.00727379512371465,0.929051790874851,0.079944508236579,0.127053844700451,0.00855242393928655,0.0223881783478039,0.00764415521343082,0.00523144131020271,0.490832716138358,0.040955460374279,0.000828915657711302,0.00706200602013206,0.0231543999076695,0.0413038927995228,0.00560465911516516,0.0412509634369868,0.0165947653919843,0.0216360656765879,0.0196055610264357,0.0126312846206128,0.0010578395553314,0.0064483160262672,0.43882550626376,0.0120148275955369,0.00192151714627843,0.036926152329702,0.399688833314775,0.96025061121794,0.0033671778815571,0.0164213690860388,0.0108254743744709,0.421811861131126,0.343248346145418,0.0831117945804447,0.00426329125216267,0.00807807423161646,0.00253626450600738,0.39513862612772,0.150212061994396,0.966584338023706,0.0320553272661001,0.0271489554715398,0.0197377310893477,0.000723004502711357,0.326135400109511,0.992547804656994,0.00574938151652456,0.0167039287913,0.0071086925814587,0.00121545305920559,0.000790316198361881,0.0231784238460466,0.959976014085531,0.093859919029189,0.15896245913411,0.870554346509008,0.0860795338552304,0.07262858647335,0.00644627170518284,0.00475899709764287,0.00251800091913682,3.03085020659335e-05,0.00264634269730946,0.00859942640218841,0.920013222797833,0.89522028686952,0.758234130497534,0.0020055104304989,0.323223320540323,0.00129401318322488,0.369283386979741,0.00620342865668911,0.0195553362536517,0.0160881069113095,0.00184805192655137,0.0173902298771025
9,0.0135806236151945,0.00607995250811053,0.0167047204203768,0.298520444076912,0.54769080279852,0.753666408054397,0.619262334144486,0.852188939508541,0.718989693156296,0.858182194806626,0.388094453730041,0.578383223657727,0.0155901795146977,0.0080333836044298,0.00363360891316721,0.0141057581516742,0.22807667216418,0.151768705529064,0.614690800601213,0.000344240799455639,0.00518585318718434,0.889917037711468,0.0817749486539607,0.112802320188632,0.0108852535951633,0.0215542218151812,0.00653912179452623,0.0133290866879049,0.440247546605865,0.026509679901739,0.00187305526383905,0.000858917475653647,0.0068983566610835,0.0432972941621926,0.00409203071400732,0.0414046963321583,0.0196420031206407,0.0137235735629541,0.0161831153974844,0.00518125794997959,0.000206278050212776,0.0141983711731878,0.428219959184443,0.0051061151450684,0.0010744691149128,0.0227052710838256,0.39639067878941,0.939629283687458,0.0135759408915678,0.0186477953294796,0.0146528211507721,0.375804221846907,0.290159978072999,0.0599842913605384,0.00711155446535047,0.00274524816106393,0.00166946877583752,0.405627712918449,0.13738660275334,0.948340682770453,0.0287083935791468,0.0345818105065567,0.0168324860772029,0.00234891987267495,0.393209290747616,0.994383792277087,0.00466742214955843,0.00951638545752718,0.00780368675043324,0.00350158219689929,0.00268430219489506,0.0247045317300985,0.935625508420218,0.10662404931129,0.169508632943107,0.851190477304123,0.0600176943225363,0.0573640703557789,0.0117408967895934,0.00634180735630915,0.00324869373526996,0,0.00266634153294393,0.00625592655941611,0.882451926801046,0.858910757756265,0.947854181786591,0.00472950913816359,0.344516336270728,0,0.271255254477202,0.00630477033819992,0.0272640210320009,0.0169803211988557,0.00279358996143,0.0127339392530843
10,0.0149910762548184,0.00357500782417744,0.016122550929959,0.191323217521317,0.519965233543289,0.678433806163916,0.58404016782767,0.822730050068856,0.671638181209895,0.826793802210205,0.395896121980341,0.520789624643889,0.0162743118305597,0.00854637386163174,0.00291876996236802,0.0258136750572603,0.0862693620380933,0.0659483065191126,0.614856090075702,0.00174346468516971,0.00304139032125358,0.845628607041941,0.0836927078258891,0.0991946336312349,0.0110057739757143,0.0206700856282058,0.0064930493377039,0.0265892572715642,0.400472021331128,0.0149359296178887,0.00377427613425233,0,0,0.0461214934288634,0.00168294126496879,0.0372673641006697,0.0211823726053125,0.00420306634488294,0.0186206433996773,0.000774005590851081,0,0.0253190965364496,0.402700072508644,0.00111281391074076,0.000559667621755342,0.01373835717059,0.395807576036773,0.914939965567372,0.0171425535254391,0.023520674452386,0.0206105004637542,0.324078825704902,0.218135472968898,0.0333988163661486,0.0101775360009686,0,0,0.421778905215403,0.124219106925894,0.926110202162001,0.0209455404979201,0.0314210100482327,0.0140906772800961,0.00534803269550044,0.533868602429962,0.996206895123524,0.00849006667125964,0.00255250020905917,0.00895327227223022,0.00779406521735108,0.00508588449900135,0.0281939274827143,0.907601109704361,0.114659142189817,0.174777197490661,0.786814762923112,0.0346549746901289,0.0389204415950835,0.0160133248928878,0.00554016690006326,0.0029763957968787,0.000685131885757385,0.0040891200975965,0.00325618143509659,0.838156018333818,0.825337939893804,0.797421148601782,0.00893371296918098,0.184346845780814,0.00046990130621577,0.182064354364655,0.00639748086628616,0.0256888283692967,0.0184444592029292,0.00398534655614092,0.00844522821319736
