"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0,1,0,0,0,0.0311818312444127,0,0,0,0,0.00360565100966231,0.00235526334955752,0.00209860331502139,0.00232510241016105,0.00812640915439274,1,0.00423680302304548,0.0050158447516459,0,0.0239698862998104,0,0,0.00406623245115688,0.0021161137900223,1,1,0.0131480069170788,1,0,0.00468026611626174,0.00452040699761348,0.00396974263271957,0,0,0,0,1,0,0.347875642969438,0,0.382253668829233,0.345369642269678,0,0.0315280498814425,0,0,0,0.00776482210566407,0,1,1,0,0.00484193632392722,0,0.000103407995003335,0.0251720424911534,0,0,0,0.0134950490790794,0,1,1,0.597631374529118,0.010449059429399,0.560288357026514,0.000475822507703064,0.00221636139084596,0,0.0755812384447489,0.0289011962670357,0.0723470669190244,0.00151498697102385,0.0157916927927411,0.0181568356183521,0,0,0,0.0167480898608068,0,0,0,0.283772444294237,0.438575934620308,0.0752814224487894,0.525922806609248,0,0,0,0,0,0.00442067802988348,0
2,0.0199473534093278,0.00632284553922509,0.0104790775901208,0.0278747088065008,0.99254633879291,0.0360952484904805,0.253328772587278,0.281203677354828,0.139301618603248,0.0629543998349589,0.0731533362779144,0.114004585348731,0.0115991744033082,0.00205386574808282,0.0015944449262005,0.00165318199350003,0.0023999057490567,0.00198624838174858,0.915224175427047,0.00153897385018851,0.00696815288307955,0.0113643829177738,0.0216495697394462,0.109566459428383,0.00697589288837259,0.00369342881000748,0,0.892762078610672,0.89084482192463,0.00228361443179491,0.891141355365398,0.00193920838829417,0.00312090405499674,0.00761844452100588,0.00244183606502962,0.00667455444905255,0.010225651691511,0.00486398625753257,0.000133741788988387,0.873353248283673,0.0334754639079393,0.383702449403984,0.000259335826468142,0.329591742670446,0.312390653305259,0.00234081840782383,0.0340401856485054,0.0510549120107055,0.0175013565418204,0.011635469332624,0.000802717181011459,0.00740303533681191,0.984048312799101,0.870195920435069,0.000499117469582997,0.00155698330901261,0.00285100047311603,0.00689340432021166,0.0198983814349016,0.0644539412545394,0.0225267792300888,0.00333809017514066,0.00362115310185853,0.00480652421682498,0.889364263858877,0.867954780284033,0.541911235173279,0.00616629345870154,0.509280929565813,0.00095734225507321,0.00320443715785369,0.00963510247818254,0.087520474041263,0.0156813704535294,0.0717417408688804,0.000777506446846252,0.00931762524645572,0.00651184411257637,0.00107162093069777,0.000313684267194055,0.00153493240297222,0.0089953608018673,0.00109863546045169,0.0166060060481717,0.0552183574059504,0.31784059255378,0.552271404592207,0.0910150596430923,0.558977236599943,0.026968491483041,0.00659184001343638,0.00398470630873266,0.0042805495288785,0.0125543359023079,0.00955132374161777,0.03795011234512
3,0.027298939477603,0.0101515039078884,0.0137423280878119,0.0505323993156313,0.944802793944234,0.0631847856249714,0.420822045902996,0.461999723902177,0.214993195742648,0.10461405837328,0.12813781822722,0.180570242192983,0.0121188677615197,0.0010673874869683,0.00110103689196699,0.00233222727368987,0.00184329852447304,0.000306075888072046,0.831613092092628,0.000378110646933402,0.00175434315368299,0.0215383783853851,0.0332151737049252,0.158032378527995,0.0114629308156713,0.00676330253805325,0.000915408957756716,0.794719567926938,0.789238208355175,0.0158917110499932,0.787809910131574,0.00518621247635434,0.000793691817453825,0.00578834780222271,0.00125243861731434,0.0106274947084022,0.0148078719703493,0.0103729976480419,0.00410071876518085,0.747357525349296,0.0483641346996431,0.408454487661144,0.00123440320431556,0.311563905892114,0.281270779471413,0.00657792223831803,0.0245331794499424,0.0847003247067231,0.0252879655539155,0.00889391090919632,9.14448755061288e-05,0.014970489083911,0.927813465860354,0.779995539664572,0.00134301435689708,0.000213300462835188,0.00550690465173205,0.0052553264959543,0.0161207471956223,0.0984295507119437,0.0401195948230425,0.0074014828558124,7.22572394593052e-05,0.00790694279699368,0.820015628555799,0.741943157190805,0.487512666230329,0.0024073204636844,0.458587693470967,0.00250203171701261,0.00404799446825395,0.0158074155061773,0.0906610866352557,0.0093693669637352,0.0728846455908768,0.00124170528403047,0.00331761576754894,0.00646839213013668,0.00161766402921204,0.000890509012505351,0.00293227735468896,0.0043429817621248,0.00216050435177242,0.0286758980661072,0.0820242493023998,0.331844371658123,0.54225612133255,0.0999212961717811,0.530305898442414,0.0392081697754754,0.0102095635382002,0.00492680423330468,0.00593772387123544,0.0212623357850214,0.0124531857759525,0.0377113929237037
4,0.0283193238335624,0.0123106033662902,0.0125756343839835,0.0649123591085822,0.847653142763631,0.0783379686934881,0.46489307672038,0.513871837083476,0.248006106719742,0.127297567768732,0.162940277842853,0.205848164889559,0.0150122123954862,0.000531196892998343,0.000189450643784273,0.0032441442449609,0.00056131423077378,0.00301604386647602,0.74606327041612,0.000761531518860544,0.000642173583697149,0.0316990939270518,0.0143552423797019,0.168027348417221,0.0140291711622146,0.00690314382065113,0.00335185375461953,0.687216860373918,0.697316467071432,0.027158836281581,0.686877599125446,0.00576499573298611,0,0.000823463664073991,0,0.0120203589955226,0.013041282274476,0.0123454636540415,0.00784795333686445,0.62430397031591,0.0426664584268386,0.40631815391632,0.00211207882822935,0.21534407589494,0.251967506399214,0.0095317397011164,0.00997812449906168,0.102051084682629,0.0289486695674767,0.0110042485810576,0.00180015738131421,0.0208927366762944,0.837515408709138,0.683756765566038,0.00216287021573846,0,0.00748704770978117,0.00192677435026205,0.0151461130765929,0.109374162572933,0.0510261355663213,0.00757969964542078,0.00450762158700852,0.0085778124118889,0.756772867148432,0.625520570252757,0.433546017681494,0.000781420806828803,0.407771755748079,0.00186294603417099,0.00455238589099192,0.0184701717371491,0.0903881505125301,0.015349074416139,0.072794982098957,0.00215056495694997,0.000520655368464017,0.00676959170825644,0.00132594455037033,0.00138232683463988,0.00334574991832959,0.00285528229340784,0.0028443653963515,0.0341148777272619,0.0896882245860155,0.330036656958122,0.56386233911406,0.0972519939427863,0.442146864227626,0.0366233962853812,0.0117376532906785,0.00517268805030168,0.00475279230147762,0.0255570154957871,0.0136137086688668,0.0529126633855293
5,0.0290275255080014,0.0128599231888276,0.00935242410769521,0.0706204334527899,0.713185238828535,0.081967982622045,0.414870848776474,0.486705743135263,0.240727771417784,0.137773168890665,0.173873073294273,0.213783574976872,0.0131791361317139,0.0004174068516055,0,0.00272704674864403,0,0.00376811683003439,0.662490679392985,0.000786581088271468,0.00650233416743378,0.0393386290745164,0.0253258238337695,0.176208288679963,0.0153740062970699,0.00432553426669729,0.00539141878560243,0.56143980714368,0.604751726335349,0.0104368103393468,0.588934709083018,0.00552452999972775,0.000863611237253791,0,0.000144074093792784,0.0123282520074216,0.0120158836072926,0.0114944491848761,0.010551168634898,0.507197103657329,0.0369603722419515,0.372564387817907,0.00228263925624233,0.226211915740985,0.226312530360681,0.0119812797947458,0.00597854064658018,0.103660998049554,0.0303895843894769,0.022582279455629,0.00149612252386405,0.021995988771914,0.736161948792514,0.574687530379586,0.00242411174967926,0.000299360809989286,0.00840904291053536,0.00327200587783187,0.0106102273041835,0.109229106302325,0.0538576714508936,0.00581379596819453,0.0087646147527477,0.00678217659142062,0.675908824270801,0.507364270142046,0.379710456430185,0.00297348478850295,0.356202919297621,0.00331270930387567,0.00485957319259826,0.0191965678806073,0.0876114270248651,0.0254561198896947,0.0717716206871596,0.00251469464987863,0,0,0.000601548231966178,0.00080126714659178,0.00342788417265097,0.00234213031169701,0.0031450730913241,0.035081719927049,0.0939946607371131,0.318442862387427,0.545327999124978,0.0774315538967051,0.340655932896387,0.027252230906926,0.0119779489674076,0.0047920176601432,0.00360169975565035,0.026478744638995,0.0137267881646142,0.0530893716993257
6,0.0281663836732321,0.0122525340099596,0.015019321720903,0.0675909787832792,0.568350544622241,0.0809743499118312,0.343537672194504,0.429853410490682,0.203473506426022,0.139974321667566,0.172547702599656,0.229849026327946,0.0122592677194414,0,6.24292557978707e-05,0.00144633905732031,0.000414009068862174,0.00263417511107271,0.583388952754615,0,0.0134318697548829,0.0413980049548641,0.0323486560295102,0.174731765548375,0.0157519099092109,0.00466128919250902,0.00529190784917049,0.415673490514052,0.509581056983805,0,0.494246842992157,0.00491453906147838,0.00124467413916122,0.00131306113088571,0.00161856794043512,0.0118564371181087,0.0141770378149244,0.0120422676839155,0.0111945236000155,0.397754318423167,0.0416035253759561,0.3160411512841,0.00183265650812493,0.207694925142876,0.19916566210947,0.0137159476782997,0.00761724209049579,0.0997070174495748,0.0297048408897395,0.0129427751508565,0.00382639837026987,0.0184963040107067,0.62172735724917,0.466366986548526,0.00164369901607215,0.000863663327109594,0.0078688367829943,0.00866407148189492,0.00729866995058305,0.107565404558425,0.0527737334309007,0.0052660841182237,0.0113869416853175,0.00433262287111327,0.573708163940922,0.387021304864447,0.326066854232297,0.00664523235630906,0.30459930465503,0.00431591649613997,0.00483412724337618,0.0187706296796875,0.0847437229587482,0.0274361456177445,0.0736755548782089,0.00195138941544381,0.00341845033113983,0.0018882858608061,0.000186400126945622,0.000971901496980626,0.00364734545078294,0.00236906835551893,0.00297271444955899,0.0352768445865231,0.102573590572111,0.306411924226622,0.575812329366951,0.0447560089739655,0.280617321316058,0.0251435638355029,0.0114529736264807,0.0042633083753552,0.00428381576710413,0.0257142674705382,0.0135875264897221,0.0445586825605578
7,0.0289065084013164,0.0116186022567603,0.0158971161198298,0.0582026776665849,0.433570606466366,0.0794522660374916,0.297580510574583,0.380235371172958,0.152359484980737,0.140347850861781,0.17230371614858,0.246916255298647,0.014488624936726,0.000289322026101525,0.000557886095598826,0,0.000860091945949441,0.00101616719913942,0.502705797130524,0.000120406533670378,0.0111251904162337,0.0418748722776416,0.0265605013945743,0.174915600590359,0.0158141185664116,0.00728108111407095,0.00421949322951992,0.279786994797536,0.415693685854091,0.0114097038784051,0.39341641590525,0.00332779969899,0.000956341924066718,0.00317558649688592,0.00217370596113448,0.011654459384793,0.0141730390892649,0.0130253869717013,0.0112530565606116,0.297344049818601,0.0428987532647784,0.240438010679088,0.000883468885159137,0.148799937817274,0.163364742338612,0.01192736915625,0.0133972414163487,0.0972079286619441,0.0284315697394909,0.0136517626322383,0.00625568306596143,0.014372853867676,0.495333289377266,0.33014983829318,0.00104936065848574,0.00114952711019449,0.00742730009023805,0.0114092800030227,0.00927419970922468,0.105491101706651,0.0525219888541727,0.00593778315318226,0.012941719298924,0.00340592681466577,0.44690959229034,0.280158688340368,0.271998663113627,0.00641726674422534,0.255326712145599,0.00190082371642768,0.004505083142442,0.0176950691433664,0.0818315902855144,0.0248516843106774,0.0774551300892554,0.000667553148854763,0.00682056044382273,0.00454885718622121,0.000286689601753094,0.000381167176513132,0.0036881579703157,0.00279704971290088,0.00216017285499272,0.0344774601890436,0.10485002994395,0.294480906715165,0.516813221833582,0.0182083356650788,0.23458493601735,0.0286388328687111,0.0110395245176343,0.00451731181019125,0.00432644150281941,0.0257216429432796,0.0133855512895701,0.0463752007336741
8,0.0281299534717109,0.0114810252974115,0.0100832356302937,0.0517604571378697,0.296022810272898,0.0785513457563014,0.232741453531747,0.31679259730925,0.0978964277748878,0.139188547626262,0.17266424036577,0.247104024958148,0.0135935572777102,0.0013368287649315,0.000759247172830723,0.000724652153694114,0.00338928289434421,0,0.420560088287393,0.00231706124762021,0.004024621136602,0.0400055106094143,0.00917968085765899,0.180196387185587,0.0143544513894007,0.00711158298920672,0.0045807074470113,0.158233956246355,0.335296364586285,0.00888144846546399,0.293645047796393,0.00249978977757784,0.00232763038206606,0.00485559210484194,0.00140464434907755,0.0118825904616485,0.0143215410575145,0.013543195545785,0.00953454570442518,0.208589786497871,0.0401647648548343,0.159351719316021,0.000346433800709974,0.154993098076378,0.117645838873235,0.00990571251309528,0.0160253238606999,0.0956529926655181,0.0268191633076429,0.0114057217847199,0.00806384806879618,0.0119101374772786,0.366124137580108,0.164496349707795,0.00109119388806153,0.000687799032352002,0.00694008257986824,0.0167909932027778,0.00919757885122701,0.103214105463988,0.048692944193514,0.00669254262202248,0.0133570456043075,0.0050207552821266,0.314724943146344,0.207578688085788,0.216822657539318,0.0044048629146419,0.206761799046297,0,0.00385461247677115,0.0152243226282346,0.0783846391667932,0.0230738374348057,0.0782651382335738,0,0.00569249185949465,0.00456813681390014,0.00092711201061133,0.00849438869265246,0.00274558294237612,0.00329515656934158,0.00163574375302059,0.0328199057891384,0.101182529944886,0.277404641009166,0.536600025883436,0.00170706672546158,0.157932007089364,0.0334839746258566,0.010985071423493,0.00533121549259204,0.00507118023837631,0.0260826045949223,0.0123187617755786,0.0518794805441807
9,0.027486827324547,0.011710363861848,0.0110206276735811,0.0493497540967414,0.158861662510837,0.0806787531058117,0.172348821258276,0.249561478941718,0.0480010904960285,0.139029761403262,0.177795237590012,0.238018893925138,0.0101339563851041,0.00197402195554272,0.0017268262193163,0.00531800019333812,0.0104340939712785,0.0031749632745638,0.34049790074471,0.00800676491734966,0,0.0358031425235731,0.0202420669406563,0.177666995171225,0.0136337298097345,0.00523992976346303,0.00458214149788317,0.0677646212965917,0.273300174867942,0.0141346311929949,0.21186485567435,0.0052758379371827,0.00889073486134905,0.00668417540526937,0.00118386905912777,0.0115751107918208,0.0134575123145619,0.014673884423474,0.00887156606852652,0.134747752453465,0.0386741404112587,0.0917926085962151,0.00149637295202723,0.0619238396374381,0.0702990432561917,0.00770835122237206,0.0146345545476185,0.0964337565138692,0.0282439026295708,0.0198023128749647,0.00705006366138855,0.0145420929084332,0.249463888798378,0.0630173392641782,0.0013355504554879,0.000486983279378675,0.00658942507715141,0.0213478658075387,0.0121780665792189,0.100220634493606,0.0470722752500906,0.00862977365566968,0.0138832019741305,0.00968967318388871,0.20662060238717,0.150548725581472,0.164768479752649,0.0018396323771487,0.157552986360342,0.00245166122474533,0.00344013230919345,0.011501529307318,0.0752402947434177,0.0214105269299175,0.0764216509323418,0.0051219762129446,0.0037309429640712,0.00940238615444833,0.0027643558160474,0.00593979676752942,0.00147721296257048,0.00366683848375017,0.00195862595653801,0.0304576993461386,0.0937331426406647,0.263845964087385,0.581776767429976,0,0.0547479346636351,0.0339228737298028,0.0112622500141,0.00417923827707541,0.00471199345065922,0.0257793873193467,0.0103199679028321,0.0445905222906679
10,0.0286945537037734,0.0126465887897654,0.0113186663159731,0.050030558575486,0.0517888114964447,0.089022654410479,0.147528189377286,0.216663820023459,0.0127631078352856,0.139695586307301,0.183216506756333,0.235121942564502,0.00901750557433544,0.00202204655116192,0.00173675001891143,0.0174297418499866,0.0233171680742229,0.0122099753754683,0.276308898053597,0.0172873780522591,0.00209111926018657,0.0311303866243917,0.0150086253052817,0.170336236216542,0.0139124830601401,0.00522942229070504,0.00449934058360727,0.0125310853242165,0.232867787185349,0.0368276208201215,0.157269366500167,0.0167074758586232,0.0250751748944977,0.00787514355633527,0.00195417504498059,0.0109012226040966,0.0143111311807122,0.013957665272591,0.0114604534399304,0.0773051452557298,0.0367385066371297,0.0424505438076746,0.00567003631620949,0.0490718151142834,0.03073380540458,0.00580297961283465,0.00913779072584381,0.0977644727447357,0.03095104809799,0.0188477682307033,0.00525634018082732,0.0256283418257219,0.154790645587281,0.025474595905078,0.00203133628496206,0.00150856350281507,0.0071272240496217,0.0204215674108469,0.0129563628842568,0.101406591419881,0.0460758487855349,0.00977493759761503,0.0109861606015951,0.0215456248832288,0.12792703987147,0.0875542729547635,0.114617854452383,0,0.109922951844872,0.00606349921472136,0.00298914560355841,0.00862772968147399,0.0715069136768732,0.0190318149034138,0.0747504734592068,0.0204913002901291,0.00866472224059901,0.0254697757459994,0.00449391052447092,0.00555640977666898,0.0017866740886655,0.00344087918644201,0.00260800665558728,0.0276492394369408,0.0872643051861146,0.25089664218423,0.526512534291298,0.00944218850231585,0,0.0361399965313378,0.0117585628886785,0.00347737519538534,0.00569101598006407,0.024132370348357,0.00790844973231625,0.041254012512147
