"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0.00045175146314567,0.241857873265095,0,0,0.00351970798946438,0,0,0,0,0,0.934820506619563,0,0.0058154236823031,0,0.013032823151121,0.000802296029285652,0.0463011155048456,0.726775810403627,0.646149698669697,0.619036751280121,0,0.0225181584378881,0,0,0.017004023313843,0.0238508586487271,0.00380478525996536,0,1,0,0,1,0.0772982351361616,0.121800431351564,0.0976030542974607,0,0.00193467948860773,0.00535491700905987,0.00709416516802644,0.103817559702424,0.148048389535597,0.0127630323337735,0.0132571346378701,0.00628982079076952,0.00627610538646036,0.284032617413282,0,0,0,0,0.066217574200282,0.0276884285553639,0,0.0717510191603416,0,0,0.014578631936565,0.0154069846005393,0,0,0.0377469765096981,0.0250063200083156,0.0944519613266839,0.0162342891263205,0.017666588270259,0.0163874181287513,0.22784213336526,0.18567675080385,0.313036874994322,0,0.373678510813492,0,0.995805256331861,0.999366924230518,0.809933080542532,0.83135899665274,0.00494622818347941,0.138830321807965,0.00822382533641455,0.0450522423578746,0.0124759763064574,0.855132994729054,0.996249352396922,0.998709466312603,0,0.998803171723229,0.609692721902823,0.628075642889288,0.58044373163332,0,0.252944352877057,0.497374558191596,0.99758367217358,0,0.841091521332546
2,0.0113093267550126,0.00441249668959103,0.225006518393131,0.00820699174542827,0.00969499488804738,0.0142429307699153,0.0137674613719769,0.0207321975906941,0.00968406785785962,0.432799223339432,0.0941158889752106,0.974399609963989,0.00458115424627477,0.00745450005424715,0.00829810995705288,0.00888507987411981,0.00493593835732073,0.0538730485328278,0.67523681464584,0.580561930177073,0.633831998589717,0.00230942574694439,0.0239083934770182,0.213186268787263,0.00710627710226553,0.0111663055840027,0.0247858300532942,0.00441012939559415,0.00451434999753739,0.906381002191048,0.0184691063236946,0.00433599434584442,0.916537728353713,0.0771441215465683,0.132545626953688,0.308832090103198,0.0101900061324445,0.00870431001288015,0,0.00534955085069842,0.0940519208303176,0.138584672927676,0.00918305351361273,0.00597839171603401,0.00256027453050069,0.0226130307652935,0.259302577321616,0.0797704522118441,0.0109026141761832,0.0089603979220026,0.0138156292713515,0.0688655955002568,0.0364066861336915,0.00599459767166543,0.0799869558397354,0.0165175217478221,0.00767638651090534,0.0128737384491646,0.0165604439426376,0.200629138637968,0.0262141433008765,0.0297289280526735,0.0211604120840437,0.0926668592606114,0.00990746578634963,0.0205013455741652,0.0147643508545082,0.206765820491303,0.232678141890607,0.385664197522031,0.00265718177038526,0.335173252834085,0.11953840699655,0.998085033393878,0.99955523709608,0.718245813984195,0.762776694291734,0.00249331131415738,0.233623354971032,0.00494659036031896,0.028981518729053,0.00866367816179391,0.872421883069847,0.998249523081886,0.999421569168379,0.149639394355472,0.999413370038221,0.554577349789953,0.584545281655932,0.53495933846578,0.122290684407075,0.332559588310836,0.440551732188999,0.998915152953497,0.574804424184653,0.944011630870067
3,0.0135545608288104,0.00365580799077683,0.20617831400367,0.0142582815503825,0.0162738039127865,0.023377309249442,0.0229518771984241,0.0351515013498476,0.0162408119061246,0.590956740554408,0.178637619616392,1,0.00711382506294706,0.00572375992875899,0.0118715221674458,0.00589779976022829,0.00581987635400967,0.0644258201769385,0.614585334881393,0.513500645235316,0.582820531995804,0.00396874465525016,0.0240878191850936,0.40517163974363,0.0129210931846008,0.00705459207470871,0.0244631434785639,0.00245721421548587,0.00810831781240704,0.811153518547537,0.0277654585844886,0.00822627594298743,0.830888849034336,0.0759115415296942,0.143857300191101,0.489904137448453,0.0185170470769158,0.00852076703121699,0.00111736303071199,0.00234890340405251,0.086484462831076,0.12997760168785,0.00725219698340895,0.0039215856360468,0,0.0357299581043744,0.233878506601481,0.149516236195013,0.0175621123468334,0.012675997969212,0.0229918213012648,0.0714589464267364,0.0409436616099367,0.0113621401513009,0.0864420766385635,0.028266730270331,0.0133184141517442,0.0110349499841615,0.0173029675346754,0.261077060593308,0.0383845015171205,0.0276270166677647,0.0195531250664892,0.0906984767985212,0.00483087593113784,0.0207907202757114,0.0129349477606849,0.185256226754591,0.264930109303011,0.352760447833065,0.00516094148889151,0.295922278887914,0.237167357971383,0.99974371401467,0.999871305324248,0.615716401391532,0.685421160983862,0.00278559072191827,0.143919333743059,0.0024366548529718,0.0154632029559767,0.00516113569462312,0.889616807747445,0.999775230831824,0.999920827715142,0.293713821167945,0.999892719931807,0.500032140123999,0.535560480480901,0.484709988430726,0.206021486318527,0.378986284378484,0.382092921095508,0.999882052117823,0.459101390927698,1
4,0.0133322843196948,0.00347157735379079,0.181394518314117,0.0179161052828753,0.0205821449053568,0.0298849183513023,0.0275882351565101,0.039157502492727,0.0188626235984976,0.541495961513255,0.248848714803597,0.998178083807743,0.00593096491630004,0.00462158208693203,0.01053926907535,0.00488341740261948,0.00378047409925378,0.0707650978937711,0.545840326821805,0.443278739719807,0.480284036578964,0.00441622515407859,0.0238743545905459,0.540708621485866,0.0174248845124484,0.00332809378925444,0.0249959334930096,0,0.00926981531897916,0.710599758331898,0.0292138500205534,0.0133714628067693,0.739641667576838,0.072242267362957,0.152671652343175,0.618216599483621,0.0234964926486457,0.00127751708281755,0.00517111719968508,0,0.0797548316413508,0.12194632336458,0.00671509053543035,0.00604915030605892,0.000682077753926064,0.0436373366581818,0.207451429887577,0.205440060705824,0.0232980414546068,0.0141746685111976,0.0345863116153473,0.0737203199242028,0.044415602797595,0.0158616831074406,0.0880553464809772,0.0345375970962208,0.0177006064836805,0.00893353396936653,0.0174729935204437,0.535977010192413,0.0452423717910098,0.0274744282945759,0.0175203397954043,0.0877595624122792,0.00132767018774597,0.0193554687945179,0.0108221357479832,0.163320973398389,0.262399365301591,0.286241694065051,0.0069466914523923,0.255337993067326,0.351181165756785,1,1,0.527641102443535,0.609975292195441,0.00383915529067972,0,0.000751344039360699,0.00610677912493462,0.00229506108542814,0.906558904436801,1,1,0.427452880699069,1,0.444789582522754,0.48000492031676,0.427044520178535,0.257297313037136,0.392072036226008,0.322285049547218,1,0.387328274218816,0.982784482584888
5,0.0137164540087048,0.00657372287230505,0.155994868611863,0.0194772876057888,0.0238138763333035,0.032729181067871,0.0296944221022819,0.0364859848360885,0.018020579581993,0.51309439241355,0.301686701440666,0.975006801853357,0.00437985640560621,0.00198753583168293,0.008431830466478,0.00458116850372612,0.000875070414664053,0.0682175505933477,0.466818714444376,0.37051900292396,0.396618530760795,0.0035788951416351,0.0239770948010875,0.59661505985037,0.0181308233447086,0.00223617613945894,0.0259323512299296,0.000116953367970085,0.00788712113738285,0.612994322838049,0.0271421931759187,0.0176358714393615,0.641061836935932,0.0656943396292554,0.156350795721012,0.701662228987966,0.0214690741742664,0,0.00595278371347564,0.00149559520571336,0.072735126132551,0.113810266288353,0.00768387439342928,0.00909236119718835,0.00271718063137611,0.0449769895786791,0.180081788817626,0.247897218779748,0.0283416572221417,0.0155836603416708,0.0315060175959521,0.0731772638008417,0.0474212781932352,0.0184922129205187,0.0831834128338978,0.0373070397427443,0.020025802533088,0.00664588044302249,0.016884296196569,0.422339302315872,0.0483277725920366,0.0282377022510227,0.0216428269018639,0.0817038364923985,0,0.0159298874776604,0.00820127519098695,0.140825862482649,0.229176712537898,0.245261718955182,0.00751997381964262,0.213169972437096,0.460580982493662,0.998000614102086,0.999514128567546,0.504885810444698,0.531417498871667,0.0036968893693506,0.0636059796581497,0,0.000781990160861913,0.000451274716122049,0.923071893283664,0.998175465672714,0.999395711073501,0.548570003869025,0.99937761001549,0.381208539072344,0.41945595579609,0.362015429397537,0.291446524981516,0.377733546477156,0.262556747216568,0.998875839426857,0.600552716173468,0.949730033623674
6,0.0133047633287437,0.00371942665039521,0.132433881004533,0.0183293775094039,0.025125752588624,0.0310145809825538,0.0287481284775367,0.0309190036614531,0.0168056592158497,0.557856693254459,0.335610721317909,0.942640667520015,0.00350603827106721,0,0.00765380068962865,0.00499933083954656,0,0.0612754347459836,0.383085436674195,0.297758686803804,0.335783006296889,0.00199128195817328,0.0257588734282417,0.574856751548378,0.0169181756799717,0.00396419206586179,0.0251188393726395,0.00195121234915101,0.00648927927406384,0.524163034765589,0.0248334022236046,0.0172315531312187,0.540406808843505,0.0566654654099842,0.152891009720247,0.737381562745712,0.0186184656400113,0.00719173673708208,0.00605129361969602,0.00519108362268217,0.0634309180504536,0.104798418968541,0.00998915463761538,0.0107744445414293,0.00258807093512313,0.0411246843983839,0.151715001557413,0.27705240174592,0.0305585064198204,0.021889272146854,0.0436530800118555,0.0676869396381933,0.0490594964878478,0.0182785948059806,0.0735998337519607,0.0381016406669071,0.0196032121795343,0.00445053050951703,0.0152940757374886,0.247452315406031,0.0489246876303223,0.0277149536559162,0.0265639708631903,0.0724303571565742,0.00023860781993726,0.0101074669173303,0.00509287415720925,0.117608309420096,0.180211096738882,0.181649827858712,0.00691356348589739,0.170716040294638,0.564427126684197,0.993074681296777,0.997813993131797,0.455114149682803,0.45088112159118,0.00148158696448979,0.254424464888256,0.000152195399687174,0,0,0.93886720952683,0.993393803863223,0.9977136680539,0.656707337838176,0.997655588172747,0.314786564948542,0.35383421414522,0.29588915433631,0.323356780942353,0.354260084073798,0.20454318415396,0.996256981674318,0.530602899403056,0.927681241190673
7,0.013400316666304,0,0.106946195744652,0.0157780575003365,0.0226916777099892,0.0271437164577722,0.0256083786833239,0.0264041357926588,0.0173090916435622,0.517040917552208,0.354439754281361,0.905333904006265,0.00350700463692302,0.00242728348122383,0.00920433090581649,0.00607815710005686,0.00289527586003314,0.0576627606058184,0.3065521529691,0.227514775533912,0.279397397636212,0.000497520731574414,0.0293484000202575,0.489729597645128,0.0166869199129726,0.00677259421095307,0.0250129276306491,0.00333140212556525,0.00655863669933113,0.442323908682156,0.0248868612666178,0.0132391119978007,0.442058721095964,0.0463128014050436,0.140276672339932,0.717917272843332,0.0180156336986304,0.010387983627223,0.00735271125820426,0.00620839909840822,0.0516229066038613,0.091884583578062,0.011755222526648,0.0108036036578663,0.00135097918642415,0.0338060964429358,0.123151423471466,0.288794436863324,0.0283432359505263,0.0275270063529844,0.0182333277719243,0.0584286366809597,0.0470977187164691,0.016120574401681,0.0620657804283784,0.0366661171852589,0.0166331623586434,0.00254632645628932,0.0127635340378133,0.192392499188996,0.0519053242167858,0.0222632597622533,0.0290691192279117,0.0600924914375848,0.00144717188116664,0.00268553506587281,0.00212017362140358,0.0935590725440298,0.130348691436975,0.11120965139443,0.00579672170638808,0.129754941144899,0.662186914936731,0.984536894932402,0.994194196298631,0.329193694446699,0.370780266217034,0,0.285527575959242,0.000968544096565011,0.00456292843154138,0.00130856776816521,0.953549880853571,0.984778270614346,0.99475896451377,0.751061975336078,0.994500603831058,0.2536609729401,0.282316455286357,0.233288405160392,0.323619841115791,0.342947105531234,0.150324110068554,0.991942034142806,0.306045044394379,0.902652633787005
8,0.0117890310394818,0.0030131864404226,0.080351212919185,0.014148560138794,0.0159108028173498,0.0233177243914699,0.0213793333976469,0.0290015755693154,0.0173208514072247,0.414854637175768,0.362434515911767,0.869514063291143,0.00464261188086907,0.00571739095069651,0.0097946992170298,0.00678472318131059,0.00504334973897727,0.0593470627196436,0.241021454496016,0.16196267674269,0.219634669518199,0.000202803410799944,0.0335059812425498,0.385889412764551,0.0173874945900821,0.00923026612291904,0.0255891664929447,0.00369497410747349,0.00728546988912349,0.356645187656899,0.0272944756829712,0.00817730651753545,0.34320137026419,0.0349114406751733,0.117330783235553,0.627722745187266,0.0235582001668669,0.0087608215189235,0.00774981791751054,0.00333688133134992,0.0384489171576067,0.0713560041978573,0.00985787012544751,0.00589090877223017,0.000948058015684085,0.024652970658177,0.0951721401890033,0.278771796145304,0.0210051936274489,0.0274029516319764,0.0113873508730099,0.0459400794251545,0.04071470931657,0.0114144869714289,0.0488881770607266,0.0324993017236695,0.0124646806662909,0.00112375383507057,0.0095713992788041,0.236254392628741,0.0533007524718187,0.0167397651353663,0.0214472557733226,0.0450320600890091,0.0024865792198177,0,0.000169198260433724,0.069596691405345,0.0861924913065929,0.051781271764059,0.00493099195055437,0.09199764209101,0.752551748176214,0.972199394538067,0.988200568036115,0.280969226171104,0.285242205452093,0.00282872942424459,0.186103633888916,0.00239893036277388,0.0150175727546503,0.00465796253447443,0.966748631518915,0.971594769994913,0.990494321088415,0.830414081262149,0.989670289422632,0.198827262694371,0.206242496889617,0.172868025202755,0.299801235967293,0.351945068396147,0.101830914561652,0.985926812639005,0.303618458884636,0.849294866196819
9,0.00788767560664165,0.00659954953673413,0.0544545615579454,0.0140172723287702,0.0083729204223988,0.0170827465174875,0.0198648550938836,0.0336067972850905,0.0174735438135207,0.292679163172014,0.360351103026606,0.832610351644487,0.00776124004286112,0.00920927169276042,0.0100392501322005,0.0060767542320089,0.00600402726090289,0.0646486603016903,0.193682649899507,0.103507122432248,0.146552641009351,0.00216558389180709,0.0365944565823105,0.286764739542956,0.018255810411539,0.00818903619211279,0.0266008595372462,0.00181110096323834,0.0072709800062669,0.271443074021879,0.0269427719074193,0.00450422281778649,0.245366305327649,0.0228406583565306,0.0855790346497851,0.48155832044909,0.0268210214050608,0.00503895084564368,0.00689958497135676,0.00156790015219384,0.0255451628969066,0.0468364667396152,0.0039750103809178,0.00135988651043112,0.00172064848365561,0.0155733972414352,0.0682220754353272,0.249480792188416,0.0203142915506413,0.0242830758012121,0.0278634298322691,0.0328356867950053,0.0317954853143423,0.00582785968017376,0.0340829475330088,0.0272838107118765,0.00934531644324224,0.00024563861282078,0.00620594229810309,0.327011591406797,0.0608877299702075,0.018369800567376,0.0159471627179439,0.0294930929187709,0.00302605005213296,0.00169767655805002,0,0.0473281196902539,0.0515420202953978,0.0297831673788765,0.0050971087809352,0.0588415170109795,0.831864522217383,0.956615914574946,0.980504993484176,0.250373367257159,0.216676405861645,0.00409304143438897,0.12301178504301,0.00482216642180046,0.0306185584068609,0.0102087097957814,0.978015201871562,0.953927230557102,0.984879211204769,0.895432303711156,0.983074748843616,0.144128371265647,0.132532751803566,0.116522606467233,0.264498460252778,0.378594330470401,0.0615139986518434,0.978277837073931,0.469400061448945,0.793814878327932
10,0.00658784386220909,0.00868516221826693,0.0319745009718723,0.015030589817121,0.0048571227668727,0.00770366248089378,0.0234302263597835,0.0388038829972295,0.0216663392550112,0.330015692152028,0.351675271409168,0.798871412079336,0.00969860708667933,0.00962963982256957,0.00997100702580845,0.00425870752585718,0.00578002876915261,0.0683290785634258,0.144138340507781,0.0550673549954193,0.0986648647332958,0.00711820199385415,0.0370454184717939,0.201323609496864,0.0179756525370462,0.00709608995695777,0.0251773306517789,0.000656742163705716,0.00836628557683156,0.189820866606225,0.0237555419224336,0.00463228475065039,0.156550120622046,0.0118760912975621,0.0492529101309848,0.304411779403653,0.0243137236300985,0.00553025564241808,0.00802747458292857,0.00157837017507341,0.0146779374946543,0.0230684213127958,0,0,0.0040047428943188,0.00739594778819387,0.0430349561220312,0.206439289397628,0.0242850161609614,0.0258060152723104,0.0373594874666269,0.0194489361726995,0.0235784741575629,0.00251470231957866,0.0194650797493925,0.0216918146208835,0.00888498776249589,0,0.00312097104157866,0.19048394038435,0.0650194631041562,0.0262382654226757,0.0143367275358309,0.0160622767115037,0.00458928906898537,0.00608713327086701,0.00207632743764288,0.0283288388324467,0.0257109203595414,0.00664569264125906,0.00748724977410438,0.0319894003429321,0.897049749929571,0.938537842205648,0.971806565055579,0.18805949005886,0.159185610430173,0.00464075834100431,0.075438706703616,0.00847648829769014,0.0488801846558773,0.0180072976821883,0.987061672704756,0.932303684236784,0.977850046529,0.94542333233744,0.97466377695157,0.0849478460580839,0.069358817537669,0.0681854508942499,0.232793145453932,0.412541587609542,0.0308181650926839,0.968967979562472,0.697631432326647,0.763371057086721
