"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0,0.0474090088259492,0.0193620886937399,1,0.411663324900953,0.908923313837478,0,0,0,0,0.00714024237124208,0.00239417610154464,0.0267170688794049,0.0507418070087244,0.189913773789127,0.613493012292265,1,1,0.0194017716084581,0.0623924289129043,0,0,0.00352874883724122,0,0.0185267297067288,0,0.00697580043915473,1,0.711001957609455,1,0.685370359729971,0.734234093884011,0.648990367848409,0,0,0.00775303682377573,0,0.0764019256659169,0,1,1,0.00637891602236484,0.566382288782389,0.611460284313589,0.56732899523878,0,0,0,0,0,0.00866583222632038,0.10457445561359,0.0233425358634018,0.0214352425781486,0.663291822749227,0.716502533429483,0.642342978796159,0,0.00210219005374263,0.0151805963545975,0.0078345497929989,0.0944471771393802,0.0258698551336719,0.0135788190389967,0.0109016207749744,0.00192083769464848,0.00219773104010431,0.812826816873778,0.697629882499206,0,0.0209729137827028,0.19950974712032,0.527825158548048,0.671243193737881,0.557736619266526,0.0114652771536046,0.0263138508198327,0.0370836529330548,0.00755745201766522,0.0106024449949481,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00558740533871002,0.00330814994678885,0.00723642186554677,0.0192587779603253,0.0568075281162152,0.0538793542248823,0.987486140911676,0.460232340310782,0.996812562545654,0.0282041998257721,0.0364830448573873,0.102249733001165,0.0138006638865182,0.00380704739736485,0.00342762686584313,0.0260403976064572,0.0487677270540031,0.212587195164294,0.545124181218088,0.833382688124769,0.903603868938165,0.0149042128359827,0.0521357548796496,0.045758404876827,0.00716409821979733,0.000954352410606423,0.00574716605599832,0.00439089108991916,0.00149223562153074,0.00232787333564902,0.882978090999612,0.629132712116172,0.902418770834816,0.613765410192019,0.644876859843503,0.620709610978014,0.0111695173749346,0.00496481635458759,0.00365809708612755,0.00924054095999528,0.0672471685433135,0.00970552157762628,0.924589956898629,0.944842311334261,0.00274572951083502,0.52055957644876,0.559570866822528,0.535856413285039,0.0198558744916812,0.00700509568217581,0.00623335498505898,0.0157747125551516,0.0136595272920324,0.0124195012882588,0.0813589430117737,0.0198616682690129,0.0195764691688024,0.600985556891128,0.648462735015874,0.625992209889625,0.0322802480279506,0.000673374648271871,0.012082902704543,0.00214314128347925,0.0775419061032855,0.0202484275283248,0.0160955746742284,0.0151703674418329,0.00932742661984275,0.000950800149499752,0.727282179201923,0.66628744792575,0.0423013065643397,0.00862878132944832,0.192603790220863,0.486577003047901,0.592791626220817,0.523681828428072,0.0144364143792514,0.0149736729182141,0.0336826068727109,0.00512745879690709,0.00243049941075131,0.00476323872228493,0.292976420669323,0.0678904683853415,0.0231413629332653,0.0253625143152641,0.0350807135116167,0.0221030399543468,0.0138471681709004,0.011766677068365,0.0134183728788355,0.00802705510966429,0.0111642566686887,0.0196522130864449
3,0.00989035660047182,0.00523590664123612,0.0117019539938038,0.0297856914643451,0.0584002904068714,0.0579665519227745,0.957493315506227,0.479705496314738,1,0.0476039300803855,0.0603523090202463,0.149540317978473,0.0137450770865155,0.0021267744164838,0.00368282815123475,0.0269156666441238,0.0459703120854893,0.233538502457251,0.483863324748466,0.685250466198913,0.805273500996964,0.0125527681616192,0.0471185372303758,0.0698766898930654,0.0107878474661269,0,0.0103579388358357,0.00487272564813455,0.00520131749418071,0.00261392097184957,0.774071464855394,0.54099900128622,0.805800191287449,0.545157125913163,0.573557223922254,0.580638666515231,0.0194532090166428,0.00916797497427083,0.00239405247192481,0.0150111909638108,0.0586266840716112,0.0176449493768571,0.850529321744795,0.891130520929398,8.88288164985655e-05,0.469744091542818,0.504942674288986,0.500181732731835,0.0307598204036049,0.010779066274522,0.0144393294978692,0.0292055202786147,0.0211816156621953,0.0152961906196322,0.0775901399532519,0.0175602560708049,0.0171039108353752,0.537005174012947,0.585153058709295,0.581894122015679,0.0533670728595788,0,0.0120946353683117,0,0.062433351693308,0.016473212629988,0.0167956677799877,0.0182243618811355,0.0154195868704465,0.00150648729222767,0.644537484042746,0.625097430469646,0.0730358104137997,0.00146037245070451,0.191774611760353,0.446345031207865,0.519922452206359,0.486460952001082,0.0169964507546562,0.00941823593959824,0.0298906215332892,0.00311269801101684,0.000102912191243376,0.00701776286342021,0.533023026795355,0.0982753995277253,0.0436048939772008,0.0427592356943812,0.0478894642781569,0.0362272209650546,0.0245410275403059,0.0199630249287907,0.0186756136454827,0.0109160228629083,0.0155697619932298,0.0324345730462978
4,0.0124397785087128,0.00533992288141478,0.01429912792422,0.0329814779566548,0.0524726579332277,0.0569259709151322,0.906509211805984,0.468037927968933,0.93539379161673,0.0544837461521926,0.0704432851112992,0.160191339461583,0.0132499265784774,0.00138271611844995,0.00285972540416842,0.0273695590110531,0.0411953455025873,0.250365089669952,0.428998994225882,0.558261520090704,0.706037356709737,0.0128012328177273,0.0402093917776143,0.074273804125695,0.0120859276264263,3.40007860997616e-05,0.0141355258547816,0.00841947228706686,0.00724151924264747,0.0050873035470167,0.668695426370375,0.502499116749889,0.705731301157625,0.482045714748064,0.51120993918838,0.531944520796611,0.0214054141903205,0.0117204601114627,0.000699029694881506,0.0180567168213994,0.0522749190620435,0.0224604764662921,0.77706869866552,0.834579249804927,0,0.41547287363293,0.447948171897938,0.461837499983028,0.0332078930565587,0.0129005074395038,0.0194172001753214,0.0362785682010274,0.0217781457649196,0.0142526419392661,0.0803920875756188,0.016071308672006,0.0144452194451459,0.472985579665252,0.518491016287691,0.523987793058755,0.065783271237813,0.00290746477131184,0.0165507912915262,0.00165441913871887,0.0492137537734064,0.0159173249370751,0.0150028452502537,0.0194643192414653,0.0191182380495698,0.00299179566489059,0.562779789116745,0.56359342335942,0.0899985382992151,0.0018826516547394,0.194226204496619,0.403367540927469,0.453560667865877,0.437868200249873,0.0161704115046734,0.0106223201354948,0.0254833046638474,0.00188105340476369,0.000278627656318711,0.00671700782520278,0.717755361603866,0.0985778778708262,0.0619713100344037,0.0496002081934844,0.0403517147717199,0.0403060751997087,0.0306310585498011,0.0236932442470556,0.0166505887400124,0.0117606828476048,0.0155044710862681,0.0359957766761882
5,0.0132310902791824,0.00523212943267975,0.015397376975229,0.0340977788541927,0.0464143543352259,0.0642002756003216,0.831026010616711,0.432696050026557,0.84604770752237,0.0500032965065484,0.0705044271758618,0.161367705347778,0.0186925144943168,0.00194979327628102,0.00314806527928023,0.0280296509358667,0.0342917045954347,0.259220562047879,0.376062427373898,0.458914212870111,0.612364266615738,0.0139574698169678,0.0326879507410371,0.0731610685568397,0.0113908084336162,0.00106950599968659,0.0173141590846182,0.00511906148781924,0.00756456614637894,0.00643187655704487,0.566763021553856,0.42474027333398,0.602199916486137,0.420082491777167,0.44777443603913,0.470326988533475,0.021553870348632,0.011769014358019,0.00130259587193864,0.0193384899885806,0.0475856666624847,0.0236337371950038,0.699518255817065,0.768353484857587,0.0021610033338939,0.363714519107324,0.392248006961743,0.414907660342412,0.0356096581378138,0.0148618460218063,0.021715070667356,0.0360842523471056,0.0200395438899618,0.0116121741062674,0.0961765621011062,0.0148891876617389,0.0122260646246749,0.410051005926554,0.445403460263922,0.460733087371973,0.0731897912372827,0.00778932881700525,0.0214553913089911,0.00346640787044015,0.0378508888805242,0.0167043755645405,0.0137794250222924,0.018421018580217,0.0176782069444415,0.00198026265976947,0.484628824548949,0.488613641540743,0.0978715207857539,0.00848804016677856,0.191817038021462,0.353051287896913,0.391690103384306,0.380000936657345,0.0147095196703193,0.0108231356989385,0.0198782193262403,0.000749434387216343,2.96841050201204e-05,0.00475175171463494,0.82974382657651,0.0971015996031521,0.0743047112104545,0.0484670923475735,0.0374823573041008,0.0376050664715073,0.0317934843436839,0.0241604188942729,0.015612462881544,0.0116724335087242,0.0162061579211442,0.036171574663628
6,0.0127734412834342,0.0052171740969101,0.0151476375278219,0.0334158046233126,0.0417431178131553,0.0431779421180882,0.735383370881472,0.377104485668015,0.721898127399345,0.0443120311238844,0.0664753412849998,0.154994294921309,0.0184911103851579,0.00300924331987885,0.00287807959176423,0.0263441885098733,0.0266573115250123,0.262873570990701,0.321088809615382,0.375852878078126,0.523900297963597,0.0135202832837104,0.0328024696099199,0.0730846227330977,0.0100029334185438,0.0014484351322813,0.0174374669404372,0.00687130283648398,0.00759273721504446,0.00568463908701101,0.4739815449015,0.335136420564629,0.497436824328498,0.355116108998344,0.378557080070426,0.39730370618516,0.0224715564387,0.00925451322485083,0.00357253726332505,0.0186941232871881,0.0416784052521262,0.0234548483387698,0.616850995075422,0.692748876837772,0.00476697983852856,0.313370272808394,0.334426910963567,0.356042957644996,0.0393800457768142,0.0138658367647628,0.0224412518010978,0.0359314905205699,0.0201278109205975,0.0103483153975618,0.0717762301582999,0.015270647651399,0.00942743012694128,0.345388162569104,0.372813897445398,0.391721907383443,0.075568665868723,0.00811059931757114,0.0238166556422654,0.00390037747327751,0.0312113367417425,0.0172908302439789,0.0127516852869103,0.0164782275749033,0.0139887885869069,0.000474559995760415,0.409177144413428,0.412875578785023,0.0992246916011193,0.0154286873834239,0.187797820101886,0.297570618384815,0.332052430883416,0.316328981747346,0.0155735881320915,0.00711603877619821,0.0155051404823063,0,0,0.00353669197955688,0.875062225351745,0.0962844973086977,0.077935598408176,0.0474636558676882,0.0365526174014469,0.0331122412012198,0.0295899565980625,0.0235369208027829,0.0150958308604669,0.0118336449351766,0.0170629954632551,0.0349651334344628
7,0.0114628701906847,0.00544683423495115,0.0142577566008035,0.0321185480777488,0.0342251940903216,0.0458168265120775,0.629188629821613,0.313134949297728,0.583910128949029,0.0405925556407364,0.0623138256454101,0.153617591900549,0.0139043385946118,0.00316148242528415,0.00255444957849264,0.0210405011787613,0.0200496354480342,0.26520331883152,0.261155654420153,0.298266888596252,0.431625987899611,0.011392577395647,0.0314983393065785,0.07310784831109,0.0103011702792783,0.000775305868612517,0.017202906253195,0.00881881997739118,0.00541079697633997,0.00431291012754867,0.383504611245608,0.271596564618362,0.398862573883751,0.29182214600158,0.308559653908961,0.322938136057991,0.0224451982659204,0.00787025205633454,0.00504652847971038,0.0170990561738271,0.0333450120601395,0.0233210466128858,0.537822930380741,0.612921746479154,0.00378128437475669,0.263823005838555,0.274591258191296,0.293348458242429,0.0429022060015526,0.0133032389144405,0.0244285855603012,0.0370446795791657,0.02186840892492,0.0113741417393381,0.0386956602120676,0.016382686872866,0.00646589395541042,0.283318680810844,0.303541560636366,0.319053204392653,0.0788828321733483,0.00854699139684709,0.025660647228055,0.00304842525338441,0.0285761975660079,0.0171828940193891,0.0107304475312255,0.0148619824691655,0.0115757312988385,0,0.333362005265683,0.345997894569386,0.0988768736127666,0.0185276449661486,0.186769999005258,0.241296549565649,0.272244810615672,0.24857011213542,0.0161456068980528,0.0039478716215378,0.0131136599547367,0.00104967945829678,0.000761711872089772,0.00404706896507498,0.88273168276733,0.0963244912141071,0.0736782622355611,0.0459340126354715,0.0336597571641644,0.0310623809604516,0.0262484050866113,0.0233746199979415,0.0138790378716503,0.0122427711140465,0.0160551105415817,0.0330784466870945
8,0.00988344299585162,0.00517845764982164,0.0136081481060708,0.0286775984932234,0.0220246685446359,0.0321826022666461,0.5187000123138,0.240931351183234,0.442201525566297,0.0369391306447481,0.0586160701304602,0.151994400226926,0.013704580764545,0.00299319421291191,0.00379436337464434,0.0153228728139125,0.0137699992047967,0.259621130554022,0.19581748853125,0.220181602227972,0.335543975941342,0.00913035680302696,0.0210989332929211,0.0714577449359838,0.0112792297521163,0.000687804577774325,0.017301725154777,0.0062287915524926,0.00331772804667779,0.00344434570494797,0.289582287037353,0.247529347616234,0.308331155272098,0.230799467881363,0.242274322458731,0.254956804556428,0.0216202251399684,0.00864316172325373,0.00685275892595056,0.0165683305289131,0.0236306011753222,0.0231946341346343,0.46163482397852,0.532331249667266,0.000678795506861245,0.209798924952387,0.214281436086437,0.231895896896776,0.0452742925715462,0.0143956718336845,0.0277833249365888,0.0370788667060869,0.0222244002647357,0.013521957006997,0.055139466579119,0.0146611176994487,0.00487658621157882,0.227043109757176,0.238521208077057,0.247299462237236,0.0813934746547522,0.0124195555621581,0.0272347226669557,0.00148795696390615,0.0258076062342945,0.0163262134322367,0.00747313393491898,0.013282209870249,0.0105644368108313,0.000919443278653746,0.26291606546206,0.277987002416517,0.100722354031302,0.0193284012651014,0.178924467489519,0.188559212194443,0.214327176556027,0.188596541008734,0.0151576724717312,0.00240217303077345,0.0109125322080066,0.00336573673336081,0.00183766415889206,0.00507410722890117,0.889250659300881,0.104571126827805,0.0727066530023745,0.0453934606318618,0.0387864745335703,0.0321820497834143,0.0225541821681202,0.0231187443209702,0.0107850108769365,0.0111496154846937,0.0150675889149624,0.0330147626985968
9,0.00815608852416069,0.00338023235843101,0.0129585485053504,0.0239045413255813,0.0104599348764329,0.0206896445907106,0.408728924297769,0.15933140546832,0.319388142237178,0.0338781212224685,0.0552106322896126,0.139012817031908,0.0135600489732177,0.00219143807323764,0.00350288717625593,0.00993636065739435,0.0080450421341414,0.241110958519086,0.131767248404367,0.151846561303894,0.240839380977234,0.00735534685841612,0.0339451630619917,0.069105408074933,0.0122734284831539,0.000844487216933923,0.0171046914523254,0.00256346372545982,0.0044315385905412,0.00211853213907593,0.191492027045195,0.180418025395438,0.225530474271275,0.169786481532288,0.188819490933447,0.189098214369984,0.021210443591722,0.0118944705188969,0.0086734453861594,0.0164865778428644,0.0157349451918367,0.0227665345098714,0.388264705605347,0.452438128003277,0.000459875794301456,0.155548040641435,0.158238054798846,0.173405018874025,0.0466281744547523,0.0135647236106807,0.0291922360402984,0.0354459668454511,0.0200616127137861,0.0150437713426188,0.0480699932186545,0.0118622747710458,0.00406840110326648,0.172968841076197,0.175510873538949,0.182593636988152,0.0833261330220878,0.0101820987928172,0.0279731859003141,0.000490002756561025,0.0205166701564948,0.0128480197651593,0.00497689774166521,0.0120765109924998,0.00831415050248581,0.00285932744464444,0.194842662092388,0.200549475101109,0.10286121604429,0.0218912406002075,0.163931111387736,0.137825490593793,0.159972566406141,0.132511627542437,0.00975097361427269,0.00462467930666407,0.00756981263451244,0.00829751477430542,0.00601743009490635,0.00755902979620639,0.929581767205439,0.109878133078642,0.0790313810731777,0.047176303265598,0.042542561565143,0.0353794712307541,0.0192744947234647,0.0242007033369333,0.0095518340521474,0.0111208601569191,0.0125651504560703,0.0354795879861166
10,0.00701741031828196,0.0019689567459099,0.0122916083074322,0.0187821234490391,0.00545773685248458,0.0172201765561779,0.308026298117629,0.0827772242611719,0.208838784693075,0.030377111981438,0.0509851613219217,0.121615579390389,0.0139389501936528,0.00119569055454378,0.00184888158064059,0.00483496325008418,0.00328265869073822,0.204284363631038,0.0752250377288363,0.0937179172070627,0.153908776380739,0.00478488690017444,0.0192539758972614,0.057811608599527,0.0124022510874161,0.00065024735538702,0.0171742137014623,0,0.00750967412608342,0.000552912304187694,0.10573576344506,0.0863387571914618,0.149483707825959,0.114415870220389,0.137721091070575,0.125291222820806,0.022231000484729,0.0140999465690915,0.00852021420134374,0.0177656946540624,0.00880803588023376,0.0213358182805358,0.321948407086441,0.379252117519702,0.00144586392930303,0.103539074143932,0.107803567452206,0.116317464003364,0.0474403721812858,0.0127566879327991,0.0240984728142008,0.0314870813230862,0.018481307470281,0.0133936060817622,0.0207580512031342,0.00793860173749566,0.00276687306656705,0.117147187054449,0.118608275582853,0.12404702406463,0.085286820660774,0.00486471251836298,0.0296638272599603,0.0002074361958931,0.0129828607200629,0.00872031199737068,0.00258623193349654,0.00891642055247806,0.0048334689336329,0.00496235275090324,0.123776259365637,0.131809260825007,0.100313686758003,0.0240397767481504,0.149505278494185,0.088069683628058,0.111293209055289,0.0825876023698301,0.00171263528602972,0.00625077056582795,0.0033783032811286,0.0172844360644127,0.0139893206153586,0.013425443233803,0.97543981668332,0.108884128408735,0.0848531781018884,0.0526880373883518,0.0399840527008958,0.0445944507334163,0.0148672748433408,0.0240175880704077,0.00980842960665001,0.0125197818583461,0.0129742729690203,0.0361188219755091
