"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0,0,0,0,0,0,0,0.952873867626809,0,0,0,0,0,0,0,0,0,0,0,0.0762968235181766,0.013293373743672,0.0868839178881834,0,0,0,0.0205270118549002,0,0,0,0.969943599712501,0.0282653186713053,0.000508086049895398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0430394953250546,0,0,0,0,0.619640642902248,0.92844281674831,0,0.988524013999247,0,0,0,0,0,0,0,0.994663164743453,0.99415108557299,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0177064989856603,0.0160127964333138,0.0137996093814287,0.160346584893735,0.146766322060255,0.135435815412413,0.387535930928905,0.982360265932229,0.282529082973462,0.0612773781868867,0.0659088580516674,0.0626050638763395,0.0193661389758521,0.000259923377024035,0.00814780774632883,0.0721854205208748,0.094699708300042,0.128998003266634,0.0210153979389515,0.0760338060447752,0.0173888589717514,0.0989561724100618,0.00996946819064824,0.0404865547043061,0.020599059594619,0.0283707728987116,0.0105497415347644,0.216814605923207,0.10998585677863,0.988354363547015,0.0319912572032759,0.0189450089492127,0.0213234425023121,0.115868784542307,0.089882307775081,0.327674161792545,0.0259623753824809,0.0250395000468805,0.0180122501940208,0.0371018049838973,0.0207822289172398,0.023103641674605,0.0436456215926825,0.0515361327076971,0.0227694464542387,0.133005424826735,0.156311131407549,0.271824077060643,0.0349841811194489,0.0228573343418414,0.0420529164561763,0.0318444591688189,0.0210387049856866,0.0240781252838738,0.109032902687695,0.106178059939807,0.173767505885669,0.0513575729786992,0.0737988814846485,0.114965801340005,0.149043109072817,0.421364615380986,0.0573966029403979,0.0491551635827783,0.0300862461498965,0.0499942670024697,0.0163460634784669,0.041193040616041,0.0268344195779018,0.296221817947615,0.675119007593551,0.97625894963739,0.369206274901549,0.995112223631791,0.28052152145036,0.125814806552648,0.202772360206318,0.131551555042607,0.0724795361273365,0.082097046449153,0.174440716684544,0.997855744889762,0.99744035802987,0.454278323511089,0.263295899810169,0.437149167996352,0.322411625510858,0.293944609944347,0.505359789199562,0.162504446687093,0.0382377731578764,0.0505795342915214,0.0176418728478061,0.149988732382844,0.321007984039803,0.354602046506053
3,0.0319796024013533,0.0252596551613887,0.0232898579379577,0.291848131356519,0.262912866831074,0.237059521195096,0.687463185771126,1,0.517916419030459,0.10027323125555,0.110601258580905,0.108340154082467,0.0285063692940653,0.00144539409584085,0.0146030434035114,0.140564030607457,0.181310307682529,0.242796699261918,0.0373778744676974,0.0763591175287431,0.0240851054141718,0.106839729662505,0.0176136972071876,0.0677922251100176,0.0369850496088999,0.0353998908096996,0.0198618011066484,0.401489874726538,0.21735730747467,0.999305814460718,0.034350805200958,0.0332667697268436,0.0378908074155267,0.222109915107832,0.174441469259952,0.538429980635501,0.0441760188079422,0.0465433514625465,0.0350226293394521,0.062927524565588,0.0368577077527363,0.0289793728304227,0.081663788047017,0.0664837982339576,0.0414764606850823,0.25218033788623,0.30515318507136,0.469385551423115,0.06452286115386,0.044171966830647,0.0774436570666304,0.0607650126540657,0.0406972914247886,0.0437634620626282,0.209530011422651,0.205492949376142,0.316707315048616,0.0983782627625627,0.138087498003825,0.201540766653609,0.227816754727084,0.554450001454066,0.104369649902172,0.0827969782263944,0.0568532969574493,0.0571327644875273,0.0317085509224876,0.0798707095695239,0.0520201388932381,0.519624293203569,0.729462679042156,0.996918657407929,0.660688836500027,0.99967261846776,0.516025745957007,0.248361565129511,0.398112168803687,0.25321711605247,0.133843313066112,0.153029327953206,0.295854823577406,0.999801379378145,0.999766965540586,0.607112518532422,0.497185493993315,0.726325270314359,0.417231816687108,0.529036791720776,0.726412726403126,0.312704968653067,0.0712105828727819,0.0877861181467298,0.0323935834979804,0.294413588642003,0.592696633954415,0.635714742593806
4,0.0390061590788727,0.0293414129059561,0.0271564258433704,0.379137638083722,0.338046189087016,0.301558740800557,0.865351689854254,0.997405852389433,0.692215397338304,0.11583954282943,0.129015524260004,0.13333097070921,0.0302135026797696,0.00467228127221442,0.0166370042789034,0.199741692250428,0.243538086355702,0.331214125550943,0.0448518534287261,0.0774626155316897,0.0298607588297039,0.110934923484894,0.0217941078396632,0.0812811999708566,0.046440750249817,0.0388015832422981,0.0251201391011668,0.535100273755986,0.308719803828917,1,0.0345001009221296,0.0410821886074935,0.0470934071420118,0.303173627670975,0.247763117869658,0.630877171945171,0.0546145906018184,0.0596876650434713,0.047416448135671,0.07477218834067,0.0442806764531809,0.030556963556764,0.112110057839951,0.0618447459515964,0.0531343219308024,0.349043811395836,0.43040280995458,0.570737754596739,0.0848655941552491,0.0625234975999922,0.101900509603391,0.0842096361544311,0.0554822682487612,0.0575888473520004,0.295630242195786,0.291011438852123,0.420766593561209,0.136031048530022,0.166473647338145,0.256649495712962,0.251890814855331,0.72177850742731,0.139486522765075,0.0934685398886146,0.0749178773885195,0.0632151654445643,0.0452380087334154,0.110065644864131,0.0726808624167971,0.662379943873415,0.781724355260627,1,0.84105659359409,1,0.681049634897259,0.361747673124699,0.565684750512771,0.365634692600569,0.178349543672923,0.205365667517847,0.348085524630895,1,1,0.797088100596216,0.678081229379717,0.870802999998267,0.613634748496326,0.671426420547159,0.755413035628273,0.442978891224046,0.0966043859682101,0.109972698143112,0.0435619641021864,0.42764356029367,0.796371132470108,0.824361771826462
5,0.03961390951465,0.0311435580684137,0.0274542295152505,0.430434299082472,0.383000770736926,0.332475523612435,0.946577894556564,0.983224406366259,0.81027110058528,0.116417854327415,0.136258248278269,0.14277852132618,0.0290927111609552,0.00566918489215156,0.0167785801541772,0.24376662454355,0.274367674853261,0.391751213978633,0.0437871988542824,0.078148971754507,0.0338170235901974,0.111423558791741,0.0235321137573943,0.088367400883353,0.0493934129788485,0.0410023755014114,0.0253082963085866,0.622683989568713,0.373294743694319,0.988123006237703,0.0334551891188656,0.0434790628620041,0.0497971632868905,0.35323008879684,0.309445918066457,0.652698362601433,0.0598200205067688,0.0681600341743418,0.0545779131449801,0.0716998257849636,0.0449560610872663,0.031197508031036,0.13258648848913,0.0633705800759307,0.057039547625378,0.420983226517536,0.524419563189403,0.603130630633549,0.0986302745988433,0.0742201637294651,0.11485055469649,0.0993555634137844,0.0652919513197212,0.067525497517711,0.365379293144668,0.358313568024752,0.494871823359183,0.166518604761364,0.182469912880785,0.288776614567685,0.260739454975818,0.823655503035219,0.166394874222033,0.0975171081973663,0.0836640500578591,0.0673051480222686,0.0561518972760485,0.128108787167755,0.0870803098836241,0.749618594715177,0.830724217014073,0.975232456868787,0.927166661672473,0.99500312338583,0.775405081211397,0.460656688626633,0.688721866022318,0.468965824131434,0.209666217924756,0.244652392785382,0.331936810317569,0.997789915131952,0.997362718071615,0.879874779553552,0.805025991958016,0.953911036333249,0.807804824933028,0.708578650952371,0.732895189273827,0.553493071342615,0.112685088145723,0.121105310725816,0.0525896674767007,0.547609234659314,0.930549141705575,0.914746484439779
6,0.0393346616167329,0.0311024063655776,0.027072615102817,0.45649380573707,0.402464339193798,0.356582270150968,0.977165441645217,0.960800292254914,0.879936102214343,0.125350905815383,0.141454765475438,0.150126141657638,0.0291906351089921,0.00848439723803868,0.0170607381597135,0.271655948584354,0.28002577495229,0.430026045551585,0.0399539941828299,0.0778524637276511,0.0334144498379568,0.11028855467168,0.023704946297421,0.0917299220469367,0.050151240644302,0.0452504716915914,0.0217586579530491,0.67885062342708,0.412014236847919,0.965001926656902,0.0335150419876685,0.042626098658582,0.0486584522064616,0.363713602087845,0.35856188908588,0.6453053183432,0.062081767756441,0.0736336696347134,0.0587299516146123,0.0612427862499466,0.0464318487688064,0.0339124424650077,0.14317278335886,0.0643092854936047,0.0550573730764942,0.470312512164555,0.588762747542373,0.622015879138032,0.108093274579019,0.0814301477001396,0.123982374524778,0.108188672330274,0.0718856089234648,0.072833687282893,0.418615638218664,0.407548773795261,0.554337843932539,0.194682061632551,0.203325909797048,0.304996714379185,0.266794216008354,0.890307398504467,0.187886644803358,0.0950751935867598,0.0890310463072104,0.0693303269795409,0.0647778804998182,0.135429748647249,0.0975888150943735,0.830977602031779,0.875414445284211,0.948904247824311,0.952334075107847,0.984578105957303,0.808464022980549,0.543494753417396,0.768537892733643,0.558684098064346,0.231429222724224,0.275729541559409,0.306645615325031,0.992370801721218,0.990950206103948,0.843436341366518,0.896535932307508,0.98222227401358,0.7529704241757,0.654071772805603,0.727127419990345,0.646047767834315,0.119968762247927,0.121819167583581,0.0602820522807574,0.653201250542663,0.99192851673382,0.92726476507571
7,0.0387039989963731,0.029163334016643,0.0272730979411186,0.473596017347462,0.403681155217729,0.361588360290669,0.96785146356005,0.934116692195168,0.924408286853968,0.133928727859678,0.145184693787975,0.156533913402342,0.0288183754720174,0.00939396900689826,0.0173037186945771,0.286028275232009,0.278480193112085,0.44635541398755,0.0392127297717243,0.07735235164895,0.028809313041751,0.109273321857361,0.023444636395924,0.0951763903342893,0.0499736107648101,0.0476576979184594,0.0189902450010449,0.719847538620424,0.43318950204789,0.936438467947659,0.0349782950025453,0.0413259645219228,0.0463802267564853,0.361808895939517,0.394889131033249,0.646324310168943,0.067127011351538,0.0742406736277255,0.0605616104999985,0.0572968264746859,0.0467288031002845,0.0304802847306441,0.145453668002656,0.0581930573036906,0.0506858011813351,0.50187495059101,0.633052385805547,0.635500170182336,0.115186670670521,0.0887898810577312,0.131802626252958,0.11397214979424,0.0763418278647644,0.074743910942859,0.454881356110788,0.442904826425985,0.599108975739833,0.22056330228943,0.216953896669873,0.312045372219725,0.282074593941731,0.980518245281973,0.205493922173215,0.103284911504525,0.0943649295018763,0.0700421792544894,0.0717363841708498,0.135876575233707,0.106203861904037,0.908644404718058,0.9147739316035,0.926435634827849,0.939663318431514,0.969628867941428,0.829211214022377,0.611000233724173,0.819909004334445,0.625578199594,0.242390049973228,0.298025067355636,0.315158589191723,0.98321202445134,0.979703083096202,0.803468934198563,0.958796748168809,0.975294540407088,0.782108833386027,0.588071752233261,0.796222713507469,0.721903954903671,0.123064635959059,0.116971594774082,0.0661673537557513,0.744683367436284,1,0.899416256347821
8,0.0386180824792225,0.0279543513729894,0.0264878164856761,0.485899544956986,0.398133276366085,0.344481916591031,0.934203342160267,0.908890786136778,0.95302425973194,0.133526621095383,0.151184522195013,0.159969809186755,0.0294717303023428,0.00639486785471783,0.0162577396604513,0.289175942188646,0.279670218443105,0.448111981904088,0.0412500980419822,0.0748606120193484,0.0234490479312569,0.107753511313886,0.0227869757997168,0.0985645312522252,0.0497818103244722,0.0451770880644676,0.0190729823821549,0.751377999910245,0.444169013115863,0.90604461025289,0.0343091041859486,0.0392337676683163,0.0420654521101059,0.372065529209398,0.419621855169438,0.636897719204878,0.0732285275396427,0.0732343508967859,0.0620186357701332,0.0617835906487702,0.042080397998636,0.0287995869247408,0.141986219300167,0.054768731372065,0.048602294860338,0.515603156452344,0.665768000016906,0.646549935058559,0.119943110607537,0.0944914773355399,0.142248251217556,0.116506806187778,0.0788748679304544,0.0736201263386797,0.476820667815031,0.467092462550388,0.625419120518087,0.239864201311942,0.225812423617503,0.305726916614419,0.298457072317073,0.871104914012004,0.216843619224812,0.121285444957191,0.0991548542268628,0.0688685763918191,0.0775236764815805,0.136103277185034,0.112390109259554,0.972301337586608,0.947694113403405,0.90911802231494,0.921525951998931,0.950492887857647,0.874976704876005,0.665159390653463,0.846897991750377,0.667359697616231,0.246122754599511,0.313816740865092,0.361426176793707,0.97062051090423,0.96342962022486,0.700580300283643,0.992022587792441,0.92557014691281,0.736339027152687,0.566848580415751,0.796960374941927,0.77951282670746,0.122964150610139,0.109611776407519,0.0702622258509604,0.821685769981066,0.96975117162725,0.889728742792696
9,0.0397303924158052,0.0273585070591696,0.0242062358387092,0.491101894636064,0.398096669717336,0.332953072194238,0.89491765552153,0.884716805659806,0.969765132152395,0.132751771594465,0.154406497693179,0.161639093605842,0.0289913177993857,0.00298621674509057,0.0143359393472867,0.286066962769367,0.284438109590382,0.441793436626847,0.0413464590026434,0.068244271993709,0.0186787618824982,0.103037210164279,0.0227156347610274,0.0994536354136245,0.0505313218494406,0.0401214646738535,0.0204255764018155,0.763961674367561,0.451507297297485,0.87536892800771,0.0297010232727489,0.0371594738216397,0.0367747712043892,0.397485049196768,0.434153608758488,0.617508368096658,0.0741442281458375,0.0738699842043602,0.0633791687478922,0.0642770873504288,0.0346817016437515,0.022806541466349,0.134859340237755,0.0606057858193016,0.0492001535547793,0.517718177170721,0.693272588728394,0.650051283145118,0.121286904816865,0.0962769904678635,0.15436029071609,0.115897211183617,0.0803752288088293,0.0720481910411564,0.488839651624878,0.483631748146657,0.628450083081956,0.25057972119208,0.229461096883141,0.291229511197645,0.303573907607034,0.827536961078996,0.222772969545269,0.126098337666182,0.10259579834494,0.065869915241147,0.0827381071684498,0.137259607548787,0.114701720549256,1,0.973428783726132,0.892047691566263,0.940769138062469,0.927222981798885,0.926829447189918,0.706988080804168,0.856607911127364,0.692365510215863,0.246911208022023,0.318712610479746,0.42046301279786,0.955258803335468,0.942623230737475,1,1,0.86131770434858,0.79419924026405,0.610073113598668,0.880545827569885,0.817931090092416,0.122852126252722,0.103491578350544,0.0714953910906956,0.884527395091963,0.934655884889251,0.916339307834857
10,0.0408498134614366,0.0271388622825766,0.0211713765740436,0.493631032315239,0.405510366630286,0.329992089152692,0.869182945060097,0.859829413080855,0.97677571698384,0.134153401204869,0.151737333767704,0.161358256842019,0.0273834618993823,0.00133594228003793,0.0130332379939669,0.279805013979267,0.289861981389655,0.432186477929343,0.0381131910365795,0.0578179300009252,0.0154514364485071,0.0925769457226255,0.0235597767229937,0.0994455956108846,0.0500858318397059,0.0375904589965281,0.0217835957675279,0.758540019102657,0.463821231609209,0.845209408321705,0.0229239320404972,0.0338316543776402,0.0327277008012538,0.42268105427775,0.441814022355775,0.616969365678242,0.0743286343282214,0.0766427467125679,0.0645230674165086,0.066007856314683,0.0279568717025149,0.0195680721602223,0.128090982239025,0.062755769303707,0.0509879744046408,0.515423759995785,0.718946803108904,0.658877710453717,0.121025593869166,0.0943493493740044,0.16040896952902,0.111600467687643,0.0798533542272647,0.0706898760674526,0.494424800910113,0.494894381443317,0.618544101122967,0.25269026925307,0.216475962523743,0.281202408794436,0.304312997516616,0.906515505661057,0.224505429752565,0.108188855450703,0.103186867634265,0.0618325281276854,0.086581887468738,0.13887228480886,0.1133325860155,0.992273695409406,0.991414603123596,0.85488718920052,0.979285205722549,0.899565417048538,0.972224958105797,0.735909555419068,0.862376075366306,0.705825099985639,0.249373084757657,0.31344391985262,0.46620486001775,0.937454565047357,0.918390965353251,0.876842500530084,0.989300012872883,0.854620403120619,0.788714078871108,0.686130013959938,0.828319674181949,0.837381909235911,0.123215522912865,0.100415258691794,0.0702333636149308,0.932112169424457,0.910781986791157,0.953232521796192
