"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0.00306270260432219,0,0,0,0,0,0.768497644879262,0.894016251921328,0.928041068909353,0,0,0,0,0.0202549010780499,0.00152322699916122,0,0,0,0.00746823270878224,0.0162691766431812,0.0150930470124238,0.0148054075565372,0.0596273493503246,0,0,0.00176181939455985,0.00807875551684319,0.0091532808622332,0.389620477896368,0.737098196135474,0.00859617947951895,0.00381676052695772,0.00255916442415951,0.025830723855218,0.0656739517561321,0,0,0,0,0.00594273461424812,0,0,0,0.00219760221438735,0.00160947831443535,0,0,0,0,0,0,0,0.00224017438196809,0,0.00945997289338309,0.00180117147569027,0,0,0,0,0.566349047733656,0.0202379428020403,0.627903078410879,0,0.0255554090432989,0.00152211364123034,0.0488321552130171,0.077630842922805,0,0,0.0287769517949085,0,0,0.665147981050622,0,0.00201803472250528,0.00542552738672982,0.000326446235343734,0.000687251780413158,1,0.00479366256793595,0.163192247320952,0.534082966174782,0.813537670900002,0,0,0,0,0,0,0,0,0,0,0,0
2,0.0613735700395039,0.0309147612808909,0.0421755909326947,0.430330022323062,0.517879974605935,0.383520472999768,0.964264244279922,0.979706135254977,0.977887651130392,0.0771925976457312,0.111921580775558,0.142370614679624,0.039790176865602,0.0060741837484342,0,0.014658081229028,0.032576690840765,0.0768675540272292,0,0.00492703632766173,0.00508164728354679,0.00358140407440116,0.0149119499131834,0.0965429583485582,0.0249210265836557,0.00178432256426011,0,0,0,0.620972439752776,0.00243142539941559,0.00330106068920643,0,0.0207256944845235,0.0273900382988393,0.217326932843839,0.0369655252419754,0.0137688837988199,0.0127093123727717,0.00650678053950089,0.00518644437263385,0.00371718998455678,0.00486177063847357,0.00295191624586689,0,0.0383023526903431,0.003976566137686,0.281003654795511,0.0621890610241624,0.00695255550261227,0.0212066541342903,0.00541752630519915,0,0.00406067957542771,0.00895630172540997,0.00165630691665986,0.0343725652872825,0.00410279199079332,0.00580145338184534,0.0570958244884351,0.711083273123674,0.0132919285303913,0.661700423544345,0.00878209077519766,0,0,0.0458021065632745,0.116760898502867,0.173792357688803,0.141943735437135,0.159751711079344,0.626627879385543,0.465236578372571,0.716878346963052,0.142604186252715,0,0,0,0.0002266168412545,0.971738434754428,0.00524699678973541,0.302455928379278,0.585210125408017,0.972933903168824,0.456253931911982,0.497484559094861,0.419913979217085,0.0275901561761648,0.0197168282928065,0.032841981459287,0.0614975501345002,0.0890449947252203,0.0296048340309382,0.468188049655646,0.772136569310706,0.635381664933673
3,0.0834824016757784,0.0480208226308919,0.0538361601732186,0.685312655385933,0.783719581334502,0.624543231555544,1,1,1,0.130320554712846,0.186200218862031,0.210641786260714,0.0504146993259945,0.00213615943224665,0.00192312322301676,0.0289095033624999,0.0624167513465986,0.154634938506391,0.00513130360769709,0.00433869878881937,0.00504897660954627,0,0.0184825693315199,0.129426827906827,0.0420604711684013,0.00329304006477579,0.00619110325212686,0.0902268973995778,0.198870329067098,0.50531340128243,0.000379632338747893,0.00557477044206203,0.00107852411816085,0.0160436680165962,0.00786364666983393,0.296396380344467,0.0589784038296018,0.0267343580365786,0.027463499345374,0.010015333861232,0.0108902698888216,0.00737011122225867,0.0110568126707537,0.00436404952386417,0.00481080161075292,0.0717310321242841,0.00945347971537844,0.362074876403342,0.0872929435744621,0.0161177482546324,0.0397682744128845,0.0158238611601301,0.00286401575791896,0.00900844074544875,0.00841010008376153,0.0016727895878011,0.0605475457484759,0.0127827504212324,0.0107956989770414,0.0918309387349462,0.770307563531676,0,0.682262943358687,0.017267534705257,0.0188328329027968,0.00653897932775087,0.0424155112081391,0.153231027402815,0.343237422441431,0.278190236634262,0.287909051060894,0.816556709447116,0.776939969676439,0.768601773389176,0.282851839869303,0.00235943829425833,0.00640766404199533,0.00220606308798411,0,0.960580063404079,0.00568587747866226,0.446294710231701,0.637772471074546,1,0.700895942649089,0.748867466286509,0.660686465217258,0.0302422563174554,0.0262555184128272,0.0400431858886316,0.102228061475761,0.137424207771399,0.047972164764952,0.62629528947844,0.804620891060383,0.855561499279009
4,0.0772527256757368,0.0542996797286329,0.056926056678081,0.826239800333227,0.898996587761854,0.713430096754601,0.987703370043276,0.998712840587707,0.9976775042894,0.161152324180537,0.207543256614971,0.246896165292149,0.0536468080740866,0.00319679462819596,0.00421730472662844,0.0407165093874843,0.0867549052131468,0.231105479341919,0.00551329238706161,0.00609174680549815,0.00578435275179215,0.0013711269841446,0.0113037408822461,0.146501285480414,0.0503527990128367,0.00327339558169018,0.00478126590540312,0.243394982361457,0.254136881802346,0.394594314403617,0,0.00762349698501169,0.00192597873287045,0.0120079063042179,0.00268352817244211,0.346921619923605,0.0684364779822364,0.0334777895220117,0.0346843835478136,0.0116547491966058,0.0136802852603571,0.00913897596294112,0.0152567209101814,0.00347921841120611,0.00490754792482755,0.0964453124181085,0.0163287652739912,0.39280111332259,0.104277118936326,0.0207295563926445,0.0503246928378622,0.0292040043174248,0.00635806441078813,0.0104354890320758,0.00762989095228755,0.00190630252511754,0.0775101412831941,0.0171070924061403,0.015579868383281,0.102747503103074,0.740564342518845,0.0125256605429657,0.679025821982705,0.0225223679744865,0.02703966369586,0.0101242997840247,0.038278942674202,0.177234038801651,0.493027545670071,0.388256326501064,0.408851019379224,0.866842979672045,0.93057864495354,0.819002614643215,0.416515774297014,0.00572535552450904,0.0150107010456216,0.00484685256955745,2.54598447457425e-05,0.964237712510495,0.00594067527837657,0.591667519654417,0.691660475405136,0.990491816072355,0.791319255937749,0.853183835793425,0.78438691041247,0.0349421767062493,0.0246194950444287,0.0465116755575836,0.119214627677609,0.156611349435806,0.0560006451508379,0.694841758564442,0.90504473352887,0.866575663497964
5,0.0678745294943544,0.0544881469117256,0.0554225216068122,0.891392243359215,0.908847214117887,0.72803374036327,0.968344343757057,0.980135125952657,0.978661567761081,0.17164591450935,0.209258019694005,0.2643411314471,0.0544864310093224,0.000389500022677635,0.0048509679125923,0.0494298231048527,0.105880369510709,0.303593348586184,0.00338985065254536,0.00362193938092439,0.00764832766562048,0.00322133216024598,0.0099770849571929,0.139657700301303,0.0537624916330306,0.00528814734306448,0.00317728382505601,0.383260614081188,0.250520183553891,0.29581134422949,0.000823558410966745,0.00720230598609468,0.00239453262597641,0.00923836519998924,0.00632013127856183,0.373954518214861,0.0701737425757472,0.0346276291749034,0.0306479251565162,0.0111808191276717,0.0146056608780123,0.00865005530472578,0.0154972339451765,0.0015639975937395,0.00548907698012681,0.111538165089518,0.0260407103021705,0.407476394274049,0.111945116430983,0.0205131577443694,0.053353905395495,0.033233958796905,0.00795813643699488,0.00826857926759188,0.00657043520069307,0.00207933371947863,0.0875876854414631,0.0188158051697534,0.0172621071531827,0.109122685841801,0.720883050929049,0.0350288520770482,0.66277862982374,0.0234085310783873,0.0344506162604732,0.0120033230538976,0.0331618607744917,0.181204883230055,0.608099814807562,0.451632222920887,0.5203895672664,0.890509280789564,0.989262852967748,0.866248040766577,0.539878400756388,0.00883553177502946,0.0247192311814824,0.00628717628360696,0.000218413052501795,0.970525940236419,0.00592676616261494,0.73024071470641,0.745823022880242,0.976088038273366,0.822962749913123,0.902759905243486,0.836635899414134,0.0333184124375137,0.0280692505196798,0.0524223782381757,0.122451389241577,0.163618255445077,0.0567141104752897,1,1,0.901202085869546
6,0.0601269533040266,0.054405790581207,0.0547641008276388,0.92622630516846,0.934975115387622,0.719812852465203,0.942567260050189,0.936847744939959,0.949584700130178,0.170354373645453,0.230015280545686,0.271210307896276,0.0540760423277313,0.00104318775061359,0.0037069259872765,0.0547911073386856,0.121243876068127,0.369655941122438,0.00136755188797927,0,0.00656580346967271,0.00269719408544627,0.00181056205255674,0.137016278248793,0.0546982557127464,0.00572955498245334,0.00317535751455495,0.442019650581211,0.19526519791977,0.213224859240867,0.0016618932419821,0.00574823248371836,0.00203602395170151,0.00619046468587151,0.0137183736452541,0.368918884701669,0.0710702576494441,0.0330108062652969,0.0270713432992746,0.0106339123960606,0.0147908253578917,0.00805183202800418,0.0146836533282477,0.000765203004461587,0.00646257164787936,0.119315921720601,0.0381327014113428,0.374669534054973,0.111158366213992,0.0204398188432896,0.0517658370331532,0.0280451729121027,0.00829168909498665,0.00773246000960252,0.00520508453959192,0.00211796362565194,0.0927779823409404,0.0193483503619496,0.0170596129872411,0.109183751035394,0.695514056601936,0.0251184798151536,0.64151299789639,0.0237208909481542,0.0308855750933054,0.011597583681209,0.0272089602641933,0.167751407391186,0.685185835775059,0.470817028109879,0.621433910423458,0.82784249247712,0.988552923884227,0.908393015463909,0.64991242336024,0.0106226855818814,0.0241714920525849,0.00541488698489003,0.000596465351692574,0.965256358672881,0.0056217400589372,0.848936882765683,0.798974073666289,0.945102501618121,0.820320335620419,0.923379015083355,0.880459550511944,0.0313315470791282,0.0255416609437368,0.0522974352251106,0.123461677800807,0.168726111148143,0.0517604077169095,0.83317210043773,0.793567557206774,0.944934396888789
7,0.0494756290171191,0.054531088227812,0.0562746536900122,0.951883206739549,0.934508980662308,0.717998334067777,0.926819888723737,0.910992110151212,0.919623466971171,0.172945338178185,0.230470149372994,0.279681244138014,0.0545626824732652,0.000634651236645206,0.00392149425559254,0.0573901139146427,0.134045125059892,0.427207727388652,0.000568165491042074,0.00238069500684392,0.00559526251203454,0.00201129184608832,0.00661673821633276,0.135251932459909,0.0549384526330418,0.00425847448526532,0.00217754098644446,0.436034224778267,0.275601865125756,0.148859740063501,0.00131071559285876,0.0049488638054662,0.00156900345154738,0.00403045533309483,0.020375696701333,0.373574642685949,0.074026288761013,0.032740800496469,0.030525274508575,0.0111752099427471,0.0147077197144213,0.00925291109661761,0.0140498774772942,0,0.00460048967091218,0.122633393419742,0.0498038301213793,0.382978872423403,0.114603691177775,0.0228984921442951,0.0520519879796109,0.0285163433645562,0.00840006383887425,0.0090181426569703,0.00368469992791465,0.00203141142493357,0.0936274458928239,0.0202621436310203,0.0170697149513044,0.107332505551569,0.656236184894944,0.044543537077426,0.625551609637471,0.0247605115011761,0.0366925233812597,0.0121229537126372,0.0208940269352533,0.143723835888754,0.730553273960231,0.467876453782991,0.711783208210061,0.824090291516221,0.987581670676218,0.943993058689934,0.745014739835912,0.0128882015599466,0.0252025151181441,0.00725412286557992,0.00144580914060996,0.945530296976172,0.00500927716414084,0.934303093231927,0.849851210305308,0.956220160063937,0.810717512193607,0.9349985135323,0.931863287472646,0.029701245118016,0.0303147219105391,0.050852139206272,0.127701319732395,0.174974042020969,0.0438864061620192,0.832573595765019,0.794016099452162,0.91740967709817
8,0.0391574364958108,0.0529738591784686,0.0589583601519282,0.963651035406552,0.935676562989795,0.686107433585336,0.872016509422667,0.880218944868067,0.890603769743322,0.175398423233092,0.232122378108617,0.288563543457885,0.0522303830901364,0.00427644464484384,0.00335759343941026,0.0542725165675819,0.144972193605832,0.47469039033015,0.00271636149404927,0.00693466613586079,0.00605480374086772,0.00130373020815856,0.0123900958758056,0.134620190544146,0.0551154584246507,0.00284247890662693,0.0095076503540113,0.409374212772322,0.210723567678148,0.100518594148839,0.00111457350508017,0.0045990960643616,0.000972787213040649,0.0026895653490345,0.0230353524482273,0.351037300185384,0.0751316374176231,0.0337354451176614,0.032479270464188,0.0101450678067785,0.013102980500053,0.00897473893959984,0.0134918126669456,0.000144908398632924,0.00490942597899981,0.122930514982215,0.0580553875962498,0.357952709021482,0.113502975192253,0.02368765136602,0.0546195879479666,0.0297677100928213,0.00837809925340057,0.0107640508665717,0.0021250881393846,0.00179581426843799,0.0873887139148433,0.0214400956873697,0.0165620863338517,0.103899861579105,0.62891929810137,0.0318770461361221,0.606560241358333,0.0272490705296319,0.0396662619171173,0.0169859469116756,0.0147209220423031,0.112683624999307,0.743683413956574,0.455604952689451,0.791892454375587,0.774034725786824,0.99845880404218,0.971473285821369,0.824343756319846,0.0132223347924662,0.0229560858579463,0.00741624855567345,0.00309355198995751,0.907077721720867,0.00399815901434964,0.983860454274158,0.8964725785867,0.91308002527609,0.819481261418525,0.939847140277414,0.944969199235902,0.0321148930926528,0.0301809990785879,0.0525526064736477,0.12894345735088,0.177426881038779,0.0363092616102097,0.850224399559598,0.747431543388793,0.957311430819223
9,0.0275462103262617,0.0496589930270038,0.0512827644218416,0.964909308157826,0.921398570818953,0.628120941790358,0.829196677650931,0.824015820786483,0.855136877401198,0.175911551679345,0.229760790183614,0.29198360198596,0.0516635842790217,0.00534708333593916,0.00344971362463203,0.0457964394774365,0.152922029154472,0.51129910200659,0.00417485281344136,0.00514484863722068,0.00306982970524455,0.000906133886921182,0.00843390439979817,0.134366325347813,0.0547933606985113,0.00371929258895792,0.00649683930913525,0.405671204058118,0.184612744055918,0.0641317086039116,0.000662480399856223,0.00557313118781005,0.00111074681246827,0.00225609351666877,0.0210759104533571,0.335357135111311,0.0717717257294358,0.0340023135905644,0.0322537074353554,0.00779591116396325,0.0107207211468881,0.00751682573291288,0.0138738614339683,0.00208473912792697,0.00474163751977523,0.119514467392975,0.0609423774318012,0.379460302532852,0.111167617358578,0.0192652007024275,0.0562025026757401,0.0255441760650341,0.00851669111044767,0.0105240852037422,0.000756150841201143,0.00151316936212274,0.0747910037269899,0.0207459737104664,0.0167046598932168,0.100957662477343,0.614697857455229,0.0352611259734619,0.582567492287301,0.0280360056929064,0.0437430442945802,0.0186500798507441,0.00920370581933533,0.0798925370477279,0.72682748752265,0.430686728253984,0.861453777647422,0.822831145353116,0.98720808728642,0.990024250896345,0.887090244678579,0.0109276843392541,0.0239312419346141,0.00616248938650756,0.0058305023465288,0.840697490792254,0.00269678392857641,1,0.936581920193205,0.867900779357165,0.789375949249694,0.922049064728129,0.968336543897547,0.0314263312901543,0.0261799842068822,0.0484380417276854,0.128412203980714,0.172589799900113,0.0325962739054036,0.691058934534172,0.845662823320656,0.962287953130926
10,0.0159662217367696,0.0485277723962589,0.0484562241305635,0.963181899506614,0.865189305722285,0.618039019991087,0.778498842789343,0.787962175232725,0.815710121658898,0.174769115530307,0.223992993985956,0.293517446982021,0.0512978588706583,0,0.00295354120615679,0.0372011106441441,0.155476561290791,0.537265335974157,0.00338460696375805,0.00454508618691699,0.00129202645916166,0.00126168080514744,0.0039475804421492,0.128737283891904,0.0545534818687669,0.00562435247454966,0.00520095535345226,0.409554231446101,0.149811773946913,0.0361395327851115,0.00121330816797704,0.0062337643686181,0.00109749441455009,0.00218279031815075,0.0189521046902129,0.339688481306801,0.0698794483608876,0.0333610276755213,0.0310817718350726,0.00666543444948905,0.00995975795542868,0.00720311627750391,0.014136369728854,0.00351441913098453,0.00537114520375949,0.113505933625173,0.0595366417498836,0.34421481639182,0.12068402104119,0.0188668916835893,0.0553469270469776,0.0195274874978237,0.00821187018798658,0.00780995940014328,0,0.00121354817801285,0.0607044248050774,0.0177884836138636,0.0165776674533188,0.0995011453508919,0.58858725868797,0.0410485769116829,0.549917738860513,0.0276634360646546,0.0350648092995894,0.0162115469026381,0.0046353095990735,0.0477633887101491,0.69037286057884,0.392890907518193,0.919033021364982,0.800404929460691,0.977728764609558,0.999610273209768,0.934174379507817,0.00970040483455455,0.0280723359524623,0.00528817683506312,0.00994584669417597,0.745310762259071,0.00134705951929672,0.994398633537872,0.967881970302204,0.841361277639732,0.792996474659482,0.898363219564044,0.998731336157382,0.034461653711738,0.0251317129867172,0.053114055361568,0.128130554543307,0.17753010473222,0.032622315243268,0.551575053439218,0.769226616121965,0.97576037222174
