"sample","Cq_inder"
"A1",6.5
"A2",6.5
"A3",5.5
"A4",35.5
"A5",29.5
"A6",18.5
"A7",NA
"A8",33.5
"A9",NA
"A10",NA
"A11",NA
"A12",NA
"B1",8.5
"B2",7.5
"B3",11.5
"B4",30.5
"B5",32.5
"B6",30.5
"B7",23.5
"B8",33.5
"B9",19.5
"B10",NA
"B11",31.5
"B12",NA
"C1",15.5
"C2",16.5
"C3",14.5
"C4",19.5
"C5",22.5
"C6",24.5
"C7",22.5
"C8",34.5
"C9",30.5
"C10",NA
"C11",7.5
"C12",NA
"D1",19.5
"D2",18.5
"D3",16.5
"D4",32.5
"D5",20.5
"D6",23.5
"D7",29.5
"D8",39.5
"D9",19.5
"D10",33.5
"D11",10.5
"D12",NA
"E1",22.5
"E2",20.5
"E3",21.5
"E4",34.5
"E5",34.5
"E6",21.5
"E7",31.5
"E8",NA
"E9",27.5
"E10",NA
"E11",NA
"E12",NA
"F1",27.5
"F2",25.5
"F3",20.5
"F4",NA
"F5",37.5
"F6",20.5
"F7",35.5
"F8",23.5
"F9",38.5
"F10",28.5
"F11",NA
"F12",NA
"G1",27.5
"G2",27.5
"G3",27.5
"G4",20.5
"G5",21.5
"G6",34.5
"G7",32.5
"G8",27.5
"G9",28.5
"G10",33.5
"G11",NA
"G12",30.5
"H1",NA
"H2",NA
"H3",26.5
"H4",28.5
"H5",24.5
"H6",26.5
"H7",NA
"H8",NA
"H9",NA
"H10",20.5
"H11",39.5
"H12",NA
