"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,1.03804267219584,1.04118046898696,1.04364583543784,-0.0123054314373153,0.00316915570176443,-0.0136345108900821,0.00949936764316186,-0.0292298431856687,-0.0821372053025798,-0.208011991477855,-0.821726699227979,0.939319347476043,1.04403298955344,1.07049757399228,1.08152794936791,0.0154682354238867,-0.00351267311626917,-0.00457398568323911,0.0109593030498798,0.0340216200950071,0.0504857174567611,0.000962604169257158,0.343772348841791,0.984280397721756,1.08747506977831,1.11045894936697,1.11212781464375,0.000443488448118902,0.0255999227074329,0.00763222710076504,0.230570044165295,-0.0656428418215868,0.0658534725630701,0.00363682473771944,0.106383469259918,0.869168071255455,-0.00181721003188123,0.00356407490049598,0.0185478605340569,-0.00802320045185236,0.00727537834061014,0.0201869462155672,0.258980068339064,0.180175231725623,0.00585516580907459,1.0452890294549,-0.111179798194377,0.993958710511137,-0.00706971562590139,-6.92609105965535e-05,-0.00172796160008745,-0.0139738862973038,-0.0634327030014127,0.0893875456851266,-0.00581681967244952,-0.0104200478092578,0.000294650384115549,-0.38054227111552,-0.0263107742196188,-0.619289640794203,0.00664865847400939,0.00676526471709576,0.00109552636632523,0.0324948808221914,-0.0486144356912803,0.0509302728801371,-0.000941862473333955,-0.00370461831738143,0.00405199122547189,0.0107698279861442,-0.00188653025840666,-0.00942322601345905,-0.0200971971650235,0.00775882068594875,0.00497422594675388,0.00155739689039865,0.0316299727560213,-0.00300977877274229,0.00744782546322996,0.00570642289263417,0.00107666214385162,0.0112931020607164,0.00902619286911885,-0.0100574043867708,-0.138282982658759,-0.0291412986300185,-0.00625268096806164,0.0357656514738293,0.00501959477848763,-0.0278957017234419,0.0444651115335348,0.149682074040402,-0.0591861375629631,0.0130824991768463,4.674681236055e-05,-0.0338868695221005
2,1.00496319189306,1.00562279013078,1.00597116315433,-0.000315788557148753,0.00419519547851121,-0.000454148550537465,0.0107623392499126,0.015271682208817,-0.0073318944233203,-0.0288206461278337,0.368296903532825,0.98549372812646,0.97110702322163,1.00003021749166,1.0054958982787,0.00828270114913732,0.0158578050260995,-0.000221309290371759,0.0163323722357947,0.0324586333396945,0.0432668147542091,0.000374468628549552,0.172902869995843,0.994458024855623,1.01362434628062,1.01661050719152,1.01334421765563,0.00830355005702835,0.0180951557052776,0.00766228341036441,0.20117314035691,0.0187000727088412,0.0563221266112576,0.00561721500175387,0.0798752522956708,0.875169579880435,0.00303080031022449,0.0108934144676277,0.0155931307353953,-0.00104193724560551,0.00915486503256343,0.0166291847668445,0.227729973267318,0.203782219517163,0.0112996778509776,0.989493916382054,0.00453487748728668,0.998651594230912,-0.000105540025021341,-9.90552627292951e-05,0.000720831920194541,-0.00195971113391361,-0.000635573331053395,0.0808440942718866,0.00246613498612959,0.00991239294227387,-6.03500786742689e-05,-0.00828485559232844,-0.00173434591540221,-0.0748531440971638,0.00226817384279098,0.00820920322614137,0.000106857014310782,0.0289211732184409,-0.00611688908879815,0.0623547579367683,0.000569168024558061,-0.000452564358999707,0.000986148904399823,0.00934265163258085,-0.000145935720319435,-0.0012715916426525,-0.000264076281961769,0.00531764036087981,0.00518516436482903,0.00720417830850033,0.0503448516826991,-0.000434508534729195,0.00318959212951693,0.00463717532516078,0.00132325096878013,0.00582556418924458,0.00738695977131312,0.000532136723718733,-0.019006625655217,-0.000994844115633316,0.00021726209070945,0.0329520883675652,0.0040171710932978,-0.000879699580939236,0.127844960737141,0.629297559409856,-0.00173600895050242,0.0263806995889524,0.00317560072267014,-0.00422060021270645
3,0.975767945463295,0.972547554067361,0.970846674011236,0.00746822083078549,0.00409172608120678,0.00763155487616243,0.0113991548860737,0.0572285637963803,0.064083019457054,0.140712566388835,0.833537218085671,1.0068109464192,0.9071347425974,0.911279105528201,0.932751841632506,0.00352956728383275,-0.00126922799179323,0.00195838147984083,0.0214265723858682,0.0306671347957445,0.0362895746361597,-7.66983937993058e-05,0.479966383695515,1.00113510334282,0.933481132865194,0.918901641359039,0.934848819681325,0.0147483812429556,0.0124039530735865,0.00431194964998744,0.172023721926313,0.0787102361860051,0.0469855759969342,0.00742155075114405,0.0543608098900624,0.879299357885342,0.00391242364882158,0.0125436565592917,0.0133843197462384,0.00508710537560337,0.0107359541602838,0.0128753785967039,0.196956021020122,0.222507888596579,0.0160931566557118,0.938077058212097,0.0392377479725569,1.00059980563059,0.00538270353117486,0.00257246390756874,0.000708645997616731,0.0095680014185194,0.0600591837887232,0.0720370230552625,0.00351008884361965,-0.000112524054427746,0.00102873694445084,0.307952689317516,0.0348651196507984,0.365459468239094,0.00204307972008955,0.00817650434599367,0.00271146039553403,0.0252382547306237,0.0298648114335439,0.0734895494191958,0.000911654959621006,0.00220957892923387,0.00153040794131611,0.00462182292021327,0.00434341599717336,0.00687928928923479,0.00695967971239561,0.00401337189869233,0.00538896083618456,0.0122641737814558,0.0675643576367158,0.00212142402250136,0.00214736522020222,0.00238500361893306,0.000959907011315988,0.00576463681043404,0.00885448357037431,0.00945199850087943,0.092797054669589,0.0630762764565204,0.00497749312992109,0.0300329989110459,0.00272996665063281,0.0204506126624726,0.189168879674616,0.28412342073315,0.0543006808787421,0.0378543921007821,0.00753075266465956,0.0206064598620374
4,0.954419229678732,0.949293843388632,0.943869920681272,0.0101432320006923,0.00288850812514254,0.00941808260600908,0.0110582416714397,0.0930625192352612,0.12767898356367,0.291722959730229,0.553798940005284,1.0026901695184,0.849102633322902,0.852213250463078,0.863417559745141,0.00084975822337274,0.0240153859230888,0.00356380788828255,0.026108096153736,0.0283360757947162,0.0296881543477504,-0.000184640277958058,0.75471912563727,1.00130933056262,0.852990394529963,0.834373230396776,0.856977811070062,0.0197439610707266,0.00976847347760884,-0.000156829499034388,0.14389161050938,0.107307346364826,0.0380544260728074,0.00862290695570164,0.0323177373334476,0.87949589382598,0.00414998908025299,0.0102303804209216,0.0161273812503808,0.00945811345761126,0.0116596211496854,0.00895221671828879,0.167087621133581,0.231211346248307,0.0194141301270206,1.00215184845187,0.0556801198137753,1.00025252142186,0.00975275646517526,0.00549214139660523,0.00352727080569325,0.0207974592446664,0.104797990867437,0.0627003485109918,0.00410680907759525,0.000549382148088407,0.00264220032333894,0.54860699084285,0.0772941531592147,0.613409979092277,0.00327763659098343,0.00881293214445593,0.00665039722324252,0.0212654605748121,0.0611855477620962,0.0817607176884216,0.00201005360176408,0.00356371911227042,0.00335548110704688,0.00137129861377305,0.00640934104902508,0.0131839800669894,0.00766986271561525,0.00554186063735783,0.0041912206485877,0.0158677321465477,0.0813438818817098,0.00417413992691719,0.00193809635546293,-1.08051550910942e-05,7.79812039476306e-05,0.0104796732918254,0.0109392850051068,0.0138809082912815,0.185980381426164,0.0454728860368837,0.00654049274127945,0.0268706948917067,0.00120556501379048,0.0327946768238633,0.228272430595535,0.27512861199343,0.107293644181268,0.0447044490965742,0.0114545145804344,0.0350811303457399
5,0.944849833526865,0.939072120309185,0.929972959178553,0.00890384114428537,0.00261340216878431,0.00656468872036304,0.00968323123167155,0.120050530932973,0.179766534337696,0.418272876519871,0.271281284551507,0.986865642939569,0.797739184605817,0.793645691062853,0.797456093610108,-0.000500087380202837,0.0300640442252615,0.0048125050492355,0.0303058697773813,0.0251935402494272,0.0232787176464355,0.00040912928304975,0.430325437295503,0.994399940573257,0.773114224490452,0.754468567673777,0.766280988554861,0.0219474037816314,0.00944791476654463,-0.00112819395298716,0.117458430815535,0.108177968320856,0.0297187207775318,0.00891906792218361,0.0156505461150178,0.875104360819482,0.00664108330440653,0.0103195891046227,0.024125360621605,0.0120059346438253,0.0115693247940533,0.00520490791919425,0.138185233242308,0.227295396948106,0.0207873040994243,0.968893264391009,-0.00092883032872137,0.998767101293256,0.0124856146503591,0.00578996625400221,0.00632695229152358,0.0317134441772245,0.123277448778034,0.0525869140316196,0.00651347890412677,0.0172058841157382,0.00307197667137502,0.677099509059807,0.100908941005757,0.685539412619517,0.00331484415866882,0.00973825382381401,0.00808495228689242,0.0171286743667944,0.0686979663235613,0.0835284689673929,0.00266280434681568,0.0039535962117989,0.00271531951404882,0.0195675969234571,0.00770639407352095,0.01169250278846,0.00757791005714284,0.00829817982680867,0.00321136360524427,0.0175911126129466,0.0916928249655737,0.00498007950423032,-0.000324109039335764,-0.00023723094148353,-0.000316317778859258,0.012618917253824,0.0102816223883408,0.015272329235914,0.249498845355364,0.00485718009397443,0.00578980109798447,0.0233748269434518,-6.03553254089962e-05,0.0393760736956038,0.241646436708408,0.563477468581403,0.155400976828262,0.0478086933051244,0.0126890715479693,0.0419699131639526
6,0.94787853774685,0.94016792602818,0.92956265605034,0.00789154917322015,0.00185659036083096,0.00320316484533654,0.00741648957112314,0.137409925589538,0.216147925793985,0.520906697251248,0.367290200791112,0.96526787669068,0.755326370741559,0.744201119389802,0.738934347086548,-1.26068824469319e-05,0.00619681901875521,0.00432626064102708,0.0342714349977327,0.0212367772303759,0.016849959086578,0.00199079393436022,0.212456493468117,0.980125327755155,0.695654308671136,0.674348592289324,0.674148234110168,0.0200949569998506,0.00957506650453082,0.000765696965873777,0.0931944754469724,0.0911982557543651,0.0221897725873466,0.00843798899008742,0.00463214236288227,0.866297879993509,0.00883468776572861,0.011333039605364,0.0258468564537258,0.0134821503102299,0.0104379404056722,0.00214850818173629,0.110519569691862,0.206923057411437,0.020412692996456,0.896309071595416,0.0878186353018715,0.99571928000837,0.0158183161251269,0.00454947574760608,0.00526450285044235,0.0418290829833046,0.112539965058668,0.041814371132768,0.00753545005412084,0.00742116435403883,0.0033696922834073,0.667208159958545,0.103021082323736,0.683241486129764,0.00401989381362854,0.00884679860749991,0.00768561673334561,0.0131098887021312,0.076764310791793,0.0779359969326593,0.00257814291954073,0.00369569529989995,-0.000201982305720446,0.0070472283331305,0.00936287509067625,0.00862511384215139,0.0079296141793344,0.00684438947193809,0.00401667967195547,0.0173857837215719,0.097293346971684,0.00458900653081759,-0.00186069912804322,5.27545807388718e-05,-1.59720538205991e-05,0.00993308914485132,0.00404722061779375,0.0109405406950373,0.281408069135146,0.109052553894034,0.00205494412617204,0.019553147557903,-0.00053895577733083,0.0433914940975052,0.228187043382445,0.897968296051112,0.197344200161351,0.048927980712917,0.0136122095632969,0.0417603519007222
7,0.957685527535255,0.94702401126782,0.936729344902466,0.00329447576720665,0.00368387464515172,0.00221731351144763,0.00466627993379416,0.147986439923335,0.236838024435598,0.60206467790049,0.567986247637607,0.93768991377743,0.736646157953146,0.728758989273818,0.701089104036109,0.00314012040498458,0.0180394602233979,0.00255409299542824,0.0384011899229438,0.0165190177173585,0.0106902098011948,0.00483858969515471,0.231390986567785,0.958973525653974,0.621214484150176,0.59416823468661,0.595565926579106,0.0165726082731041,0.00954457834801943,0.00326319409573189,0.0715063779957868,0.0642625183316586,0.015726749213226,0.00731963798646159,-0.000152705333540955,0.854174288691969,0.00772342090655515,0.0122293367229655,0.0213157466892817,0.014017712773385,0.00849678681769317,0.000184925765119157,0.0847765840091711,0.17035907075191,0.0186167800579516,0.909927569172937,0.0905406033356631,0.990229452639158,0.00753952411361785,0.00231929632895984,0.00230579388321624,0.049210434594521,0.0837005771536573,0.0310348384273119,0.00585246172346585,0.0026139054967837,0.00194453600845816,0.551050512111655,0.0843674041172542,0.659617683895672,0.0049612385394953,0.00554298593443655,0.00453695542354548,0.00939154797204332,0.0765798060703193,0.0663358470268032,0.000504858135831048,0.003400998378648,-0.00176820357171278,0.00328647223007954,0.0105344546796646,0.00906197346334857,0.00346232939144661,0.00229663910234314,0.00254243212237481,0.0153927511728339,0.0973087224275318,0.00383117575004398,0.00207331959913479,0.000790824660203272,0.00015952508985789,0.00699592178021502,0.000935552537537255,0.00425956959612866,0.293737884739321,0.248309552851343,0.00107687022144175,0.0153768404284665,0.000294676000526277,0.044583957840256,0.183743723746234,0.818679567184552,0.232160500449629,0.0489567409712202,0.0139858702295321,0.036145766673904
8,0.967550712923018,0.953572428561724,0.945177585267233,0.00154179119078509,0.00512026171922714,0.00486935160113779,0.0019971089493052,0.154268913633322,0.242814713265832,0.660553762169069,0.675622791152916,0.9055988044773,0.753257094047188,0.736849454737399,0.696849493349972,0.00664981906001295,0.0197813775288124,0.00108051006475623,0.0421178669867096,0.011390219057996,0.00532987626046623,0.00928273073716677,0.348467538819961,0.932875846268629,0.548629280249833,0.523984608205435,0.518158153688913,0.01415765519162,0.00977854663162893,0.0046117962996233,0.0525492193703871,0.0415671905325704,0.0104828978623079,0.00572571874947616,-0.000408613610281218,0.838536938885583,0.0033051961728373,0.0117330583220819,0.0156990619420118,0.0139409542750231,0.00610012895122812,-0.000555007872936262,0.0613647817878889,0.12447112270956,0.0158175004447858,0.878381123710248,0.0914730091525482,0.981927315043436,0.000515283651574778,0.000338156210559644,-0.000145144360957644,0.0519329591761491,0.0477528619637527,0.0209143260728533,0.00402296670635976,0.00406755015038339,-0.000109916471218331,0.384043335606935,0.06837955978185,0.669271462596269,0.00373188161182745,0.00366418232550868,0.00297901873543532,0.00623087165647428,0.0720127703079963,0.0517302226046291,-0.000103404678423227,0.00302827096737976,0.0011815384534159,0.009372945448148,0.00735353385931695,0.0112561974330049,0.00210711779992803,-0.000184349685669424,-8.63838306311614e-05,0.0119748832444408,0.0927107242278498,0.0032050722597651,0.00373819784028884,0.0023639404552081,0.00230132675265711,0.0036947974614664,-0.000113820516669609,-0.000108991859074921,0.302098632991774,0.228759045498222,0.0009617278030346,0.0109109458241454,0.00273973334511924,0.0428219547607611,0.128380933059238,0.207361542519987,0.25923105656693,0.0489354661564129,0.0141232755785288,0.0332615813903064
9,0.970416364904336,0.95590168980607,0.94976706077474,0.00524241331069997,0.00333440063805672,0.00577120757542514,-4.60570695002236e-05,0.155387843636756,0.234903534538299,0.692100208380475,0.481269425228745,0.866199119286525,0.799376330650279,0.775835086030326,0.72712418264078,0.00690353179427197,0.00767915098771785,0.00118253971046276,0.0434219127370589,0.0064183394103643,0.00147823944881902,0.0155478609569637,0.45110775220761,0.903444131638196,0.479365561240442,0.458969625503845,0.443871245809474,0.0131695375019194,0.00957777085114041,0.00445510829163818,0.0363471390248043,0.0304375029516833,0.00631389488671809,0.00391804243554299,0.000745561334347025,0.817179726364519,-0.00033527790938056,0.00615209915555612,0.0111925030744793,0.0135862932747065,0.00353155192027413,-3.7876361530429e-05,0.0410008710445643,0.0797666321724503,0.0122548273766953,0.871241137268933,0.0506969437802682,0.969982285135271,0.00413534452573996,0.00123797081041179,0.00191993288246045,0.0495884105455254,0.0219020218841489,0.0123791291789411,0.000456806573338044,0.00686172201652135,0.00102921813931688,0.210627297055596,0.0639438164229494,0.650051743847598,0.00230120052339703,0.00409369889894028,0.00123195375875202,0.00371011916426107,0.0694830290751309,0.0364928104903997,0.00187323352583543,0.00318085343906094,0.00374374506222238,8.19184187381913e-05,0.00535450595810985,0.0111339627570138,0.00731599352876083,-0.000169998337515628,-0.00144845328512933,0.00785486607383773,0.0842213314466373,0.00283907440564661,0.00213815752232389,0.00374289808574274,0.00678554328988518,0.00186014684611013,0.000555711934328089,0.0019708470426079,0.309398818676417,0.241908883491415,6.25681715099602e-05,0.00653756809260411,0.00673587750765085,0.0398584099894892,0.0916126023666402,0.895472903076628,0.278283045317357,0.0476123476888302,0.0140237642685115,0.034854841237973
10,0.965056415413527,0.952704317261815,0.946713382455861,0.00785798163813138,0.00173461087581582,0.007142920443088,-0.000797694754725587,0.15054046299608,0.217454583513153,0.696924880905078,0.296269494401354,0.832086696997006,0.864607099584473,0.839443421953847,0.782585550406797,0.00410634105169147,0.0275179890793593,0.00305056392982354,0.0408819550920085,0.00236232306156933,-0.000512556736887014,0.0237388757498952,0.4008748548409,0.871856481697601,0.428509558949884,0.399893580993711,0.385864929141358,0.0118122796972812,0.00739886589798897,0.0045315296787252,0.022757653175805,0.0272481225678596,0.00317504040259706,0.00215499076556478,0.0020630878638095,0.787731142215621,0.00163694508697568,-0.000112416623980191,0.00682083290123051,0.0130156849198796,0.00121150048290339,0.00208076107372318,0.0241491354347674,0.0434323049479714,0.00814478411176337,0.791492863060266,0.170608511191015,0.95416776360974,0.00464216908355757,0.00439236712808495,0.00590869702362456,0.0431563507366544,0.00881825090923115,0.00583820270457021,-9.35627921294785e-05,0.00452612122432482,0.00345896148522715,0.0882570118051491,0.0639998826017518,0.602825655441926,0.00164603468129114,0.00896077153322269,-2.18863764250997e-05,0.00174989143093578,0.0689896731787712,0.0225963869158866,0.00332266948973539,0.00589167195047741,0.00290685113261497,0.00551523120157425,0.00561771613121197,0.00811694185304456,0.00932554473067737,0.000829991883164536,0.000421756349552139,0.00386473200410307,0.0713114469572823,0.00278220971619226,0.00158241472146285,0.00745389422166598,0.0120875254203014,0.00358328728778293,0.00934968402524436,0.00637570817212666,0.313734518773227,0.229724907242112,-1.28151676586665e-05,0.00271339283158594,0.0121942861204139,0.0359161723146259,0.0824489958013228,0.694461966212356,0.289612743581577,0.0444135535314576,0.0124854460729461,0.0391672583598799
