"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,-0.101190311896257,-0.0506666514421777,-0.0349696609936599,-0.0407546838468061,0.00731786130610403,-0.0390245043120373,-0.0646596060770832,-0.0391581328440674,-0.0664818266765312,-0.622451050895213,-0.769147037272582,0.97255773973903,1.0049157765387,1.07153406755742,1.12877754097085,0.00138870560358378,-0.0246409624238452,-9.63764698989288e-05,-0.0254875116504808,0.0170230534774179,-0.0282005078522244,0.983528334410698,0.996136973939172,-0.975817590915327,1.09442604716059,-0.00453912657814385,1.10765565614568,-0.0211290633536554,-0.0237660565814257,-3.31222178009977e-06,-0.0330209293138287,0.0144196404219899,-0.0368903744285403,-0.502629540080094,-0.211876018559953,-0.531145426059148,-0.00141666568137441,0.00701409917258034,-0.000373825691837674,-0.00332522049672617,-0.0085143283733167,-0.0118980398557855,0.0511372489034471,0.0132052732639844,-0.025588390354656,-0.366645584458007,-0.251751689114139,0.661780919933887,-0.0262301241833869,-0.0155818455692067,-0.00838117616003891,0.0503749573696343,-0.030988663797794,-0.0524398151017701,0.0184893456285383,0.0297921478187904,0.0102436542387925,-0.553733530080474,-0.463953627246626,-0.733490585110408,-0.0309969974973876,-0.0214837791995248,-0.0261534563165824,-0.0360522353581235,-0.00461024782151287,-0.0369498192341301,-0.00611568763127981,-0.0173577314780763,-0.00965954752942866,-0.00173364447754568,-0.115174901488776,-0.257072315786081,-0.0308004032988933,-0.0282581218696825,-0.0203566639251114,0.0938117564748616,-0.0459611232659358,-0.0112511771472432,0.0134732759055099,0.0338880224995109,0.0904503382567756,-0.0799036098680733,-0.181853480408075,-0.0522758701502937,-0.466116771905078,-0.800336889680853,-0.0237746019781335,0.0135353711948742,-0.0267633070904064,-0.0657878550227177,0.974024878038364,-0.330194206776172,-0.00315885327927065,-0.214748692290796,-0.0626059078011996,-0.393568021419899
2,-0.0131988085694547,-0.0081264240380382,-0.00623477301968423,-0.000382734573001263,0.0199190448635474,-0.000626116420281236,-0.00653229522307251,-0.00185930270333728,-0.00561896613641609,-0.0542434411929345,-0.0913547178514841,0.991217897687329,0.951349206408498,0.973304595717448,1.01926214032547,0.00529782895898002,-0.00260614933728704,0.00991540759243155,0.00334497097725571,0.0247349591579835,-0.00104897854029025,0.994148063326654,0.998573948796413,-0.116941785607268,1.01491407436517,-5.38297100135999e-05,1.01689250505098,-0.00010052931463688,-0.00111503922033662,0.0107988882522049,-0.00430661932088528,0.024019352221722,-0.0038485372716688,-0.0659164484799739,-0.026941443650793,-0.0667080641327008,0.0222555909782944,0.0124809741738007,0.0153880958575907,0.0120160105517018,0.0137426776781295,0.0118790232762951,0.0641154982235372,0.0322912317205326,-0.000557412130762822,-0.0264442958827439,-0.0352720017174019,0.842864559829721,-0.000277550491559445,-0.000749467825815428,-0.00137294298704926,0.0702567851421873,0.0358487521988848,0.0121091576652384,0.0300006368445028,0.0862960020627468,0.0170773657292138,-0.0704673964249634,-0.00178696575225937,-0.078220364098978,0.00437747504523072,-0.00134328110332217,-0.0030975226173833,-0.0034446501119553,0.0138432750474513,-0.00254307240213056,0.0325807864273712,0.00952657890586488,0.000171951901981946,0.0470187248595966,-0.0154576382225965,-0.0299570623309933,-0.00392755102582106,-0.0032911617428832,-0.0023844880740513,0.101451974315214,0.0473617322834148,0.0046241365110079,0.0166620361481289,0.0411005796195536,0.104545890993599,-0.0111178778277324,-0.0185591458923025,-0.00723881018826064,-0.0565032636174611,-0.0271093470448279,-0.00213523811478831,0.0472207246797423,-4.07522811829802e-05,-7.93497203696113e-05,0.991269013286125,-0.00351120537266658,0.195737446668523,-0.0300642654680501,-0.00872589662761395,-0.0450794546412734
3,0.0644412418391016,0.0396760703033635,0.0304403623902228,0.0309754788699189,0.0307696249730392,0.0285775423203743,0.0398364665253024,0.0311870053413282,0.0425462072994312,0.465764049331176,0.44602597539254,1.00264657454575,0.879720225185117,0.878763064151557,0.905955432528601,0.00817858481289157,0.0164193448548643,0.0179085887764686,0.0250527463668696,0.0314229381580016,0.0225104885039805,1.00145891846352,1.00029208277664,0.570951070906072,0.927184225158312,0.00305191183487226,0.917524828280517,0.0157913696200677,0.0160845863691887,0.0196754478761323,0.0210264355078517,0.0324990196775516,0.0251785930589684,0.321827366108108,0.13153763664799,0.32569231311848,0.040136453929731,0.0169277500900501,0.0276797677378173,0.0294247227840763,0.0334347872433224,0.0334664658293328,0.0742892681171419,0.0476467907029514,0.0220745814964847,0.303972890870007,0.172210361326138,0.955016788088197,0.016264673496186,0.0113212485929422,0.00670319223088756,0.0892597294934268,0.0631437996912274,0.0541517256098263,0.039339064205674,0.136596676711618,0.0222700806296092,0.344046700192469,0.376582144009969,0.38189942471854,0.0258753661656335,0.0121017574236943,0.015123198661342,0.0232930565920775,0.029456888819807,0.0238180879937895,0.0442119169405813,0.0309611331411677,0.00752325937341499,0.091678546244475,0.0754696454397361,0.146260951380732,0.0191756903025381,0.0160686132152533,0.0116419123615446,0.110349542727882,0.0691644149560996,0.0193160749907523,0.0190877500661228,0.0469621943334794,0.118150265141587,0.05428140351187,0.0906123005330063,0.0353424262132725,0.275868875308781,0.464513152159391,0.0130452658575392,0.0746185684276744,0.0209246123651915,0.0434946608467971,1.0020681168354,0.294169653077092,0.385640560367243,0.146784354932244,0.0426029070642328,0.220093807954452
4,0.139006142165523,0.110079473888748,0.0931319772476233,0.0490196834360295,0.0392873768223409,0.0467837717413916,0.0714289942141109,0.0552352566808515,0.0754836924270683,0.754301592372829,0.770235876757103,1.00173663403299,0.795811873243827,0.788830150455947,0.786000619134647,0.0106124052385226,0.0293914072224015,0.0241007365159733,0.0389546624055373,0.0363148082929701,0.0374238068017524,1.00117951502105,1.00047841962781,0.888265516784689,0.825433514872267,0.00359746379318991,0.794298774692031,0.0245777125925891,0.0237363154174204,0.025175033322895,0.0373845337187131,0.0392638586213786,0.0413510465278216,0.609262797724775,0.274415520373878,0.60906216732494,0.0526823684110984,0.0195157399922685,0.0368988030635685,0.0369040606987967,0.0473572319214124,0.0507903058645179,0.0794036897811065,0.0588819522291569,0.0365104872090861,0.588197105659175,0.360308184433648,0.99613209999964,0.0241392469474414,0.0190308430649672,0.0129012114500201,0.103988391747417,0.0699662385692266,0.0571255715415012,0.0454964333947551,0.177248612286951,0.0254411426319541,0.645593149918303,0.564656256429015,0.601893687069733,0.0333377631763114,0.0184394002438872,0.0261073832263341,0.0425270697076656,0.0409014520592548,0.0367398875557088,0.0384143636381386,0.0430508014906188,0.0108600336718085,0.127548325059509,0.14198850572678,0.265445279676742,0.0357789118239331,0.0276653785354274,0.0199554460424542,0.118225829810632,0.0656686605162094,0.0321593813171042,0.0209145504468398,0.0499773404720586,0.127416910794068,0.11225463197009,0.136560809570327,0.0733836744504501,0.493709787420009,0.694342969058208,0.0218532744174995,0.0928047658605486,0.0341655164401775,0.0546146830585302,1.00176776945175,0.546455949017055,0.561483084724628,0.30787918122738,0.0892210025943567,0.395712701282688
5,0.233742920199936,0.212457822049441,0.188719909399424,0.0524176883600274,0.0450667077983625,0.0537887059028811,0.0891225967248785,0.0674504746505547,0.0954960458342575,0.718969023944732,0.893774631218747,0.99152113972129,0.720277436800138,0.71553583068611,0.672916131084568,0.0126576303269005,0.0370117158126432,0.0292100116856749,0.043156548114503,0.0406782985440661,0.0403950047172768,0.994241191367802,0.998512474105527,0.932700769046141,0.71153464995014,0.0025109629807867,0.649463602192955,0.0267103625910552,0.023279773140838,0.0277286089547104,0.0471994166066377,0.0435713092177074,0.0484905248565588,0.809061358128905,0.413509881204726,0.790644983420629,0.0565893492724467,0.0200296849876994,0.0417349884984151,0.0369498357335545,0.0592219719985161,0.0621348163421296,0.0806122924766329,0.0657581506913432,0.0386710335328143,0.795097055707016,0.523248085453663,0.99451197954197,0.0232302178723115,0.0225097141023291,0.0150494832737708,0.112754120529359,0.0480145058042494,0.0495366042135535,0.0473605416503302,0.200129992076722,0.0277662217780683,0.831893294924917,0.595130619305358,0.690100090874858,0.0342805208746765,0.0226916489150748,0.0309541087771221,0.0504638871751393,0.0472922295520584,0.0429745695989834,0.0305809538715678,0.0446714992622252,0.0105167652595887,0.156838097177026,0.185803289577936,0.263194632387178,0.042388507102102,0.0316610416664948,0.024164016197129,0.12446044878641,0.1075295563205,0.0409582138031909,0.021803953172912,0.0490943073907306,0.128668830830712,0.159942397294044,0.157325102066202,0.105754350362425,0.604828871220837,0.784056877605541,0.0264753158994869,0.101300814320746,0.0409484458347292,0.046583355351992,0.99136912561793,0.739853093278187,0.715321588133455,0.44694127481076,0.129465417714272,0.500055179961543
6,0.353985593652772,0.344356241126699,0.315313202148196,0.0499533315119898,0.0476579644024649,0.0515634403827844,0.093828794491423,0.0700532496778432,0.104988140576116,0.981888522606967,0.874979030602745,0.975845216856228,0.666025803885145,0.669644588166834,0.586142583110472,0.0143803048198678,0.0407053709586104,0.0325633871604422,0.0397438233312821,0.0441369324737523,0.0319180666139817,0.98048253564164,0.994122845294342,0.863174616939248,0.587035144552445,0.00142054806295567,0.496948971322227,0.0252515190696545,0.0202262399736382,0.0285312282904725,0.0520804533893868,0.0447342885177034,0.0507659959064936,0.927188760698287,0.554636642769641,0.901979385231699,0.0530871667701345,0.0198949518832665,0.039606804609922,0.0390553810389166,0.069809441549568,0.0680128500798185,0.0802375288450606,0.0657511126919009,0.0352017537518746,0.910820456683249,0.65890673144979,1.00028437556443,0.0193288045219037,0.0205894801464873,0.0143736599479723,0.115392464469268,0.0615817517568146,0.046591889497208,0.0449025374264853,0.202267249446493,0.029232959791765,0.92642947401298,0.590225492256381,0.708891769041376,0.0346201352358239,0.0243878469122399,0.0322356832419583,0.0495894056813552,0.0508864222434515,0.0523869349689214,0.026768707202415,0.0382086769049233,0.00847465630602714,0.177093343270819,0.211561453024949,0.250628549065442,0.0440366534493052,0.0300479237272418,0.0252584874987127,0.126133492201593,0.0999414600571601,0.0451794568635842,0.0212753780291093,0.0447187055852584,0.120640986077957,0.19739472471854,0.180283984351735,0.132382720691515,0.652553407531143,0.743938287446442,0.030929789722651,0.102056696445696,0.04303219296411,0.0429785336135281,0.976117649589103,0.873721004521635,0.834465585850168,0.563638334424578,0.163772039137092,0.536459679516892
7,0.492704811147876,0.492484348065238,0.456431721628616,0.0471275133542761,0.0465919017626452,0.0450830410992242,0.0917939676785417,0.0705348300925178,0.10730950008567,0.969542349998216,0.822214327929673,0.953438613245181,0.646714761996722,0.660176155668493,0.536309608217321,0.01564529248523,0.0413940199660331,0.0330420606300378,0.0337018658073764,0.0454490507858241,0.0275877186431255,0.957653028744021,0.986998327035718,0.809925551859142,0.457269096488175,0.000262815643007576,0.358506216276708,0.022899645788156,0.0172154840971258,0.0268149975963119,0.0518934215462887,0.043094153155833,0.0479677039382733,0.959984823063275,0.722989013842635,0.96701280047774,0.0423314684513792,0.019064742677969,0.0338032254839436,0.041425208433034,0.0764674572248214,0.0690936260981857,0.0784166218033136,0.0612211006667473,0.0282222431953479,0.952752211619418,0.766599083790161,1.0033744759213,0.0199586374398985,0.0170644555479666,0.0130077574180978,0.11013300341712,0.0750851619230074,0.0514219674452724,0.0395011553506908,0.186539357930172,0.0288683186302172,0.97192427615294,0.617830067051209,0.772440276590711,0.0371468556616783,0.0201708500111134,0.0322863494282574,0.0486164146057374,0.0509359641678517,0.0554197210120709,0.0251272120895675,0.0287119121950591,0.00646068205071685,0.189767685828493,0.224903767904276,0.31047845031844,0.0455724269733586,0.026941173954322,0.0247454198101428,0.121434345044372,0.0532837372354319,0.0450902150306503,0.0189991615580146,0.0379258596275302,0.104808396292874,0.226905473271372,0.204546323221533,0.153196837772956,0.693963152479155,0.690409983702027,0.0363229244799597,0.0973605072549648,0.041260495001196,0.0441666275092329,0.957961357360081,0.956437325008646,0.915376549925773,0.659748884978796,0.192448028829963,0.52335822409378
8,0.634056372879714,0.635279272055968,0.597454193344646,0.0420714893325089,0.0420897449961649,0.0396479903569182,0.0822264360806659,0.0711534803929025,0.105683382375136,0.816998489500242,0.806798057971669,0.924257337255122,0.668077351232463,0.690128119967379,0.53110946725351,0.0165845210649681,0.038379806394797,0.0310272168865547,0.0259195953025171,0.0426514428170177,0.029794305160319,0.928307013033595,0.976768144713787,0.739457092184537,0.337263005935318,0.000683944222751645,0.246953701001645,0.0205009910494695,0.014530431567291,0.0225871742188527,0.0451695733042961,0.0387878445400584,0.0435637053220951,0.964589814541904,0.896902354637033,1.00126749340357,0.0304238254049976,0.0169810996193101,0.0271946237293428,0.0419784632744663,0.0758940914603894,0.0660392994025202,0.0742137374875739,0.0545903178183251,0.0235653308624134,0.96450185335084,0.849968042399509,0.998611578126606,0.0216950828529611,0.0138141697901459,0.0113772475486882,0.095485525065301,0.0655695158955096,0.0614995117682823,0.0322652058313791,0.159245017133599,0.0267491458981156,0.994179054886368,0.733766690693852,0.871560493074696,0.0398915465105008,0.0171343076737798,0.0325341655315343,0.0486683887026025,0.0460512034925456,0.0446652192855037,0.029961692005278,0.0202065838494037,0.00529882609059943,0.194291691985948,0.236723041585126,0.405861573497818,0.0491120203888822,0.0275475071972923,0.0248231489760059,0.111798256051232,0.0919726064345528,0.0426414065670039,0.0154527742087162,0.029933911952067,0.0845183800289237,0.250529560920028,0.217646185713197,0.168573632653019,0.761252368184747,0.725321821118039,0.0375835680090208,0.0887478759301678,0.03858904589379,0.0487207534538476,0.936616561792302,1.00006658642123,0.961286028901675,0.737526305534221,0.215306478665418,0.509749903437499
9,0.764537730440323,0.762106937638438,0.727618565130985,0.0319491177346469,0.0347473341834463,0.0383318712384542,0.0709410603100033,0.0682222188313347,0.099993128416189,0.801068160996902,0.855017799709104,0.892007012605395,0.723696952344143,0.742792352902058,0.568822896416077,0.0173177874596865,0.0328161052345701,0.0262421701315106,0.0185824618211028,0.0353125113423464,0.032595268676313,0.896944505312957,0.962963405919224,0.664530571296265,0.236358249274623,0.00570528885277569,0.151428007559906,0.0175292562674964,0.012088349401965,0.0175774235323508,0.0363206842589809,0.0315918692717339,0.0394786446873648,0.971719274575418,1.00108226770265,0.985145387829941,0.0241473827118353,0.0136563097076135,0.0186101094166618,0.0391545375316077,0.0671728682587225,0.0581580763330906,0.0652028790557746,0.0453660898143091,0.0220971076717984,0.970007939779851,0.913272539678888,0.993006769829782,0.0193239355409331,0.0115469188270876,0.00959525052840055,0.0740236918351505,0.0625489141078547,0.0551066513100116,0.0235131446660334,0.122216882307943,0.0225194719952481,1.00008927883113,0.888654345045525,0.938893260802061,0.0382464195568938,0.0185196091292846,0.0313236419606652,0.0478898315567764,0.0381011610897951,0.0317789072529319,0.0333712276745379,0.0128232408510829,0.00508309292208658,0.192181858137313,0.258850945575394,0.399318197710921,0.0517645597202451,0.0304521683883817,0.025319343720186,0.0968114439802236,0.0510756448719116,0.0397442134500036,0.0113299733779262,0.0206439187994728,0.062783958269825,0.269833645396723,0.228302659982904,0.178513691100856,0.828982137393767,0.822674987153354,0.0348652890038817,0.075600775348991,0.0354908945243212,0.0407301080830319,0.911764981137751,1.01109471719139,0.980886647586478,0.798977717201399,0.2325371811512,0.527414798771478
10,0.867513895651379,0.861878723568719,0.838143340362841,0.0223066677529002,0.025158917575069,0.037056123311929,0.0659324881117475,0.0604390040433611,0.0875973229817698,1.26400528974842,0.905072845726746,0.860513524268753,0.795833583114355,0.810242854396213,0.635976675397413,0.0150878426267885,0.0276663907771589,0.0188966740806477,0.0137985474341392,0.0245196316875553,0.0254344522277505,0.865822466796096,0.945092431496611,0.690986242884868,0.16908985880861,0.0195127598179918,0.0615390080885239,0.0130331611062234,0.0113142655050287,0.0124947380187895,0.0311081364862389,0.0227672911180025,0.0399676340054664,0.989054546904391,1.02484301475095,0.935673333571434,0.0190004410503813,0.00883372164801611,0.00940356802387069,0.0320896217117632,0.0539838679998469,0.0459849307128331,0.0519917529324067,0.0331424185204062,0.0221586815716856,0.982278585419663,0.958042372517922,0.974711061788569,0.0150438516765943,0.00987317620948094,0.0085685260898392,0.0530029788013133,0.067550061110174,0.0335402407915568,0.014072958100347,0.0811388467325243,0.0161391289993237,1.00169061669361,0.986933961457225,1.01092959906027,0.0331519063943775,0.0240879052223686,0.0297441056944016,0.045269565595443,0.0291620658276189,0.022402685772056,0.0222387477973301,0.00761642196773972,0.00534405061043489,0.184186695872427,0.28552699287832,0.32209935865692,0.0478123390045095,0.0313553402820462,0.0261331499436449,0.0809436937975797,0.0895443341860161,0.0359350744328693,0.00670584044626227,0.0108953606484564,0.0417855319547213,0.285279047095413,0.219189027071484,0.183863515024253,0.882366339453349,0.926629986150725,0.0285134356592348,0.0579457708245476,0.0321032106679753,0.0230718671781613,0.883342932814587,0.999674901590484,0.987314655406757,0.845591583244147,0.244282079082442,0.556100108956035
