"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,0.628807954735934,1.07522679577733,1.08300408494803,-0.000137068559832001,-0.011794695805855,-0.0171539881272403,-0.154878875339172,-0.0491324933588472,-0.13934704135584,-0.0926136437885043,-0.110440184101436,-0.263892048744792,1.25934718582804,1.25670098072377,1.24405439761889,-0.00445692742788269,-0.00199304824124911,-0.000108474347040542,-0.0252254911308884,0.062255090976545,-0.00474691182537322,-0.00470439062600426,0.0246893016475216,-0.203416399042518,1.12173037060314,1.15198325809546,1.14604604430421,0.00780500424174681,0.00151713503092141,0.00466055600950114,0.147344308278702,0.0178043644015175,0.00626876726281756,-0.0205861224152591,0.129484884681796,-0.200440033969236,-0.00734190956388439,-0.00157920892280337,-0.00442442707754936,0.00272738616033088,0.00074742355148858,0.0109667803294462,0.00454079809875679,0.00442067516217531,0.0198295298587718,-0.0214782370642005,-0.00692715397477998,-0.0908278403672806,-0.000142693336766658,-0.00339442290684014,-0.00340987862659187,0.0139138788813923,0.0237829821034136,0.0125904787654666,-0.000135606193000657,0.00400504046633849,-0.00193059934202032,-0.0202118598112011,-0.0192544494762472,-0.152225314086479,-0.00957273593113062,0.00546261940175701,-0.00236157419515429,0.00657030023296884,0.0654292073808403,-0.0371816868421786,0.00252376540415343,0.00178176683737207,0.00479737081605271,0.00168319764328538,-0.00533628851856457,-0.00976214922861697,-0.0163995549471451,-0.000927256158444314,-0.000508398722791964,0.0410568259600047,-0.000464353517955802,-0.0113033467799911,0.00202186879264378,0.00284973550782809,0.00406789225942901,0.00201686896421472,-0.0013908628259176,-0.0147722216696693,-0.101005031591872,-0.191489979988096,-0.00585509003372883,-0.0546415537145165,0.00188325604824733,-0.0268791816974702,-0.10878453196433,-0.0384450726930827,-0.0322181132342215,-0.00750587244849025,-0.00337403993047377,-0.0165269374507538
2,0.456609962548808,1.01110029233469,1.01258808259217,0.0102747250779801,0.00147170649983896,0.00332772378764636,-0.012005040022036,0.0315756042761316,0.0644020691242586,-0.0122657130484805,-0.0108474347904236,-0.0258245228695276,1.03877127187873,1.03610169831093,1.03482441517141,0.00164223786537998,8.19747382772137e-05,0.00293932773038042,0.0589173952850048,0.058133427435595,-0.00152469554787036,0.00189888759853989,0.0227358496489762,-0.0187989505925772,1.00561537409714,1.02187570604215,1.02048434807446,0.008163205161411,0.00262769188397484,0.00410174659134078,0.149970837620146,0.0171414269172765,0.00688901463404648,-0.00297961894502049,0.101535029558384,-0.019949587373081,0.000887603620903181,-0.000521684467046396,0.00227966815039236,0.00587968597399681,0.0051154022413085,0.00933413534490856,0.00560532197090285,0.0217263972741269,0.0291664929258559,-0.00185385532704723,0.000888907513427704,-0.0102880993688447,0.00380566218627497,0.000229740973236646,0.00124647814412814,0.0173606179682977,0.0353587338713667,0.0199430341798402,0.00146774354466536,0.00269047649261666,9.21101967212591e-05,-0.0023982268963601,-0.00273832442304941,-0.00363101248711167,-0.000479768545766702,-0.000347302600311243,0.00227809525033934,0.0104706155619199,0.0768097355421945,-0.00289487524635924,0.00119395899190833,0.000887753618892522,0.003842811384514,0.00142547277234378,-0.000411355443299025,-0.001037476716725,-0.00094876996452861,-0.000152506147517448,-0.000157465458765251,0.033383072502671,0.0070666634733584,-0.000230440895523717,0.00117996808141262,0.000755314427974469,0.00351408768795574,-0.00422464872500615,-3.08248858456368e-05,0.00175206860871252,-0.011072307788674,-0.0230860616495312,-0.000916339618125776,0.12066132899861,0.0568285937694318,0.0143281374981773,-0.012033656215578,-0.00492782032759509,-0.0042956919201552,-0.000888294196845912,-0.000207562842532224,-0.00177905506181593
3,0.305244028256797,0.94580445507181,0.938540537932362,0.0167103605074322,0.0130626469069852,0.012973692739023,0.0834023332034922,0.101790748100599,0.139299071213129,0.0598855401778751,0.0529610051532445,0.126084435186517,0.81070496670974,0.823738767070174,0.829974914163139,0.00625763530972155,0.00234200735876176,0.00721668195212275,0.0902757106011443,0.0535519064158279,0.00744410179254354,0.0083258633977894,0.020709472874382,0.100398061751941,0.894261082712603,0.893195082264786,0.899988182930583,0.00842301790447584,0.00383759785576826,0.00483480595967463,0.115740446899248,0.0179832120353532,0.00685200926730024,0.0145475513198059,0.0743293314169141,0.0974009265862192,0.00526175236989211,0.0025732985194628,0.00533624434863238,0.00935532179056863,0.00923087345121291,0.00819696985288629,0.00638607283648785,0.0363368626324655,0.0375722606725307,0.0162036152729885,0.00770824456622481,0.0502301322125946,0.00632748457445981,0.00118987402235391,0.0095511033771776,0.0199014783471987,0.0476580917023081,0.0267695865293085,0.00208303506102054,0.000921158039626596,0.000639336917761797,0.0117089901410523,0.0133694663007707,0.0962023091849968,0.00543498163711803,0.00456976278311666,0.00394347862605654,0.0137381370965433,0.0840308843027598,0.0234118337358723,0.000769101117597543,-3.94083742889383e-05,0.00105083455114261,0.00142241398661299,0.00200838245845994,0.00646688266214476,0.00679926423072885,0.00127641530608422,0.00229077904616768,0.0282917795266519,0.0136539957760992,0.0097450005886339,0.00112798965927428,0.000842261127983511,0.00227790139067292,0.000304399165442636,0.00176654200530522,0.00678014196792839,0.0540589144976437,0.11271430099477,0.0048990603144385,0.185410128601762,0.105837577051295,0.0488220243456785,0.0587525568172338,0.0240593580700231,0.0209730840807578,0.00433696578460063,0.00175596096557105,0.00868597471357187
4,0.205437078751828,0.892604208350654,0.874165245588132,0.0189797841392372,0.0172654679438805,0.0125790166625885,0.138760814683271,0.149013644661254,0.106069074743459,0.115226614052807,0.080789532598912,0.18212801624281,0.578628836370287,0.624486767194883,0.633606208773134,0.00897368166796335,0.00464103563427168,0.00893698270736261,0.0471379815542466,0.0479593370573236,0.0210058795009851,0.0125568102057988,0.0186624069032544,0.128273756886471,0.772769894148735,0.766264589984965,0.782138316533402,0.00971084936686494,0.00434144555395957,0.0047056180363475,0.115865287305824,0.0200609780699715,0.00556756070716697,0.0297692491118831,0.0468214951672758,0.144044986356734,0.00570162660185772,0.00503094548476164,0.00425565622207761,0.0121259020699399,0.012687648033378,0.00612086409885094,0.00530322326695583,0.0443015383149092,0.0382420239064805,0.0301968111297358,0.0134156699127673,0.0870123679438865,0.00919235687927686,0.00132549479816806,0.00769104365737785,0.0208366424273359,0.05872378571526,0.0320805563611055,-0.000397763368450482,0.000545981596190656,0.000628674972624784,0.021573533122108,0.0262841793846365,0.11970611593605,0.00896692909850522,0.00697895492545312,0.00330065098820019,0.0162108907789467,0.095547741663103,0.042378049038023,0.000529938258322127,0.000439795748140701,-4.55980251215113e-05,0.000291573789836456,0.00363006461116434,0.012742521859088,0.00906891510228342,0.00267891448174179,0.00338618035795605,0.0259546520485763,0.018195119601361,0.0147940521988589,0.00159660729356063,0.000801280311541445,-7.01328360197426e-05,0.0056140738120969,0.00318656332894741,0.00680106979260783,0.0871475700453793,0.190361626581243,0.00718415564412766,0.160731251512442,0.137943961624366,0.0744578562901918,0.101707701826721,0.0493570409270992,0.0439182979983168,0.00851090884395119,0.00397846820887411,0.0137728817422404
5,0.191279448304404,0.861878137431451,0.835544403443192,0.0212199547431629,0.0164995899322767,0.010745140522918,0.166576894874772,0.17254204268137,0.136759607508747,0.152508722578804,0.0934473051658584,0.189122088262218,0.359321247472419,0.448722661898691,0.450596385588841,0.00992173118310243,0.00555980261228695,0.00722339154655407,0.0374116963934627,0.0411197724989209,0.0352669785825663,0.0135381249637432,0.017751257587457,0.110466471447744,0.639091166884135,0.639525154772588,0.658432682171951,0.0116383099194367,0.00398998579631766,0.00296620556833363,0.161148678103957,0.0213809190419712,0.00347705028687646,0.0400330407790878,0.0228348009821193,0.148322640780579,0.00578953368175801,0.00458732477718672,0.00065859075172429,0.0147493923332754,0.0148480182498775,0.00392683097723137,0.00366475453865072,0.0463096413769597,0.0292356275338252,0.0361790107206327,0.0200904583458621,0.111102229005479,0.0107976783020837,0.000878336814685597,0.00653118538046219,0.0201891701200245,0.0658482497497375,0.0345564034370995,0.00114105270979843,0.00113449513156843,-1.88659439067639e-05,0.0278457196565845,0.0340298784764446,0.110082092337086,0.0111364869811416,0.00842448046373132,0.00266299858261889,0.0180364459282436,0.0967344755848494,0.0544569656569194,-7.86634577116293e-05,0.000511591742425824,-0.000167577964260574,-6.57905963446274e-05,0.00374798863718596,0.0120318106564894,0.00850289872310434,0.00397187464015871,0.00334147363304328,0.0228851087729249,0.0199495991556156,0.0155506497554293,0.00119539400100348,0.000610407367028993,-0.000290197014699428,0.00617120434917839,0.00286579828345571,0.00633626277437776,0.0960724680711447,0.219798829428063,0.00709301104875284,0.190988287900366,0.148432606987205,0.0909572889756287,0.113602728725244,0.0697650191996368,0.0635698139683053,0.0104696199234708,0.00442342135138153,0.0141636416788458
6,0.263235865459353,0.855371496201673,0.827185008550546,0.0220750681371319,0.0140962414901157,0.011965141580994,0.164577765571428,0.176822460332779,0.165844822165734,0.17493409203814,0.101666603666594,0.204752466644842,0.176345370122847,0.303810886004082,0.288115931292642,0.0100548490949311,0.0050067837008834,0.0040405263006589,0.0593234834736725,0.0333363253167543,0.0425327777707891,0.0152592434771064,0.0172003553002035,0.0974362343213055,0.503363059269793,0.515028948628075,0.534647166190276,0.0115820892259125,0.00308137221748347,0.000668110861650235,0.103051846906309,0.0203686489589626,0.00133377252580337,0.0452063584189504,0.00477354909069617,0.139752465990354,0.00677475485904457,0.00405625082949941,-0.000134892081678469,0.0172577464180776,0.0155542110404953,0.00273179482141147,0.00333254723605698,0.043862099707341,0.0229774326023087,0.0402339026615699,0.0273441385496316,0.12698389284295,0.0100237161108825,0.00158265668843463,0.0110688367328903,0.0175564758148684,0.0668426769980072,0.0341755261595855,0.000662077295238503,0.00144824247393271,0.000115851960793353,0.0293031125570121,0.0375655912897616,0.0951075147579235,0.0140473949431363,0.0046127519449373,0.00308734518050163,0.0191493654759668,0.088211810515683,0.0594291595581708,-0.000259143099949899,0.000252455958100917,0.00022262565206385,0.00202192908726418,0.00403311643216738,0.00840761000662496,0.00792579376671105,0.00468715864604777,0.00318772366429943,0.0164744948885057,0.0196685350660742,0.0148462818186207,0.00103547732218355,0.00145628454652527,0.000384207533833453,0.00399534824251105,0.0027677186897659,0.0100884567048831,0.0922106344107456,0.244786528151093,0.00679955399990464,0.231030393571012,0.143432654435424,0.0975553800712102,0.110729387452415,0.082083290341208,0.0810155163774686,0.0108284088477161,0.00530829029805633,0.0125782084868983
7,0.404847138247972,0.865135930541776,0.840667535570737,0.0189644201232141,0.0114993334801856,0.0142804770503996,0.145962586535579,0.170142625049543,0.178106693601162,0.186637865606544,0.104578656572995,0.208233289581034,0.0538468277914154,0.205288289153657,0.160062713409879,0.0091301091891036,0.00387295284506273,0.00274454191586512,0.0563924203106755,0.025278465022148,0.0418711609745478,0.0172561440777186,0.0151307398819816,0.0970387165345355,0.371036926078161,0.389471051245311,0.413722899668714,0.00983718760881329,0.00256392395583487,-0.000374880156099474,0.0362640019378458,0.0167042068842548,1.47263829501235e-05,0.0465689682736378,-0.00206244143757606,0.13748444275558,0.00611148911555565,0.00434972156586779,0.00150493802898994,0.0174699449640215,0.0152137661664441,0.00422195322660809,0.00260858141010922,0.0379367058994255,0.021796751190037,0.04419261723585,0.0335243015947694,0.132812589606811,0.00760281927181402,0.00246607175087915,0.00569440811428878,0.0133955073638802,0.0602601865842978,0.031187089582202,0.00085883608790848,0.0014787288882312,0.000221610274226834,0.0289173314412559,0.0380747816949778,0.0921211746263726,0.0161215756450788,-0.00364205954359256,0.00234779962787814,0.0191229876999325,0.0818767028299951,0.0557820360339675,0.000384062764121485,-0.000195718370076297,0.000235864935356686,0.00411256232134411,0.00486005474397774,0.00907443195640321,0.00671867293072767,0.00314590055755306,0.00322829202069808,0.00657975640822051,0.0180830577572579,0.0141751328659801,0.00252562787615176,0.00220030440689003,0.000760724810686573,0.00203987522402542,0.00384549939588898,0.0111668150835565,0.0948883808780881,0.272708444754538,0.00823064647987289,0.147111874470137,0.128775762119007,0.093340344680503,0.108230618995586,0.0867097142470525,0.0961456574156404,0.0112704875166268,0.00635570004543482,0.010669021573944
8,0.589121802135324,0.879030281994447,0.862289768894123,0.0156629591973381,0.00912085152695088,0.0124952251773713,0.123353920871726,0.154142497015876,0.123312223552639,0.19373084508986,0.101612416507941,0.210221127530268,0.0160477691620115,0.178760939381748,0.0847824487131898,0.00638691946100323,0.00288407477235921,0.00479885514601295,0.0433604018819602,0.0175094900479778,0.0411218750962349,0.0194955633323192,0.0116100822526072,0.0917831117167005,0.244469268025974,0.27023591992421,0.296096862825097,0.00655249269308762,0.00282997529799251,0.00025531954355319,0.116195203667303,0.012021617383171,-4.50164132651105e-05,0.0460055605533144,0.00318605580341513,0.136588514117187,0.00590463776862628,0.00448170130400109,0.00305764172280447,0.0153261374406872,0.0144361354415487,0.00775507617221276,0.00107618630567129,0.0306019525890657,0.0234589489945591,0.047711704990835,0.0390624514705621,0.133246228817356,0.00641444958460535,0.000821095520654421,0.0032516631532206,0.00900838553004365,0.0479076324974622,0.0261491318127173,0.0019634232721291,0.0015419050200672,0.000530803185972559,0.0266398475573842,0.0374955030820457,0.0932643280882256,0.0162855578529877,0.00907863127698662,0.00286619572093411,0.0174894597454364,0.07719446948529,0.0471229476229615,0.00109369945252169,0.000192405592116581,0.000972853887285745,0.00229611747897557,0.00470830436691017,0.0120263473979182,0.00711221373267139,0.00284630940705347,0.00383175542387999,-0.00164158267156703,0.0159956655743869,0.0139295952963226,0.00149853308110329,0.00102485279887243,0.000342413258214037,0.00278736774040105,0.00366688470198297,0.00950657384399486,0.107557340285099,0.288967601117986,0.00719945625070684,0.0680145039808691,0.110942346197612,0.0807588810118888,0.119146454711041,0.0901308988129971,0.106995333765313,0.0109439937393149,0.00611770830054981,0.0116173124575814
9,0.767273463409635,0.887896308275116,0.880526076950736,0.0125428977238392,0.00699254461475565,0.0081050553201934,0.103835392837296,0.1333031755474,0.125265839873503,0.19920339690491,0.0935368121281297,0.225718489485945,0.0638604744787921,0.216192493547855,0.0731926257937765,0.00344004462671294,0.00294524845447191,0.0067893195898977,0.0561078835079499,0.0104782094596903,0.0405738333635575,0.0202949226895241,0.00623502720933822,0.105582223973484,0.130339451237911,0.164459073599036,0.185168863122716,0.0043072528056657,0.00317246569658712,0.00133575494581902,0.0913848657342577,0.00705607486404583,0.000743580165536976,0.0455030071732275,0.0136481077610422,0.145327022421311,0.00497763610879897,0.00339787923285304,0.0051763576525893,0.0124746588718964,0.012959089385123,0.0103200240871182,0.00164444495775114,0.0235229969865751,0.0280668929061414,0.0493477265906963,0.0396250407818041,0.132459431383212,0.00485481427168624,-4.70553800605178e-05,0.00683020429808581,0.00517692943112974,0.033517617593996,0.0195878789362432,0.00123048475609143,0.000637864903455323,0.000311339721385252,0.0262119708906422,0.0394113537553847,0.0895519301183944,0.0149210189119687,0.00726475889615249,0.00330772040732432,0.014105636551158,0.0703871135574625,0.0390067923602083,0.00103589650244831,0.00122446237694302,0.00240315419540921,-5.97199328580694e-05,0.00319282105462542,0.0141464489415976,0.00980871729964824,0.00245146728414887,0.00359907723799319,0.000253897229463618,0.0136233018389298,0.012830492257222,-0.000212085716591811,-0.000308136586795424,0.00049056939613251,0.00613864714108009,0.0023193178715736,0.00770581427835945,0.119772338237857,0.299946342649213,0.00447766309320081,0.120095112890684,0.0935999363030613,0.0641689461349501,0.123417412141768,0.0930783914516611,0.111208116649288,0.00972286061490983,0.0052427429912228,0.0131094973476284
10,0.910551427329393,0.885690231507663,0.88387851051191,0.00969714320912445,0.00609939622813408,0.00655832474861069,0.0934214973059187,0.106208488482998,0.189324234814295,0.204226412616069,0.0956440252199134,0.232449248446167,0.166797549696832,0.301626650715378,0.116054657516893,0.00272043300777413,0.00314548617224149,0.0071545639612214,0.061649978989909,0.00454251713796373,0.0382892662436818,0.0196922710296985,0.00168975932951583,0.121088257902818,0.0450307410994253,0.0748900222508911,0.0909028350453494,0.00220040689562641,0.00306095116338055,0.00133113750545505,0.0786334815729669,0.00256454788912343,0.00117717377712042,0.0454151451092883,0.0215096259475546,0.150561750489345,0.00373459756396848,0.00275027695018474,0.00737737847891795,0.0101352740633255,0.010405755120908,0.0105281757603835,0.00405506552138434,0.0166517657089611,0.029855059374251,0.0432571470569642,0.0321731227295438,0.133257472964053,0.00321773992991458,0.000630825759384731,0.00128483902797104,0.00224886697982834,0.0205813424302117,0.0124703079046689,0.00442793427943185,-0.000111827555846279,0.00114705834789482,0.0280039580688843,0.0428396172167841,0.0707658102589746,0.0115235360320464,0.0108588097956658,0.00235483400778597,0.00954914272174451,0.0725476124267814,0.0345528878175144,0.001385551319554,0.0018805251256477,0.00346853462716657,0.000671777392076255,0.00300346960126237,0.0124595374561564,0.011042892484436,0.00205255555867079,0.0033275628828695,0.0138123339732907,0.0110892579725608,0.00999596386997686,-0.000571068400011327,-0.000125023195656541,0.000449921987846067,0.00875708930787418,0.00220868550251545,0.00864030398580713,0.129391635529114,0.305192695585331,0.00556011137443927,0.10582331652288,0.0782248006378969,0.0463752398747201,0.121885949016193,0.0949473278989045,0.109093563667868,0.00892455837273358,0.0048056795144038,0.0137587714087337
