"cycle","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11","A12","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","D1","D2","D3","D4","D5","D6","D7","D8","D9","D10","D11","D12","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","H1","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H12"
1,-0.381868052847352,0.0587768154614554,0.192225021240335,-0.218954935038164,-0.232708220212771,-0.26846557034019,-0.771075272134272,-0.673608264228203,-0.697231964209428,0.926367457560874,0.370355735855021,0.91641882000683,1.04064208852337,1.09948930894312,1.14968768095994,0.106767068632719,0.00832878865670947,0.0307492362283795,-0.025008345556282,0.166754925013064,-0.075892112901591,1.0000462658059,0.0422514368486804,0.417840492650453,-0.0216746031515298,1.23084732600294,1.21611826201679,-0.000421172028372444,0.00422622929894897,0.0041059282071565,-0.048632913880471,0.0333182845047316,-0.0256080427150399,-0.505887259519537,0.00949375819761272,0.566663415993328,-0.0267785081445005,-0.0150235665299325,-0.0228039866634193,0.00299778335571463,0.0351091324707002,0.00405700976270308,0.0153753562496182,0.0558613574857453,0.0456633484076804,1.02622435676726,0.999506466310046,-1.98855495934562,-0.049930106063652,0.0052455027529146,-0.0171676415109008,-0.224211514629386,-0.0801836922364153,-0.228796985578888,0.0127141718161867,0.0726175720866737,0.0128511468697802,0.798542310615856,0.998317816127568,0.597959762981221,-0.0576775045080359,0.017050584054398,-0.00540275641189197,-0.0760850083912887,0.0926617308570057,-0.187204961970364,0.0499145357363079,0.0194801124368156,0.172275214905577,-0.00196448221905712,0.169950070786371,-0.175461192188085,-0.0795368331491713,0.0176991961813781,0.004018086390156,1.04860737650139,0.203977059882686,-0.0899751938880204,0.0437464979009987,0.00591443947133477,0.132550615549068,-0.00362409740433692,0.167654865181039,-0.15604599433793,-1.41790957148092,0.963809722461276,-0.0576489299188616,-0.963462284534803,-0.714751780972084,-0.658665699593774,0.963705767147373,0.988460867050065,0.989485437133405,0.927747950074917,-0.232452726156237,-0.748933556490843
2,-0.0316573316378398,0.121565124929909,0.249412517472464,-0.0139632373600108,-0.000898063288066965,-0.0159586516148212,-0.0720272774707025,-0.071152532349405,-0.0702408908741797,0.985926626311421,0.839879673981225,0.980544148144227,1.00716234320904,0.913334688268726,1.01985800507465,0.110424831122035,0.021416430620811,0.0191583808903612,-0.00220785828098679,0.147000679451187,-0.0113211884297379,0.999499339328401,0.0109406634502777,0.911873772459427,-0.00131452518456401,1.0267949536484,1.01383006543585,0.0138815715128839,0.00602491300020768,0.00622504920855148,-0.00709085061706843,0.0351278492782377,-0.00123403595102361,-0.0639449819382885,0.00346217185481188,0.851604617466012,0.0140377118601714,-0.0015105737933933,0.00948927178763317,0.0103647248299325,-0.0842954691314179,0.0146581014159909,0.00511482720525981,0.137707094774634,0.0427685745847272,0.973877047442039,0.993008467736197,-0.0623343691645834,-0.00252500498480426,0.0142797165064493,-0.00218004769767886,-0.00755036220756,-0.0350531770645067,0.000139559218566019,0.00957317591312032,0.0574144782424435,0.0122612555289996,0.916317385342085,0.999263449326984,0.936882408692215,-0.0059688569145077,-0.00885387815843122,0.00920358230396044,-0.0109398279621287,-0.000424192395341895,-0.0248517715912701,0.040140526492533,0.0159816928751517,0.133869767176094,-0.000561510446670896,0.152386173157054,-0.0136825870224348,-0.0064864768012705,0.0215361691292733,-0.000290826603121038,-0.370454981518969,0.129817471844127,-0.0131728293322302,0.0289193721434319,0.0055580668996837,0.10104772793296,-0.000845930503633455,0.11287012397442,-0.00858864838594619,-0.0855855465919626,0.989359225363263,-0.00566157523623663,-0.0898391972410532,-0.0527381595351023,-0.0790169155156133,0.989137549248639,1.00135768359458,0.996345198473646,0.984841313295738,-0.0201783447735716,-0.0468177823818061
3,0.154562266231807,0.142040626961655,0.256715190177576,0.140530678400337,0.109004858514846,0.132405806421366,0.351662590004019,0.347391775588271,0.342940820150406,1.00932045985084,0.99996811609868,1.00783558367252,0.954215289739968,0.761848481239875,0.903046210517902,0.116173539105312,0.0373259465247834,0.0174232377914129,0.0245390333220796,0.127629584442966,0.0552740376275438,0.999774114006467,-0.00380477459969266,1.18766209931398,0.0129424603183022,0.869177579246028,0.93247673934261,0.0276484461510489,0.00830307743531815,0.00902065580184563,0.034620035365687,0.0410828520691817,0.0242615440941371,0.384006113506852,-0.000709119536527735,1.00011986837865,0.0452026779844227,0.0111835597605124,0.0258875761745738,0.01767201510519,-0.00244681367659777,0.0279378315644226,-0.00120633273679643,0.232372871652994,0.0431794826289048,0.971935813693489,0.989745064790858,0.304338390627084,0.0272775762043305,0.0244920435250886,0.0106437622886674,0.14757182599247,0.171141982138474,0.161458403479319,0.00877053805849274,0.0648816062512899,0.0113250495736777,1.00002219133203,1.0001508597764,1.13460898681723,0.0291420661120082,-0.00227698295530503,0.0214525812464614,0.0534121012268639,0.128509980851669,0.139054355269746,0.0307130229076068,0.013265150889362,0.0962800641654661,0.00274149218080497,0.17336573887365,0.106194776157165,0.031669269088556,0.0260993242651209,0.00528498452276179,-0.0236052593626893,0.0678346819058845,0.0643144020338299,0.0178302975448211,0.00609451820137413,0.111305738879939,0.00413013128244569,0.092225267865928,0.0464279517273936,0.469671155055647,1.00217943576897,0.0276418085063318,0.43862666888279,0.257486308318441,0.385788469870348,1.0024078227752,0.993676991903088,1.0007485738066,1.00526076448043,0.0985178009533203,0.228580937511171
4,0.234471874255535,0.169864964207208,0.265453608505713,0.231819928863717,0.134767973611652,0.186854112054141,0.576423834439232,0.58257026398024,0.56804573647075,1.00241236270449,1.00000653043762,1.00370298515391,0.876021663516385,0.639456933600729,0.794348137632779,0.122772774385028,0.0540146695775566,0.0246685587669822,0.0539328653254172,0.108708890775056,0.11855059999964,1.00007880200277,-0.00212630845197891,1.00593110574348,0.0203471529641715,0.754095653702667,0.796346898634574,0.0391947461089757,0.0103463305507206,0.0117367040516202,0.0754268220569464,0.0515914512447581,0.0486661130405804,0.740616863437812,-0.00221666055584677,0.99941476026895,0.0597752091023293,0.0188626734686393,0.0242140066498286,0.0249321629343488,0.0847291356305239,0.0430709411964151,-0.00103599778389617,0.252015472341569,0.0471299813079492,1.00535048425886,0.990076974772463,0.665786239529506,0.0411523590046331,0.0309544616603571,0.0182628505272563,0.207711109542306,0.315294706115798,0.166160024851948,0.00838545037682287,0.0815199301852508,0.0100548345469003,0.998593752894903,1.00036116916227,1.00423391108903,0.0507982742306503,0.0193291447659605,0.0290095623739044,0.111469921071025,0.249664529937608,0.221085084290891,0.0222711367834636,0.010747246916073,0.0667076435637473,0.00814641280815857,0.215464049655804,0.166230220642119,0.0450643055461908,0.0316936243626236,0.015744012469791,0.188799151980362,0.129479797940859,0.139777227961473,0.0153965709749293,0.00619473840309607,0.0827002734233683,0.0107988641697301,0.107485169003696,0.0951215754568328,0.695472786342246,1.00224343820235,0.0360768988080802,0.738250960998844,0.654549291554901,0.694960980787769,1.00221143272278,0.994164360087958,1.00120624927408,1.00294687454129,0.148770923499753,0.346665579386791
5,0.302295074006906,0.242298875732358,0.331206050094497,0.275574708337397,0.148281539222129,0.214473075072686,0.705723389043583,0.718890973875637,0.714827516849897,0.988221993854533,0.999968116098688,0.98192071954268,0.790317642151883,0.539513968856779,0.694398963041978,0.127666219586246,0.0693770348594472,0.0375987814384119,0.0833100639610821,0.0902865298792895,0.173252523349243,0.999409739658279,0.0103813883243676,0.97104224842889,0.0210655844487497,0.654211774396956,0.677452072626635,0.0471836774072833,0.0116344713557563,0.013421064138431,0.114202956560277,0.0637679880641445,0.0713154007764943,0.913791667619631,0.00396364289830472,1.00011986837865,0.0598636549082263,0.0197285283108964,0.00634560042655757,0.031962864486082,0.0598189200024334,0.0609970721659503,0.00505810682725777,0.185936964218921,0.053726156066324,0.963573749723177,0.992897921450557,0.621872457193277,0.0462328301908558,0.0328156177907776,0.0203782004842414,0.20149248726306,0.243393070792504,0.118310931920762,0.00660835555600707,0.0813043610796589,0.00864032036239712,0.916793421574117,0.999194973169434,0.979328551741774,0.0611691057163623,0.0257258760125751,0.0310998904091479,0.156838558685356,0.279795789220254,0.307725658094245,0.0151836222737967,0.00722292518736966,0.0468287749642152,0.0136097849036199,0.2274468101285,0.149956812533508,0.0494851331115626,0.0352873773349085,0.0207449080855615,0.302536254459726,0.2416714379347,0.207164477430316,0.0182500646947416,0.00474023211047527,0.0640275068794597,0.01818317206685,0.130458708824411,0.0709925693013769,0.769386466350737,0.98933789518083,0.0332797548110778,0.825925789121332,0.754102830633317,0.839417682029858,0.989203004941736,1.00119525154825,0.996192693947318,0.985612318416036,0.151618113402238,0.470029849251045
6,0.410273158007308,0.399108731129373,0.458909460647854,0.296062572942908,0.177241434094904,0.254426989569664,0.847220007206483,0.831661367194148,0.851745335121987,0.975251170550687,1.00468368011,0.967139807292032,0.720876515200337,0.465924344745397,0.610160965814314,0.128770415138022,0.0814901836959198,0.0520732657331907,0.108484532780682,0.0726592369637123,0.216748666832251,0.996638832821315,0.0305244051456238,0.959762816285835,0.0154279179727372,0.543610167750799,0.533637533773968,0.0511097251797187,0.0120939902464965,0.0137663925252938,0.149707174800852,0.0758579640214101,0.091993004240768,0.895146957432501,0.0199117152918057,0.99196642594679,0.05565865179285,0.0184000578878086,-0.000973091133424943,0.0386502767051308,0.0801751481419751,0.0848647059091647,0.0181437013896917,0.103978281382675,0.0635045408944808,0.903407461672861,0.996959080722559,0.765854728201338,0.0457139752742613,0.0314764679698344,0.0190364861713712,0.17435171674749,0.31010165799247,0.0940101209600681,0.00462822452679863,0.064574197143811,0.00747035756757647,0.858765808543035,0.996078700034603,0.944746301070122,0.066037131906297,0.033396882005244,0.0310798333646861,0.187443564361612,0.178272004571197,0.313430275983687,0.0106071782160791,0.00457702553870917,0.0348066604676378,0.0183001970145015,0.207050322719122,0.114568264969403,0.0624889776968119,0.0363522710984186,0.0194252667398693,0.429290172779551,0.224560670267285,0.26363608452507,0.0250791071200811,0.0031310310115537,0.0664409988252523,0.0252077604539806,0.1475752607913,0.0758229078896922,0.84190079209412,0.968229361373662,0.0311180388226951,0.841403667460561,0.717313263849687,0.859505604688251,0.969443599332468,0.975312994602429,0.986444043643152,0.965697657673729,0.136246833740398,0.478394423510934
7,0.551155591754645,0.587005097448937,0.603785780047571,0.295118681099037,0.178460148762174,0.256233247189535,0.950069130886977,0.892198446132889,0.922697911026498,0.955940473636263,0.981886927706067,0.941038901220492,0.685327103248921,0.437620015452243,0.545749883700822,0.125543475146142,0.0895423669618523,0.0648424883513079,0.125742051686458,0.0562687781019971,0.247489254789121,0.990831244739905,0.058175924806287,0.9060131847291,0.00712907432297223,0.42056978193054,0.366877757745118,0.0515573271524104,0.0117891870309263,0.0129255277628609,0.180625162759624,0.0857487839505461,0.110967769839602,0.760264265681951,0.0448338134768389,0.948217236219269,0.0515227706308565,0.0176463869847601,0.00475097435731002,0.0440643284155836,0.117258205898612,0.114240612609016,0.0387130290091261,0.0556353334648346,0.0752430658088874,0.873977245608311,1.00012299352383,0.813230648441784,0.0451975369306974,0.028784023032295,0.0171043194579591,0.203490645643805,0.200004456688603,0.101958103671281,0.0043287853705113,0.0481376530369228,0.0067212541594923,0.882762840911351,0.990563500558835,0.899813023556958,0.0688242651686448,0.0307330436070296,0.0288792424978178,0.204474194309282,0.0945217682955825,0.24055134727816,0.00916908665229298,0.00400715164496644,0.0288990929168399,0.0216647053187285,0.182887390534518,0.0917099881901125,0.070111123223888,0.0359470636748935,0.019075317222849,0.312817812778579,0.130563344331298,0.308375477332077,0.0319668562622312,0.00231414165950663,0.0411462367087158,0.0311274627498253,0.148016506137696,0.088757301393903,0.867023922201383,0.944601339624474,0.0321260390969964,0.84506092681005,0.646604358278632,0.821051378583743,0.946597696299728,0.93943733647688,0.972990450781056,0.9445444782877,0.12011916000868,0.501652011508457
8,0.702870568950429,0.744180184442246,0.736277736388188,0.281152240220611,0.175931110670904,0.252422597495041,0.964447463352591,0.933962503003309,0.96720740402169,0.933410092991688,0.987597836520665,0.911900672225809,0.690071079482485,0.467934818055564,0.513186565137216,0.117705813979289,0.0937153383612309,0.0740262123749153,0.133777482045328,0.0412826721128734,0.264863245154711,0.981146035798866,0.0898076479486386,0.849610467750674,0.00641797590110664,0.344255826130495,0.281423579929249,0.0497872212973207,0.0112458924727258,0.0111527036081235,0.205722476810995,0.092304774972916,0.129002436276431,0.645136544023416,0.0761211328053037,0.940250079036835,0.0517807941527059,0.0190892434401963,0.0158146380858192,0.0470762838251215,0.175259280291985,0.143631588753236,0.0645354637925995,0.0600568060356773,0.0860756898184896,0.856049736651473,1.00010108521361,1.15134525446097,0.0473665345014719,0.0261776232171534,0.0175610856425221,0.290399601238877,0.373921818028344,0.122091438441447,0.00622996910812795,0.0507422921631513,0.00635714869111044,0.985607688885419,0.982346112535928,0.899188282022133,0.0726833122051616,0.0339046905149079,0.0275036087228553,0.208503026436146,0.234347343689893,0.35433530342277,0.0101434766862675,0.00527960913737507,0.0265564857224424,0.0236419149058731,0.181930067798072,0.0932510226780743,0.0669017391564674,0.0360372364383,0.0241231547521315,0.496877699683607,0.249239932704962,0.340623924786388,0.0329561090668103,0.00258760621594204,0.0291301255355058,0.0358470052811165,0.133503375521748,0.0668647941784069,0.949370210090733,0.922968735347784,0.036770815248599,0.917394690546439,0.871353400551269,0.835325739542399,0.924039076876788,0.921545389475164,0.955705960228604,0.923581604603905,0.119912708536349,0.524638458702666
9,0.822152194337873,0.850351497047152,0.842884993128592,0.251712316133063,0.152327363543405,0.241769912708812,0.969688981284364,0.947999088686823,0.999161437181838,0.910765808174589,0.96808371947177,0.882685418495199,0.731619985516779,0.546796255702029,0.522945794972143,0.105814370704587,0.0943337387118356,0.0764921839128192,0.132927306313841,0.027940566347812,0.269078452361199,0.966941765494716,0.120458630783364,0.85270301375714,0.0119951336606075,0.273952611408117,0.160330360308739,0.0455549298693219,0.0100750150378586,0.00854306612163252,0.223889141577801,0.0922353738716553,0.143186587922839,0.551043601677928,0.110254640308539,0.885498696497252,0.0472809306368309,0.0193105992084029,0.0258430919299235,0.0463552616973809,0.179479051556987,0.16086361470905,0.0913641562378667,0.0742254094324081,0.0913011474855351,0.832609841950522,0.993178365098134,1.01648354440808,0.0439509668757553,0.0217153862208354,0.0174252080652203,0.349044617140357,0.486700587427675,0.131587749077127,0.00819461599653356,0.0540695557340467,0.00529308228526804,1.03919075360452,0.97069594040864,0.856352620019539,0.074221409541985,0.0423503196655915,0.0243962196138793,0.198343451307136,0.0934411970611068,0.393870746682492,0.00963262759450808,0.00589594703232338,0.0254122833859276,0.0245029067887078,0.183199450862304,0.100136503512328,0.0652973689725383,0.0357933544475828,0.0237246391756306,0.368094084848212,0.228850707755185,0.358568510665611,0.0257651191514803,0.00223908328104607,0.0331621161733592,0.0391205411523076,0.107638473767111,0.0795575206091852,0.944229156098563,0.899125819595653,0.0346259338466617,0.997773263725349,0.917011395924125,0.870932378829873,0.8987446244398,0.886663081064034,0.934125545502319,0.893447966651685,0.122143225094136,0.497621501346176
10,0.896090786907049,0.908871653520444,0.91029614083758,0.217449164458872,0.11834767749798,0.22274554360418,0.979527245024157,0.925432735491963,1.00017175383023,0.884424207157893,0.908840353822603,0.851718462018923,0.79862136977035,0.657444973526009,0.56874522769226,0.090874861669449,0.0905843758710518,0.0710667921285199,0.124418862068174,0.0166012033150475,0.262052214062286,0.947880355327755,0.14737045636802,0.812698918590136,0.0235784293368045,0.187531630788109,0.0475536457973506,0.0386016595101265,0.00787265619593477,0.00554866676302951,0.235307315633408,0.0816907347233718,0.149056088421796,0.457296790903445,0.144877385708069,0.862237399854738,0.0364770250214348,0.0168163683317404,0.0348773362243327,0.0420181984789238,0.163574694977943,0.158013628212585,0.116165857948885,0.058973980669767,0.0882985744283015,0.797547440966638,0.976642265083652,0.820537527076587,0.0389775777286916,0.0170259644718338,0.016304059471805,0.347555805455103,0.385443927953491,0.161041545662726,0.00757079007302061,0.0414149917682825,0.00314057446716148,0.999891654084802,0.955011297465129,0.777548085010497,0.0732851551894732,0.0288457721435795,0.0192240620969162,0.176416059948781,0.0205454742359154,0.297014489510876,0.00656317406456582,0.004218101820868,0.0224654912776154,0.0236754936707779,0.177933299297769,0.0962493816299472,0.0614178343641331,0.0337282287430819,0.0157209722838051,0.444083187006048,0.141330771857797,0.361605145446148,0.0172014228564087,0.00100881457610126,0.00609798418558063,0.0412636457114171,0.0803086104911454,0.065696514950658,0.980019386589933,0.8702385084413,0.031219107507339,1.03852302793852,0.927841740549308,0.885453784331723,0.869923306220674,0.860083397355802,0.90895106488852,0.86606753547733,0.120339436556818,0.502070937502022
