"sample","raw_r_0.05","raw_r_0.1","raw_r_0.2","raw_r_0.5","raw_r_1","raw_r_5","raw_r_10","raw_r_50","bs3_r0.05","bs3_r0.1","bs3_r0.2","bs3_r0.5","bs3_r1","bs3_r5","bs3_r10","bs3_r50","bs5_r0.05","bs5_r0.1","bs5_r0.2","bs5_r0.5","bs5_r1","bs5_r5","bs5_r10","bs5_r50","bs10_r0.05","bs10_r0.1","bs10_r0.2","bs10_r0.5","bs10_r1","bs10_r5","bs10_r10","bs10_r50","bs15_r0.05","bs15_r0.1","bs15_r0.2","bs15_r0.5","bs15_r1","bs15_r5","bs15_r10","bs15_r50","CPP_r_0.1","CPP_r_0.2","CPP_r_0.5","CPP_r_1","deriv_loess_span0.1","deriv_loess_span0.2"
"A1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.58680790553919,5.6990276232541,5.70124006808969,5.70566495776088,5.71893962677446,5.74106407513042,5.91805966197812,6.13276583021922,7.88616732778391,7.74130510995234,7.74347705474867,7.74782094434134,7.76085261311932,7.78257206108263,7.95632764478913,8.16220798486165,10.1893988341369,NA,NA,6.67901723728825,14.9699462788347,6.5,7.5
"A2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.44375895947443,5.66790216576284,5.67005304305448,5.67435479763777,5.68726006138765,5.7087688343041,5.86750422204512,6.08027750423623,7.79250462176943,7.75957973017016,7.76164056397202,7.76576223157574,7.7781272343869,7.79873557240549,7.96360227655422,8.11506597756897,9.96785249603038,NA,NA,6.89312480410134,14.0327182205831,6.5,6.5
"A3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33932454573029,5.66297176438153,5.66502294007917,5.66912529147444,5.68143234566025,5.70194410263661,5.86603815844745,6.0629226472709,7.67423056464342,7.82804959649112,7.83005896311729,7.83407769636962,7.84613389612664,7.86622756238833,8.04136060575378,8.24541197349567,9.87774045072482,NA,NA,35.0948103138667,14.0169993364786,5.5,6.5
"A4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6046231903972,NA,NA,NA,NA,NA,NA,5.2626988944457,17.2959798727973,5.02921448751639,5.03934767480767,5.05961404939023,5.12041317313792,5.22174504605074,6.15603974370426,8.70689979214018,18.2364817303913,6.55565706571687,6.56940418020176,6.59689840917154,6.6793810960809,7.75275703124406,9.30683878070722,11.6817026770817,18.8477980623579,17.5298160278683,19.9675298851115,27.0535985251996,NA,35.5,21.5
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.6888195401573,NA,NA,NA,NA,NA,NA,NA,17.1427540560564,NA,NA,NA,5.02277370556077,5.14145293947808,6.09088681081659,9.07014344840096,18.0335950517362,6.70043396490686,6.71441419741742,6.74237466243854,6.82625605750192,6.96605838260754,9.3888252651868,11.9353479006461,19.0295239698534,19.1997281168492,21.4736021409789,27.4208913749076,40,29.5,27.5
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.7345965398376,NA,NA,NA,NA,NA,NA,NA,17.2812555100193,NA,NA,NA,NA,NA,5.76562675471035,8.01461784989513,18.1720465872975,6.95960130515285,6.97479819270085,7.00519196779685,7.09637329308485,6.89316852883604,8.53073696767829,10.8627743244018,18.7864419357539,17.9764919828308,20.4899990115612,26.9837342338313,40,18.5,23.5
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0437313787214,NA,NA,NA,NA,NA,NA,NA,19.1128293671208,NA,NA,NA,NA,NA,5.91581616117285,8.66794383992855,20.1831994035216,7.09995257683025,7.11648817603817,7.14955937445401,7.24877296970153,7.41412896178073,9.36507053609347,11.6487911096078,20.8575479487507,14.4518786120713,20.0601127376801,26.7259304268424,NA,1.5,1.5
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3624877131769,NA,NA,NA,NA,NA,NA,5.65112516663286,19.027880734685,5.35191428487781,5.36392069628569,5.38793351910147,5.45997198754878,5.58003610162764,6.84310531662846,8.0618304588452,20.0263865423891,7.14261492642277,7.15480217784494,7.17917668068927,7.25230018922227,7.37417270344395,9.12424387521024,11.5778990089228,20.6562806969502,6.75457670171023,20.5580084780922,27.2038244799109,40,33.5,21.5
"A9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0218768336072,NA,NA,NA,NA,NA,NA,NA,19.0513271005377,NA,NA,NA,NA,NA,6.23843438026516,8.8586772945621,20.2997346784731,6.61865505435113,6.6400340020272,6.68279189737932,6.81106558343571,7.02485506019635,9.31761950955975,11.7071950859058,21.0543391866886,13.3882668290928,20.2882130140773,26.7528714381564,NA,1.5,1.5
"A10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6864856274683,NA,NA,NA,NA,NA,NA,NA,35.3519301139053,NA,NA,NA,NA,NA,5.69783854477872,9.70227167005492,37.1240439278156,5.66514392824232,5.68152652229735,5.71429171040741,5.8125872747376,5.9764132152879,9.60722916836078,12.5826156543054,35.0539984698997,NA,NA,35.2413042690535,10.1009678519415,1.5,1.5
"A11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.999528950471,NA,NA,NA,NA,NA,NA,6.60916628722374,NA,NA,NA,NA,NA,NA,7.5189139126056,10.8215997948833,NA,6.59143397413586,6.61592430296666,6.66490496062824,6.81184693361301,7.52550877201623,10.0757111360645,13.9597373446724,NA,NA,NA,NA,17.0361910719893,1.5,1.5
"A12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53885915932756,10.3096403488643,NA,5.33713072924289,5.34789333955285,5.36941856017276,5.4339942220325,5.54162032513207,9.23280154980002,15.1828477375498,NA,36.275375862522,32.3234804157042,20.4677940752506,NA,2.5,1.5
"B1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.99365847970817,NA,NA,NA,NA,NA,NA,NA,7.4119895136933,6.18934538697196,6.19306316700398,6.20049872706803,6.22280540726017,6.25998320758042,6.55740561014235,6.9416619486576,8.9452629709686,8.77648749195303,8.77876801172879,8.78332905128029,8.7970121699348,8.81981736769231,9.00225894975243,9.23496694976343,10.9447513675825,36.3635922401727,32.3791142331173,20.4256802119511,NA,8.5,9.5
"B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81413854849661,NA,NA,NA,NA,NA,NA,NA,7.1480581796675,6.09076543919932,6.09382602900007,6.09994720860159,6.11831074740614,6.14891664541373,6.5134354332224,6.77025287464643,8.82785887622786,8.80419589259576,8.80631590066059,8.81055591679026,8.82327596517927,8.8444760458276,8.97137869527662,9.17357659021591,10.8060833953707,36.2896737936323,32.2302383599065,20.051932058729,NA,7.5,10.5
"B3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.70808473325803,NA,NA,NA,NA,NA,NA,NA,8.03219945592244,6.47075021412976,6.47481718649252,6.48295113121803,6.50735296539456,6.54802268902212,6.86671665357364,7.16530545072331,9.23829509730137,9.11261298073606,9.11467358315907,9.11879478800511,9.13115840254322,9.1517644267734,9.31661262061486,9.52267286291669,11.143791177685,36.0394976921463,31.9935963701362,19.8558924041059,NA,11.5,10.5
"B4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6357419309195,18.8995021883981,NA,NA,NA,NA,NA,NA,7.31727802842502,19.2169679940462,5.42711340626106,5.44549213725999,5.48224959925784,5.59252198525141,5.77630929524069,8.038654477024,10.3076673243518,19.7963380437834,7.99969732537309,8.02227282245428,8.06742381661667,8.20287679910383,8.42863176991577,10.2432503243128,13.1351213213024,20.1715055753302,19.5596699023695,21.7423179780502,28.1949029102077,NA,30.5,29.5
"B5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8791765914803,NA,NA,NA,NA,NA,NA,5.42272548330688,19.3582589903565,NA,NA,NA,NA,5.00441938882062,6.30606987599357,9.69716108658482,20.2853881118605,6.43108001431343,6.44986942334973,6.48744824142233,6.60018469564013,6.78807878600313,9.84584698363874,12.1573357669095,20.6730428450816,19.3969673116348,21.6433055785297,27.9344915341346,NA,32.5,21.5
"B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.2069303859582,NA,NA,NA,NA,NA,NA,5.6490569602502,18.5923803838449,5.13293671942997,5.14878151238523,5.18047109829576,5.27553985602735,5.43398778558001,7.76497510150543,9.62533267626582,19.5342737111041,7.97461407510955,7.99427443267828,8.03359514781573,8.15155729322808,8.39996347678024,9.83227258933892,12.5252070536053,20.1241691192223,19.8722671313072,22.2175349677338,28.3842960088174,40,30.5,29.5
"B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4345787608541,NA,NA,NA,NA,NA,NA,7.75680112327697,19.0198192047776,NA,NA,NA,NA,6.01608630279645,7.96892661267631,9.96061471746994,19.677650296608,7.82390603181743,7.84731835192468,7.89414299213918,8.03461691278267,8.26874011385515,9.78676501682623,12.8431734482603,20.2866713045039,18.0685267100621,20.1825708909712,26.9589195491328,40,23.5,19.5
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25213978594491,19.374904614114,NA,NA,NA,NA,NA,NA,6.91752665114112,19.5873605961873,5.39187576358227,5.40587579270964,5.43387585096438,5.51787602572862,5.79469944731276,8.75861811597659,10.9894690101132,20.2018755275527,6.73107707565145,6.74800715829119,6.78186732357067,6.88344781940912,8.59055982113192,10.7044202232903,14.3018726898569,20.6656412885756,18.3265381797609,20.436622807186,26.9246768588512,40,33.5,18.5
"B9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47316119960068,18.8051480532548,NA,NA,NA,NA,NA,5.27720964669293,7.4183890878382,19.3505963605443,5.51957627509789,5.53915255019571,5.57830510039134,5.69576275097824,5.8915255019564,8.37763105822974,10.6724813882427,19.9550252520969,7.39473882950624,7.41082437915006,7.44299547843771,7.53950877630064,8.53399682679132,10.2532053780978,13.6508901816005,20.4623443816483,17.8912637943863,19.810252079938,26.8612553046693,40,19.5,18.5
"B10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.86637768560718,36.2053469671225,NA,NA,NA,NA,NA,NA,7.25997039268518,38.898473601976,5.79217301195725,5.81566561176855,5.86265081139116,6.00360641025897,6.238532408372,8.11794039327621,11.3721482896059,NA,7.60913902938474,7.63263162919604,7.67961682881865,7.82057242768646,8.05549842579949,10.3500796921266,14.3059370299968,NA,36.0521090443383,32.1587877791591,20.4788239836218,NA,2.5,1.5
"B11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74902326947851,38.4209239681099,NA,NA,NA,NA,NA,5.02732408310151,7.09712052868118,NA,5.5189751909039,5.53795038180775,5.57590076361546,5.68975190903857,5.87950381807708,8.44419524265858,10.9705917552413,NA,7.3090263048986,7.32661386912472,8.18936705483417,8.34440988544249,8.60281460312301,10.5665150590053,14.3234204545627,NA,36.0958541961539,32.2379756502569,20.6643400125661,NA,31.5,1.5
"B12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.081785251432,NA,NA,NA,NA,NA,NA,7.97595008444627,NA,NA,NA,NA,NA,NA,8.17082187624072,10.3728927668322,NA,7.9941450930603,8.01824661267659,8.06644965190919,8.21105876960697,8.48750687883026,10.0397495104646,13.7239696394522,NA,NA,NA,NA,14.9205029036372,2.5,1.5
"C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.8826364745802,NA,NA,NA,NA,NA,NA,NA,11.256466869856,NA,NA,NA,5.61942833348543,5.73885666697086,6.53037302139322,7.96817472217112,11.8270515022964,10.1446474374956,10.1483885312748,10.1558707188331,10.1783172815081,10.2157282192997,10.5150157216327,10.889125099549,13.0715910378517,36.0357962521295,32.0437998758308,20.0678107469345,NA,15.5,14.5
"C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9731593522569,NA,NA,NA,NA,NA,NA,5.49815964394851,11.2145990403686,5.60437961926119,5.61807039408677,5.64545194373791,5.72759659269134,5.86450434094705,6.79639222171348,7.59465359935153,11.8929557518073,10.1584614683253,10.1626066923744,10.1708971404726,10.1957684847673,10.2372207252585,10.5688386491879,10.9259771639392,13.0908961625793,12.2357473538229,14.1696909839671,20.3524217833189,40,16.5,14.5
"C3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.911430878218,NA,NA,NA,NA,NA,NA,5.27226322772352,11.2154576421038,5.27910372584523,5.28829592915243,5.30668033576683,5.36183355561005,5.45375558868208,7.2391500783061,8.1572525298578,11.8868946883282,10.0730488007209,10.0780325899966,10.0880001685479,10.1179029042021,10.1677407969589,10.5664439390139,10.9739143871002,13.0284154329879,35.9901489890673,31.976802524371,19.9367631302823,NA,14.5,13.5
"C4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.9582357035824,NA,NA,NA,NA,NA,NA,6.51991164659544,18.3965545520878,NA,NA,NA,5.07715460904579,5.36330619767409,7.20608838353586,10.0607745139685,18.950328534623,7.26781566959083,7.28775122154849,7.32762232546379,7.44723563720971,7.64659115678623,10.0659775882766,13.2628648404263,19.4035847343315,18.4893649799801,20.8094589998559,27.7412674945731,NA,19.5,20.5
"C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.00735499821188,17.4614418459039,NA,NA,NA,NA,NA,NA,6.27272948184191,18.2321545269146,5.57532427710286,5.59298368292564,5.62830249457119,5.73425892950784,NA,6.8558451131182,9.25548417178762,18.8994133632657,7.31697077515209,7.34024302916479,7.3867875371902,7.52642106126643,7.75914360139349,9.64822295396786,11.8775003436911,19.3884488242975,18.6765174660458,21.0678808258602,27.5036286572773,NA,22.5,21.5
"C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.13927497860029,18.5225173693819,NA,NA,NA,NA,NA,NA,7.88865974568676,18.7382735796876,5.76086382711286,5.78543364215571,5.83457327224142,5.98199216249856,6.22769031292712,8.63968312445721,11.4146997454118,19.2391596895903,7.93625112141913,7.96316849491737,8.01700324191387,8.17850748290335,8.55729542786949,10.1950557098114,13.7403892998524,19.551061064576,19.0306035017403,21.3855940225601,27.6714538205864,NA,24.5,28.5
"C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.778599643071,NA,NA,NA,NA,NA,NA,7.10893966867271,19.2044612807407,5.0045517115816,5.01862978567726,5.04678593386858,5.13125437844255,5.27203511939916,7.77630653345676,10.7069772325731,19.9465054544641,7.88906572022845,7.91005338286876,7.95202870814936,8.07795468399117,8.44159950182434,10.7937429936404,12.7359681446042,20.5228998324065,16.8986059196661,19.5774702506678,26.1352096626511,NA,22.5,21.5
"C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53440663784382,19.5379771459583,NA,NA,NA,NA,NA,NA,7.65087846353663,19.8770255985841,5.12921010889175,5.14725907993946,5.18335702203488,5.29165084832116,5.47214055879828,7.9021190644181,10.4263809530858,20.4960084541915,7.32624717276125,7.35458160693997,7.41125047529741,7.58125708036974,7.86460142215695,9.92025029514362,14.4139763378395,20.9433345117928,18.8282802739903,21.1532789466167,27.7846923256502,40,34.5,21.5
"C9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.9889691076513,NA,NA,NA,NA,NA,NA,5.86904054852214,19.4188179944441,NA,NA,NA,NA,5.01555252923675,7.11521843762515,10.0155019874266,20.1643861184923,6.98918139506853,7.01260533879708,7.05945322625416,7.19999688862541,7.43423632591084,10.0648310991891,12.525224228396,20.643380610162,18.0472122349262,20.1609808027214,27.0448524512254,40,30.5,20.5
"C10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10115341842016,36.3909720528829,NA,NA,NA,NA,NA,NA,6.80191843546344,38.4631969271448,5.69418073759262,5.71344399655889,5.75197051449145,5.94553336308379,6.15067518054208,7.79180972020835,10.0252424612991,26.7187170841741,7.67963287782364,7.70014705956947,7.74117542306112,7.86426051353609,8.06940233099438,9.86185447706135,13.9083574605254,14.9622391610099,NA,NA,NA,10.9161432893968,2.5,1.5
"C11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.15266817353799,35.8865052557915,NA,NA,NA,NA,NA,NA,6.20136727141873,38.7849375196708,5.54829097905348,5.56353923804116,5.59403575601651,5.68552530994258,5.83800789981937,7.99999217547608,10.106770110886,35.4061936862337,7.86709028421136,7.88815806356545,7.93029362227365,8.05670029839825,8.26737809193924,9.95280044026718,13.1339815002638,32.6957307111663,NA,NA,NA,10.0416240633462,7.5,7.5
"C12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7348873254845,NA,NA,NA,NA,NA,NA,NA,37.3900764221147,NA,NA,NA,NA,NA,6.70409137179904,10.2919950499129,NA,6.6271527678249,6.64528919187283,6.68156203996867,6.79038058425621,6.97174482473543,8.41217415318672,12.6136160788371,NA,NA,NA,NA,18.9819928735769,1.5,1.5
"D1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4146101049762,NA,NA,NA,NA,NA,NA,NA,15.3744655586937,NA,NA,NA,NA,NA,5.21622391054369,8.36367347596595,16.2612791289372,8.02327408049917,8.0376159223269,8.06629960598236,8.15235065694874,8.29576907522605,8.82116148001615,11.301358925091,16.7772661480726,17.4382641654587,19.2424970622451,24.5286019117863,40,19.5,19.5
